user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Samuel Lin ,https://www.google.com/maps/contrib/109233068635543144978/reviews?hl=zh-TW,2,False,51,"星期三晚上冷冷的，適合吃些熱炒的什麼，看這家在北科大附近的巷弄裡，靠忠孝復興站，以為是校園美食，結果不是，來吃的大部分是上班族，先說結論，味道不錯，但料不實在，性價比不高。

晚上8點多到店，生意還滿好的，有坐五成滿，點了木須炒麵(中)$150，花雕雞炒飯(小)$120，招牌百花皮蛋$60，招牌魯豆干$45，麻油肉絲蛋花湯$80，結帳$455，沒有發票。

豆干和皮蛋都是甜口，皮蛋有先熱過，所以蛋黃是固體，切成幾個小瓣，應該有一顆的量，加上一些香菜什麼的，不難吃。

花雕雞炒飯先來，飯看起來較濕，沒有鍋氣，加上雞絲下去炒，沒有肉的咬感算乾柴，還好味道不錯，這花雕酒下去炒飯的味道我很喜歡。但整體來說，這炒飯是不及格的，當初會點這炒飯，是因為菜單寫著「激推」，所以點來吃吃看，結果是十分不推薦。

接著來麻油肉絲蛋花湯$80，小小一碗，看到店裏很多人點麻油雞絲蛋花湯麵，我因為已有兩份主食，所以點一份湯來嚐嚐。味道還可以，但以$80元來說，味道僅是可以而已，因為很淡，不管是麻油味或酒味，這或許是為了迎合上班族的口味，但我吃來就一般般

最後，木須炒麵$150終於來了，第一眼就覺得很驚訝，怎麼不是刀削麵，麵體扁扁的，很像銀記的麵一般，咬感是不錯，但吃這炒麵相當沒有激情，對的，也是沒有鍋氣，很一般般。想到其他家的木須炒麵，這家炒麵怎麼吃起來這麼沒感覺，不知道店家都是怎麼炒的？

看著生意鼎盛的商家，或許是我的嘴刁。而$455在台北吃一頓飯不算貴，主要看是吃到什麼東西，特別是那炒飯和炒麵，我是不會再來吃了

當初是看評價來的，再回頭看最新評價，好像都是些學生在留，這些學生過往留評價的次數很少超過5次，只會一味的寫好吃、好吃⋯⋯

2022/10/19"
 Janice Kuo ,https://www.google.com/maps/contrib/102202921416870078498/reviews?hl=zh-TW,5,True,77,"只是路過結果相見恨晚～！木須炒麵是有鑊氣的(對我來說這很加分）兩個人點一份大的一起吃可以吃很飽🤤

炒飯口味特別但相對普通一些些，另外一定要必點麻辣臭豆腐，會爆汁ㄛ🌶️

提一下店內是入座後叫號，看著老闆或是店員們喊著號碼然後再送上桌前，感覺很親切!!!"
 Zack Lee ,https://www.google.com/maps/contrib/111084354096089497351/reviews?hl=zh-TW,4,True,274,"先說一下環境的部分，店家要求客人用完餐後自己收拾餐盤垃圾，這點我覺得OK，但是客人離開後好歹清潔一下桌面吧，就座時桌上非常的髒，桌上滿滿的油漬，疫情期間，我覺得清潔部分有非常大的進步空間。

木須炒麵：口味還不錯，連小份的份量就很足夠了。

花雕雞炒飯：花雕雞的香味很香，雞肉給的也蠻多的，這道很推薦，好吃！

肉卷：這道不推薦，看起來外皮應該要酥脆，實際吃起來的口感，很像本來酥脆的外皮被悶著，變成濕濕軟軟的口感。

百花皮蛋、蕃茄豆腐湯：表現中規中矩，還可以。

總結來說，口味上都還OK，價格也算合理，只是清潔的部分真的要加強，算是值得再訪的一間店。"
 Often ,https://www.google.com/maps/contrib/114925020971860659272/reviews?hl=zh-TW,3,True,698,"還不錯吃，口味不會過鹹，
友人覺得炒飯也還不錯
但個人就是一間中規中矩的木須麵店，然後是間出餐超快速的店（老板說要等，但一份炒飯客滿狀況下，一樣3分鐘趕得出來😎)

這次點的是小的四海木須麵，份量中等，以價格$100來看不算太便宜，就份量而言對不上，但因為口味有加分，所以個人覺得還算可以👌

吃完記得要自助回收餐盤喔💁

另外，老闆娘很熱情介紹菜單，也透漏目前正在交棒給兒子，請各位多多支持"
 Claire li ,https://www.google.com/maps/contrib/106171635308672139232/reviews?hl=zh-TW,5,True,258,"中午用餐時間都會客滿，採櫃台點餐結帳拿單號等餐的方式，招牌木須炒麵有三種分量，可選葷食或素食對素食者很友善。

今天吃小份木須炒麵(葷)(100元)，客人雖多但上菜速度也快滿加分，餐具和醬料採自助式，辣椒還有備註很辣標語，點餐時就會詢問要不要加辣了。

餐點賣相很好，看麵體應該屬於手工扯麵麵體較粗，整體滿有嚼勁！湯汁調味很棒，有淡淡的醋香，配料也滿豐富紅蘿蔔絲、洋蔥絲、木耳、青菜、蛋絲、肉絲給的也大方，小份整體來說女生算吃的飽，辣椒也真的滿辣的，給推！"
 Xin Jing Lin ,https://www.google.com/maps/contrib/106061150187484778295/reviews?hl=zh-TW,3,True,228,"木須炒麵真的必點🔥入味好吃😋
但是最近一次晚餐時間去，可能太忙了，這天的麵有點硬，而且也不太入味，有點小失望😞
蛋花湯、蛤蜊湯味道也很夠超好喝🤩各自有該有的香氣
豬血糕就很雷了，是冰箱拿出來的那種咬起來又冰又硬的類型，如果跟我一樣是想吃又熱又軟的豬血糕，那這道就能passsss"
 Tzu-Hsuan Lin ,https://www.google.com/maps/contrib/116869121169826922364/reviews?hl=zh-TW,5,False,9,"三杯雞炒飯讓人驚艷，帶著酒香味的後勁，和醬料的鹹味很協調的搭配在一起；而且食材配料也讓人吃的很滿足，雞肉很嫩，料很豐富。
木須麵麵條很有口感，能吃到食材配料的鮮味。
香酥臭豆腐，本認為ㄧ小盤就要80，實在是不便宜；但吃了以後才發現非常紮實，也有很濃厚的「臭」豆腐味～
吃完後真的非常滿足☺️"
 Xin Tseng ,https://www.google.com/maps/contrib/109010942529201451162/reviews?hl=zh-TW,5,True,165,"主食和小菜都很優質
以小吃店來說環境和座位也都很值得表揚
是吃一次就想回訪十次的高cp值美食
⠀⠀
──ғᴏᴏᴅ──
▫️木須炒麵$100
推薦度：🌕🌕🌕🌕🌕
大火炒過，麵都還沒上桌香味就先到了😚
必備的Q彈麵條與豐富的配菜
徜徉在鹹甜的醬汁裡，實在美好
完全是點小份的加上小菜就已經滿足夠吃飽了！
⠀⠀
▫️花雕雞炒飯$120
推薦度：🌕🌕🌕🌕🌕
花雕雞絲藏在金黃的米粒中✨
那特殊的花雕香氣真的是垂涎三尺有神明🤤
粒粒分明的炒飯與些許的蔬菜、蛋花拌炒
整個營養均衡了起來，也不會很膩👍🏻
⠀
▫️招牌百花皮蛋$60
推薦度：🌕🌕🌕🌕🌕
完全是一道好吃到瘋掉的必點小菜
經過各種調味料和甜甜的醬汁洗禮的皮蛋超好吃
香菜、芝麻、辣椒、蔥缺一不可啊～
最佳男配角就頒給你了🥇

──sᴄᴏʀᴇ──
cp值🌕🌕🌕🌕🌕
再訪🌕🌕🌕🌕🌕
環境🌕🌕🌕🌕🌑
服務🌕🌕🌕🌕🌑"
 柔柔 ,https://www.google.com/maps/contrib/113449827552783824319/reviews?hl=zh-TW,4,True,122,"臨時北上參與公司活動，在即將抵達目的地前上網搜尋，回憶起高中在福利社買過的木須炒麵，決定在到站後搭捷運🚇走路去嚐鮮😋
晚餐時間生意非常的好，內用外帶都非常多人，還有配合外送平台服務～
時間比較匆忙，選擇最安全的招牌菜-木須炒麵，Q彈的麵條是我很喜歡的，口感也不錯不會太鹹
旁邊好多饕客點炒飯、米血、奶油嫩仙草，下次時間比較充裕會讓人想要再二訪😊
需要加強的部分是服務人員上菜時可能比較趕，湯汁、麵條有些微灑出來，微微影響整體用餐感受，其他都還不錯👍🏻"
 Mars Ho ,https://www.google.com/maps/contrib/102023976001073391040/reviews?hl=zh-TW,3,True,191,"炒飯表現普通，食材是新鮮的感覺，但口味普通
花雕雞炒飯很香，個人覺得比炒麵好吃

臭豆腐有點偏扎實，也有點不夠臭

整體是剛好路過可以吃一下的晚餐，環境是不錯，還算乾淨"
