user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 黃辰皓 ,https://www.google.com/maps/contrib/111655481875724617462/reviews?hl=zh-TW,5,True,16,"本次消費是兩位於平日晚間用餐，店內氣氛很好，店內播放的音樂還算合胃口，而這次的餐點當中印象最深刻的是招待的干貝以及照燒雞腿松露焗飯，建議有前來用餐可以嘗試看看，而老闆的服務也很到位，感覺是有觀察客人用餐的速度在出餐，也有適時的收拾桌面用完的餐盤，空調不夠冷也立即調整

最後想強調店內所謂的fusion，可能是我自己的感受，融合了許多不同種類的料理，從一開始招待的醃蘿蔔、雞湯，奶油烏龍麵到干貝、焗飯⋯⋯等，處處都可以觀察到各種料理傳達著相互融合的理念，算是一種滿特別的體驗！

由於小鳥胃的緣故，高估自己食量，不然應該可以小酌幾杯，在此環境所營造的氣氛中應該會很有沈浸感！"
 ベイ ,https://www.google.com/maps/contrib/111522726496074232836/reviews?hl=zh-TW,5,True,198,"被店名吸引而來，原本對評價半信半疑，覺得很多店實際吃起來很普通。結果！
真的好好吃啊，每一道都沒有踩雷，吃得出用心。

•專程來吃一夜干，很滿意，處理的很好沒有腥味只有鮮嫩，表皮一點脆度有夠好吃
•松阪豬很脆口感佳，搭配的醬料蒜頭很優，
•干貝搭配魚卵，滿滿鮮味而且很上相（打卡送這個真的很大方）
•燉牛頰很入味，連胡蘿蔔都變好吃了，難怪大家還可以醬汁配飯
•烤飯糰常常是普通的充飢料理，但不得不說這裡的很好吃～明太子的比例很剛好，烤得脆脆配海苔很滿足

以餐點的好吃程度，沒有過度調理保留食材本身的美味，這個價位在東區已經算平易近人，而且份量足～

店內選的酒也不錯，若可以增加種類會更棒。

之後有機會一定再帶朋友來，希望老闆繼續維持優質的餐點。"
 ruby hsu ,https://www.google.com/maps/contrib/104332580326968055201/reviews?hl=zh-TW,5,True,34,"店內氣氛佳，很有放鬆的效果！音樂好聽，適合約會聊天！還有大螢幕可以看球賽～

今天最令人印象深刻的是照燒雞腿排松露焗飯，上頭的粉紅胡椒粒相當提味，讓照燒醬的味道更有層次感，底下的松露焗飯帶有些鍋巴，口感上更有變化。

大家都推薦的白醬烏龍麵，很不錯，份量多，海鮮給的大方，只不過吃到後面有些膩，建議多人分食為佳。

今天實在吃太飽，沒有點到氣泡酒，感覺下次可以來試試～"
 88.foodie ,https://www.google.com/maps/contrib/104375995091839604564/reviews?hl=zh-TW,5,True,222,"這裡有有很多主廚私藏
以前沒吃過的創意料理
吃起來都蠻厲害的👍👍👍

時令生魚片盤$300
川式開胃口水雞$260
青檸生蠔$300
法棍明太子佐鯷魚醬$160
海鮮白醬蛋塔$100
白醬海鮮烏龍麵$240
清炒時蔬$140
味噌燉牛舌$480
天空之月梅酒$150

每道菜真的都很厲害
海鮮也都很新鮮😃

最愛他們的海鮮白醬蛋塔跟白醬海鮮烏龍麵❤️❤️❤️
白醬超級濃郁
第一口真的很驚艷
奶香味濃郁
但不會膩口
用料很實在

味增燉牛舌的肉超級嫩
入口即化
還搭配了些許酸奶醬
可以解膩
原本想說會不會怪怪的
但卻意外的融合
超級好吃的😋

點了一杯梅酒
梅子香氣超級濃郁
喝起來很清爽

還有各式各樣的酒可以選擇
真的是一個超適合跟朋友喝喝小酒聚餐的地方"
 Cheryl Yu ,https://www.google.com/maps/contrib/118400614826187495380/reviews?hl=zh-TW,5,False,9,"餐點價格在東區CP值高！
打卡送的干貝很有誠意，用心擺盤
韓式類口味都是小辣～
下次再來嘗試酒類飲品😊"
 周欣欣 ,https://www.google.com/maps/contrib/104669798700174694706/reviews?hl=zh-TW,5,False,8,放鬆的一間小店，坐擁台北街頭的巷弄內，食材新鮮服務態度也很好、燉牛舌的酸奶融合在湯汁裡面很夠味～推薦給大家
 Julia Lo ,https://www.google.com/maps/contrib/104377699644763432392/reviews?hl=zh-TW,5,True,195,"舒適輕鬆的用餐環境，餐點美味且生鮮食材非常新鮮，整體而言每道菜都滿意。店家招待的炙燒乾杯也非常棒，擺盤精美也很美味喔！最推薦味增牛臉頰跟一夜乾！

青檸生蠔一杯$150
生蠔肥美，搭上檸檬的酸可以更凸顯生蠔的清甜

午仔魚一夜乾$320
魚肉厚實卻很細膩，烤的酥脆的外皮搭上豐富的油花，非常下酒

味增牛臉頰$340
牛肉非常軟嫩，紅蘿蔔燉煮的也很入味，這醬汁感覺就能吃完一碗白飯呀！

牛小排松露焗飯$580
起司味濃郁，趁熱可以吃到酥脆的鍋巴

大五郎清酒盅$150
居酒屋怎能不來杯溫清酒！溫溫熱熱跟美食就是百搭

惠比壽生啤酒$150
意外順口的生啤酒，非常滿意"
 kingsley chen ,https://www.google.com/maps/contrib/108854178293832937876/reviews?hl=zh-TW,5,False,9,第一次來、MajorTom十足讓我驚豔，從辣的口水雞開始就讓我胃口大開，淡菜清淡但超級配酒，干貝及生蠔讓我鮮味超滿！還在等戰斧豬排喔！開心的一天！
 光申鈺 ,https://www.google.com/maps/contrib/103360558179979764415/reviews?hl=zh-TW,5,False,6,照燒雞腿排燉飯放在鐵鍋盤上底部會有一層鍋巴很美味，白醬海鮮烏龍麵很濃郁，味噌牛臉頰必點欸，很嫩又入味好好吃，食物基本上都不雷，店員親切有禮貌，是聚會吃飯的好場所😊
 Naomi Lin ,https://www.google.com/maps/contrib/117563536469128226495/reviews?hl=zh-TW,5,False,17,因為YEBISU日意外結緣的一間店，超好吃，口水雞的辣油是店家自己提煉的，又香又辣，嗜辣者必點！！YEBISU啤酒最高…
