user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 楊家匠 ,https://www.google.com/maps/contrib/115942607572345102137/reviews?hl=zh-TW,5,True,34,"門口非常有巧思

座位環境舒適約會聚餐大推

酒真的很驚艷必點...（可以請調酒師推薦）

餐點有水準之上口味我很喜歡讓我吃好飽。
來分享我當天的照片吧！"
 Ya Li Huang ,https://www.google.com/maps/contrib/105510819093649153216/reviews?hl=zh-TW,4,True,409,門口是扭蛋機，轉有酒圖案的，就會自動打開門，很好玩吧，點了兩杯酒，口感我都蠻喜歡的，很適合朋友聊天休息的地方。店內禁菸，空氣品質也很不錯喔。
 早安 ,https://www.google.com/maps/contrib/100918135022614518577/reviews?hl=zh-TW,5,True,649,"Instagram：Ludybaal

調酒種類豐富而且滿多口味選擇的
餐點也有不少好吃的
會招待爆米花有加入松露油
入口設計是扭蛋機以及抓娃娃店的店中店
方式我就先不說了
整體來說氛圍跟裝潢滿好的
我覺得很不錯"
 Carlos Chen ,https://www.google.com/maps/contrib/111697724717298764379/reviews?hl=zh-TW,4,True,342,"給分標準
5⭐超愛，很棒驚艷。會特地動身前往的店家
4⭐喜歡。人在附近可能會去
3⭐還可以。但餐點、環境一般或是品質好但偏貴cp值不夠高，不大會二訪
2⭐不大喜歡，環境、餐點一般“而且”cp值不高
1⭐很不喜歡，明顯缺點，難吃、態度極差之類

店面設計很酷，環境以紅光為主的色調，當天音樂是悠閒慢步調的爵士樂，平日晚上沒什麼人可以跟朋友久坐慢聊，但飲品價格屬中價位一杯約350~500上下。

醉赤壁4.2⭐
點的是醉赤壁，較有酒精的濃烈感，淡淡帶出其他調料的香氣，整體還不賴"
 Chen MikeLynn ,https://www.google.com/maps/contrib/104873794364909706201/reviews?hl=zh-TW,5,True,47,"進去要先轉扭蛋，不然找不到門口
酒單用歌名來表達，twist方式蠻有特色
開胃小食跟炸雞🍗好吃"
 Vivian Wen ,https://www.google.com/maps/contrib/100250798918813446588/reviews?hl=zh-TW,4,True,119,"氣氛5/5
調酒3.8/5
餐點4/5
服務5/5

氣氛和服務都很好，調酒部分，雖然容器好看，但層次感不太夠，有點可惜。

餐點部分都好吃，可惜以價錢去看，份量有點點少，口味上沒有特別驚豔。"
 Unaaa Hsu ,https://www.google.com/maps/contrib/113647317817023744705/reviews?hl=zh-TW,5,True,62,"特調神好喝，茶酒非常正點
八天德帥又好聊天而且非常有耐心，
客製化程度超乎想像，能完美調整出客人心中想喝的口感😍😍😍"
 Ying Wei Tu ,https://www.google.com/maps/contrib/109068458884196735768/reviews?hl=zh-TW,5,True,19,歌曲組成的酒單別有風味，餐食也很搭，進入前要先絞盡腦汁一下，是個很有趣又舒適自在的夜晚
 張庭瑋 ,https://www.google.com/maps/contrib/107939113515019679235/reviews?hl=zh-TW,5,True,"1,098","有玫瑰花奶蓋的那杯酒看以前的照片上面奶蓋很高，超出杯緣還有形狀，現在是平平的，有種costdown感😢😢不過這家的調酒有酒感而且順口~
有斑蘭葉綠綠的（夏翠絲？）那杯喝的時候能聞到米香味，體驗比較特別~
海膽麵跟海鮮麵都好吃，可惜食物量包括炸物都蠻少的😂
不過有位女店員又高又美，還是可以5星啦~"
 劉兆軒 ,https://www.google.com/maps/contrib/109724212002839836451/reviews?hl=zh-TW,5,True,345,"很有特色的酒吧適合朋友一起到這小酌、聊天
點餐完還有送爆米花先解饞一下

這次點了燉牛肉相當入味很嫩非常的好吃
醬汁還可搭配麵包
因為這時有在控制飲食所以和店家說麵包減半

酒類點了盛夏光年果香的味道很柔順
搭配米香充斥著回憶夏天的感覺~

店家在廁所也貼心為女生提供小物
這點值得給大大的讚👍"
 KAIYUAN CHEN ,https://www.google.com/maps/contrib/115208902115276762350/reviews?hl=zh-TW,5,True,74,從門口到店裡都充滿了趣味！食物出乎意料的好吃，環境不擁擠，很chill❤️
 余亞璇 ,https://www.google.com/maps/contrib/103703689692872692842/reviews?hl=zh-TW,4,True,56,"座位舒適，店內裝潢很美
門外扭蛋機開門裝置很有巧思
很有speakeasybar的味道
我們剛到的時候被正要離開的客人指導
一下就進去了haha

我點的都是茶酒
我就要你好好的（推）+當幸福來敲門
酒感都不重、味道融合得很好
喝得出來茶香（但我個人更喜歡barweekend的哈哈）
很好拍照XD

雖然網路上大家都說適合情侶、告白
但我覺得也是個很適合和閨蜜暢談整晚的地方😎"
 阿白 ,https://www.google.com/maps/contrib/100190036040622944628/reviews?hl=zh-TW,3,True,91,空間寬敞，沙發區很舒服...整體氣氛還可以，感覺可以更好。調酒跟餐的選擇希望再增加，點下來沒有什麼雷...茶酒香氣明顯，酒醋的酸味也很和諧，整體好喝、但酒感都偏淡、層次也少一點
 Chuyu ,https://www.google.com/maps/contrib/110908022505844979651/reviews?hl=zh-TW,4,True,259,"入口扭蛋機很有趣
菜單也充滿巧思
可惜酒跟餐點很普通沒有留下特別印象"
 yi teh han ,https://www.google.com/maps/contrib/103703208388246691202/reviews?hl=zh-TW,5,True,453,"門口是扭蛋機，入口蠻隱密的
菜單是線上菜單
當天平日取人很少
調酒師都很友善"
 ChungHua Chu ,https://www.google.com/maps/contrib/101993342252511354435/reviews?hl=zh-TW,5,True,824,"20220826
來參加朋友包場生日趴
主題海洋風現場佈置好美氣氛好棒
音樂特調都很搭

20220716來試一下ps新菜
南瓜鹹蛋櫛瓜透抽飯超級好吃
南瓜鹹蛋超搭之外,櫛瓜脆實的口感點綴其中真的太滿足了
搭配調酒""小幸運""的淡淡茶香簡直絕配
-------

老板相當親切,會主動招待shot,會尋問味道,看到隔壁點了海鮮麵,客人忘了提醒對蝦過敏,直接退掉讓客人重點一份,酒好喝,但我本身是豪飲型,雖然酒味很重但份量不太大
""等一個人咖啡""是我覺得最特別的,明明是酒,卻是咖啡味,選擇了清醒,也可以陶醉
--------------------------

後來有再來幾次,在四月底有和""十七歲的天空""舉辦聯名活動,有一杯酒就叫十七歲的天空,是用薰衣草和紫羅蘭搭配水果酒加上紫色甜甜粉,讓我相當驚艷,而且跟上次來的酒單不太一樣,感覺是一季會酒單的酒巴

是個可以常來嘗鮮的店"
 小方糖 ,https://www.google.com/maps/contrib/101625687270143178589/reviews?hl=zh-TW,5,True,675,情書式菜單💌餐點非常下酒😋
