user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Karen ,https://www.google.com/maps/contrib/117555647839867302648/reviews?hl=zh-TW,1,True,43,"這次跟友人都是分別點了$699單人套餐。

*沙拉：酪梨油醋醬，menu上看起來很強很豐富，但上菜看到食材真的蠻普通的，吃起來也很普通，沒記憶點。

*湯：花椰菜濃湯，一上來湯就是溫冷的，有請服務人員協助加熱，服務滿好的，直接換一碗，但溫度還是溫熱而已，湯的味道還可以。

*前菜：蒜味蝦，蝦子很小尾，也沒什麼特別有印象的味道，感覺滿敷衍的一道料理前菜。

*主餐：放電椒麻牛排義大利麵，咬第一口真的覺得好硬好多筋，第二片也一樣，全部的牛排翻開看都是筋⋯告知服務人員後，服務人員直接請廚師重做，並且留意避免同樣狀況發生。

第二次重上主餐，牛排還是一樣又硬又多筋，以為是自己的問題，請友人嚐一口，友人吃了也是傻眼，脫口說出：這是什麼東西呀！友人直接幫我請服務人員再做更換。（但友人自己也是點這道，他說自己那份就蠻正常的，不知道為何我這麼剛好，兩次都遇到這樣品質的牛排⋯）

因為已經被雷兩次，加上肚子好餓又快晚上九點還沒吃到主餐，第三次是直接請餐廳主餐更換成絲綢生乳大蝦義大利麵。

可能因為餓太久了，覺得絲綢生乳大蝦義大利麵還不錯吃，蝦子肉質很普通不Q彈，但調味不錯，雖然麵條偏軟（我不愛軟義大利麵）⋯

這真的是有生以來第一次上餐廳遇到這樣的用餐經驗，值得紀錄一下，撇除食物，餐廳服務人員態度都還可以，一顆星是給服務的，但以這樣的價位提供這樣品質的餐點我是不會再訪了。"
 Sharon F. ,https://www.google.com/maps/contrib/110522777895188178473/reviews?hl=zh-TW,4,True,23,"一直以來都很喜歡微兜
耍甜蜜醬酥雞、台式蒜味香腸披薩還有鐵觀音珍珠瓦帕鬆餅跟花QQ茶歐蕾幾乎是每次去必點
南瓜湯也很好喝
提拉米蘇味道個人和同行朋友都不是很愛
這次還點了放電椒麻牛排義大利麵，牛排很嫩，義大利麵的味道很特別不錯吃有點小麻小辣

花QQ茶歐蕾的珍珠很Q，但是茶的味道跟以前不太一樣，以前的比較好喝🥲
然後鐵觀音珍珠瓦帕鬆餅的珍珠有點硬，跟歐蕾QQ茶的珍珠吃起來差很多🥲

服務人員以前可能因為都在忙覺得可能人手有點不足服務普通
但是這次去也許因為疫情客人不多覺得服務親切許多～"
 Jubi Wu ,https://www.google.com/maps/contrib/111086779060971984944/reviews?hl=zh-TW,4,True,124,"PetitDoux在忠孝Sogo11樓開分店啦！
📍忠孝復興站，SOGO忠孝館
✏️浮誇裝潢！下午茶、早午餐的好選擇

跟閨蜜還有男友三人前往，雖然用餐限時1.5小時，但若沒有人店員不會趕你。過年期間去的還有抽獎抽到瓦帕，之後可以再去吃！

➡️耍甜蜜醬酥雞：份量不大的前菜
➡️絲綢生乳大蝦義大利麵：明太子口味
➡️台式蒜味香腸披薩：台式香腸跟披薩意外的搭！比義大利麵好吃🤣
➡️季節水果瓦帕鬆餅：omg居然是我不敢吃的🍓閨蜜跟男友完全大笑傻爆眼"
 J me ,https://www.google.com/maps/contrib/104251081237334031483/reviews?hl=zh-TW,5,True,334,"SOGO忠孝店竟然有那麼華麗的店，好險有走到高樓層找尋自己喜歡的店家，一進門就覺得好美，佈置裝潢都好像巴洛克宮廷風，很像在歐洲的小店裡用餐的感覺，當然菜單一來就先看圖點餐，或者是看有哪道菜的名字最有創意。

🧡綠色火焰蔬食沙拉
🧡陽光海鮮烘蛋
🧡冰山玫瑰沙瓦

我只能說每一道都沒有讓我失望，沙拉不但讓我吃的健康，烘蛋料理也是讓我有飽足感，冰山玫瑰的雕刻真是太美麗了。

雖然店員人手有點不足，但是整體服務態度是不錯的，下次還會再來用餐，因爲超適合跟姐妹ㄧ起來！"
 emily wang ,https://www.google.com/maps/contrib/114055052621860682625/reviews?hl=zh-TW,5,True,17,"在sogo11樓尋覓午餐地點的時候無意中發現了微兜。第一眼看到微兜時是被它的裝潢深深吸引，門口的畫作、閃亮的水晶燈、鮮紅色的座椅，整個歐式裝潢氣氛非常好，是個適合姐妹、閨蜜們聚會的好地方。
除了環境優美外，微兜的餐點也是令人驚豔的，首先蔬食沙拉就有6種油醋醬可供選擇，有別於一般餐廳的制式醬汁，看得出來主廚們的用心。南瓜湯、蕃茄湯用料一點都不手軟，非常濃郁。主餐西班牙海鮮燉飯（有點偏軟）、白酒海鮮意大利麵、伊比利豬嫩煎沙朗排、鮭魚排，樣樣美味，份量十足。服務人員也都笑容可掬。總之，微兜是一間好吃、好拍、好坐、好聊、好氣氛的好地方。"
 Peter Tsai ,https://www.google.com/maps/contrib/114558299714650902624/reviews?hl=zh-TW,4,True,257,petitdoux微兜，一個以女性為主要訴求的餐廳。店內名言，把「微小幸福，兜在一起」。這次偕同內人來到SOGO忠孝店11樓的餐廳。店內點了一份單點的蘇維儂白酒海鮮義大利麵，以及一份套餐。套餐有南瓜濃湯、生菜水果沙拉、耍甜蜜醬酥雞、主餐是絲綢生乳大蝦義大利麵，飲料為美式女王(咖啡)。先說蘇維儂白酒海鮮義大利麵，整體吃起來算是白醬，沒有酒味，味道給我感覺中規中矩，餐品算不錯，但沒有令人特別驚豔。而套餐的沙拉，搭配特調洛神梅子醬，有清爽酸甜的感覺，超過4星的評價。至於主餐絲綢生乳大蝦義大利麵，也是中規中矩的味道，頂多四星。而副餐的耍甜蜜醬酥雞，甜蜜酥香的雞肉，有種被撫慰的感覺，給到5星也不為過，很建議來嚐一嚐。最後，有加點甜點－蜂蜜杏桃雲朵瓦帕鬆餅，這個甜點要花時間製作，約15~20分鐘。所以如果想吃甜點，建議可以用餐中途，就叫廚房準備，可以節省等待的時間。這瓦帕是西班牙文，是美麗的意思。以鮮乳坊的豐樂鮮乳作為主原料，內餡還加上馬斯卡彭起司與麻糬等作為爆漿餡料。添加蜂蜜杏桃為主要味道，特別的甜點，給人精緻滿足的口感，不愧為是為女性打造的餐廳。甜點也有將近5星的實力。我覺得女生應該會喜歡這個餐廳，而男士如我，帶上女伴，應該比較有CP值，建議副餐、甜品與飲料多嘗試。
 郭家銘 ,https://www.google.com/maps/contrib/113470578235877078976/reviews?hl=zh-TW,5,True,83,很華麗的一間店，東西好吃中上，燉飯比較台式口味，偏軟。最推薦的是鬆餅，我們點了草莓鬆餅和珍珠奶茶鬆餅，都很好吃，我覺得更像間適合女生們來吃下午茶的店。👍
 K. ,https://www.google.com/maps/contrib/108876145493044844938/reviews?hl=zh-TW,4,False,13,"服務不錯，餐點也不錯，大部分好吃但蕃茄湯香料味重了一點，提拉米蘇酒味很重。
重點是可以客製無咖啡因奶類飲品，很好喝，很貼心。"
 Stephanie Shen ,https://www.google.com/maps/contrib/109919336041163343672/reviews?hl=zh-TW,3,True,24,"套餐沙拉非常冰，連盤子都很冰，梅子醬味道還可以，但沙拉就一般般
南瓜湯濃度適中，也有燙，，是套餐中僅次於醬酥雞第二不錯的
前菜醬酥雞味道不錯，但份量有點少
伊比利豬義大利麵口感跟味道都不錯，但偏鹹
份量吃不多的女生會覺得ok，男生應該會吃不飽
服務不收服務費的話還可以，但以收服務費來說還有待加強"
 7 CHUNG ,https://www.google.com/maps/contrib/101608760922767952905/reviews?hl=zh-TW,4,True,88,"環境裝潢及氛圍感5星🌟🌟🌟🌟🌟

餐點品質4星🌟🌟🌟🌟
桌邊服務4星🌟🌟🌟🌟

整體而言，服務需要多一點熱情與笑容，雖然，疫情期間仍戴著口罩。
但是，有沒有笑容及熱忱，其實，顧客都是感受的到的。

希望，服務人員能與餐點及裝潢，可以有加乘的效果。"
 Basel ,https://www.google.com/maps/contrib/100437393035853958012/reviews?hl=zh-TW,5,True,36,英式華麗風格的裝潢，很有特色。餐點選擇多元，價格合理，咖啡與甜點有一定水準。服務人員態度親切有禮，幫顧客著想，用QRcode點餐時，熱咖啡誤點成了冰咖啡，服務人員在點單確認時，主動說明可調整，服務很棒。
 Ernest Chen ,https://www.google.com/maps/contrib/117832103341970405209/reviews?hl=zh-TW,4,True,44,甜點很好吃，可惜去的當天出餐速度有很大的問題，希望只是突發事件。整體來說，用餐算很舒適，服務也很好。
 張亦萱 ,https://www.google.com/maps/contrib/115017636652859015751/reviews?hl=zh-TW,4,True,72,"菜品很美味，服務人員都很友善
不過應該是主打女性客群所以同行男性單一主餐會不太飽"
 張秉顥 ,https://www.google.com/maps/contrib/111265619896611477930/reviews?hl=zh-TW,3,False,9,"餐點：
海鮮燉飯：份量還行，口味略台式
燉麻辣蹄花：可以再嫩一點
提拉米蘇：有杏仁味，酒味不夠重
調酒：
直接送上金色山脈的啤酒覺得有點偷懶，但價位上是CP值頗高也不錯喝，但沒什麼特色
氛圍：
裝潢歐式皇家，但與隔壁桌間隔較近
服務：
店家很努力，但對訂位及上菜進度掌握不佳，已開始用餐半小時後還接到詢問是否還有要保留定位，每桌都一一清點每道菜是否上了，不確定是貼心還是掌握不了進度"
