user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 蕭公雞 ,https://www.google.com/maps/contrib/106054422510396257772/reviews?hl=zh-TW,5,True,543,"吃過很多次，餐點每次來都不失望，蝦子不用說就是新鮮，肉很Q彈，然後整體口味就是很重，畢竟主要是配酒；每次必點的胡椒蝦口味鹹香，超下酒；其他檸檬蝦、酸辣蝦常點類別也不容錯過，個人還是最愛金沙蝦，做的比其他家好吃，甚至連殼都可以入腹。其實可以照著推薦人氣排行，不會雷！

其他麻油麵線也是超多人推薦，但我個人十分喜歡他們的各式炒青菜，鍋氣很香，調味雖然依舊重口味，但搭配更重口味的蝦子還是必點一波，其他諸如金沙竹筍魚肚甚至剌啊，也中規中矩水準之上，每次都好吃忘記拍照。

不過還是希望會有濕紙巾，沒有濃茶系飲料，建議啤酒外可以有highball。"
 Wang Eva ,https://www.google.com/maps/contrib/116418551476261937727/reviews?hl=zh-TW,5,True,28,第一次來吃，好驚豔！從乾麵、鹹蚋仔、胡椒蝦、金沙蝦、酸辣蝦、檸檬蝦，每道餐點都超級到味！價格也算普通，重點是～好適合喜歡大口吃蝦、大口喝酒的朋友！每道菜都超好吃超下酒！！！
 biu Biu (Biubiu) ,https://www.google.com/maps/contrib/112907472480072373434/reviews?hl=zh-TW,4,True,123,"終於跑來吃一品活蝦了！
金沙口味的烤蝦味道很特別鹹香鹹香的！
鳳螺的胡椒味道也炒得很剛好
麵線普通
麵條感太重
不像宜蘭羊肉湯店的麻油麵線一樣軟綿
晚上真的好熱鬧啊！"
 Yi-Ching Pan ,https://www.google.com/maps/contrib/104219502349648609224/reviews?hl=zh-TW,4,True,117,"還不錯吃～～
鹽焗大公蝦4🌟
調味還不錯
可惜份量有一點點少

酸辣蝦4🌟
滿酸滿辣喜歡重口味的人會很喜歡！"
 Gillian (阿蕉) ,https://www.google.com/maps/contrib/114325659724799865184/reviews?hl=zh-TW,5,True,78,蝦子新鮮好吃，料理的熟度也很好，今天叫了蒜味、檸檬和胡椒，檸檬好好吃很喜歡。麻油麵線也不錯，是很好的配角，因為有壽星送了紅燒肉有夠誠意，外酥內軟，風味很剛好，炒水蓮的量也很足，是滿適合來吃蝦喝啤酒的店噢！
 千夜貓 ,https://www.google.com/maps/contrib/104530282532072922719/reviews?hl=zh-TW,5,True,57,"蝦子好吃！只是店裡有點悶悶的
當月壽星會招待一份鹽嗆蝦或香辣蝦
只是不知道為什麼其他桌的蝦都立在甕的邊緣
我們的都塞裡面(・・?)"
 詹芷穎 ,https://www.google.com/maps/contrib/102535803304595267853/reviews?hl=zh-TW,5,False,92,"平日晚上也務必訂位，客人滿滿！
蝦子大隻、肉多、新鮮也好吃，炒水蓮唰嘴一直吃，乾麵倒是普通，希望能賣飯。"
 希理子 ,https://www.google.com/maps/contrib/106720217170210865439/reviews?hl=zh-TW,4,True,34,當天點了N重口味的蝦🦐都十分美味，炒菜、麵線的味道也好吃😋，沙公的肉很甜之外有滿滿的蛋♥️聚餐的好選擇
 Emmy Wu ,https://www.google.com/maps/contrib/104212570145503864543/reviews?hl=zh-TW,4,False,30,蝦子新鮮美味，炒蔬菜量多，墨魚香腸必點，唯一可惜的是蚊子較多了些，廁所味道稍重，還有那天可能是新人上班，一直上錯菜
 Aaron Lin ,https://www.google.com/maps/contrib/117815095988699582200/reviews?hl=zh-TW,5,True,184,"內用宵夜
一品活蝦是台北市有在吃胡椒蝦的人都知道的店，第一次來創始店吃，風格很懷舊，價格上不算太貴，就是胡椒蝦的價格，雖然胡椒蝦偏小，原本想給四顆星，但炒水蓮有交代老闆多炒辣跟蒜多，真的是很阿莎力，所以給到五顆星，廁所的洗手乳很好洗，怕手油的可以不用擔心。"
 Panda Luo ,https://www.google.com/maps/contrib/106732050131993616769/reviews?hl=zh-TW,5,True,109,"進門的大叔看起來臉很兇
結果人超好欸XDDDD
我們說想炒蒜辣
他說好要蒜多嗎
直接給超多❤️香爆❤️

另外加分的點是
廁所洗手乳超級好洗欸真的
對於胡椒蝦來講這件事超級用心❤️"
 Conan Chen ,https://www.google.com/maps/contrib/115452741054322152581/reviews?hl=zh-TW,4,True,30,服務非常到位!掉了筷子馬上會被發現，補上一雙，菜單餐點很多都是季節限定，不然就是本店無供應，只想吃蝦，別無他想，來這就對了，青菜好吃!
 Marcus Liu ,https://www.google.com/maps/contrib/107454183444132264535/reviews?hl=zh-TW,1,True,69,"第一次跟捧友一起來嚐鮮！服務生一開始有說今天的蝦會比較小一點~
沒想到比想像中的還要小很多😔
等到結帳時，櫃檯人員再次詢問食用感想，當下反應蝦子怎麼會這麼小隻？
櫃檯人員回覆可能蝦子放太久，剛好最近生意好，所以大隻的都先出去，下次如果再度光臨可以指定“大隻”一點的蝦！
蛤！可以指定大小？那一開始的服務生怎麼沒有提到？
麵線沒有軟爛，麻油沒入味。🤔
只剩青菜可取~
等等！來這裡不就是要吃“蝦子”嗎？
謝謝貴店讓我們見識了…"
 Cindy ,https://www.google.com/maps/contrib/103323897347546200072/reviews?hl=zh-TW,4,True,253,外帶餐點回家吃，還是很好吃！店家生意非常好，要先預訂，不然等待的時間比較久。
