user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Yun Ding ,https://www.google.com/maps/contrib/106909419181302741029/reviews?hl=zh-TW,4,True,514,"2022年04月06日星期三
ubereat訂餐，第一次訂購
【糖醋雞丁】＄110元
糖醋雞丁本人比較不夠糖醋味道，
地瓜葉很苦，
冬粉還不錯，
金針菇中規中矩，
還好三色豆的青豆跟紅蘿蔔不多不然我會崩潰哈哈哈哈，
兩片紅糟肉好吃。

【沙茶肉片】＄120元
沙茶肉片本人稍柴，
沒什麼沙茶味道。
瓜瓜好吃，
番茄炒蛋有獲氣，好吃
高麗菜太硬，
豆腐好吃。

兩者的白飯屬於粒粒分明。"
 V V ,https://www.google.com/maps/contrib/100965535149633204201/reviews?hl=zh-TW,3,True,257,套餐加上單點一樣菜，總價120元，似乎有點貴？每次來，點套餐給的夾菜量都很不一定，今天的看起來空空，還是我跟對方說「今天的菜怎麼比較少，都空的」才補個2-3片菜給我，真的完全是看阿姨們的心情給菜量…然後有些菜都有偏鹹！吃的口很乾，來這家單純就是在東區附近能買方便、隨便吃而已，沒有什麼好推薦的😅
 楊尊 ,https://www.google.com/maps/contrib/117045084034020009445/reviews?hl=zh-TW,1,True,50,"這樣要105元，搶錢吧，上次也是夾四樣菜，只要85元，是看心情算錢的吧，我以後都不會再來了，想吃最貴的自助餐，就來這家吧，大家可以看看下面的留言，這種亂算錢的店，歡迎大家來嘗試看看喔，有種抽抽樂的感覺。

大家可以到隔壁的三寶飯用餐，菜多肉多還有養樂多，物超所值😌"
 卓悅晴 ,https://www.google.com/maps/contrib/111015751812784727501/reviews?hl=zh-TW,5,False,5,"疫情一年都叫外送
試過很多不同家自助餐
這家是唯一一家打開沒看到加工食品的
口味正常不會過油
乾乾淨淨看的賞心悅目：）
忍不住上來評價"
 Kevin Chiou ,https://www.google.com/maps/contrib/106120770214440639203/reviews?hl=zh-TW,2,False,6,1魚1雞肉2菜1炒蛋，160元？不太知道算法
 台北麗卿 ,https://www.google.com/maps/contrib/106591284639242041248/reviews?hl=zh-TW,5,True,68,給菜量大，看起來單價不高，不過價格累積起來其實也不少，別點多了後以為可以貪小便宜，結帳後將可能會崩潰的，夠吃就好不要浪費掉
 李彼德超 ,https://www.google.com/maps/contrib/111590635275173378781/reviews?hl=zh-TW,1,True,10,一個荷包蛋，絲瓜，地瓜葉，大白菜，炒蛋，還有一碗白飯，這樣的菜色收了$125，我不知道別人能不能夠接受，但是我是不會再去吃了，我情願去吃隔壁巷子的烤雞腿飯，也只要$100而已
 Megan Chou ,https://www.google.com/maps/contrib/110016633344855487375/reviews?hl=zh-TW,5,False,4,"菜跟肉跟飯都好好吃！
這次選的菜都不會過油過鹹
以後有機會還會想試試不同的菜色～"
 李波妞 ,https://www.google.com/maps/contrib/106232129621495582902/reviews?hl=zh-TW,1,False,6,"第一次來消費不懂流程
剛開始我講我要外帶，他回說要外帶什麼啊？
男店員也不明白在瞪什麼🙂
希望貴店可以好好帶他重新教育訓練謝謝"
 spink ,https://www.google.com/maps/contrib/115095604732614998768/reviews?hl=zh-TW,5,True,104,這是我每天都會吃的午餐，料多，油也很乾淨是我吃過很多自助餐所沒有的乾淨，在來是價錢非常合理。
 yun yun wu ,https://www.google.com/maps/contrib/115371942360450460543/reviews?hl=zh-TW,4,True,77,菜調味偏重口，但在這個地段有90元便當吃已經很不錯了......
 lily yang ,https://www.google.com/maps/contrib/103126076184537489658/reviews?hl=zh-TW,5,True,294,叫Uber外送，$85配菜好多種開心❤️很有誠意的便當～雖然有不喜歡的地瓜葉～會回購
 yi teh han ,https://www.google.com/maps/contrib/103703208388246691202/reviews?hl=zh-TW,5,True,453,"這樣總共140元，不錯吃稍微油了一點點
也有套餐85元，直接和工作人員詢問就可以了"
 nais A ,https://www.google.com/maps/contrib/101893892560087719547/reviews?hl=zh-TW,4,False,11,東西不錯吃，價格適中，有90元套餐可以選一個肉三樣配菜，但不知道為何門都不關，冷氣不夠冷，然後外面水溝還飄進來陣陣惡臭，飯都吃不太下🤮
 Wang Louis ,https://www.google.com/maps/contrib/112240800716351800115/reviews?hl=zh-TW,1,False,5,第一次到貴店用餐不熟悉流程，一個老的男店員也只會拿著飯勺站在那邊瞪，不知道瞪什麼意思的，放便當盒也用丟的，是欠你多少錢？
 Keith ,https://www.google.com/maps/contrib/111055773792497521094/reviews?hl=zh-TW,1,True,29,在附近上班族吃這間吃習慣了，可以理解物價漲，但套餐從$70漲到$80，現在又漲到$90未免太誇張了吧！漲價的話那工作人員給菜不是應該也要大方一點嗎？結果並沒有，反而更小器，要是吃$90元的便當還這樣不飽還一堆怨氣，我乾脆去隔壁直接吃燒臘飯還是豆乳雞飯就好了，差五塊而已我幹嘛
 Crystal Lin ,https://www.google.com/maps/contrib/114860144702368266565/reviews?hl=zh-TW,1,True,28,"三樣菜沒有飯要75
後面的人拿飯跟一堆肉還有菜才70@@
真的很沒良心就算最近生意不好怎能這樣算~~~
照你們這樣經營不可能會長久！"
 Leslie Zhang ,https://www.google.com/maps/contrib/112331844915509070280/reviews?hl=zh-TW,1,True,100,"貴的離譜，沒有肉沒有主食
180元"
 強強 ,https://www.google.com/maps/contrib/101156704385652526642/reviews?hl=zh-TW,1,False,8,第一次遇到有自助餐店的湯是要算錢的
 吳奇男 ,https://www.google.com/maps/contrib/114149299027858647403/reviews?hl=zh-TW,2,False,10,請問這樣菜色要90沒飯沒肉沒湯還是過年比較貴的意思，平常夾這樣才60-70，90可以買有肉有飯的價格了
 ShinYu Liao ,https://www.google.com/maps/contrib/116509162951453744500/reviews?hl=zh-TW,3,True,185,菜偏油，味道適中，70元套餐很便宜~有洗手間，主食只有白飯和稀飯可以選
 周漁 ,https://www.google.com/maps/contrib/111927956700404546889/reviews?hl=zh-TW,4,True,67,"便當口味好吃
缺點是吃了可能不會飽"
 Alice Kao ,https://www.google.com/maps/contrib/117612224592279632617/reviews?hl=zh-TW,1,True,64,省電也不是這樣省的，整間熱呼呼的，熱的要命，根本像洗三溫暖
 林伊潔 ,https://www.google.com/maps/contrib/107059608863323177492/reviews?hl=zh-TW,3,True,81,炒蛋非常好吃！菜色滿豐富的。但是價格比較高一點，我夾了五樣菜(滷豆腐一塊、配菜是茄子、苦瓜、秋葵、炒蛋)這樣105元，對我來說價格稍微高了，雖然好吃，但我可能不會太常去。
 Vivian Hsu ,https://www.google.com/maps/contrib/106103252420543034313/reviews?hl=zh-TW,5,True,80,長期委託他們製作每週固定捐贈遊民的便當，菜色豐富，口感好，非常感激
 HUI JUN RIN ,https://www.google.com/maps/contrib/101948582523851749205/reviews?hl=zh-TW,1,False,6,"9/3中午一點多快兩點到店內點$80元套餐，夾菜阿姨不給使用托盤，大概不想讓人多使用他們還要多洗吧！老實說疫情期間讓我將便當盒在桌上這樣摩擦沾染感受已經很不舒服，阿姨一開始就問說「要不要蛋，有小魚乾的」，我想說阿姨推薦就答應了，沒想到旁邊較誠實的男生才出聲說明：「這道就算主菜喔」，我傻眼，阿姨聽到男生出聲，馬上加快把蛋放到便當的動作，完全不給人說不的機會，後面夾菜過程中掉出來桌面上還夾回我便當內，馬的超噁，看我有點不開心還故意多夾一塊到我便當好像在敷衍，說真的到這裡我真的超反感。反感到爆，老實說這樣要$80？那我幹嘛不直接去外面買菜飯就好，用這種惡劣的方式欺騙消費者太可惡了吧！害我後來還多花錢買主食，不然根本不知道怎麼跟家人交代沒有主食的事情，超惡劣低級的阿姨，麻煩做生意老實一點，以前套餐才70，現在漲價還這樣糊弄消費者，以為住東區的人好騙嗎？？惡劣至極，到現在想到還是覺得可惡！麻煩老人家做點善事不要只會欺負年輕人。店內人員衛生不好、服務態度差、做事不老實又不乾淨，不可能再去。建議想吃自助餐可以到附近有更好的選擇。我也會這樣對朋友推薦。

9/13回覆店家回覆：
1.本人明確敘述日期時間，就是確實遇到已經拿托盤卻被阿姨強迫不要使用，只能被迫直接使用便當盒，本人不需要說謊抹黑，請回覆者你本人去與店內員工確認並確實教育員工而不是跑來跟消費者爭論，笑死人，不然調監視器來看啊？

2.吻仔魚蛋是主菜,菜色如有不清楚的地方,本店都能任意更換及說明：

請問您員工沒先說明，當同仁告知顧客時該員工還刻意加快放入菜色的動作，這樣回覆者你看不懂我的敘述嗎？護航護成這樣？開店不教育自己人教育消費者啊？

3.那你願意吃掉在桌上縫縫的食物嗎？做飲食最要緊的就是顧客的食安，掉在一個已經不知道多少人出入過的桌上的東西再夾起來給消費者，這樣是正確有衛生觀念？？環境認為好？環境自認為好所以員工的觀念就不用理會？

4.價格漲價從頭就不是我的重點，東西健康好吃乾淨的話都沒關係，問題是讓人感受太差了吧，用騙的來給主食消菜色，惡劣至極。

唯一男員工是一股清流，值得讚許。

請貴店不要以為消費者評論是亂打的，該道歉就道歉不要只會怪別人！"
 Sophie Hung ,https://www.google.com/maps/contrib/118082003918676653341/reviews?hl=zh-TW,1,False,4,此店分套餐70，跟自點菜單點，我跟打飯的人說我要套餐半碗飯，接著就點平常吃的食物，結帳時卻是135，平常加個荷包蛋也就80～90之間，只因為飯盒不是套餐的飯盒就變貴了，跟結帳人員反應卻說我自己沒說要套餐，我明明就說了，而且我很常來買，飯盒拿錯是店家的問題，又不是我自己拿的飯盒，說單點和套餐菜量不同卻也沒有明顯不同，盒子的大小是一樣的只是格式不同，要這樣欺騙消費者真的是很過分，重點是說要套餐或單點的飯盒、食物並不是消費者自己拿的，是店家工作人員拿的，搞錯量怎麼會怪消費者😡
 ww ya ,https://www.google.com/maps/contrib/100886550344820221184/reviews?hl=zh-TW,1,False,14,外帶一個套餐80，主食選了一個蜜汁雞肉什麼的反正就是類似宮保雞丁一塊一塊的，給了六小塊有三塊都是麵皮！就算是80塊的便當也超不值！夾菜根本都看店員的心情再給的。傻眼要不是有時候週日沒什麼可以買也不會買這家！
 Tina Li ,https://www.google.com/maps/contrib/111877523007968166942/reviews?hl=zh-TW,2,True,230,"口味不錯但服務態度真的很差欸，怎麼跩成這樣勒==
問個湯是不是免費拿，一臉超不屑"
 葉氏 ,https://www.google.com/maps/contrib/108055546342636565616/reviews?hl=zh-TW,1,False,4,價錢亂算，黑店超黑黑到爆，是多愛曬太陽才會那麼黑，黑店
 HC ,https://www.google.com/maps/contrib/111111755625684418932/reviews?hl=zh-TW,5,False,1,貼心用心感心❤️
 Chen yi ,https://www.google.com/maps/contrib/109388110961831654510/reviews?hl=zh-TW,1,False,14,"這樣菜色150元沒有+飯
真高級"
 J L ,https://www.google.com/maps/contrib/114507362336845710196/reviews?hl=zh-TW,1,True,58,花耶菜上面一堆黑屑屑還可以畫線條很扯⋯⋯是吃了鐵鍋嗎？覺得很可怕的店...請店家注意衛生
 Lisa wang ,https://www.google.com/maps/contrib/117218754104448497909/reviews?hl=zh-TW,5,False,22,好吃到我叫ubereats還是覺得好好吃，配菜超愛吻仔魚炒蛋，這家買了好幾次了，我們全家都是忠實顧客
 朱韻婷 ,https://www.google.com/maps/contrib/100947805081670227431/reviews?hl=zh-TW,2,True,2,"買外帶便當外面立牌套餐寫80元,一個肉3樣菜的組合,結帳收80元完全正常,整理好要離開櫃檯了說算錯要多5元這樣櫃檯阿姨也太奇怪了🤔🤔🤔"
 楊子賢 ,https://www.google.com/maps/contrib/113503057246314796188/reviews?hl=zh-TW,5,False,5,路過時內用覺得不錯吃
 廖繼鴻 ,https://www.google.com/maps/contrib/111261861226388489983/reviews?hl=zh-TW,1,True,17,"油魚當圓鱈賣，造成腹瀉，
整個超不舒服，黑單店家。

1100804：
下訂時ubereat平台上，貴店當下是沒有標示的，
經反應之後才將(油甘魚)加註修正，並無貴店所述之口頭告知，
以下附圖為當時訂單內容，現在平台上已可見店家文字加註，
然後就是，貴店家對於圓鱈、油甘魚、油魚...，
好吧，我大概瞭解貴店對於食安及食材的認知及定義了，
祝貴店生意興隆。"
 cathy mini ,https://www.google.com/maps/contrib/108252081328036486707/reviews?hl=zh-TW,5,True,71,點Ubereats配菜份量很夠，魚偏鹹一點但整體不錯！會回購
 莊阿華 ,https://www.google.com/maps/contrib/107420212483523494984/reviews?hl=zh-TW,1,False,12,我之前外送員去取餐，只不過在旁邊桌子點數量，就看到收銀的阿姨很不高興問我怎麼了嗎，然後其中一樣有疑問問一下而已也不爽，然後送完餐看還真的給我一個負評，這個負評對我來說無關痛癢，只是覺得點數量而已也不高興，莫名奇妙！
 李祖賢 ,https://www.google.com/maps/contrib/100581712833137702158/reviews?hl=zh-TW,5,True,501,東區這樣的便當70元真的很佛心啊
 魷魚天行者 ,https://www.google.com/maps/contrib/102338987942088221287/reviews?hl=zh-TW,5,False,7,"蠻好吃的而且服務非常熱情
價格也是很透明乾淨
少數我吃完不會拉肚子的外食餐廳"
 曹雅 ,https://www.google.com/maps/contrib/101376312163359856764/reviews?hl=zh-TW,1,True,34,"夾菜的阿姨呀，不要看的男生就給很多，女生就給很少好嗎？套餐的份量男同事買跟我自己買份量差也差太多，自己買的永遠吃不飽，哦不對，只有是大哥夾菜我就吃的飽，你們店是有性別之分嗎？還是有傳統重男輕女的差別？

在大安區工作十年，最近買的套餐菜越給越少，而且態度越來越差，你們菜價漲就便當漲價沒關係，不要跟我跟因為是套餐所以本來就這麼少，不好意思，我用單點點的還是一樣少，甚至要叫到兩份才可以！不過說也奇怪結帳的大姐看到問我是一份嗎？還要夾菜的阿姨大喊兩份才知道是兩份的份量！表示你們標準不一全部都看心情呀！"
 yihua Chou ,https://www.google.com/maps/contrib/110291170895840001749/reviews?hl=zh-TW,5,False,27,熊貓點餐～用心經營～餐點好吃
 Nat ,https://www.google.com/maps/contrib/103457160621064026275/reviews?hl=zh-TW,1,False,23,盛飯菜的眼睛女臉超臭，你是怎麼樣？這點飯錢我還付的起啦！差不多的錢以後改附近的便當店買，CP值高很多。
 夏醬 ,https://www.google.com/maps/contrib/116462378926404792738/reviews?hl=zh-TW,3,False,12,"親測：評價真實，不是買的，或促銷手段刷出來的！
給菜的阿姨，手再多抖兩下沒關係，建議下次直接夾一筷子的量就好了～量少到我一個女生，可以吃兩盒吧"
