user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Yehchen Lee ,https://www.google.com/maps/contrib/117085686793121137230/reviews?hl=zh-TW,5,True,710,"假日用餐壽喜燒吃到飽每人489元+10%起，價格滿平價的唷～
肉品跟湯底的部分偏普，不過很對的起他的價位。店裡很貼心的有置物櫃跟手機充電的地方（還可以上鎖🔒），店員的服務態度也都很親切，點餐上菜速度滿快的👌
第一次吃潮肉，滿特別的是有店員的桌邊服務😆幫你料理三道菜👇
①大阪燒風味的肉
②滿滿的起司肉卷
③甜點烤麻糬
裡面最最最喜歡的就是甜點烤麻糬了，因為我每次吃燒烤麻糬都烤的一團糟，店員很熟練的把麻糬烤的外酥內軟，白白澎澎的很好吃😍

冷熱飲、飯麵、冰品也都有，菜的選項不多不過該有的都有，整體來說cp值很高，想吃壽喜燒時的好選擇👌"
 Renée Jian ,https://www.google.com/maps/contrib/110295369494598641638/reviews?hl=zh-TW,5,True,17,"✔️環境
第一次來訪用餐，好在有事先網路訂位，到店門口的時候，已經有多組人馬在排隊等候。進門的左手邊有個人置物櫃，可以放衣物避免沾染到衣物，也有充電座可以充電，這點蠻特別的，很少遇到餐廳有提供給客人的
✔️用餐
這次選的是699價位，想體驗和牛的滋味，飯、菜、飲料及冰淇淋都是自助式，另外菜盤的部分本想專攻水蓮，後來發現還有蓮藕，也太特別了！
店員一開始會上基本盤，中間會來四次做桌邊服務。第一次是黑胡椒豬肉拌洋蔥，油脂均勻好入口，第二次是泰式打拋豬，清爽解油膩，印象蠻深刻，第三次是牛肉起司捲。
90分鐘後店員（非常準點😂）會問要不要做最後一次的加點，隨後會上碳烤麻糬，現場做出冰淇淋煉乳和花生粉口味的

✔️心得
菜盤的種類個人是覺得滿多的，有高麗菜、大白菜、水蓮、青江菜，等等，肉盤覺得最好吃的是松阪豬，可惜最後吃的太撐，沒辦法再多點…
服務人員的態度很好，10%的服務費我覺得蠻值得，而且有一個店員非常熱情（我沒記住名字，但印象中手上有刺青），很會招呼人，讓用餐的心情也加分了許多，很值得讚揚😀有機會會再來的"
 WanChen Wang ,https://www.google.com/maps/contrib/116437351389951359546/reviews?hl=zh-TW,4,True,235,"第一次來吃，現場排隊，登記時服務人員蠻貼心的，前桌客人提早離開，有打電話跟我們說可以提早用餐。整體服務的印象就是「年輕有活力」，桌邊服務也會親切的說明在做什麼，沒有遇到不好的服務狀況。

而環境在東區小巷內中，不大很有日式居酒屋的感覺，門口處有置物櫃可以放外套避免有味道，和有手機充電處都是蠻溫馨的設置。但當日客群偏年輕，會有些吵雜。

餐點呢，蔬菜、飲料、冰淇淋區小小的不多，但也就中規中矩選項的。壽喜燒第一口吃下覺得味道偏淡，我們再加了湯汁煮了幾回後，才比較符合壽喜燒味道（知道會越煮越鹹，但第一次沒到味沒覺得驚艷，煮到最後都沒加過清水），肉質偏薄普通，起司和泰式口味還不錯吃，有小菜、沙拉、湯和主食的附餐選擇，最後會有烤麻糬。

看了評價及朋友一直推薦，對潮肉的期望蠻高的，結論：湯和肉有點小失望，但服務加了不少奇檬子好的分數。"
 施必勝 ,https://www.google.com/maps/contrib/102898716200924564762/reviews?hl=zh-TW,5,True,60,"第一次跟朋友來，店內不大，門口邊有置物櫃，不知道是否能讓顧客放隨身物品；桌數有限，沒有訂位可能不太容易等到位子。
店內的飲料、醬料、冰淇淋等物品很充足，還有準備白飯跟咖哩醬，可惜有含牛肉，我不吃牛不能碰，但朋友吃了覺得很好吃。
服務方面點菜上的速度很快，我們開兩個爐，一邊不吃牛，服務員也願意幫我們分開放，每隔一段時間，還會來幫我們做一些小料理，最後要結束前，還特別幫我們做麻吉冰淇淋。
整體而言，價格中等，服務很好，上菜不慢，肉品各方面口味也好，是值得再回訪的好店。"
 Kiki Tai ,https://www.google.com/maps/contrib/100351630492097514582/reviews?hl=zh-TW,5,True,46,"【平日晚上$489+10%服務費】
牛肉豬肉很嫩，羊肉騷味偏重🥲泰式豬肉、牛肉捲起士很美味！喜歡吃肉的人應該會吃得很開心🥳
飯後甜點的花生烤麻糬、冰淇淋烤麻糬巨優質🤤冰淇淋巧酥口味最讚，甜筒酥脆很有誠意🍦以這個價位來說滿值得！"
 夜樓 ,https://www.google.com/maps/contrib/101149167775741470212/reviews?hl=zh-TW,5,True,179,"平日晚內用中價位599
壽星前後一週免服務費

都是男服務生，非常親切友善
肉點圖片上的牛腿與伊比利豬最好吃
羊肉也很有味，泡菜搭配吃最好
薯條不錯，冰淇淋oreo最好有甜筒
有水蓮很不錯，給我們吃的泰式肉好吃

貢丸有點不行，感覺冰太久
麻糬普通，不過有儀式感不錯

有櫃子放東西不錯，味道會比較少沾染
服務真的都很親切，感覺很有熱誠那種"
 Zuo An ,https://www.google.com/maps/contrib/116333958679854866575/reviews?hl=zh-TW,5,True,30,特別的壽喜燒店，服務態度也好。有桌邊服務幫忙料理，最喜歡生洋蔥夾肉，很清爽。另外還有泰式跟起司包肉。飯後甜點是烤麻糬👍👍
 美食餐廳必吃懶人包 ,https://www.google.com/maps/contrib/108660880595053185616/reviews?hl=zh-TW,4,True,357,"久久的部門聚餐這次選吃到飽，離公司不遠的潮肉壽喜燒，久遠前吃過永吉店，敦南店就
在東區，捷運會比較方便

店面算大，座位也算多，一旁有飲料機跟野菜區還有冰淇淋。蠻貼心的是有櫃子可以放包
包跟外套，也有充電的地方

菜單，有三種價位，分別是429,539,639。就差在有不同的肉可以選，639多了和牛跟松
坂豬可以選，大家就都挑了639,有加一成服務費。2小時吃到飽

比較特別的是店員會提供作一些不一樣的肉類，今天吃到是洋蔥豬、泰式酸辣跟起司豬，
會上基本肉盤但建議可以請店員直接上牛肉就好..

湯鍋跟肉盤，但沒拍很多，和牛跟牛莎朗還蠻好吃，搭配雞蛋跟七味粉也很可以，豬肉都
沒吃就不知道，菜也沒吃，只有吃這兩種牛肉，還好也不會很肥，所以可以一直吃

冰淇淋是明治也還不錯，最後還會烤麻糬給大家當甜點

最後覺得還是不錯，但是momo壽喜燒一直沒吃到看著他價格一直往上..."
 Yun Vari ,https://www.google.com/maps/contrib/113110146467215551968/reviews?hl=zh-TW,5,True,194,很久沒光顧，現在價位有三種可選擇$489$599$699再加一成服務費，現場有火鍋蔬菜料區、飲料區、茶包、冰淇淋，再加上菜單上可點茶泡飯、沙拉、湯品，滿足又飽足，調味的泰式、起司還有飯後的麻糬很好吃！香😋
 Jason ,https://www.google.com/maps/contrib/106870544212319859157/reviews?hl=zh-TW,5,True,42,"四月六號看阿妹演唱會之前來吃晚餐
環境乾淨整潔服務生桌邊服務很貼心
餐點份量超爆多食材新鮮好吃
很適合跟朋友、家人再次二訪推推👍🏻"
 Chou Juliet ,https://www.google.com/maps/contrib/110070635888045386698/reviews?hl=zh-TW,5,True,358,"疫情期間5月份推出的限定外送套餐。
希望這可以成為常態活動，讓客人可以在家自行調理壽喜燒。"
 Stanley Chuang ,https://www.google.com/maps/contrib/105816359621465754447/reviews?hl=zh-TW,5,True,29,看網路推薦訂位而來，點了6xx價位，牛肉真的好嫩好吃👍，重點還有第一次吃到的桌邊料理服務👍，服務很好，雖在還有一小時跟半小時時一直來提醒時間，略感到用餐壓力😓，但態度語氣尚感親切，且知店家服務員應有其時間壓力，還跟我們說真的吃不下沒關係…（每盤份量出乎意外的多）😅👍，整體是間如網路推薦第一名值得來吃的壽喜燒（真的好吃）👍。
 DY ,https://www.google.com/maps/contrib/106820337341468690730/reviews?hl=zh-TW,4,True,181,好吃的壽喜燒吃到飽，服務人員態度很好也會熱情的介紹，餐點樣式蠻多，整體微鹹。
 十五初一 ,https://www.google.com/maps/contrib/112315612100750173459/reviews?hl=zh-TW,5,False,7,"肉質鮮美好吃；專程為了羊肉而來，超級好吃😋服務專員（乃弟）熱心、廚藝好，又幽默！Themeatisfreshanddelicious;Icameherespeciallyforthemutton,anditissuperdelicious😋Theserviceattendant（乃弟）isenthusiastic,goodatcooking,andhumorous!"
 K啓 ,https://www.google.com/maps/contrib/110439095973265161500/reviews?hl=zh-TW,5,False,9,"桌邊服務真的很優質！
吃起來覺得輕鬆愉快！
最後的烤麻糬很驚艷，
值得給5星好評"
 羅婉如 ,https://www.google.com/maps/contrib/102427306577346711668/reviews?hl=zh-TW,5,True,257,"拜託。。。。。我只能說我會因為這邊的服務人員而在繼續來這邊吃飯，健豪是我們主要的服務人員，一開始進來店裡準備要吃飯時因為朋友還沒到，我餓得要命，健豪就非常親切的告知我們雖然還沒選價位但是可以選擇最低價度肉品先使用。
完全覺得是個很會觀察客人的員工，馬上對健豪印象深刻，這種員工真的讓人在吃飯都時刻還可以有一些好笑互動的插曲。重點。。。。。是烤甜點的這個喬段來了，我根本在看豪豪快轉在烤麻吉跟挖冰淇淋，真的感受到，潮肉對於員工培訓跟他們對待客人的方式是很認真處理的。不僅是健豪還有另外一個服務我們的男生真的也是很熱情的服務我們，我覺得在外吃飯，不僅是自給跟朋友的相處，店員帶給我們的氛圍也非常重要，真的大推大推"
 shane Hung ,https://www.google.com/maps/contrib/114944589169030351618/reviews?hl=zh-TW,5,True,421,"朋友推薦來吃吃看，潮肉特色跟重點：
1.門口進去後有放外套或是小背包的櫃子，避免沾到味道，真的非常貼心。
2.桌邊會有特別料理的服務，而且很好吃😋

肉：
牛肉很讚，有分等級，一定要吃頂規的，肉很好吃，而且非常大片。
松阪豬推推，這次沒吃雞肉，牛肉真的是狂點！

菜：菜盤是自助吧，自己夾，這沒什麼好說的

飲料冰品：這就普通，冰是明治的

最後有麻糬甜點，只能說店員真的很會烤。

非常推薦大家來吃看看！"
 valuable jiang ,https://www.google.com/maps/contrib/107478094409632239389/reviews?hl=zh-TW,5,False,6,第二次來這家，今天來，裡面其中一位瘦瘦戴眼鏡的男服務員超有活力，結帳態度也超好，跟一般現在服務業的人員差很多5顆星+
 IC ,https://www.google.com/maps/contrib/101417397381984668119/reviews?hl=zh-TW,5,False,7,"這次來是選539的價位
置物櫃的設置非常貼心
用餐環境也很舒適
店員服務非常棒
肉的品質很不錯都很好吃
最喜歡起司牛肉
自助吧部分蔬菜的選擇很豐富居然有水蓮
飲料種類也不少而且旁邊還有自取冰塊可以用
冰淇淋是明治的也很不錯

最後甜點有店員幫忙烤麻糬非常特別
第一次來吃壽喜燒體驗非常好
下次聚會還想在回顧😊"
 Luke fornew ,https://www.google.com/maps/contrib/106798728963623293594/reviews?hl=zh-TW,5,True,36,"不專業介紹🙄

👉環境⭐️⭐️⭐️⭐️
📝環境舒服，空間大。很適合朋友家人同事聚會的地方。

👉食物⭐️⭐️⭐️⭐️⭐️
今天點的是晚餐時段
599有比較高級的肉
有分489、599、699
下次再來吃699
肉質很優，每種肉都很好吃，
沒有肉是雷的。
清青菜的部分也很棒，
玉米很甜！

👉服務⭐️⭐️⭐️⭐️⭐️
📝服務生很親切，
幫我們桌邊服務的是佳沂，
從桌邊幫我們製作泰式酸辣肉盤、
到捲起司，再到最後烤麻糬包冰淇淋。
每樣都很好吃，另一位服務生送肉時也很親切，服務很有熱誠。
兩位都給100分，老闆拜託請幫他們加薪。有他們在，真的讓客人有愉快的消費體驗，下次還會再帶朋友來。

👉價位⭐️⭐️⭐️⭐️⭐️
價格中等，CP值高。一定會再回來。"
 Ariel C ,https://www.google.com/maps/contrib/114664747097971178787/reviews?hl=zh-TW,5,True,115,"味道中庸，但已吃到飽來說價位CP值非常高
自助吧的青菜也很新鮮，店員補的很勤
店員一開始會幫忙做很多種料理，例如加洋蔥，加起士，大阪燒等等…
後續就可以自己開煮
是一家適合聚餐的餐廳"
