user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 李粉圓 ,https://www.google.com/maps/contrib/111377454664288569704/reviews?hl=zh-TW,5,True,178,"因為現在有跟手機遊戲聯名的合作，從入口到餐廳內全部的裝潢都跟戀與製作人有關
入口處一開始不像是起眼的位置，但因為掛上了許多腳色的圖片，一下就關注到了
下樓後更是別有洞天一番，先一樣來過實名制，量體溫，消毒後，確認是否有訂位，再安排入內
空間很大，座位的安排覺得還不錯，不會擁擠，平日的晚上人潮一般，菜單直接掃桌上的QRCode可以連結到菜單，因為現在有聯名活動，因此餐點也有聯名款，要點餐時需直接到櫃檯，先付款，我們點了一份李澤言的幸福旅程特餐（牛肉紅油抄手麵），再點一份原來的餐點（排骨蛋炒飯），飲料是棉花糖可可歐蕾跟愛爾蘭焦糖歐蕾，再加點了一份復古炸湯圓。
本以為這類網紅咖啡廳的餐點應該很一般，但那蛋炒飯有驚豔到……飯、蛋炒的粒粒分明，非常合我的口味，炸湯圓更難有雷，儘管聯名的餐點也表現還行，總之這價格跟口味我覺得很可以了
來這似乎要喜歡拍照的人更適合，如果喜歡這個手遊，也可以來這看看唷～"
 冰晴琳 ,https://www.google.com/maps/contrib/112234158071109344850/reviews?hl=zh-TW,5,True,39,"低消是180／人，點了主食加甜點加飲品大約也只會花費到600元～我覺得CP值很高(。•ω•。)ノ♡
餐點的名字和口味都超級可愛的！而且很好吃😋😋😋，我點了獨角獸涼麵～口味是南洋沙爹，主菜我選beef，很好吃，而且好可愛有粉紅色的麵❤，其他口味的麵加40元也都可以換成彩色麵條唷！炒飯也很好吃，口味很特別，中西合併😎
飲料也都超酷的，像是少女心咖啡就是加了奶酒的latte，愛爾蘭～飲（忘記名字）也是口味很讚，甜甜的很好喝幾乎沒有酒味。
最後是超多網美設計可以拍照的唷，還有盪鞦韆，連廁所都是粉紅色的💕是非常可愛的一間店！"
 Mica Lin ,https://www.google.com/maps/contrib/117630861837301992772/reviews?hl=zh-TW,3,True,248,"炒飯不油很讚！不過彩虹涼麵相對來說沒那麼有驚豔感，整體下來最喜歡的其實還是飲品和甜點，建議來的人還是以點這兩項為主～
另外環境蠻適合拍網美照的，有很多場景可以拍"
 Jill ,https://www.google.com/maps/contrib/106258104188565670560/reviews?hl=zh-TW,4,True,221,"2022/3/19
白情活動再來一次，麵吃起來很Q彈，調味也還行，點紅油炒手醬(現在才發現其實就紅油哪來的炒手而且應該是抄手)所以微辣，牛肉雖然是切片但還算蠻多塊，而且是類似牛腱有些筋，還有一顆溏心蛋蠻好吃的。吃到的配菜是涼拌醬茄子，另外還有地瓜，味道也都還可以。
份量就是簡餐的量，不過沒想到竟然還有湯(雖然因為沒盛料所以不知什麼湯)，又加點了一杯威士忌可可歐蕾，可能個人平常沒喝酒所以覺得還算有酒味。
店員很貼心，就座時知道是為了活動而來，詢問是哪家太太，還幫換枕頭(這不是之前三週年線上轉播抽的獎品嗎！)，看我一個人在拍立牌照片，還幫我拍照。不過有點奇妙的是看週邊時要先通知服務人員，不過之前都買過或看過了，所以就沒消費。
再次消費後餐點三顆星，多一顆星給服務人員~

2022/2/28
剛才去書籤、明信片、虛寶卡都已經都沒了，消費才能拍照，不過還好有事先告知。
個人認為是個失敗的聯名活動
(我承認沒買所以不知餐點如何，所以只評兩星)"
 Peko Chen ,https://www.google.com/maps/contrib/111913062586796266489/reviews?hl=zh-TW,4,True,88,位於東區巷弄地下室，還蠻好找的，整體空間很寬敞，不會人擠人跟另一桌很近。第一次來，原來好像這邊常常有聯名活動。點了牛肉麵280元，肉是蠻大塊的啦，放了四塊的樣子，東區價位還算符合，拿鐵就覺得有點貴，也是要160以上，個人覺得味道普普。
 Pin-Chieh Chen ,https://www.google.com/maps/contrib/113435034297528577492/reviews?hl=zh-TW,5,True,345,"店內空間大，座位也蠻多的！
檸檬磅蛋糕好吃👍🏻😋
鮮奶茶也不錯喝😍。服務也不錯～
很多網美可以拍照的地方，適合來喝下午茶享用輕食的咖啡廳！"
 u02111 ,https://www.google.com/maps/contrib/102659575346643471087/reviews?hl=zh-TW,5,True,99,"店內有許多RO仙境傳說的擺飾
點特定的餐點還能抽獎😆
很幸運的抽到波利抱枕🥹
個人還蠻喜歡雞湯麵的☺️"
 Vivi Wu ,https://www.google.com/maps/contrib/117843575581847201542/reviews?hl=zh-TW,5,False,5,兩人用餐，點烏蘇拉紅油鮮蝦抄手麵、和風唐揚炸雞，口味重很好吃，服務態度很好，特別謝謝帶位的女店員以及點餐的男店員，空間舒服，桌與桌距離不會互相干擾，適合和好朋友聚餐或是帶電腦辦公，整體用餐感受很愉快。
 Sandy ,https://www.google.com/maps/contrib/105932805697361789261/reviews?hl=zh-TW,4,True,63,我是因為以閃亮之名的活動而來的，覺得聯名餐點有點過貴，光一個像蛋塔般大小的檸檬蛋糕+一杯喝起來純粹就是牛奶的飲料就要350多，不過因為是活動期間店裡有許多看板可以拍照，只是燈光太暗要用閃光燈才能補足光線，店的位置也有點難找，在大樓邊邊側面有一個樓梯通往B1店裡，基本上只會去這麼一次吧😅
 Shani H. ,https://www.google.com/maps/contrib/110504295339683174638/reviews?hl=zh-TW,5,False,5,空間寬敞舒適，獨角獸涼麵麵條Q彈，私房燉雞腿是醉雞唷！配菜的黃金泡菜和和風番茄也好吃！
