user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 辛拉麵 ,https://www.google.com/maps/contrib/110191984202625559854/reviews?hl=zh-TW,1,True,430,以前叫大滿火鍋，不知什麼時候被肉多多買下來裡面裝潢完全一樣沒變店員好像也是，外面無法停車，進去店員會要你個資超奇怪，從來沒聽說過有火鍋店會要你留個資的，一進去胖女店員講電話講了五分鐘讓我站門口罰站也不會先意思一下叫我稍等，就是繼續講電話，講完也沒道歉說久等了⋯無言到爆⋯員工訓練差成這樣⋯算啦，店內座位眾多，環境算乾淨。醬料區選擇多樣，氣泡飲基本但是按蘋果汁會變水出來，旁邊有茶包咖啡機等，冰淇淋機口味超級無敵難吃，像在吃奶油⋯很噁⋯自助的蔬菜區種類不多跟少許火鍋料，也算是可以吃到飽啦，豬肉蠻軟嫩，可以用他們集團的app會員累積點數去換餐點，就是一次店，去過不會再來，員工爛
 小方糖 ,https://www.google.com/maps/contrib/101625687270143178589/reviews?hl=zh-TW,5,True,675,"📍Taipei,Taiwan@rododohotpot
讓我們一起在家防疫吧！火鍋第一品牌🏆
樂多多集團旗下肉多多火鍋🍲
推出超強外帶，千元有找只要$999
最多有2公斤的肉量🤩🤩🤩
肉品和海鮮提供7個選項（任選8份）
季節時蔬、火鍋料拼盤也可換成肉品🥩
（完全可以自己選擇喜歡的搭配組合）
海陸雙享非常新鮮🐟🦐🐚🍗🥩🥓
（海鮮還用冰塊🧊保鮮，貼心！）

人氣神湯「蔬活元氣湯」超級好喝
以蔬菜泥及雞皮精火慢燉🔥
煮出來的食材需要過多沾醬就很美味😋
（亦可加購升等其他湯底口味）

聚餐乾杯氣氛融洽🍻🍻
加贈4罐海尼根0.0零酒精
吃熱熱火鍋配超清涼啤酒就是痛快‼️
（贈品數量有限送完為止～）
也不用擔心有酒精無法開車騎車的問題

大食量怕吃不飽也可加購飯麵等副餐
一份$20，加購醬料一份$15（辣/不辣）

🎉加入樂多多APP會員，可獲得入會禮梅花豬or雞腿二選一及積分禮，當月壽星贈「生日肉蛋糕」🥓🎂
🎉會員消費累積點數，集團全品牌可換購指定餐點

🍲外帶超多多套餐$999
主餐雙鮮
-美國牛腹肉x1-活力梅花豬x2
-無骨鮮雞腿x1-活力培根豬x1
-白蝦x1-巴沙魚片x1-蛤蜊x1
人氣神湯
-黃金昆布湯x1-蔬活元氣湯x1
🥗季節時蔬x1
🍢火鍋料拼盤x1
🍺海尼根0.0零酒精x4"
 Sunny Shiao ,https://www.google.com/maps/contrib/102297727952211531211/reviews?hl=zh-TW,4,True,121,"三月份,小兒子跟他爹生日,所以就趁假日及早訂位,到肉多多聚餐慶祝(生日當月,下載他家的app,會贈送一份肉蛋糕)
這家店位於大安路,隱藏在巷弄裡,斜對面是光武郵局.假日最好一定要訂位.否則到了後沒位置,就得在門口休息區等很久.入內後,裡面的座位區明亮乾淨.坐定之後最重要的就是點餐(可參考菜單).我們四人,點了2鍋昆布湯,2鍋元氣湯.肉點了雪花牛,梅花豬,雞腿肉跟海之幸.點完主餐,就可以開始拿菜,醬料,飲料,甜品.他們家可挑的菜不少,而且新鮮乾淨.一切就緒,準備開動囉.看桌面就可以知道吃的多麼豐盛.滿足!"
 Bob Wu ,https://www.google.com/maps/contrib/118161133534136809374/reviews?hl=zh-TW,5,True,101,今天跟朋友來吃，店面不大，內用座位有限，來之前最好先預約。店經理很客氣，還特地請我們吃三塊鴨血，真的讚👍另外有疏菜&火鍋料自助區，也有飲料機&冰淇淋，還有滷肉跟豬油拌飯兩種可選擇。點的是40盎司的肉盤（照片有），真的吃超飽，以價位來說算便宜了，cp值滿不錯的。但整體而言只有一個小缺點，就是飲料機&調味料區&冰淇淋機都在同一個小走道，只要有一個人在裡面，其他人只能在外面等，真的滿不方便的。希望可以改善一下這樣，相信這間店可以更好😁
 解妮瑾 ,https://www.google.com/maps/contrib/104999915584707768369/reviews?hl=zh-TW,5,True,379,蔬菜區是自助式環境很乾淨而且菜色很新鮮，海鮮類的蝦子蛤蜊也鮮美，重點是服務人員態度超親切的，主動來幫我們先把蝦殼去掉方便煮，幫忙加湯也關心詢問口味還行不行，是目前吃過火鍋店中最乾淨整潔的了，非常推薦的大安區東區美食。
 Donna Chen ,https://www.google.com/maps/contrib/114192711849406738447/reviews?hl=zh-TW,5,True,28,這間肉多多的菜盤、飲料、冰品皆採自助式～空間很舒適～湯頭跟肉品也很讚！店員超親切～很貼心而且很熱情！吃過很多間最喜歡這間～～推薦推薦☺️☺️☺️
 Yilin Lin ,https://www.google.com/maps/contrib/115194178450838306423/reviews?hl=zh-TW,5,True,485,第一次來大安店肉多多，主打宵夜場，晚上10點過後竟然送海鮮盤！有蝦子，蛤蜊，魚片，超多的！空間環境很舒服，比松山那間好！不會跟隔壁桌太近，也不會感到很多人，還有專人幫你剝蝦也太驚喜，推推！吃完後SOGO後方還有公園可以消化散步。
 Brenda ,https://www.google.com/maps/contrib/107093698305459394362/reviews?hl=zh-TW,3,True,266,"附上菜單
湯底有兩種基本款不用錢
其餘另計價
整體表現中規中矩
火鍋料、青菜、飲料、冰淇淋、醬料、飯、豬油、滷肉自助取用
裝了一碗豬油滷肉飯，沒肉香不知道在吃什麼，調味上也不到味
結帳時反應芋頭丸酸了，除了不斷致歉也有給予品項退費（在放下去之前其他東西都不是酸的，可惜了，本來很期待加點的芋頭丸）
一人吃飯也友善的環境"
 sinsuke ,https://www.google.com/maps/contrib/112213890091518289181/reviews?hl=zh-TW,4,True,19,"餐點(4)

肉吃起來挺普通的，反而海鮮還算蠻厲害的，吃的出來都是非常新鮮

湯頭(3)

0元鍋都挺普通的，麻辣鍋也是只辣不麻，給個普通分

服務(5)
除了沒有說歡迎光臨跟謝謝惠顧以外(我個人是不在乎這個)，服務非常好，詢問餐點，都會很有耐心的幫忙講解，同時也不會臭臉

價錢(4)

號稱18oz的肉我是覺得有點少(圖1，圖2)，覺得肉的部分有點不值，海鮮的話雖然偏高價位，但新鮮度完全是對的起價格的，最後三個人是點了2500左右(含服務費)，也就是平均8XX/人，一般來吃這間的人預算我認為應該會壓在400~600/人吧，如果8XX/人的鍋物的話，可能有更好的選擇。

特殊加分

可能當天我們點的餐點算比較多，同時座位也比較沒有那麼滿了，用餐時間已經超過了，仍然是讓我們繼續吃，沒有任何的催促，趕人的行為，給人一個很好的感覺。

特殊扣分

很多火鍋店的老問題，鴛鴦鍋只有一邊有火力，一邊沒火力，導致有一邊的湯頭幾乎煮不了東西。

整體(4)
吃了這一餐並沒有感到後悔或不滿，但主動回訪意願較低，除非有優惠，亦或是友人糾團等動機才會有回訪的可能。"
 陳威利 ,https://www.google.com/maps/contrib/112922175079045100814/reviews?hl=zh-TW,4,True,397,雖然是品牌連鎖店，但是這一家的服務員（穎穎）相當的好，親切體貼，除了會幫忙撥蝦子之外，還會貼心的服務幫忙分享餐點的特色，讓我們有最美好的選擇⋯⋯但是唯一美中不足的就是一定要用現金支付，沒有辦法有其它支付方式，這是最遺憾的地方
