user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Chin ning ,https://www.google.com/maps/contrib/109967212933106132078/reviews?hl=zh-TW,5,True,318,"沒先看評論，經過感覺不錯就進來吃，
（沒踩雷😆😆不錯噢！）
服務親切，點牛肉會變服務人員替你烤，
豬大腸也好好吃，處理的很不錯👍🏻
配料也算豐富，重口味的人應該都會喜歡💯"
 Even ,https://www.google.com/maps/contrib/102923913368325358449/reviews?hl=zh-TW,4,False,60,"好吃👍🏻👍🏻👍🏻
但是選擇沒有很多
小菜部分可以無限續

這個位置開過好幾個店面
希望烤肉可以生意興隆
會再二訪💪🏻"
 郭寶妮（Bonnie KUO） ,https://www.google.com/maps/contrib/118370467313697417241/reviews?hl=zh-TW,5,True,83,"「彷彿一秒飛到韓國，
適合聚餐的混搭自由生菜包肉！」

一到餐廳桌上及3-4樣小菜、杏鮑菇及生菜，因喜歡吃食材原味，所以選擇沒有醃的牛+豬肉C套餐，店員將肉送上桌，稍微說明烤法後就讓我們自己烤，肉很新鮮，只要沾鹽包菜就很好吃，大醬湯調味也到位，非常滿足。

另外點了明太子拌飯及韓國起司蒸蛋，兩樣調味都層次豐富外，也非常適合分食，其中很喜歡明太子拌飯，幾乎每口都能嚐到明太子，用料實在！

特別推薦跟朋友一起聚餐，邊烤肉邊聊天，非常有趣且好玩！"
 陳思尹 ,https://www.google.com/maps/contrib/117381489481704904509/reviews?hl=zh-TW,5,True,58,"🚩Taipei,Taiwan
#8292烤肉

#豬肉套餐
#豬五花
#豬梅花
#霜降松板豬
#大醬湯
#辣炒年糕

#台北美食#大安區美食
#taipeifood#DaanDistrict
#韓國烤肉#韓式料理#韓式烤肉
#고기구이#김치#kimchi#韓式泡菜
#떡볶이#된장찌개#존맛탱#한국요리
#忠孝敦化美食#koreanfood#bbq
#cp值高#foodie#yummy#東區美食

豬肉的品質很好，小菜、醬料很加分，吃完回味無窮，是會想要回訪的店家，推薦給大家！👍👍👍"
 朱詠玄 ,https://www.google.com/maps/contrib/114820295478248179810/reviews?hl=zh-TW,4,True,55,"我在韓國傳統小店想比，有八成像了。
韓式燒肉好吃就在生菜、泡菜配料，除了肉香味之外解膩味道大配更多變化。
配菜除了辣椒生菜外，其他都可以免費續，肉質嫩，我點套餐C牛豬肉都有，還加點松阪豬口感彈牙不贅述，套餐的牛肉油花分布均勻香嫩，豬肉有厚五花可以按服務鈴服務烤得金黃滿嘴肉香生菜泡菜清爽好吃，薄五花肉片也好吃，好像只要搭配得好都無雷，
其他烘蛋，冷麵，煎餅，大醬湯中規中矩。
停車可以停市民大道地下停車場。"
 Nam Chen ,https://www.google.com/maps/contrib/115959915919050219108/reviews?hl=zh-TW,3,False,17,"低消一桌一千
兩個人去吃不太划算，吃到超級飽

點了厚豬五花、牛肋條、泡菜水冷麵、起司蒸蛋；豬五花肉質不太好吃，牛肋條還不錯，沾醬味道也不錯，小菜可以續還不錯
泡菜水冷麵好吃，麵QQ好吃，可以再酸一點
原本最期待蒸蛋，但沒有想像中好吃，蛋體有點太硬(韓國的蒸蛋是有水分多汁的)"
 CHIA WEI CHIANG ,https://www.google.com/maps/contrib/113492043772056633259/reviews?hl=zh-TW,4,True,266,平日晚餐前往、建議訂位較為保險。點到的餐點都合乎個人口味，比較可惜的是，當天煎餅及明太子拌飯沒有供應，不然會更完美！
 MJ Chang ,https://www.google.com/maps/contrib/114697219725571548634/reviews?hl=zh-TW,4,True,603,服務人員感覺有點不足，東西還不錯吃，小菜種類很多，但是生菜不能續蠻奇怪的，如果沒有點套餐有一定的低消
 EJ ,https://www.google.com/maps/contrib/112480500674164795747/reviews?hl=zh-TW,5,True,7,價位中上，肉品好吃，不過讓人驚艷的是他們家的蒸蛋🤣好吃～
 Chuuu ,https://www.google.com/maps/contrib/112971690841126902986/reviews?hl=zh-TW,3,True,27,店員服務態度佳。但位置滿擠的，吃飯時有點壓迫感。肉質一般沒有特別讓人驚艷，但小菜可以一直續很讚，泡菜整體偏酸，起司蒸蛋好吃可加點！
 Johan ,https://www.google.com/maps/contrib/112622101697627139863/reviews?hl=zh-TW,4,True,25,"以餐點、氣氛、服務評分如下：

最便宜的套餐：一塊梅花豬，一塊豬五花，兩片帶骨牛小排，厚度都屬中上，新鮮度中等！

氣氛：可以給四顆星
外場服務可能只有一位服務人員，無法要求盡善盡美！

化妝室乾淨！

可以改進的空間如下：

服務人員還算細心，有幫我們剪肉，但少了韓式烤肉的靈魂蒜頭和洋蔥（泡菜偏酸，建議可以烤過再吃），
可以多一些些與客人的互動，了解韓式烤肉的吃法，會加分很多！

另外生菜及杏鮑菇需要另外單點，喜歡蔬菜的朋友，可能要了解單點的價格及品項！
還有進步的空間！
加油💪🏼"
 翠 ,https://www.google.com/maps/contrib/110999708640456660352/reviews?hl=zh-TW,4,True,14,肉沒醃漬過的～是純肉現烤，吃起來肉質新鮮，小菜可以免費續，大醬湯也是正常口味，甜辣甜辣感，每個套餐有提供一盤生菜
 入江百合 ,https://www.google.com/maps/contrib/100949208132093192593/reviews?hl=zh-TW,5,True,83,小菜都可以續，份量也很足夠，兩人吃了套餐，大醬湯好好喝！真的很推推推！
 喬喬 ,https://www.google.com/maps/contrib/117083863075408629855/reviews?hl=zh-TW,4,True,13,"第一次來吃，是好吃的！2人吃剛剛好
還會再訪肉好吃吃起來脆脆的😋
小菜部分也不錯（不能續）：推柚子切薄片蘿蔔片、洋蔥、泡菜都不錯，甜不辣不好吃沒味道
湯很好喝是濃湯不會辣！料也很多👍
氣氛很好很像彷彿來到韓國真懷念！

服務部分：女服務生很親切及一開始會幫你烤很棒👍加點牛勒條時候也會詢問要不要幫你烤
但男服務生就還好好像都聽不太懂我們在說什麼有點傻眼需要再訓練及加強（好像是外勞😅）
另外跟另一桌的椅子距離太近都不能往後退很緊密有點阿雜😅"
 林依潔 ,https://www.google.com/maps/contrib/110259530816418050943/reviews?hl=zh-TW,5,False,9,很有韓劇烤肉店的氣氛，肉質也不錯，炒年糕跟蒸蛋調味也蠻韓的，口味不錯。但價格有稍高，比起餐廳，他比較像台灣熱炒店的fu。店員有認真幫我們烤肉，一群朋友可以繼續聊，給個讚。
