user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Li Ya (Лияа) ,https://www.google.com/maps/contrib/112018237627939035658/reviews?hl=zh-TW,5,True,40,"鄰近國父紀念館站1號出口的道地西班牙餐酒館。廚師是西班牙人，服務員好像有日本人。整體來說食物很美味，服務員也很親切，看到我們酒杯空了主動上前詢問並協助倒酒。最後還贈送我們一份起司蛋糕☺️

＊每人低消$800，另收10%服務費。
＊禁用外食(ex.慶生蛋糕)，如需每人酌收$50清潔費

【西班牙馬鈴薯烘蛋】
談到西班牙料理肯定少不了這道Tortilladepatatas。烘蛋非常厚實，裡頭可以嚐到一塊塊鬆軟的馬鈴薯塊，整體調味也相當不錯👍🏻可以視人數選擇點大份or小份。

【酥炸菠菜起司奶球】
非常喜歡這道！現炸熱騰騰的上桌，店員特別提醒要趁熱吃，果然裡頭的起司還會牽絲😍濃厚的起司搭配酥酥的外皮，太適合當下酒菜👍🏻👍🏻

【香煎鱸魚佐奶油醬汁】
看到當天小黑板上推薦，於是決定點來試試看。鱸魚很新鮮，原本以為是奶油白醬，結果會錯意😂醬汁是以橄欖油搭配酸豆去調味，可以聞到淡淡的奶油香。

【西班牙香酥蒜味牛排】
牛排選擇五分熟，味道上算是中規中矩，肉質偏老，需要嚼比較久。比起牛排更令人驚豔的是一旁的配菜馬鈴薯！外酥內軟，口感相當綿密，烤的恰到好處🤤

【提拉米蘇/巴斯克起司蛋糕】
兩種蛋糕都很不錯🥰提拉米蘇偏濕軟，略帶有點酒味。最上層的苦味可可粉綜合了整體的甜度，達到畫龍點睛的效果！巴斯克起司蛋糕口感相當綿密，可以嚐到濃郁的起司味。兩者來說我個人比較喜歡提拉米蘇❤️

【Sangria】
紅酒搭配切片蘋果、柳橙、肉桂，微微的氣泡感，整體酒感不會太重，很適合一邊用餐一邊享用。非常推薦直接點一壺來喝，相當過癮😎"
 YanE Bunny ,https://www.google.com/maps/contrib/118281977462141885131/reviews?hl=zh-TW,4,True,75,"環境算不錯有情調，服務讓人滿意，食物尚可。

八爪魚烤得夠香也tender,味道比想像中清淡，不是重口味的，馬玲薯也好吃。

讓人期待的paella，飯很好吃，粒粒分明而且米顆外面都有湯汁包圍，跟我在西班牙吃的差不多，應該是堅持用西班牙米，成本會比較高，可惜海鮮跟飯分開煮，（海鮮都只用水煮放飯上面）兩樣東西的味道沒有混合到，那跟西班牙吃到的又有點不一點。

火箭菜沙拉：我最愛火箭菜的苦跟辣，可是沙拉的比例太少，幾乎都沒什麼火箭菜，有跟服務生反映（男），他還建議下次來可以跟他說調整火箭菜的比例，態度很好；沙拉中有加了幾粒香氣很足的紅椒顆，很喜歡！

Basquecheesecake應該是沒有餅底的😅可是不影響味道，很滑潤香甜。

有一點建議，店家可以主動問一下客人菜的意見，這是很基本的西餐禮儀，尤其是星期三晚上不是太繁忙的時間，應該是有時間這樣做的，可以更了解客人當下對菜色的感覺或建議。"
 Ashley Liao ,https://www.google.com/maps/contrib/107318480966946365930/reviews?hl=zh-TW,4,True,231,"以西班牙料理為主🇪🇸
海鮮居多
有燉飯、義大利麵、和排餐
單點方式
用餐氣氛不錯，可以大聊天(很重要)

#低溫烘烤豬菲力(首圖)必點啊！
這天吃到最驚豔的一道😍
整體不錯
價位中上
帶蛋糕來慶生的話會收清潔費一個人頭50元要特別注意一下喔～"
 An Lee ,https://www.google.com/maps/contrib/114140841526669582890/reviews?hl=zh-TW,3,True,310,"環境很棒！樓梯看起來賞心悅目，二樓還可以看到窗戶外面的街景，可以早點來吃看看外面。廁所也很乾淨，有兩間不用排隊。用餐環境很熱鬧，需要很大聲講話對方才聽得到。

低消一人$800有點難達到，要吃比平常食量還多的食物，讓人打退堂鼓。滿適合四個人來吃，因為Tapas有些會分成四份。

不過總體而言食物很美味，是不是道地西班牙菜我不知道。最喜歡炸菠菜起士！一般水也好喝，加水加得很勤。次喜歡是garlicshrimp，調味滿特別的，好像可以沾麵包，不過蝦肉就瘦瘦的。

西班牙烘蛋、章魚、牛排就沒有很推，味道一般。章魚非常有較勁，個人喜歡軟Q一點的；牛排溫溫的，喜歡熱一點的牛排，而且切得薄，厚一點沒切可能比較能鎖住肉汁，這兩道菜都鋪滿馬鈴薯，根本吃不完那麼多，如果可以換薯條就好。"
 吳大頭 ,https://www.google.com/maps/contrib/112703673832097988139/reviews?hl=zh-TW,4,True,280,"昨晚吃的，現在想想又流口水了
最推薦黑黑不起眼的蒜味蝦
蝦子新鮮，蒜油超香
讓人念念不忘
甚至又續了一次麵包來沾

再來是Sangria
微氣泡感，酒感不會太重
推薦要喝，也最好點一壺才夠

而大家推薦的海鮮燉飯倒覺得普通
另外有點海鮮短麵
第一口有驚艷麵條入味
不過吃到後來太鹹了
加上配料滿少的，單價來說偏貴

環境部分，空間擁擠，開放廚房油煙重
不過瑕不掩瑜，整體來說喜歡！會再回訪！"
 babe Hori ,https://www.google.com/maps/contrib/101943490931825868144/reviews?hl=zh-TW,5,True,104,"台北最滿意的西班牙餐酒館🌟🌟🌟🌟🌟
221030
今天跟著崔崔姐妹來吃他們的愛店。
真的crazy優秀ㄝ
好好吃，每一道菜都超讚！
生氣的蛋、烤馬鈴薯、墨魚海鮮飯、松露寬麵、tapas油蝦子、tapas雞胗、生火腿沙拉…連搭配tapas的烤麵包….全都讚讚讚🤍（抱歉記不住菜名🥺）

身為一個提拉米蘇評鑑團
這裡的提拉至少9/10分！
真的全台前三名🔥
酒味、咖啡香氣都超夠
奶油綿密也有淡淡的濃縮咖啡香
上面是黑色粉末不太像可可粉
有點神奇但更有苦香
是大人風味💃🏻

唯一建議是約會不要點🤣🤣🤣👨🏿‍🦱👧🏿
崔雅虎吃完整個嘴都黑掉🥰

如果是為了美味，點下去！"
 connie ,https://www.google.com/maps/contrib/113491419196154840433/reviews?hl=zh-TW,5,True,58,"個人私心覺得台北最好吃的西班牙海鮮飯，基本上每道都不雷，來吃過可能八九次了，定期都會回訪，生意很好一定要定位，搭配housewine白酒跟朋友一起聚聚聊聊很好，舒服的環境，廁所也很乾淨。
提拉米蘇也必點😍"
 Jimmy Yang ,https://www.google.com/maps/contrib/111021923956944407608/reviews?hl=zh-TW,4,True,65,"很少注意到這間店
網路上平價頗高
朋友在附近工作
問喜歡這間店的風格嗎？
他的餐點墨西哥口味
他很愛吃他們家的燉飯
而我
也體驗這間店的份圍
服務人員很棒很親切
上菜速度也蠻快的
餐點口味剛好偏重
配紅酒很棒
因爲店比較小
周邊客人
酒酣耳熱時，你與對坐朋友
講話就需要大聲點
不過蠻棒的一間店
需要訂位
一定要
人很快就坐滿，要在外等厚
推推"
 Constance Chen ,https://www.google.com/maps/contrib/111774447465927604775/reviews?hl=zh-TW,2,True,229,"自帶葡萄酒開瓶費1000
網路上找不到葡萄酒酒單

油烤蒜頭蝦⋯沒有附麵包，麵包要另外單點🙄
馬祖淡菜的足絲沒有去掉😬

五個人吃了近8千，去別的地方續攤還可以繼續點食物"
 巫宛倫 ,https://www.google.com/maps/contrib/117259580360830381502/reviews?hl=zh-TW,3,True,113,"馬鈴薯蛋個人覺得普普，可能因為上方加了美乃滋的緣故吃起來稍微比較膩，兩個人分食maybe會好一點。海鮮燉飯也是覺得中上這樣，沒有另人有太驚艷的感覺，甜點的蛋糕也是普通。
整體來說就是覺得是好吃的西班牙餐廳，但可能餐點部分沒有讓人感到驚艷或是有記憶點的地方。
店內燈光蠻暗的，我個人是越吃越想睡覺哈哈😄"
 律萱 ,https://www.google.com/maps/contrib/111519399309441770650/reviews?hl=zh-TW,5,True,246,"這邊是東區的巷弄餐廳裝潢復古帶點現代風很酷的蜘蛛人擺設🤩
價格很平價！吃完不會有負擔的那種
感覺生意蠻好的進門自己拿菜單找位子
服務員也酷酷的很有個性該有的都會有不會讓人感覺服務不好點餐完吃飽再付就好囉
覺得油煙味算一般中間的程度
點了義式肉醬焗烤❤️很好吃起司給很多送來滋滋作響會牽絲的那種很喜歡🫶🏻推薦給大家"
 Jimmy Su (Jimmy) ,https://www.google.com/maps/contrib/100775934036774510682/reviews?hl=zh-TW,3,True,21,西班牙海鮮飯小份的量真的很少（兩人建議要點大份的）薄薄的一層口味重鹹，跟之前在西班牙當地吃的略顯不同，或許是每個人感受度的問題，杏鮑菇跟章魚腳大推好吃，氣氛不錯工作人員親切👍
