user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Vicky Yang ,https://www.google.com/maps/contrib/113339030742500029417/reviews?hl=zh-TW,4,True,106,"喜歡海鮮煎餅、屬於厚實型的，但邊邊口感煎的非常酥脆
肉船可以一次吃到多種部位唷！

此次餐點含服務費1500/人（6人）"
 吳旖涵 ,https://www.google.com/maps/contrib/104361689520270043731/reviews?hl=zh-TW,5,True,125,"🌟奢華燒肉享受，服務到位🌟
點了雙人套餐-駿河，以肉為主題，包含牛舌、橫隔膜等還有豬肉跟和牛（說是日本鹿兒島的和牛）以及兩隻蝦。一開始會附小菜（我覺得這是韓式⋯？）跟沙拉，由於是平日中午，客人較少，店家有專人幫烤肉。和牛的肉脂分布的很漂亮，很好吃。蝦還幫忙撥，服務很到位，但海鮮類感覺就不是強項。
最驚豔的反而是冰淇淋🤣冰淇淋是香草口味，夠冰夠硬，上面還灑了巧克力（？）好好吃😋
他們也有比較平價的商業午餐，若是有預算考量但又想吃燒肉的話可以考慮看看。"
 蔣陽益 ,https://www.google.com/maps/contrib/109708832327596268142/reviews?hl=zh-TW,4,True,31,"這次主點的主餐是這5880的極致和牛船（燒烤），附上生日加點的小和牛船及日式生拌牛肉。（燒烤的部分有特別服務能夠代烤）

註：此店有酌受10	％服務費

和牛評論：和牛料理主要還是含脂肪量高，吃的少但飽足感及油膩程度都是非常的強烈，當然和牛的油膩在肉類之中是還算清爽，但是比起其餘的植物油而言還是重的多，在艦船上的一些蔬菜也不大足以淡化這些感受，主要還是要點選合適的飲品作為搭配。

總體感想：是一次難得的奢華體驗，雖價格高昂，且單單看菜品份量的話一般，但是和牛料理是非常具有飽足感的，可若常吃相信對身體並無太大幫助，且在甜品的部分我想品嚐的「抹茶和菓子」也停售了，這類燒烤應該是屬於僅有體驗過一次即可的店家招牌。"
 Simon Hsu ,https://www.google.com/maps/contrib/105555396905088302130/reviews?hl=zh-TW,1,True,138,"15個大人，7小孩吃了約5萬
一個人約3000元，，除了一塊牛排外可以說是沒桌邊，而且完全吃不飽，唯一一個星是肉質，但還是貴的離譜！
吃了約5萬杏仁豆腐還只有小朋友送，還很小氣！
同樣錢可以吃
1次滿足的樂軒（2人一個服務生專門烤）4.5星
2次燒肉中山（1桌8人1人桌邊服務）4.6星
2次滿足胡同（約4人一個服務生專門烤）4.2星
3次滿足七輪（沒桌邊）4.1星
京昌園真的毫無CP值，烤網易焦邊吃還要一直催他們換，環境也普通，雖然是店裡出錢，但每人同事都還是在罵！"
 Howard Yu ,https://www.google.com/maps/contrib/107918998567751264229/reviews?hl=zh-TW,3,True,28,"肉品海鮮品質不錯，只有牛排也太薄了~
前次來訪會幫忙代烤，這次詢問後回覆：因為客人較多所以沒有辦法！
但我們看了一下只有大概四組客人....
且還是有服務人員在幫某一桌代烤
上肉盤和海鮮盤時也未主動告知烤的方式就離開了
至少三次都是請服務人員前來詢問如何烤
接待服務倒是都很客氣~
只是用餐體驗以這樣的價位來說不是太專業
有太多其他選擇了~"
 張以諾 ,https://www.google.com/maps/contrib/106754549600972810976/reviews?hl=zh-TW,5,True,46,"台北也有好吃的燒肉啦❤️
平日中午都有提供商業午餐
$250起的價格就可以吃到燒肉
真的非常划算❗️☺️
每一種肉品肉質都非常好
聽說都是日本直送的👍👍👍
要吃和牛的話$600多即可嚐到
平日中午在東區的大家一定要參考🔥🔥🔥
———
看更多內容
IG搜尋🔍enoch_foodie"
 林艾麗 ,https://www.google.com/maps/contrib/107576230133984469585/reviews?hl=zh-TW,4,True,169,"日本黑毛和牛專門店，初訪點的是「富士」雙人套餐$4380+10%。
沙拉生菜沒記錯是和風油醋的，生菜滿新鮮，份量剛好。
飯選擇石鍋拌飯，非鍋巴版，但也無妨，只是覺得石鍋拌飯與前菜的重複性過高，（如圖）有點可惜。
重點的和牛海鮮大船，因為特地是來吃日本和牛及稀有的羽下肉，所以選擇富士這艘，全日本牛的系列（除了牛舌），羽下肉的確非常優秀，油花鮮美，入口即化，好的牛肉真的吃原味就很讚了！海鮮部分是由服務人員幫忙烤（含部分和牛），很專業烤的恰到好處。
後來還加點了生菜來包肉，中和一下和牛密度極高的油花伴隨的大量油脂～
還點了不常見的COEDO-漆黒ビール，覺得店家很特別還特別用心挑了這隻，跟生啤反差的風味，滿好喝，只是私心覺得日本燒肉店怎麼會沒有ジンジャーハイボール怎麼可以😭😭😭啦
另外一提，謝謝服務我們的短服務人員，專業有術的介紹與協助烤肉，親切又細心勤加茶，讓我們能夠在午餐時間舒適開心的沈浸在和牛饗宴之中。"
 李宗錡 ,https://www.google.com/maps/contrib/111953062653868737002/reviews?hl=zh-TW,5,True,80,很棒的用餐體驗，服務人員親切，桌邊服務很用心很專業。點了全和牛肉船和兩杯生啤酒，各種部位都嘗試的到，飽足感相當足夠。另外本人飯桶吃燒肉很愛配飯（日式定食的吃法），發現米飯也煮得很用心，值得給個大拇指。
 Yung-Liang Tsou ,https://www.google.com/maps/contrib/107537492219078674625/reviews?hl=zh-TW,4,True,75,"肉質好,一開始先體驗一般澳洲牛,已經覺得很好吃了,牛舌為厚切很有口感,完全沒有腥味,橫膈膜有嚼勁但不會充滿難咬斷的筋膜。後續的日本和牛五花,上腹肉,更是驚艷,油花豐富,口感軟嫩,明顯更上一個層次,吃第一口就不會想要回去吃澳洲牛了,也難怪店家會先上澳洲牛,等差不多烤完之後才上和牛的部位。
套餐附的小菜種類多且爽口,恰好可穿插於肉品間搭吃,解解油膩。
客人不多時有代烤服務,好的肉品加上專業的燒烤技術,更是加分。"
 JAMES J. ,https://www.google.com/maps/contrib/115386580362938494937/reviews?hl=zh-TW,5,True,153,肉質很好，不管是澳美牛，還是日本和牛，肉質都很有水準。菜單選項相當多選擇，從小菜到拉麵都有，非常豐富！幾乎很多菜色都有點來吃吃看，這次可以說是全把店內特色都點了。沒想到雞翅也相當好吃。令人驚豔！！雖然金額是有點貴，但是很值得。建議三五好友聚會！必定再訪。
