user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 瑀宙美食彤彤旅遊札記 ,https://www.google.com/maps/contrib/114460348018837951271/reviews?hl=zh-TW,5,True,200,"🔺鰻魚飯𝒩𝒯.𝟥𝟥𝟢
這道菜是老闆推薦吃看看的
吃了真的覺得大推鰻魚飯上面烤的醬汁真的剛剛好超級好吃～
而且價格上來說也蠻中間的
一份這樣我覺得蠻可以的😚之前吃過很多貴又不好吃的

🔺特盛刺身𝒩𝒯.𝟧𝟨𝟢
生魚片拼盤也是超級厲害的
光是那個生蠔就超級浮誇（跟我的手差不多大）
生魚片也給很多種類每一片還切的很厚裡面的干貝也超大顆
每一樣吃起來也都很新鮮超喜歡💕

🔺千日海鮮丼飯𝒩𝒯.𝟥𝟨𝟢
這個海鮮丼飯也是蠻誇張的😳
上面有生魚片、蝦子、干貝⋯這樣才賣𝟥𝟨𝟢⋯⋯我記得之前去那種海鮮丼店
吃這種綜合的都要500左右
千日居的吃起來超新鮮好吃的又便宜🤩

🔺蔥鹽牛舌𝒩𝒯.𝟤𝟦𝟢
牛舌吃起來很嫩搭配上面的蔥鹽醬超剛好店家說他們的肉都是用原肉
一吃就知道肉的品質～這道我也是大推

🔺鹽烤午魚𝒩𝒯.𝟤𝟨𝟢
這道外觀也蠻特別的
特別做造型讓魚立體起來
我覺得蠻有創意的🤣～魚肉烤的嫩
午魚這道旁邊還有放醃製的小菜
一開始吃覺得很好吃不知道是什麼問老闆說是他們自己醃製的紅蘿蔔🥕
覺得超級用心連擺盤的小菜也是自己醃製的⋯而且好好吃💕

其他烤物也都很不錯好吃😋
唐揚炸雞很酥脆肉還超大塊的
吃的很滿足～～～
其他烤物也很好吃
店內可以選擇的酒類也蠻多的！
整體價格來說在大安區真的很便宜！
食材也都是真材實料在使用的👍👍"
 蘇甘玩 ,https://www.google.com/maps/contrib/107905139090600254231/reviews?hl=zh-TW,5,False,2,食材很新鮮扇貝很鮮甜老闆說現撈的第一次吃到扇貝那麼的鮮甜👍👍👍鰻魚飯讚不絕口老饕最佳選擇比我去日本吃的鰻魚好吃又便宜老闆很用心外場服務棒真的很適合全家聚會、工商聚會很棒大推
 林老虎 ,https://www.google.com/maps/contrib/107360922681200086158/reviews?hl=zh-TW,4,True,62,店內的空間很寬敞，但位子不多，有招待一盤毛豆不一定每次都有，如果點小鰻魚飯建議搭配套餐非常划算，生魚片的種類可以更換，味噌湯裡是滿滿的魚肉，附上的海鮮茶碗蒸很好吃，漬物是白蘿蔔已經放鰻魚飯裡面了，鰻魚油而不膩醬料不會太鹹，在國父紀念館的附近可以來吃看看，一顆星扣給服務費加10%
 Grace H ,https://www.google.com/maps/contrib/100239359249452541600/reviews?hl=zh-TW,3,True,165,"二個人點了鮭魚甜蝦干貝丼（附味增鮭魚海帶湯）、炸牡蠣、鮭魚炒飯（附味增鮭魚海帶湯）～～丼飯上的鮭魚、甜蝦、干貝非常鮮甜，搭上底下的醋飯（飯有點少），非常滿足。

非常推薦炸牡蠣，師傅火候控制的很好，外酥內嫩，擠點檸檬汁、再蘸上塔塔醬，真是美味極了😋！

鮭魚炒飯有鑊氣、調味也好吃，不足的是未能粒粒分明、還參雜些未上醬色的白色飯粒，稍嫌可惜。
～～扣一星

附贈的味增鮭魚湯雖然料多，但有點酸味，老闆可能沒注意到，夏天氣溫高、真的要多注意⚠️
～～又扣一星

整體而言，這家店的餐點有在平均水準之上，店員的服務也到位，是一家值得推薦大家前往用餐的餐廳；只是疫情讓內用客人少少，連帶也產生常備湯品的鮮度問題，真是辛苦店家了！"
 張浩哲 ,https://www.google.com/maps/contrib/116461981476837660353/reviews?hl=zh-TW,5,False,7,"鰻魚飯好吃，沒什麼刺，也吃不出來有刺的感覺，烤鰻魚使用的醬汁清甜不膩，老闆特別處理過😋👍🏻
生魚片新鮮🦐🐟🍣
感受到老闆的用心👍🏻"
 李坤 ,https://www.google.com/maps/contrib/101895227047626553243/reviews?hl=zh-TW,5,False,1,食材新鮮大推鰻魚飯不用出國到日本就可以吃到好吃鰻魚飯👍👍大大的滿足我的味蕾非常謝謝千日居老闆手作美食
 Francis Li ,https://www.google.com/maps/contrib/103281796222275115216/reviews?hl=zh-TW,3,True,151,"點了鮭魚甜蝦干貝丼飯、鮭魚炒飯、炸牡蠣
丼飯的海鮮還算新鮮，只是飯只有一點
鮭魚炒飯第一口吃來還算好吃，只是飯並未炒到粒粒分明
炸牡蠣還算炸的不錯
送的味增湯，味道普通"
 蔡勛 莊晨榆 ,https://www.google.com/maps/contrib/109663275267555139702/reviews?hl=zh-TW,5,False,3,"食材非常新鮮，
價位在台北的居酒屋來說真的非常划算CP值很高，
太多喜歡的想推薦"
 T T ,https://www.google.com/maps/contrib/108625651999340441494/reviews?hl=zh-TW,5,True,70,"點生魚片飯還有配一個味噌湯，有魚有豆腐，味道也調得很好
每一口鮭魚，甜蝦，和干貝都滿滿的鮮味
食材很新鮮，每次生魚片都一上來就被吃了，所以都來不及拍😅
料實在，推薦。"
 Mrs. BarOne ,https://www.google.com/maps/contrib/111549392170979328404/reviews?hl=zh-TW,5,True,174,"延吉街的小店面
只有4桌但座位寬敞不擁擠

握壽司都非常新鮮
種類也很多
烤物炸物也烹調得很好
鮮魚湯很大碗適合2人分食
湯很鮮甜魚肉也很對很大塊

服務人員很親切細心
整體很推😊"
 吳沛恩 ,https://www.google.com/maps/contrib/106545851907477595654/reviews?hl=zh-TW,5,True,16,"東西好吃，CP值超級高，上菜速度超級快
海鮮都非常的新鮮，最喜歡吃他的鰻魚飯。"
 Sybil Cheng ,https://www.google.com/maps/contrib/107350438283332016194/reviews?hl=zh-TW,4,True,132,"外送白燒鰻魚櫻套餐759元
干貝蒸蛋非常好吃裡面有一小塊鮭魚
白飯也很好吃

又點了第二次外送
串燒是惡夢一場超級硬
醬燒牛肋條三種口味燒鳥都不行硬到崩潰"
 Buda Lin ,https://www.google.com/maps/contrib/105373521163260392153/reviews?hl=zh-TW,5,True,38,醋飯不只有酸，還有淡淡梅甜香，其他菜色太好吃了來不及拍照🥲一夜干多汁、和風生牛肉軟嫩，可惜海膽賣光了，給了我回訪的機會☺️
 juza chan ,https://www.google.com/maps/contrib/116395043860185773966/reviews?hl=zh-TW,3,True,324,"服務很熱忱
439元
白鹿清酒
麒麟生啤
金牌
百威喝到爽…優質

餐點…花魚不錯"
 楊勝淵 ,https://www.google.com/maps/contrib/104004206735125922091/reviews?hl=zh-TW,5,False,7,"食材新鮮豐富！送的小菜也很有誠意！滿滿的一盤！好吃😋～
套餐送的湯也是料好多多～"
 Renee Zeng ,https://www.google.com/maps/contrib/117261330046929444881/reviews?hl=zh-TW,5,False,11,店內裝潢很日式以外，餐點部分很好看也很好吃，價位也很甜～喜歡居酒系列寶寶們一定要來吃唷～～裡面店員也很親切👍🏼
 Rikki Lian ,https://www.google.com/maps/contrib/113600939370954456291/reviews?hl=zh-TW,5,True,42,"大推松露炒飯(蛋奶素可食😊

裏頭的料我都超愛～

有松露、小玉米、杏鮑菇、四季豆、蘆筍～～

比例拿捏超好～～吃出廚師的用心🤤

是那種可以為了吃炒飯一直來的那種💛

還會有一碗香菇湯😇

真的超級好吃～～～推推推～～～～"
 Jessica ,https://www.google.com/maps/contrib/114764290843017736597/reviews?hl=zh-TW,5,False,7,好吃服務親切老闆帥食材好吃又新鮮cp值高值得推薦
 張珮容 ,https://www.google.com/maps/contrib/107244774392700530529/reviews?hl=zh-TW,5,False,3,"海鮮食材超級新鮮！！！所有料理都好好吃
調味也都抓得很好👍🏻老闆又很Nice大推"
 ivy leu ,https://www.google.com/maps/contrib/108668853252432087272/reviews?hl=zh-TW,5,True,187,"套餐划算
所有東西都好好吃
食材新鮮"
 Kai Chen ,https://www.google.com/maps/contrib/103505547733093891191/reviews?hl=zh-TW,5,True,27,生魚片新鮮好吃，鰻魚飯CP值高
 Eric Chen ,https://www.google.com/maps/contrib/106295837594199441540/reviews?hl=zh-TW,5,False,2,"難得國父紀念館一帶價格合理的日料店，
晚上點一份定食小酌一杯，輕鬆愉快"
 Fish 就將娛樂JJent ,https://www.google.com/maps/contrib/101587322544569726399/reviews?hl=zh-TW,5,False,2,食材很新鮮，老闆很用心，很適合下班團隊小聚，大推酒蒸蛤蜊
 Meiying Chin ,https://www.google.com/maps/contrib/113569703252973575949/reviews?hl=zh-TW,5,False,2,"第一次到訪,東西不錯吃,味道鮮美."
 曾建誠（曾誠） ,https://www.google.com/maps/contrib/110691829096536106400/reviews?hl=zh-TW,5,False,1,新鮮好吃、服務好、烤物也不錯👍
 Brian too ,https://www.google.com/maps/contrib/105615892406133642904/reviews?hl=zh-TW,5,False,1,用餐環境舒適，味道也很不錯，鰻魚飯也非常非常得好吃
 Jessica B.H Yui ,https://www.google.com/maps/contrib/106745868178921796513/reviews?hl=zh-TW,4,True,179,"想鼓勵一下店家，因為全店只有我一桌客人，還用團購卷。
店員弟弟很客氣，我沒發現團購券使用時間還沒開始，但他也是幫我核銷了。（其實訂位的時候他也沒告知）。
扣一分是因為食物沒有很好吃。"
 Lin Yenmi ,https://www.google.com/maps/contrib/104097153375908589616/reviews?hl=zh-TW,5,False,16,料理好吃，很舒適的用餐環境，CP相當不錯！
 黃楚儒 ,https://www.google.com/maps/contrib/102575795596068651504/reviews?hl=zh-TW,5,True,310,Pandabox鮭魚炒飯好吃吃得飽讚讚👍
 Lee Amber ,https://www.google.com/maps/contrib/108433202165606007283/reviews?hl=zh-TW,5,False,1,好吃！蒸蛋很鮮(⁠✯⁠ᴗ⁠✯⁠)
 Ivan Lee ,https://www.google.com/maps/contrib/107782469601785082395/reviews?hl=zh-TW,5,False,13,食材很新鮮，CP值滿高的🥹
 Hsu sen chi ,https://www.google.com/maps/contrib/105192739933728822534/reviews?hl=zh-TW,5,False,6,點了果香雞腿飯，跟鰻魚飯套餐，附沙拉，茶碗蒸。食物都很美味，湯味道濃郁，整體覺得很棒。還點了日本水果汽水，口味也很獨特
 Verdure Lin ,https://www.google.com/maps/contrib/117418411110792420049/reviews?hl=zh-TW,5,True,50,"握壽司不錯吃
白鰻魚飯也不錯"
 何慧君 ,https://www.google.com/maps/contrib/113142280673697662284/reviews?hl=zh-TW,5,True,12,新鮮好吃。用餐好選擇。
 林麗菁 ,https://www.google.com/maps/contrib/108634400554174563706/reviews?hl=zh-TW,5,False,1,"味道好份量足,價格也不貴,超級的好吃,尤其是鰻魚飯"
 Shing Huang ,https://www.google.com/maps/contrib/118129511630479621641/reviews?hl=zh-TW,5,False,5,"鮭魚生魚片超好吃！新鮮油脂夠
推炸牡蠣！！
以台北市來說cp值很高～～"
 林君霓 ,https://www.google.com/maps/contrib/103446304539884222405/reviews?hl=zh-TW,5,False,4,擺盤很精緻，東西好吃
 Nicole Chang ,https://www.google.com/maps/contrib/100475866391473638194/reviews?hl=zh-TW,1,False,11,因爲是foodpanda外送特惠品質就這樣嗎？鮭魚生魚片軟爛干貝也是不確定是不是真的，超級後悔
 yan hsieh ,https://www.google.com/maps/contrib/106193226971262217738/reviews?hl=zh-TW,2,False,6,"握壽司10貫的生魚片稍嫌不新鮮
醋飯味道不行
天使蝦新鮮度還可以
但不會再訪"
 楊hsianghua yang ,https://www.google.com/maps/contrib/105346148825438303780/reviews?hl=zh-TW,5,True,22,新鮮的生魚片好吃！
 Bass BF (北藍焰) ,https://www.google.com/maps/contrib/109569941494310292794/reviews?hl=zh-TW,4,True,129,"店氛圍不錯
軟殼蟹很令人驚豔
墨魚香腸口感棒"
 張議方 ,https://www.google.com/maps/contrib/101576158010090082897/reviews?hl=zh-TW,5,False,9,"很優質又很有氣氛
很推薦喔～"
 ying-ju chen ,https://www.google.com/maps/contrib/107205538486087642692/reviews?hl=zh-TW,5,False,5,生魚片又厚又新鮮好吃的，茶碗蒸料多味美，大推
 um s ,https://www.google.com/maps/contrib/113718659717389471976/reviews?hl=zh-TW,5,True,21,"鰻魚飯很好吃！
生魚片很新鮮價格很佛心～讚讚"
 喵嗚 ,https://www.google.com/maps/contrib/117382450821404633365/reviews?hl=zh-TW,5,False,1,白鰻魚飯不錯吃略鹹，不喜歡調味的粉
 Benjamin Chen ,https://www.google.com/maps/contrib/102614725906926634045/reviews?hl=zh-TW,5,False,2,好吃服務好～
 吳馨茹 ,https://www.google.com/maps/contrib/109750765423817803014/reviews?hl=zh-TW,5,False,10,"真的很好吃
食材都很新鮮"
