user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Gary Yan ,https://www.google.com/maps/contrib/100193763205014617625/reviews?hl=zh-TW,5,True,11,"寶林的每家店我都常常去吃,每一家都超好吃的～🥰
老闆廚師服務人員都好親切,都會仔細為每位初來乍到的客人細心介紹餐點與點餐方式,還有特色推薦必點品項(有機會常經過時一定吃到,目標就是要每一項都要給他試過一輪才行😋)
延吉店的寶林飯館,是我最近最愛光顧的分店,主打自助餐,有些菜看起來是台菜外觀,但是料理口味完全不一樣,是完全大馬風味好嗎~因為青菜類的選擇好多款,還可以自己夾菜,喜歡吃的菜類可以多夾一點,可以說是,自由客製化餐點最高的,還有很多大馬風味麵食類每樣都好吃到味蕾炸裂感覺完全吃不出來是素食幾乎每位被我推薦來的朋友都會一試成主顧🤭"
 Joey Hsuan ,https://www.google.com/maps/contrib/110838719253528144595/reviews?hl=zh-TW,5,True,12,"與友人點了：馬來分享組合，包含素炸雞🍗+炸豆腐與涼麵、抓餅，真的是很棒的馬來吃食經驗，店家也很熱情；）
飲料：大馬紅茶+奶茶。"
 MIKO蜜蔻 ,https://www.google.com/maps/contrib/115683966087695519631/reviews?hl=zh-TW,5,True,4,"今天偶然遇見這家店
小小一間街邊店
沒想到是素食但口味真不錯
炸香蕉配黃瓜很爽口
很喜歡咖喱抓餅裡頭素肉塊很香好吃
醬料微辣吃起來很夠味"
 Grace Liu ,https://www.google.com/maps/contrib/107274139999449145425/reviews?hl=zh-TW,5,True,38,"要先謝謝貼心的老闆，注意到我們有壽星，最後還送上了一個令我意外的驚喜小蛋糕🥰（我們沒慶慶祝，只是有人說了一句［壽星先選菜］他們就聽進去了，超細心的）

（我和朋友都不是素食者，但我們都覺得很好吃👍🏻👍🏻👍🏻👍🏻👍🏻）

➖️➖️➖️➖️➖️
🔸️門面：小小的，但很可愛❤️很好認
🔸️停車：出門口右轉的巷口就有停車格，附近還有2.0M的停車場。
🔸️點餐：應該是因為疫情期間，沒開放自助換成單點式，但不影響菜色。
🔸️人員：很親切細心（好喜歡他們的新加坡口音，應該是吧，可愛）
➖️➖️➖️➖️➖️

👍🏻我們三個人吃，叫了非常多的東西，多到吃不完打包，才一千初頭很超值。
👍🏻麵都很大碗蠻飽的，很夠量。
👍🏻我們叫的餐點我有圈起來了，在菜單裡，方便大家參考。"
 QIU PAO TAN ,https://www.google.com/maps/contrib/112343565531490627714/reviews?hl=zh-TW,5,False,9,家鄉味就是讚啦，吃到太開心了現在來補評論！咖喱絕對是馬來西亞必吃的一道，沒想到配上炒麵更絕配了！價格也很公道⋯👍讚
 王小崴 ,https://www.google.com/maps/contrib/106818936252777877696/reviews?hl=zh-TW,5,False,12,環境很舒服，寬敞，乾淨，店內放的是流行音樂，餐點上，每一樣都讓人驚喜，外面吃不到的醬燒茄子，四季豆，可以點自助餐，或是單點便當，現煮的麵都好吃有特色，相當值得來的素食餐廳。
 伍晉宏 ,https://www.google.com/maps/contrib/110068125169820320609/reviews?hl=zh-TW,5,False,10,真的比肉還香！叻沙麵好吃！馬來豆腐辣中會帶點甜甜的味道很神奇！
 慧 ,https://www.google.com/maps/contrib/106539251565449073230/reviews?hl=zh-TW,5,False,9,無意間看到的店，非常想念去馬來西亞時的食物，非常道地好吃...沒想到開始吃素之後還可以吃到這麼好吃的馬來西亞料理，還有免費的紅棗薏仁湯💕💕
 Gloria Chen ,https://www.google.com/maps/contrib/110896383503818348413/reviews?hl=zh-TW,2,False,8,"熱美祿用玻璃杯裝非常燙，絕對不要打翻燙傷自己，因為店員不會慰問也不會退錢。
餐點部分：肉骨茶麵普通，炸物節瓜很好吃。"
 莊明仁 ,https://www.google.com/maps/contrib/109979282328894401743/reviews?hl=zh-TW,5,False,8,"我們吃了自助餐的菜
還點了馬來街邊風味炸物
超好吃！！
附近停車也不難
大推～～～"
 Ming Hsu ,https://www.google.com/maps/contrib/104087123756073662497/reviews?hl=zh-TW,3,True,16,某些餐點辣度超級辣！應於點餐時事先告知.菜單上雖有部分餐點有辣椒圖示，但看不出是何種辣度.部分餐點沒辣椒圖示，但吃起來也是辣的.
