user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Mark Wu ,https://www.google.com/maps/contrib/109997203919264846462/reviews?hl=zh-TW,5,True,131,"原本以為是烤功不錯，
但是實際上是炸烤合一，
炸功真的非常厲害，
每個餐點都沒有雷，
要說最推的是，

鹽烤雞肉串
肥腸
麻辣牛筋
香菇。"
 Ku Jean ,https://www.google.com/maps/contrib/115492092047936265365/reviews?hl=zh-TW,5,False,7,朋友相聚的好所在，燈光美氣氛佳，調酒都好好喝，每次來都要喝個三杯才過癮，太喜歡這裡了!
 貝絲愛食日記 ,https://www.google.com/maps/contrib/106832686692317377306/reviews?hl=zh-TW,5,False,6,"服務親切，食材極致新鮮、店家特調的白桃酒非常好喝！
生蠔shot必點，嚴選生蠔很肥美搭配柚香shot完美，適合下班來放鬆身心。"
 Oiman Lo ,https://www.google.com/maps/contrib/116441585559101771031/reviews?hl=zh-TW,5,False,43,每一道都好吃，意外來到的好店！蛤蜊湯也是用大蛤蜊😍肉質鮮甜！店員服務熱忱！會再訪～～☺️
 邱亮慈 ,https://www.google.com/maps/contrib/106983958593849059917/reviews?hl=zh-TW,5,True,12,"真的超好吃😋
每道都無雷！！

分享我們點的餐點
馬鈴薯明太子焗烤
考櫛瓜
醬烤雞肉串
鹽烤牛肉串
柚香松阪豬
午夜魚
鮭魚炒飯
太好吃了啦！！
而且老闆很關心客人哦！

聽到我們來慶生送了小菜與梅酒
讓我們幸福也微醺了一晚
因為與友人都不勝酒力哈哈
非常感謝🙏
下次還會想來吃！！"
 陳以軒 ,https://www.google.com/maps/contrib/110113354240456663388/reviews?hl=zh-TW,5,True,58,"(二訪)
因疫情影響無法內用，品嚐了小串堂外帶套餐，口味維持一貫的水準，份量非常的超值(一整袋沉甸甸的)，雙人套餐兩個成年人吃超飽，更厲害的是連外包裝的餐盒都很有質感，真心大推！！

(初訪)
東西好吃，店內氛圍輕鬆活潑，又有很多好喝的酒，這麼好的店不推怎麼行！！快來！"
 陳怡汝（路路） ,https://www.google.com/maps/contrib/104952454987385756622/reviews?hl=zh-TW,5,False,7,服務很好👍🏻第一次進來，食物酒水都不錯，會常來🤪（還有撒逼斯😝😝😝讚讚
 陳亮洪 ,https://www.google.com/maps/contrib/109796001441587088929/reviews?hl=zh-TW,5,True,66,之前到過小串堂的本店用過餐，覺得他們家的串烤物以及主食都非常好吃，食材也很新鮮，感覺的出店家很用心。所以疫情期間特別訂了他們家的外帶餐點，真的覺得老闆很佛心，四菜一湯有牛肋條/櫻花蝦炒飯/烤鯖魚...等，外帶不到$500（覺得店家真的辛苦），而且儘管是疫情期間促銷，食材依然新鮮，味道也是一樣好。推薦沒試過的各位，不妨外帶他們的餐點試試，絕對不會後悔。
 Junxian Ho ,https://www.google.com/maps/contrib/110968176612780698086/reviews?hl=zh-TW,5,False,11,"非常好吃，值得五星
（吃完的真心評價👍👍"
 ChiaChia ,https://www.google.com/maps/contrib/100843343052248678353/reviews?hl=zh-TW,5,False,14,出餐非常快！剝皮辣椒系列的料理很驚豔～
