user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Chen Hebe ,https://www.google.com/maps/contrib/105756945853965585110/reviews?hl=zh-TW,5,True,34,"三明治和沙拉每個口味都好好吃😋
最近還推出了新口味火雞肉，沾著附送的青醬超對味👍搭配沙拉超爽口！
吃了好幾年都不會膩的店❤️"
 陳盈如 ,https://www.google.com/maps/contrib/103500385695643469837/reviews?hl=zh-TW,1,True,109,"覺得不好吃又貴🥲
吐司很油，剛送出來好燙。醬料是用沾醬的方式，但是又油又燙的吐司真的不知道該怎麼拿起來沾醬
沙拉份量不多，有點苦"
 YC Yeh ,https://www.google.com/maps/contrib/107243050884337176557/reviews?hl=zh-TW,3,True,285,"沙拉不難吃，就是好貴🥲大份180（照片我已經吃了一些）⋯大概是711沙拉的大小，我平常在家吃的一份沙拉量是一個臉盆😂
一份沙拉除了生菜還有一點堅果、節瓜幾片、一顆溫泉蛋、一些橄欖、幾顆小番茄跟一點起司，除了油醋還有另外給沙拉醬，店員態度不會很差，就是cp值頗低"
 Miin Chian Wu ,https://www.google.com/maps/contrib/115324313056723045879/reviews?hl=zh-TW,2,True,108,"吐司超乾超硬，會噎到那種，而且感覺烤太焦，邊邊的部分看起來像用刀子把焦黑的地方刮掉過的感覺
單點的沙拉（$125)很小份，味道還行"
 Hitomi ,https://www.google.com/maps/contrib/115144834356443594673/reviews?hl=zh-TW,5,True,630,"每次都叫UberEats第一次吃到熱騰騰的
感動好吃地中海烤雞經典原味好吃"
 趙子虛 ,https://www.google.com/maps/contrib/115697099124039197605/reviews?hl=zh-TW,5,True,19,每次想吃沙拉外送就會想到格里歐，他家的田園沙拉真的便宜實惠～而且好吃😋這次點了美式BBQ豬肉三明治🥪🥪套餐✌️✌️✌️
 C C ,https://www.google.com/maps/contrib/100633949258154648685/reviews?hl=zh-TW,1,False,17,透過UberEats訂餐，不曉得什麼原因不同司機瘋狂取消訂單沒接受送單，致電門市詢問也給不出解套方案，客戶提問問題沒聽清楚就急於撇清責任問題，要客戶自行解決。還沒吃到餐點先負評，難怪評價這麼低！
 Samuel Chang ,https://www.google.com/maps/contrib/111437686791966637330/reviews?hl=zh-TW,5,True,212,配料單純好吃，副菜也很特別，往往這種店的副菜是薯條或雞塊，但是這裡有沙拉和通心粉，蠻特別的。三明治單純好吃，不會有奇怪的配料或是硬塞給你讓你覺得很豐富的菜，順便一提，奶茶也好喝
 Ciao吃吃喝喝_一百種生活 ,https://www.google.com/maps/contrib/106177023517320000649/reviews?hl=zh-TW,5,True,26,五種起司那款好吃，奶茶去冰三分糖不會太甜！有些點三分糖奶茶會很甜，這家不會唷！
 徐瑋辰 ,https://www.google.com/maps/contrib/113146677865894559141/reviews?hl=zh-TW,4,True,77,"位在國父紀念館1號出口旁的小巷子裏
不知道什麼原因店內用餐區堆滿了店家的私人物品
只有開放店外的三張小桌子供內用
-
餐點都是用鮮奶吐司製作的熱煎三明治
表面抹奶油後再煎得香酥脆
還有經過熱壓讓吐司的質地紮實一些
也減去了一些口感上的油膩
-
裡頭更是用料大方
地中海烤雞夾入了好幾片厚實的雞胸肉
帶有迷迭香氣的雞肉軟嫩多汁
還有些許檸檬的清爽提味
另一道手撕豬肉就比較重口味些
豬肉用BBQ烤肉醬燉烤得絲絲入味
再撕成大小不一的肉塊
搭配著炒得軟爛香甜的焦糖洋蔥
而且兩道都加了滿滿的起士
大口咬下罪惡感和幸福感同時漫溢口中啊！"
 NN HUANG ,https://www.google.com/maps/contrib/116431878943370590591/reviews?hl=zh-TW,5,True,45,雖然位置是坐在外面，但是他們的波隆那肉醬三明治、藍莓派三明治、火烤馬鈴薯真的超好吃的，裡面的餡也不會太少，價格也算便宜，服務態度也還不錯，第一次來也耐心講解👍
 Candy Chang ,https://www.google.com/maps/contrib/105183868245793071821/reviews?hl=zh-TW,1,True,47,"這樣子Ubereat訂餐去掉送餐費450元（照片還有沒入鏡的是2杯飲料）。中午午餐沒空吃訂Ubereat,本來看Ubereat上圖片很漂亮，感覺4.8評分很棒很期待，可是來的時候很失望。下圖三明治為地中海沙拉三明治（120元）？？？
雖說了解店家要做生意平常不太給差評好的也一定說，可是和Ubereat上傳達的感覺實在差太多了些，居然有被騙的感覺，感覺難過。（連uber送來時還以為他送錯了詢問了他）

後面是他Ubereat上的照片。剛好我同時也幫辛苦工作的家人訂餐，結果送來是這樣，實在過意不去。"
