user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Jeffrey Kao ,https://www.google.com/maps/contrib/109904520325441754420/reviews?hl=zh-TW,4,True,642,"台灣三大知名迴轉壽司連鎖餐廳之一，以往我真的比較偏好壽司郎相較於其他兩家因為不管是用料還是每位都是略高一籌。自從本島疫情爆發後就沒在吃過，最近撥空找個禮拜五的中午帶著愛吃生魚片的小孩來享受家庭聚餐時光。相較周末及假日的人潮不斷，平日的中午反而內用人數少許多，我們是中午11:30到達的幾乎不用等待可以馬上入內用餐(有事先用app預約，不過我看沒預約的也可以馬上入坐)。

因全球航運大亂加上通膨嚴重，所以鮭魚生魚片的份量真的縮水不少，但是至少有供應。再來是可以明顯感受價位上的提升，以往吃40元盤的就很滿足了，現在得要吃到60元盤的才覺得不錯。不過令我比較訝異的一點是以往如果是用平板選擇送到面前的餐點往往上面的料會比同款在轉盤上滑動的要少一點，畢竟要放好放滿才能吸引消費者拿取。但是這次單點的料卻沒有比較少有時候還更多!另外所有轉盤上滑動的壽司盤都沒有任何蓋子或是遮蔽讓人感覺衛生可能有些擔憂(我已經忘了以前有沒有但是其他兩個品牌是有的)。

現在剛好有滿800送資料夾，所以我們一大一小硬是吃到滿額。其實這種真的是很聰明的行銷，利用廉價的贈品來刺激消費者消費買單，尤其是有帶小孩的消費者。最後要注意現在集點一定要app事先預約或是app現場預約然後報到才能符合集點的資格。整體來說CP值比以前相對低了不少，不過看到小孩吃的開心所以還是可以接受的。"
 CHING-CHIEN CHIU ,https://www.google.com/maps/contrib/103467657956997019257/reviews?hl=zh-TW,4,True,39,"整體上品項感覺比藏壽司少，食材新鮮度還可以～
最喜歡的除了我的蝦子系列之外，應該就是那個小魚天婦羅了！Y(^_^)Y外酥內也軟！"
 Serene ,https://www.google.com/maps/contrib/103638269740637721865/reviews?hl=zh-TW,4,True,59,"個人覺得壽司郎稍稍勝過藏壽司和點爭鮮
生魚片還算新鮮(廚師刀工>點爭鮮)
餐點品項三間差不多
甜點表現尚可(點爭鮮>壽司郎>藏壽司）
柳橙汁比藏壽司好喝太多!!(藏壽司柳橙汁是苦的)
最喜歡鮮蝦三貫❤️很新鮮、生蝦比點爭鮮更大隻更好吃
可惜最近薯條跟冰淇淋份量都有變少
希望水準不要再掉囉～"
 小華王 ,https://www.google.com/maps/contrib/106105649691255634219/reviews?hl=zh-TW,4,True,512,"壽司郎強項是熟食炸物，不是生魚片🤣便宜迴轉壽司我選爭鮮，好吃則選合點。

多數人評價，合點>壽司郎>藏壽司>爭鮮。不過，我反而覺得壽司郎生魚片握壽司的好吃度、新鮮度，跟爭鮮在同樣的水平，一樣普通、平凡沒記憶點；壽司郎的握壽司料理花樣多一點點，不像爭鮮做得那麼簡單。

這次點壽司郎的鰹魚天婦羅、蟹肉天婦羅握壽司、茄子辣肉握壽司、炸年糕烏龍麵，如大家感覺，天婦羅好吃，炸鰹魚夠味，吃得出薑等等醃漬風味；而茄子辣肉，其實不會辣，好吃程度勝過中式料理。

雖然炸年糕明太子昆布烏龍麵，攪拌完畢，口感軟爛，看起來像鹹豆漿一樣噁心，不過味道豐富又鮮，算是好食。

另外，冰淇淋其實也不錯吃。給壽司郎4顆星，純粹因為生魚片以外的副產品。

缺點是壽司郎提供免洗筷，為了節省成本，幾十根裝在盒子裡，筷子沒有成雙的包裝紙或塑膠套；看了會覺得不衛生，尤其在這種疫情爆發時刻，需要克服心理障礙，才能拿他們家筷子~~"
 Yi Chun Lin ,https://www.google.com/maps/contrib/111019379084041991041/reviews?hl=zh-TW,3,True,291,"第一次吃壽司郎🍣
選擇少少，也沒有海膽
壽司的盤子都油油感覺髒髒的！
壽司飯有點硬沒什麼味道
下載app想說可以集點，但不是用app預約或抽號碼牌就不能累積，覺得不太人性化，唉唉😮‍💨"
 Phoebe Cho ,https://www.google.com/maps/contrib/118099389723688709484/reviews?hl=zh-TW,5,True,745,"平價好吃的迴轉壽司
生意很好，可以先用app訂位
現場抽號碼牌的話，感覺吧台比一般桌位快一些
過號可以請店員重拉號碼

用餐限時60分鐘，平板會提醒用餐時間
盤子依顏色分別為40元、60元、80元
醬料碟要自取，只有濕紙巾沒有乾紙巾

可以用平板點餐，也可以拿取迴轉檯上的
握壽司都還不錯吃～
炸天婦羅太油太膩，沒有附天婦羅醬汁

這家店時不時會廣播還有幾組客人候位，員工就會精神喊話
廣播也會推薦當日主打餐點以及店員會來桌邊銷售😆

結帳可刷卡
有洗手間
用app訂位並且報到才可以會員集點"
 Wendy Liu ,https://www.google.com/maps/contrib/114393963619701787843/reviews?hl=zh-TW,3,True,93,"1.訂位系統-雖然可以線上抽號碼牌，但是到場之後還要記得報到（不然會直接跳過你的號碼）而且報到的順序非常奇怪，我們先報到號碼也比其他人先，但系統卻顯示他們先入坐，店員也說是按照順序（奇怪是按照什麼順序？？）
2.餐點在迴轉壽司來說算中等，只是我點餐的軍艦海苔都已經軟掉了，很明顯是轉盤上直接拿的（不知道轉了多久）
3.座位上除了濕紙巾就沒有其他的衛生紙，芥末是小包裝的很不環保，另外就是筷子用的是一堆拆封後的免洗筷！！（超級詭異）
4.味僧湯不好喝，但茶碗蒸還不錯，冰淇淋沒有全家的好吃"
 Joseph Wang ,https://www.google.com/maps/contrib/109168525535093346708/reviews?hl=zh-TW,5,True,99,中規中矩的用餐體驗，上菜速度算快，口味也不錯！唯獨拉麵蔥味太重，口味上較不喜歡，軟殼蟹真的好吃😋
 果子 ,https://www.google.com/maps/contrib/106427422515750316471/reviews?hl=zh-TW,5,True,111,"最常吃的壽司郎店！
如果可以多次評論我會評爆😆
服務蠻好的，上餐也算快，很喜歡前陣子的蟹味扮麵，真的很好吃😋
還有卡達拉娜，這個甜點超特別的，第一次吃到，有點像冷凍的烤布蕾
好希望這幾個期間限定可以變成永久菜單😭

不過集點的制度覺得有點可惜，一次一張卡只能集一點，換禮的獎品也有點還好，小可惜"
 李淵 ,https://www.google.com/maps/contrib/107977946670639988959/reviews?hl=zh-TW,4,True,43,"食材新鮮環境乾淨

單一品項品質波動很大
巡迴台上的在尖峰時段品質明顯高於點餐方式

車速過快時有翻車現場表演"
