user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Mountain Lin ,https://www.google.com/maps/contrib/112135274216669217878/reviews?hl=zh-TW,5,True,143,巷弄內不起眼的小店，卻有讓人驚訝的表現，餃子很清香，酸辣麵的酸辣湯味道夠道地，牛肉麵的牛肉煮的夠滑嫩不柴，湯汁也夠濃郁，整體而言算不錯的體驗，接待人員很有禮貌，如能再加點笑容，那就更完美！謝謝店家，祝生意興隆，萬事如意!
 秦倚心 ,https://www.google.com/maps/contrib/107337548311519606013/reviews?hl=zh-TW,5,False,9,"【牛肉麵、牛肉湯餃】很好吃，快接近打烊時間才光顧，老闆人很好，讓我們當最後一組客人。牛肉麵的肉不少，餃子軟硬也剛好！
隱藏在市政府附近，應該都是老饕去吃比較多，有空經過可以走進去試看看！"
 Luke Hsiao ,https://www.google.com/maps/contrib/109474557424579491077/reviews?hl=zh-TW,4,True,125,"一言堂：值得去吃，隨時都可以去吃，可以特別去吃

必吃等級：4/5
餐點品質：4/5
價格：4/5
CP值：4/5
衛生：3/5
服務品質：一人餐廳
上菜速度：快（點水餃的話）
無障礙空間：無
廁所：有（家庭式廁所）

五福餃子有名的應該叫水餃，他的水餃真的很好吃！！但一次要點八顆，每每點了其他餐點還是很想吃他的水餃，就硬叫了八顆，結果就是吃得很飽，不是要抱怨他們的規定，我覺得這個規定很合理，而是要說他們的水餃真的好好吃！希望未來會有燙青菜可以選擇。

雜醬醬料是南部口味，甜甜的，但身為南部的孩子，這口味我可以吃兩碗。蕃茄蛋花湯麵相形就比較普通，麵煮得好，但有點冰箱味，可能是番茄或什麼料放在冰箱太久。

餐廳設施：餐廳座位很多，醬料筷匙採自助式，廁所乾淨，但有點舊。餐廳不是無障礙空間，門口有個階梯。老闆是個可愛的男生，溫和有禮。"
 Wan-Jin Luo ,https://www.google.com/maps/contrib/108882402182956519692/reviews?hl=zh-TW,4,True,124,韭菜水餃不大顆，味道比較淡，麵皮很Q偏厚，我自己比較喜歡吃薄一點的皮所以給四星~
 TZU-YUN LEE ,https://www.google.com/maps/contrib/102818715652175990318/reviews?hl=zh-TW,3,False,29,"大顆餃子，好喝的蛋花湯！

優點：價格親民，蛋花湯超級無敵好喝，泡菜也很好吃～
缺點：個人喜好問題，比較不喜歡味道太重的韭菜水餃，水餃皮也偏厚了點（換句話說也就是Q彈）

整體來說還不錯，喜歡吃QQ水餃皮的人應該會覺得非常不錯！"
 翁紹凱 ,https://www.google.com/maps/contrib/100398511352548684486/reviews?hl=zh-TW,5,False,76,酸辣湯料多豐富實在不馬虎，且湯餃裡面就有10顆水餃，高麗菜水餃清爽可口，韭菜水餃也香氣十足很好吃，價格又很親民，整體來說就是划算又美味啦，大推👍👍
 yasuike Q ,https://www.google.com/maps/contrib/106783384668658551517/reviews?hl=zh-TW,4,True,"1,020","👉高麗菜豬肉水餃：皮有嚼勁好吃，餡料清爽可惜有些單薄，滿推薦的。

👉麻醬麵：拌完醬汁後香氣四溢，麻醬中規中矩的好吃，麵體軟硬適中，口感佳，加了辣油更上層樓，上頭的小黃瓜很美味。

👉蛋花貢丸湯：貢丸冷冷的，蛋花很嫩，湯不錯鮮。

👉招牌乾麵：雖然是簡單的乾麵，有些豆乾，蔥花，簡單香料調味，還不差。"
 Kuma HSU ,https://www.google.com/maps/contrib/107653804679564426068/reviews?hl=zh-TW,5,True,22,"你們評1星的客人是不是沒吃過牛肉麵阿！？
在台北140元的牛肉麵哪家肉給的這麼有誠意！湯頭爽口不死鹹，真不知道為什麼會被評一顆星的。
差評的客人們，拜託你們不要去吃，別搶我的牛肉麵👍"
 蕭睿航 ,https://www.google.com/maps/contrib/110899034277801181120/reviews?hl=zh-TW,5,True,43,湯頭非常好喝，麵條也是非常要嚼勁，重點是一碗160元的牛肉麵居然有至少10塊一公分厚度的牛肉，在台北市非常難得有這麼實惠的價格，水餃也蠻好吃的，非常推薦
 星河 ,https://www.google.com/maps/contrib/115083453944737762546/reviews?hl=zh-TW,1,True,79,"評論裡說好吃的人是不是沒吃過餃子？
晚餐時段竟然只有一個員工，一個人收錢又要進去煮，上菜急急忙忙的放在桌子最邊角"
 a220501 a220501 ,https://www.google.com/maps/contrib/111260320647163589678/reviews?hl=zh-TW,4,True,368,乾淨明亮，服務人員客氣的小店，炸醬麵、水餃、湯餃都不錯，青菜蛋花湯清爽好喝。
 Jun Chun Huang ,https://www.google.com/maps/contrib/117662910373591737244/reviews?hl=zh-TW,5,False,8,牛肉麵湯很鮮美，牛肉非常嫩，給的份量也非常有誠意，會一直回訪！
 N U CHANG ,https://www.google.com/maps/contrib/106320267148518600128/reviews?hl=zh-TW,4,True,346,"自己畫單到門口點餐
送餐阿姨們服務親切可愛

牛肉湯餃90
有十顆（湯餃來說算多的）
現點現做等待時間普通
水餃算是不差的
但不會想要特地多來
湯頭的部分也是
想吃可以點不會地雷"
 Felix Liou ,https://www.google.com/maps/contrib/112708395542998763003/reviews?hl=zh-TW,4,True,160,餃子皮Q彈餡爽口，再配個招牌乾麵，在商業區是高cp的吃飽絕配。
 OoHana Sung ,https://www.google.com/maps/contrib/117737268358693093848/reviews?hl=zh-TW,1,False,17,"看到外送平台4.8～結果踩雷了
餐點少送一份10顆水餃
點了2份小菜～備註寫了菜色（沒有下拉的菜色選單）
結果送來的兩樣都不是備註寫的
（如果無法提供改品項，不是應該打電話跟客人確認是否可以更換品項嗎？）
備註寫了需要醬油白醋辣椒，一樣也沒附.........
（照片醬料還是我跟同事要來撐場面的鰹魚露）
最後打了客訴電話後
等待補送餐期間先吃已送達的餐點
打開一看...點10顆韭菜水餃
竟然有一個高麗菜的混充😥
真是太命運多舛的午餐了...不開心........."
 Andy Hung ,https://www.google.com/maps/contrib/107455892342674746517/reviews?hl=zh-TW,3,True,"1,856",2019-06-點蕃茄蛋花湯、大骨湯餃、小菜，餃子皮Q，大骨湯屬於清淡口味，小菜豆干好吃
 YuChen Chiang ,https://www.google.com/maps/contrib/107313612841261765006/reviews?hl=zh-TW,4,True,996,"水餃不錯吃，
但不算太大顆，
但也平價了，
中午用餐，
人潮頗多的。"
 Y.Y. ,https://www.google.com/maps/contrib/107823454953171906034/reviews?hl=zh-TW,1,True,264,"水餃有中上水準，炸醬麵及乾麵都好吃，酸辣湯夠酸料多很合口味，用瓷碗有加分

最近再訪，似乎換老闆了，整體表現退步

偶爾路過再吃，越來越差，桌子很黏，水餃偏小口味普通，酸辣湯不熱料也不多，勾芡也很差，過稠又結塊"
 Chris Chou ,https://www.google.com/maps/contrib/100959061618229655634/reviews?hl=zh-TW,4,True,950,水餃不錯吃，內餡飽滿鹹度適中，豬頭皮滷得很爛中藥材很入味，但有點過油就是，在這區來說算相對平價的實惠選擇。
 林先生 ,https://www.google.com/maps/contrib/105380266990018607650/reviews?hl=zh-TW,2,True,"1,160","「普普通通的小吃店」
-環境：地板清潔有進步空間。
-價錢：水餃一個6$但份量小，覺得稍貴。
-食物：口味普通，招牌乾麵算味道比較特別，但水餃沒什麼亮點。貢丸湯貢丸本身還不錯，可惜似乎不是現煮，貢丸是溫的、湯是熱的。
-服務：普通。

**內用小菜用一次性塑膠容器承裝相當不環保，再扣一顆星。"
 Peko Wu ,https://www.google.com/maps/contrib/105716907577675231967/reviews?hl=zh-TW,5,False,5,真的很好吃！而且紅燒牛肉湯很好喝，價格也好便宜～
