user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Doris Lee ,https://www.google.com/maps/contrib/111920535374220722172/reviews?hl=zh-TW,3,True,91,"普普！餅皮優秀、鴨肉品質似乎不穩，但是CP高！韭菜盒子還不錯！聽說蠻多菜需要提前預定的，若鴨肉有處理好願意再回顧嘗試🥹

【缺】
·身為被米其林推薦的餐廳，不知道是不是疫情沒人而鬆懈，感受到精緻度真的很低（與龍都本店相比）
·最誇張的部分：鴨肉沒有處理好！！！！！！鴨屁股的地方不知道是腺體沒弄好還是怎樣超腥超級腥真的超級腥😡😡😡😡嚇到我每一口都要聞過才敢吃（事後有反應，但也只是被告知因為靠近屁股所以blablabla)
·餐廳有點蒼蠅飛，雖然老餐廳也許對環境無法要求太高，但還是讓人吃的膽戰心驚

【優】
·會贈送小菜松柏長青，爽口但沒有太大特色
·韭菜盒子需要提前預約（一次10個），味道還不錯可以嘗試！
·餅皮有厚有讚，吃過龍都就知道他們餅皮薄嘎堪稱面膜吧😂😂😂這家的餅皮有優秀到吃起來很滿足
·雖然不是提供切好的生辣椒，但可以提供切碎的生辣椒哈，而且不另外收錢
·如果鴨肉處理好整體價格很漂亮非常適合回顧！"
 Miguel Chi ,https://www.google.com/maps/contrib/113077230531031464525/reviews?hl=zh-TW,5,True,276,"容許我這次寫的多一點因為看到網路上有些評論雖然我在五年前三年前都有評論在網上前陣子👀到一些評論我覺得應該出來站在稍微客觀的角度說一下我的看法：網路上有評論說宋廚的烤鴨肉材沒有其他家像龍都君品宜蘭菁英的烤鴨好吃？首先著是兩種不同類型的烤鴨在台灣的北京烤鴨跟廣式烤鴨都是悶爐式烤法北京烤鴨在翅膀下取出內臟後縫起吃原味廣式烤鴨開膛剖腹取出內臟後再塞入填料（八角薑蔥五香調味有些還➕中藥材取其香味）出了燜爐後北京烤鴨片鴨秀後直接上桌分兩大部份：鴨皮鴨肉直接捲餅夾蔥加甜麵醬吃。廣式烤鴨燜爐後還要淋熱油讓鴨皮的脆度更上層樓片鴨秀後現在在台灣大都會有鴨皮米飯壽司🍣傳統的鴨肉鴨皮甜麵醬夾從捲餅及鴨肉粥及小炒等等…兩者的食用過程已經是不一樣了廣式烤鴨的鴉皮因為淋熱油的關係自然會比北京烤鴨的皮更脆但是您不妨試試宋廚陶然亭天廚烤鴨上桌後單捲張鴉片沾甜麵醬夾蔥吃👌一定也吃得到脆皮的口感至于鴨肉材感因為廣式烤鴨片出來的鴨肉沒有幾片可以分食（其他很多的部位是要拿下到廚房做四吃五吃的食材）不像北京烤鴨鴨皮片完後是結結實實的把大部分的鴨肉都片出來（各部位的）有時候師傅片的太大片了有時候師傅片到兩個部位的交界肉自然您會有覺得材材的口感。
有評論說店內吵雜我昨天晚上吃的時候特別的觀察了一下是的因為這種傳統式的餐館因為受限面積當然桌跟桌的排列近了些但是我的兩邊都是年輕人看起來他們也蠻適應在這種氛圍裏面因為他的收費比起您在五星級酒店吃便宜兩千元比您在名店吃便宜近千元宋老闆這二三十年就是在這兒默默的工作滿足了成千上萬個顧客。我相信他也想把用餐環境用餐氛圍搞得更佳但是我相信他更在意的是不希望那樣的抬高價錢後就會有一部份的老顧客會怯步的。
昨天晚上我們是第一隻從松柏長青敬菜開始合菜帶帽鍋塌豆腐九轉肥腸酸白菜羊肉粉絲到烤鴨+鴨架湯配的蔥油餅韭菜盒最後的豆沙鍋餅吃得很滿足也請大家多多用一點appreciated的心情來相信您的感覺會比以前更美好的👌"
 Claire li ,https://www.google.com/maps/contrib/106171635308672139232/reviews?hl=zh-TW,5,True,251,"每個月1號10:00開放下個月的預約，使用電話預約，招牌烤鴨要提前預約才有，菜單都有三個份量很彈性，每道菜(小)價位落在200～400，味道都很不錯，烤鴨更是令人驚艷！

鴨油和甜麵醬完美融合，一入口先是甜麵醬的味道，鴨油香味馬上接上，瞬間包覆住甜味，兩者慢慢的在舌尖上化開，真是絕了！鴨肉嫩到以為在吃雞腿肉，連第三吃炒鴨架都能發揮到極致，實在沒有可以挑剔的理由。

6人用餐人均價700，每個人都有吃飽，並且一致好評，很棒。"
 Kelly Wu ,https://www.google.com/maps/contrib/110221117179060402831/reviews?hl=zh-TW,4,True,197,"真的是五顆星烤鴨
皮脆餅皮夠厚有嚼勁
鴨三吃之一炒豆芽菜脆又鮮
酸菜炒羊肉很有味特別
綜合涼拌不如想像外
在疫情期間不需像以前等半年的預約
值得喔"
 陳昱超 ,https://www.google.com/maps/contrib/104151665926714859015/reviews?hl=zh-TW,4,True,361,"期待很久的店，如果只有烤鴨的話，絕對會給五顆星，烤鴨雖然不是在桌邊切的，但是上菜時候看到那亮麗的皮還是非常賞心悅目的，由於人多點了很多到菜，有些還不錯，但扣掉烤鴨讓人驚艷的菜色並不多，吃到後面都有一種不如再多點一隻烤鴨的感覺。
不過烤鴨部分真的很推唷！"
 小賀營養師 ,https://www.google.com/maps/contrib/112314948366789840769/reviews?hl=zh-TW,5,True,60,"2022年8月份首次造訪,現場片烤鴨真的是皮脆肉鮮美,鴨骨架選酸菜湯底可續湯,醬燒鴨骨架??鍋塌豆腐,合菜玳瑁,紅椒豆干豬肉絲.....(隱+N照片),還有招待小菜(忘記名稱了><)感謝當天友人協助點菜,真是非常滿足"
 Kelly Huang ,https://www.google.com/maps/contrib/103088578699586687194/reviews?hl=zh-TW,4,True,88,"一直很難訂的宋廚，很幸運被朋友訂到位子，
我是來嚐烤鴨的，鴨皮蠻香酥，夾上餅皮，蠻香的
也點上了白菜酸菜鍋，但很一般不是很道地～
蔥油餅還可以跟豆沙餅！"
 CJ K ,https://www.google.com/maps/contrib/112652151835691608252/reviews?hl=zh-TW,1,True,61,"環境不優，太擁擠、很吵雜，每一桌根本都是用吼的方式在講話。
一直瀰漫有一股廁所芳香劑味道。
如果滿分10分、5分是普通的話，烤鴨真的就大概5.8分而已，多的那0.8分是因為蔥段有切花跟麵皮厚Q給的。
烤鴨三吃另外兩吃是銀芽炒鴨絲（鴨絲大概20根以內，但銀芽大概有200根喔）
酸菜粉絲鴨湯（夠酸但粉絲量也是超少，不是鴨骨熬很久那種濃郁的湯，就是鴨骨粉絲跟酸菜一切丟下去煮滾端上桌）
唯一值得推的是薑炒牛肉，因為跟我奶奶煮的味道一模一樣。"
 邵良任 ,https://www.google.com/maps/contrib/117801319522929876248/reviews?hl=zh-TW,4,True,112,出菜速度快～烤鴨的皮超脆～但肉因該是我們太晚到了，有一點乾但非常好吃。
 HuBer君 ,https://www.google.com/maps/contrib/110892880067611222814/reviews?hl=zh-TW,5,True,203,"本人跟家人期待好久的米其林必比登餐廳🏆原本還想說宋廚頗難訂位，都要一個月前訂才有機會，保持平常心的心態在10月初打了電話，欸沒想到剛好10月底有位，真的很幸運、二話不說給他定下去啦～宋廚很好找，就在信義區統一百貨對面的小巷內，外觀也是低調的矮式長型中菜館，但當我們一進入餐廳裡頭早已高朋滿座，都是一大桌一大桌全家、朋友聚餐或是公司員工聚會（其實很吵雜），稍微走道小了一些些，店門口則是很多吃飽喝足的客人在那邊抽煙，所以客人素質我是覺得沒有很好啦，餐廳本身很沒問題的，也算明亮乾淨。

網路上好多討伐他們都是服務很跩，可是實際登門發現服務員都好親切😳而且她們照理說已經夠忙了，還能保持良好的服務態度，實在已經是中餐廳的模範了，不太理解網路負面聲浪的意思？而且我過去拍宋師傅幫我們的烤鴨片鴨、服務員也只有說要小心別靠太近會燙，我覺得這都是很一般應該注意的。宋師傅在大家用餐聊天時，低調的推出端著烤鴨的餐車到門邊一旁唯一的空地開始片鴨，烤鴨油亮油亮的真的好美🧡而且一切片煙霧繚繞真的很燙、好佩服宋師傅的鐵手，真的是已經處理過幾千萬隻鴨的職人！宋廚後來幫所有桌都片鴨完後就躲到收音桌後面休息感覺真的累了哈哈🙈最後甚至親自下來協助整理桌面，雖然說他沈默寡言、不多說話，但其實很熱心的服務大家兒～

這次比較可惜沒辦法點宋廚另一個知名的韭菜盒子，那個是必需跟烤鴨一樣要提早預約才會當日先做哦，一次就是十顆、必須人多才能吃啊😭烤鴨的部分，宋廚是臺灣少見以最傳統的北京爐烤模式，所以這可是所謂正宗道地啊～簡單就是斤餅皮、鴨肉、鴨皮、蔥段、甜麵醬，送入口中首先是卡滋卡滋😍哇嗚，宋廚那烤鴨皮，我的形容是好像千層酥，就是那麼的有層次的脆，油汁溢滿口中真的吃得心花怒放，鴨肉是沒有失望的嫩卻又不會太軟、依然帶有鴨肉該有的絲質嚼勁，最讓我驚喜的是小巧可愛的蔥段（有點像花式吸管🙈），相比之前吃過的其他家烤鴨還來得有存在感，配起來完全不會被蓋過那有點冰心的清爽、好厲害，星等滿足🤩一鴨二吃的鴨肉炒銀芽我覺得正常發揮，醬爆鴨骨就真的驚艷了，因為我家人也是東北人、那滋味真的跟我家人做的一模模一樣樣啊！除了我家是更辣更重口，本身是不怎麼喜歡吃鴨骨都覺得是吮指美味的下酒菜了～

其他菜的部分，烤鴨店一定有的前菜松柏常青依然是免費招牌，醋溜高麗菜絲、青蔥等的涼菜，就是帶點酸勁咬起來清脆；主菜的部分，是宋廚不輸烤鴨的東北美味，鍋塌豆腐其實就像鹽燒吧，是下飯菜～酸白菜肉炒粉絲可以自選要牛豬羊都行，那酸味😍很開胃，牛肉滑溜滑溜的～最後到了壓軸的點心豆沙鍋餅，這也是必點了，宋廚的餅不會過甜，而是滿滿的白芝麻香～而且超薄，表現還行還行。

總結一下宋廚，烤鴨完全沒讓人失望，不過東北菜也讓人驚艷，是只吃菜配飯都可以去的館子，適合聚餐～感謝宋師傅給我們美好的一晚🙏🏻🥰"
 Kitty Chang ,https://www.google.com/maps/contrib/103756763731986100858/reviews?hl=zh-TW,4,True,170,"晚餐6人1600一隻
價格偏高但美味
服務人員態度很好還有招待的小菜
肉質鮮美不乾澀皮脆餅皮非常優秀
蔥油餅蔥多必點！
可惜老闆徒手切肉有些不衛生
店面整個很老舊沒有翻新
廁所東西齊全蹲式馬桶有擦手紙"
 王涵柔 ,https://www.google.com/maps/contrib/109450826296684447780/reviews?hl=zh-TW,1,True,37,"記得冰塊要收費、熱茶要收費、大蒜一小盤都要收費喔！店家又沒事先説這些都是要收費的🫣
韮菜盒有些失望沒有酥脆調味淡了些🤔最好吃的是客家小炒"
 YU-TING CHEN ,https://www.google.com/maps/contrib/111401542277941341065/reviews?hl=zh-TW,4,True,23,"用餐時間：8/9
用餐人數：6人

一進來發現是必比登推薦餐廳之一，可惜招牌烤鴨要事先預定，所以這次沒吃到😅

整體菜色都很不錯，但豆酥鱈魚跟以往吃得感覺好不一樣，星星就扣在這邊了

希望下次有機會吃到烤鴨，再把星星加回來😝"
 LIN ,https://www.google.com/maps/contrib/104373494785999253475/reviews?hl=zh-TW,4,True,185,"烤鴨皮真的很脆好吃，值得推薦！
師傅在每桌旁邊直接切給你吃！
切工了得"
 Y L. ,https://www.google.com/maps/contrib/105765834589686349693/reviews?hl=zh-TW,5,True,46,"因為朋友訂才知道這家~烤鴨超好吃（要預訂）！！會問其他要煮湯or爆炒；韭菜盒很特別~小小綿綿的不油膩。其他菜點小份就可以都嚐一點，內建4人這樣吃超澎湃！😆

注意⛔宋廚的師傅很準時下班的喔！建議菜一次點齊，想後上的甜點再備註就好。
因為我們就是沒吃到甜點的一群人(╥﹏╥)"
 chung-te chen ,https://www.google.com/maps/contrib/111245658215777977641/reviews?hl=zh-TW,5,False,58,"2021米其林必比登餐廳
烤鴨二吃，口味就得親自品嚐感受，包餅口感Q勁，搭上烤鴨片皮、甜麵醬及蔥花～絕配美味
私房料理：
紅燒牛尾料理軟嫩入味，口感膠質豐富
黃魚料理味道鮮美，配角大蒜口味，讚
推👍"
 BoA ABo ,https://www.google.com/maps/contrib/103993771287730811423/reviews?hl=zh-TW,4,True,168,"這家是知名老店也不用多介紹什麼
特別想講一下跟別人不太一樣的地方是韭菜盒🤓
特製的小尺寸很可愛也很好入口
不會因為過食太多澱粉而吃不下其他的大菜
另外最喜歡燜煮到超軟糯的紅燒牛尾🐮
無法抗拒的滿滿膠質🤤"
 李柏緯 ,https://www.google.com/maps/contrib/111203475018492002983/reviews?hl=zh-TW,5,True,192,宋老闆片的鴨沒話說。皮肉分離，尤其是皮的部份脆中帶油卻不膩，其他的菜品像塔鍋豆腐、醬燒茄子就中規中矩的，老餐廳還是有他的手藝在，4.5顆
 Yi Shen ,https://www.google.com/maps/contrib/101097663341163385917/reviews?hl=zh-TW,2,True,117,"2021.05.11晚餐

一個字「雷」
花這個錢吃這種菜還是要幫長輩慶生

鴨也不好吃又腥皮也沒很脆
其他菜也普到不行回家口超渴
用餐環境也普普

可能剛好隔壁桌很沒素養吧
搞得好像去到三重的海產店一樣

不懂在紅啥
吃一吃總共86XX

真的寧願再多花幾千去吃雅閣"
 noodles Super ,https://www.google.com/maps/contrib/104960538765426058796/reviews?hl=zh-TW,4,True,146,"鴨肉算挺好吃
不過是較高價位
鴨肉二吃是豆芽菜炒鴨肉沒什麼味道
三吃是湯湯蠻鮮甜但加了湯後卻像加了一堆開水
點了很多菜
但感覺片鴨肉是最好吃的"
 Chloe Lai ,https://www.google.com/maps/contrib/101163103022308952862/reviews?hl=zh-TW,4,True,55,大快朵頤的好吃！烤鴨、餅皮都好，是老饕們的最愛。老闆親自處理烤鴨，可見功夫～
 B H ,https://www.google.com/maps/contrib/114969662406327986043/reviews?hl=zh-TW,4,True,360,"烤鴨好吃而且不貴
鍋餅中規中矩
看評價很多人覺得熱炒不好吃但我覺得還不錯"
 lu izumi ,https://www.google.com/maps/contrib/111158033406216466912/reviews?hl=zh-TW,5,True,66,常常經過不起眼的小店的烤鴨不錯，其他的配菜也挺好吃的。蔥油餅上來我眼睛一亮，酥脆程度不錯！可惜少了個味道。
 YS Wu ,https://www.google.com/maps/contrib/112625150177901007102/reviews?hl=zh-TW,3,True,364,"[特色]宋廚的現片烤鴨太強了，在薄皮與鴨肉下伴隨蒜苗，用荷葉餅沾著點綴的甜麵醬捲成一口入嘴的大小，咬下去時，脆口的油香味入口即化，而鴨肉的口感才隨後跟上，相當完美。韮菜盒子需要事先預約，一盤是10個相當小巧可愛。而醋溜魚片則是用酒釀下去煨煮，口感甜酸可人，相當好吃。整體用餐經驗不錯，烤鴨相當令人眼睛一亮，二吃的鴨架可以選擇要炒鴨架或是酸菜鴨架湯，鴨湯清甜配上酸菜適合解膩。而其餘菜色皆佳，但記憶點較少。
[服務]服務非常好，老闆片鴨時仔細，讓鴨皮的香氣更上層樓，飯後的甜點紅豆鍋餅更是點睛之舉。"
