user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 고영희 ,https://www.google.com/maps/contrib/113753607865596994549/reviews?hl=zh-TW,5,True,41,完全沒想到家附近有這麼有特色的店。味道不能說完全義大利的口味。可是真的很好吃。而且好看。每道菜都可以感覺到廚師的用心的感情。
 Wen-Che Chen ,https://www.google.com/maps/contrib/113220711776192992908/reviews?hl=zh-TW,5,True,69,"已經三訪，
脆皮雞真的很好吃😋玉米雞無腥味好吃，那個皮脆肉又有汁，真的不是自己能烤出來的滋味！
魚很好吃，料理方式略有不同
菜單會更換（但我不確定多久換一次），有些料理有融入台灣味～
甜點的千層蛋糕很好吃，布丁很像石安牧場布丁🍮"
 Elena Tsai ,https://www.google.com/maps/contrib/108717415531694440319/reviews?hl=zh-TW,4,True,318,"隱身巷弄簡約風格的西式小店，單純前來用餐、不喝酒也很合適，店外牆上的披頭四畫作很吸引目光，2022/4平日晚間造訪只有三組客人，所以即便點很多樣，用餐過程出餐流暢，可惜當天店家蚊子好幾隻，桌上水瓶小巧但同行四人，需要一直麻煩店家補充，這兩點稍扣了些分。
⠀
千層蛋糕綿密和吃得出堆疊感就給過；乳酪蛋糕與肉桂醬很和諧；薯條灑上起司跟迷迭香又帶著蒜味，不需沾醬就會讓人一口接一口；主餐鴨腿的軟嫩讓人印象深刻，其他主餐就可圈可點，整體而言餐點用心，價格實在，是值得再訪的店家⠀。"
 Kay Yang ,https://www.google.com/maps/contrib/116546532399434720991/reviews?hl=zh-TW,5,True,55,"隱身在巷子內的溫馨小餐館，座位數不多一定要事先預約以免撲空沒位置，裝潢很溫馨就像是去朋友家吃飯～
兩個人點了兩樣前菜和兩樣主菜，四道菜都非常好吃!!!
餐點的份量都很大份，老闆的料理手法很好，而且價格以在台北來說我覺得是蠻便宜的！
還沒吃完就決定要再度回訪品嘗其他道料理，真的大推福旺餐廳👍🏻👍🏻👍🏻
今日餐點：
•茅屋起司花園沙拉
•白蝦與甜蝦烘蛋
•嫩煎鴨胸佐巴薩米克醬與炒時蔬
•煎烤剝皮辣椒香腸與洋芋麵疙瘩"
 Mark Wang ,https://www.google.com/maps/contrib/114322532105953337514/reviews?hl=zh-TW,5,True,68,真的很好吃！所有的菜都可以感受的到主廚的用心，很特別第一次吃到，從第一道沙拉🥗到炸雞主菜濃湯都非常的特別，一定會在找時間來訪❤️
 Anita Lee ,https://www.google.com/maps/contrib/109313297944412981110/reviews?hl=zh-TW,4,True,169,朋友推薦巷弄小店，用餐兩週前才接受預約，店裡座位區不大，卻也不會顯得擁擠；木質桌椅，坐起來不是很舒適，90分鐘的用餐時間也剛好，桌上擺放的小水瓶很可愛，對於四人桌的我們會常常需要加水！我們點四道主食：清炒風乾蕃茄鮮蝦細扁麵，整個組合起來的口味很好、麵條很入味、鮮蝦個人認為烹調稍稍過頭，煎烤魚肚很特別、酥脆口感、很香很酥可能就覺得有點乾，爐烤鴨胸襯酒漬無花果及時蔬、兩片鴨胸份量足、嫩度夠加上餐刀不夠鋒利、分切起來需要使點力度，無花果有畫龍點睛的效果、時蔬鮮美，招牌脆皮烤雞附田園時蔬、雞肉很滋潤、雞皮香脆、新鮮迷迭香的香氣迷人；整體來說，口味挺好，有感受到店家的用心，雖在巷弄裡，卻也吸引不少饕客前來享用！
 蔡宗男 ,https://www.google.com/maps/contrib/116815938395738318510/reviews?hl=zh-TW,5,True,14,"〈馬薩拉風味南方炸雞〉(一份6塊)
恰到好處的香料醃漬和一點帕瑪森起司，
和薄脆的麵衣相輔相成，
帶出雞肉的甘甜，
更鎖住汁水橫流，
小心燙口！

〈煎烤剝皮辣椒香腸配搭洋芋麵疙瘩〉
香氣四溢的帕瑪森起司醬汁中
浸著一顆顆Q中帶軟的馬鈴薯麵疙瘩，
風乾番茄、第戎芥末帶來迷人的酸度，
切一口自製白腸
滿是剝皮辣椒和胡椒的辛辣，
搭配一點苦甘的黑橄欖、生菜，
細細咀嚼馬鈴薯澱粉和野蕈舞菇的微微甘甜，
鹹酸辣苦甜，五味交融。

〈蘭姆酒香乳酪蛋糕佐肉桂醬〉
清爽軟綿的起司蛋糕，
一抿乳香接著飄散蘭姆酒氣息，
抹上重口的肉桂淋醬，
蘭姆酒的焦糖香轉瞬重擊舌面，
記得搭著胡椒碎洛神漬，
增添一些辛辣酸甜，
把肉桂捲變成蛋糕大概就是這個樣子吧。"
 YanZ Jen ,https://www.google.com/maps/contrib/101079477533577716372/reviews?hl=zh-TW,4,True,145,二訪！餐點很好吃，固定的換菜單，油封鴨腿燉飯好吃，沙拉份量很足，烤雞我想應該是招牌菜，皮烤的很酥。甜點的話就比較一般，千層有點偏硬，總體來說會讓人一來再來的餐廳。位置不多一定要先訂位。庭院也很好拍！
 ALESSIA TSAI ,https://www.google.com/maps/contrib/103410818745461199416/reviews?hl=zh-TW,4,True,50,瑪薩拉炸雞還不錯，小章魚的食材及醬汁也很推薦，麵食只有細扁麵及千層麵可選。比利時黑啤酒+Espresso的喝法蠻特別的，可以嘗試看看
 Ariel Jen ,https://www.google.com/maps/contrib/103156734011278883065/reviews?hl=zh-TW,5,True,99,"住在永春站那麼久竟然都沒發現這間好餐廳！
當日四人前往，嘗試了四道主餐，兩道義大利麵口感都很清爽，大推雪裡紅白醬義大利麵！口味特別之外，竟然還吃不膩！而且是蛋奶素！非常推薦！當日的特餐是花生蛋黃醬豬腳！皮酥肉嫩！花生蛋黃醬口味新奇不負擔！配菜烤時蔬意外的好吃！油封鴨腿甜椒燉飯！不油膩，口味也不厚重！甜點嘗試了白蘭地乳酪蛋糕佐肉桂醬！我只能說蛋糕太小塊不夠吃🤣非常值得推薦的餐廳！會再來訪！"
