user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 黃詩婷（Claire） ,https://www.google.com/maps/contrib/113562867983553695415/reviews?hl=zh-TW,5,True,586,"第一次來用餐，
雙層牛肉漢堡+酪梨：裡面的蛋很好吃，漢堡皮跟外面不一樣，非常好吃，雖然漢堡肉是便宜漢堡碎肉，但整體漢堡非常好吃。

鮪魚蛋漢堡：鮪魚非常好吃，但漢堡有另外加大量美乃滋唷，喜歡人很喜歡、不喜歡人可以提前告知店員加少量。

雞塊：口感很脆很好吃，附上也是大牌子的番茄醬，整體很好吃，雖然小貴。

紅茶：無法調整甜度，都是微糖，但茶香味很重很好喝，可以一起加點雞塊套餐，CP值比較高。

雖然是比較貴的早餐店，但很真才實料，環境非常整潔乾淨明亮；又有LINEPAY很方便；會再訪。"
 林小凱 ,https://www.google.com/maps/contrib/100165474627234116483/reviews?hl=zh-TW,4,False,108,"醬料好吃，漢堡鬆軟，不油膩
手打豬肉是很新鮮的純色
食材都很原型，厚炒蛋濃郁多汁
炸物顏色明亮，沒油耗味
整體好吃，男生份量偏小，女生適中
品牌設計，包裝都不錯。"
 萱萱 ,https://www.google.com/maps/contrib/112265819844705413010/reviews?hl=zh-TW,4,True,71,"初訪
價格比一般早餐店稍高
電子支付方式有Linepay
店內用餐環境相當整潔舒適
出餐有效率
點了肉蛋吐司加福源花生醬搭配薯餅紅茶套餐
肉蛋吐司的吐司本身偏軟
薯餅炸的酥脆適中
紅茶茶味十足不死甜
有機會會再回訪～"
 Pin-Hsuan Wu ,https://www.google.com/maps/contrib/109164209650511571950/reviews?hl=zh-TW,5,True,93,"價位偏高料沒有到很多但是漢堡的麵包很香很好吃雞肉搭配櫛瓜很讚如果櫛瓜可以多一點就更好了！
飲料如果有自帶杯可以折10塊很划算！"
 vivian kao ,https://www.google.com/maps/contrib/117385280726873639174/reviews?hl=zh-TW,1,False,15,用Ubereats訂餐有加價單點酪梨，但連續三次收到的餐點都是錯誤的，沒有加進加價的酪梨。店員每次都態度很好願意幫我重做正確的重送，但是建議改善出餐流程，不要重複出現一樣的問題，謝謝
 Sean Siao ,https://www.google.com/maps/contrib/113980483652992234870/reviews?hl=zh-TW,2,True,236,"1.食物味道還OK，但以這個價位提供這樣的內容CP值滿低的。
2.店內用餐但所有餐點都還是以外帶方式包裝，很不環保。
3.用餐座位少，而且都是單人桌，多人的話就是多張桌子併起來，感覺自己很像在速食店，吃完就可以準備走人的店。
-
可能因為價位比一般傳統早餐店高一些，所以會讓我對店內用餐的期待值會再高一些，但結論就是讓我滿失望。"
 末末 ,https://www.google.com/maps/contrib/109994203976976814782/reviews?hl=zh-TW,3,True,60,"「櫛瓜雞肉漢堡」🍔

漢堡加入櫛瓜的清脆口感很👍
只是今天的雞肉吃起來乾柴🥲
另外加點半熟荷包蛋好吃😋

飲品項目有點少有點可惜
以早餐店來講單價偏高
店內座位少"
 Riddle Wang ,https://www.google.com/maps/contrib/105914630799564737005/reviews?hl=zh-TW,5,True,395,"消費日期：2021/10/16（六）
可結帳方式：現金、LinePay
備註：不開立發票

很好吃的早午餐店，可以外帶也有內用座位。這次我是先用電話點餐再自取，結帳時有稍微被嚇到，因為金額比預期高，比對後才發現他們已經漲價囉，googlemap上的menu金額是舊的，幾乎都漲至少15%（櫛瓜雞肉從70元漲到85元），品項也不太一樣，要參考最新menu與正確價目請翻一下我評論裡的照片。

漢堡麵包很好吃，不像一般早餐店賣的那種軟綿綿還垮垮的，餵我的漢堡麵包外觀很挺，顏色也是很飽和的褐色，看起來就讓人食指大動。口味也相當好吃😋，很扎實，是我喜歡的麵包口感，櫛瓜跟雞肉很搭。"
 胡家甄 ,https://www.google.com/maps/contrib/112195084372047244763/reviews?hl=zh-TW,5,False,25,"第一次吃他們家的吐司真的為之驚人！！！
起初是偶然在店裡吃過一次後因為太想吃了再把男朋友帶過去吃他們家的肉蛋吐司🤣🤣🤣
（男友也認證說很好吃！！！）
現在也不定時會前往餵我早餐吃早餐～～～💕
店員人也都很親切～叫號取餐！餐點吃完也要自行放置清潔區的部分喔🙏🏻
（因為看到有些人吃完就走了🥺店員很辛苦的呀！）"
 York Liu ,https://www.google.com/maps/contrib/107637284478767080590/reviews?hl=zh-TW,5,True,69,酪梨雞肉漢堡好吃！雖雞肉有一點小柴，但現炒的風味與醬汁及堡體表現很優秀，整體非常好吃
 邱小馨 ,https://www.google.com/maps/contrib/104075454263504345499/reviews?hl=zh-TW,4,True,432,"《20220719》
只有吐司跟漢堡的早午餐店，內用座位極少，價位中高，給料實在，加點起司跟福源柔滑花生醬，給好給滿👍而且難得配料選項有酪梨跟櫛瓜～
#肉蛋吐司+花生起司：超好吃😋😋😋😋😋😋"
 謝仲 ,https://www.google.com/maps/contrib/108120390711653514909/reviews?hl=zh-TW,4,True,320,"餐點好吃，用料實在
週日十一點造訪，不置於等太久
唯價格稍貴，點兩份套餐飲料升級奶茶約莫三百元"
 Coreen Tseng ,https://www.google.com/maps/contrib/114895316570716630848/reviews?hl=zh-TW,4,True,23,利用線上訂餐非常快速方便，雖然價位或許比普通早餐店稍高一些但是店面及外帶包裝都非常有質感。漢堡還可以加酪梨泥很特別！
 Winnie ,https://www.google.com/maps/contrib/113599881842884989088/reviews?hl=zh-TW,5,True,115,𓅷香甜豬肉堡：非常喜歡！漢堡皮濕潤度剛好，帶有麵包香；豬肉調味美味～唯一美中不足是份量小，沒有飽足感
 yu hsuan ying ,https://www.google.com/maps/contrib/103338258091374689051/reviews?hl=zh-TW,2,False,3,"早上買了酪梨炒蛋漢堡
吃了幾口看到裡頭酪梨都是黑掉爛爛的
超噁心～
沒有完整一片就算了
覺得黑掉的還拿來賣人很不應該
一個價格$75吃的非常生氣跟不值！
覺得這不應該是做生意的態度喔～"
 Andy ,https://www.google.com/maps/contrib/110981706930299494052/reviews?hl=zh-TW,5,False,6,"真材實料，食物不止精緻，也烹煮得非常到位，色香味俱全，嚐起來美味，入口即化，令人食指大動、回味無窮。
店內店員都是帥哥美女，待人親切，服務一百分，有機會一定找親朋好友再回來內用！"
 許易彤 ,https://www.google.com/maps/contrib/102630537438288367490/reviews?hl=zh-TW,1,True,26,"這家店可能主打外送，所以店內座位共10位，桌椅也不是非常舒適的沙發，應該是想提高翻桌率。

餐點只有吐司類跟漢堡類，飲料只有紅茶/鮮奶茶/咖啡，加套餐可以有點心：雞塊/薯條

吐司說真的不難吃，是普普通通好吃的吐司，但也不會讓你很驚艷（漢堡沒點所以不知道）飲料真的比想像中還小杯，鮮奶茶這樣要45(心痛)。
重點是茶葉可能泡太久，苦澀味很重，跟鮮奶也不搭的感覺。

附餐的薯條跟雞塊真的都不好吃。很乾、很多粉的感覺

其實店的裝潢和色調都很舒服，整體菜單設計感覺也很優秀，只是食物要再跟上一點，希望可以進步。"
 Anderson Fan ,https://www.google.com/maps/contrib/107844663700732867274/reviews?hl=zh-TW,4,True,71,餐點味道不錯👍，用餐環境明亮清潔，外帶餐點數量不少，價格中等，有機會可以一試。
 Chiang Taz ,https://www.google.com/maps/contrib/102838865602880053728/reviews?hl=zh-TW,1,False,4,從ubereat點了外送，起司肉蛋吐司（78）紅茶（35）、雞塊（68），要價181，可能食材的預算都跑到店租跟包裝上了，要吃薄如紙片的豬排，跟乾癟的雞塊，選這家就對了
 Hsin Chen ,https://www.google.com/maps/contrib/114232778612250257200/reviews?hl=zh-TW,3,True,37,餐點好吃但價格稍貴，漢堡跟咖啡的部分表現中規中矩，沒有特別吸引人的地方
 Wang Emily ,https://www.google.com/maps/contrib/112607114556621816820/reviews?hl=zh-TW,3,False,12,點了節瓜雞肉漢堡跟豬肉排漢堡(+10元福源花生醬)外帶，份量都不算多，不會像一般早餐點的漢堡那麼油，節瓜加在漢堡裡增加口感不錯吃，豬肉排漢堡普通，福源花生醬只有抹一面，有點傻眼，吃不太出來花生醬的味道，整體來說覺得普通，價位小貴
 Clive Wu ,https://www.google.com/maps/contrib/112924826778290994582/reviews?hl=zh-TW,3,False,5,好吃是好吃，但是熱的漢堡跟冷飲黏在一起不太對吧？拿到的漢堡半冷半熱，包裝方式應該改良一下，至少放個瓦楞隔板。
