user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 ANNIE CHEN ,https://www.google.com/maps/contrib/114028832456903044995/reviews?hl=zh-TW,4,True,109,"週五中午人不多
都有位子。
點了一份麻辣豆腐麵，完全沒有辣的感覺
剛上菜以為上錯了，不過辣椒醬油旁邊都有可以自己決定要不要再加辣
清湯，臭豆腐微微微微辣。
麵條很Q！。
價格$110。對女生來說剛好8分飽
可以在吃個點心～
店內環境普通乾淨，冷凍櫃在漏水…..
兩位廚子年紀都很大了⋯⋯
下次吃吃看飯的套餐吧！"
 Rick Lin ,https://www.google.com/maps/contrib/106778647281201021535/reviews?hl=zh-TW,2,True,80,你沒看錯，招牌魯肉便當，滷肉就是這麼一小撮，可以說不到一口的量，菜色也很普通，整個CP值爆低
 Akino Tsai ,https://www.google.com/maps/contrib/102197534217083128870/reviews?hl=zh-TW,4,True,184,"我不吃素。實在是因為中午太晚出來，許多食堂都人滿為患，發現只有這裏還有位置，於是走了進來。

略顯陰暗的空間讓我有點遲疑，廚房裏的阿嬤探頭出來示意我自己拿菜單看，選了五穀飯的招牌便當100元。

阿嬤問：蛋奶素？我說什麼都可以吃。

於是很快的，一盤客飯端來眼前附湯。

老實說，是好吃的。口味略油略重，但鬆軟的五穀飯超級好吃。

才100元上菜又快，對上班族解決午餐來說，其實還不錯。"
 小強 ,https://www.google.com/maps/contrib/109864561047881602126/reviews?hl=zh-TW,2,False,6,"經過這家想說沒吃過進去挑戰
但菜色實際吃過有點不ok
叉燒有點乾過頭，菜有點重鹹
當然可能是我運氣不好吧
看了其他評論的有些菜色感覺挺ok的
未來有機會在捧一次看看吧，看能不能改觀"
 劉兆軒 ,https://www.google.com/maps/contrib/109724212002839836451/reviews?hl=zh-TW,4,True,345,"阿嬤經營的素食餐廳
味道普通可選擇在此簡單用餐"
 Zorara Hou ,https://www.google.com/maps/contrib/104052904385348469492/reviews?hl=zh-TW,2,True,201,"環境清潔不太ok，室內都是油煙味，桌椅、餐具、點菜單、調味瓶全部都是黏的！

點了酥炸鮑菇，結果是炸舞菇，完全沒有菇的香味，一口咬下爆油，也沒調味，令人難以接受。

藥膳拉麵，麵體沒有麵香，吃起來口感很像加了其他粉的咬不爛拉麵。
裡面的配料，紅白蘿蔔都沒有削皮，加了N多的素料，吃久了只剩下素料的煙燻味，有些素料Q到嚼不斷，湯頭略鹹但藥膳味道非常淡！

不推推！
總計210元，這種價位有點略貴了！"
 曾琳茹 ,https://www.google.com/maps/contrib/104374686044749713488/reviews?hl=zh-TW,2,False,2,外帶一個鹹酥G飯和一個排骨飯便當，一個便當150，真的是有夠貴又不好吃，以後不會再去買了。
 段亞新 ,https://www.google.com/maps/contrib/104277753799929493477/reviews?hl=zh-TW,5,False,19,天涼了，兩人ㄧ起合吃藥膳拉麵和麻油猴菇拉麵，滿足又過癮，用料多份量足，誠意滿滿
 Shu-Zhen Chen ,https://www.google.com/maps/contrib/117083822903898017437/reviews?hl=zh-TW,5,True,247,蔬食料理口味好😋店家人員很親切，整體來說很有媽媽味💕ThisisaTaiwanstylevegetarianrestaurant.
 Curry Lee ,https://www.google.com/maps/contrib/115659867200413105489/reviews?hl=zh-TW,4,True,99,"點了「素魯招牌菜飯」、「臭豆腐麵」，素魯汁好吃，但飯偏硬，菜都還不錯、份量多！
臭豆腐麵湯頭偏淡，覺得還好。
鹽酥基還不錯，但吃多會燥。"
 J LL ,https://www.google.com/maps/contrib/116560120767713482646/reviews?hl=zh-TW,3,True,199,猴頭菇麵不錯吃
 陳懿恩 ,https://www.google.com/maps/contrib/113371942180603579794/reviews?hl=zh-TW,5,True,97,"對女生來說份量很夠唷，同行沒吃素的姐姐也說好吃！下次有機會再嚐嚐別的餐點～
中午時的上班族蠻多的，希望生意興隆、讓更多人吃到美味的素食料理～第一次帶友人來齋之傳說用餐，對女生來說份量很夠了唷，鐵板朱排麵的青菜再多點就完美了！同行沒吃素的姐姐也說猴菇拉麵好吃但實在好撐！小菜後面兩人硬吃下去的🤣🤣🤣
下次有機會再嚐嚐別的餐點～
中午時的上班族蠻多的，祝福生意興隆、讓更多人吃到美味的素食料理～"
 戴瑜嫻 ,https://www.google.com/maps/contrib/114770964633143157292/reviews?hl=zh-TW,3,True,76,"【Q魚老師/無痕飲食日記】
餐具：提供瓷湯匙、不鏽鋼筷子與湯匙。
目前內用有使用部分一次性餐具。
餐點：黑松露牛排與朱排的餐點研發理念很用心，讓初階素食者能夠輕易入門，加入素食者的世界：）"
 MLYF ,https://www.google.com/maps/contrib/107962414143635179108/reviews?hl=zh-TW,5,True,63,"服務親切，餐點好吃，口味比較重，
若需調味清淡些，可事先跟店家說。
推薦黑松露鮑菇鐵板麵、鹹酥基飯，
青醬義大利麵也好吃，但不確定是特別料理，還是每天提供"
 鄭怡婷 ,https://www.google.com/maps/contrib/108102677731503865206/reviews?hl=zh-TW,5,True,35,"好吃😋
沙爹讓我驚艷！第一次吃到這麼好吃的素食沙爹～～～下次還想再來吃！"
 K Chen ,https://www.google.com/maps/contrib/106011082342105026036/reviews?hl=zh-TW,4,True,54,菜的品質都算優，但大部份配菜都有辣，怕辣要先問一下
 Ruby Chuang ,https://www.google.com/maps/contrib/102448405792966934477/reviews?hl=zh-TW,5,False,1,超推薦的素食餐廳，餐點多樣美味，麵食簡餐都有，而且CP值高，環境也溫馨自然。老闆娘和員工都很熱情，值得每天都來享受健康美味的午間時光。
 黃于哲 ,https://www.google.com/maps/contrib/109568298784441109266/reviews?hl=zh-TW,5,True,103,用餐氣氛良好，裝潢得很新，離捷運站滿近的，餐點好吃，價格親民。
 Vicky Ning ,https://www.google.com/maps/contrib/111235668058905551798/reviews?hl=zh-TW,4,True,139,"吃素好選擇
紅燒麵比較油一點但很好吃
炸物也不錯👍🏼"
 Mandy Wu ,https://www.google.com/maps/contrib/100018679885893843728/reviews?hl=zh-TW,3,True,19,"口味普通
價格偏高
個人覺得沒吃過鐵板素食的可嚐鮮
素牛排就是台北地下街祐宥素食的牛排飯的牛排(一模一樣。)"
