user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 JL ,https://www.google.com/maps/contrib/115381625682141827789/reviews?hl=zh-TW,5,True,27,"▪️外場服務人員僅有一人，但親切、細心，
就算用餐時段人多，也能招呼到每組客人。

▪️店面較小，只有一樓有座位，且座位不多。沒有看到可洗手的空間，但櫃檯似乎有乾洗手可取用。

▫️咖椰吐司👍
班蘭葉與椰奶味淡，隱隱若現與奶油結合的很好！雖然醬與奶油都給得少，且不夠酥脆，但CP值依然很高！
另外店家上菜速度很快，所有餐點在10分鐘內全部上齊，為了不要吃到冷掉的吐司，回訪會問問看是否可以餐後再上。

▫️Laksa麵👍
湯頭濃稠、小辣，無法降低辣度，但可再加辣。
（不太敢吃辣的人可能無法接受）
除了麵條外，還有搭配少量粗米粉，很有飽足感。蝦有剝殼，方便食用。較可惜的是油豆腐沒有入味。

▫️蝦醬炸雞塊👍
炸雞有肉汁，香酥可口。
沒有吃出蝦醬的味道，不過絕對值得一試。

▫️油雞飯
是整隻雞腿排（有骨頭），肉質軟嫩、調味適中。雞飯香氣十足，但可惜不夠粒粒分明，且配菜較為一般。"
 Ting Wang ,https://www.google.com/maps/contrib/112417092713042165023/reviews?hl=zh-TW,5,True,131,"好吃且道地的新加坡料理小店

新加坡Laksa麵
Laksa湯很濃郁，蝦醬香料味很足，蝦辣油跟一點椰奶更增添了色香及味覺上的厚度。

麵為油麵加上跟油麵約莫等粗的米粉，混搭一塊食用時，油麵吸附著laksa湯汁，粗米粉增加口感。再加上川燙細豆芽，整個口感就是很搭。

新鮮的剝殼白蝦的蝦頭浸過蝦味滿滿的湯汁後，吸入蝦頭的蝦肉+一點點蝦膏時，很搭還不錯。白蝦肉一般。

油豆腐自帶炸過的豆油香，但因只經過川燙，沒有在湯頭裡面煮過，就直接放在湯上，有一點點可惜。

水煮淡菜一般。

水煮蛋一般。

魚板的魚漿味道屬於較濃烈的類型，偏厚實的口感。

整碗而言，湯頭麵料的選搭真的挺道地真材實料的。

蝦醬炸雞塊
現炸醬香鹹味醃料醃製過的炸雞腿肉，帶一定厚度麵皮被炸至金黃酥脆。現吃好燙好Juicy好好吃。但蝦醬味並不突出，口感口味略略像日式的唐揚炸雞的風格。每塊大概有7-10公分的厚度。

香茅蘋果汁
基底味道為淡蘋果汁摻合一點點香茅的味道，味道嚐起來屬於溫和帶點酸甜的感覺，很解膩。

美祿
很濃的美祿粉調飲品，但跟大馬的美祿相比，甜度略下降一點，比較接近台灣人接受的甜度。

小店位置不多，週六下午五點內用時，無須等候。

外場人員只有一位，但上菜速度、服務還是很到位的。

這家僅接受現金及台灣pay。"
 Elaine ,https://www.google.com/maps/contrib/109742154203160901929/reviews?hl=zh-TW,5,False,26,小小的店，服務人員熱情的招呼著，新加坡Laksa麵湯頭濃郁，裡面有兩種麵條增添不同口感且配料豐富，紅燒肉飯也很棒！推炸雞塊！必點！是薄皮的那種，且調味適當！如果還吃得下可以點Kaya吐司，咖椰醬搭配鹽奶油真的很棒！飯後來一片真的很滿足！會讓我想再訪的店家！
 HSIN PAO HUANG ,https://www.google.com/maps/contrib/104843517567574501892/reviews?hl=zh-TW,4,True,126,"🔹紅燒肉飯$150
🔹特製油雞飯$145
🔹蝦醬炸雞塊$100

店家位在捷運忠孝新生站附近，5號出口走路5分鐘左右即可到達，位置很方便。店內用餐區環境乾淨整潔，不過這次是外帶餐點回家。

紅燒肉飯的燒肉是偏鹹的重口味、非常下飯，肥肉的部分不會太過油膩，瘦肉的地方有些口感稍硬，但整體來說不錯吃，份量也很夠；油雞飯的油雞味道跟平常在便當店吃到的油雞味差不多，肉質也很軟嫩，是好吃的但比較沒有記憶點；蝦醬炸雞塊肉質多汁美味，帶有微微的蝦醬味、覺得很特別，個人滿喜歡。

看更多美食🔍IG:pao.foodie.tw"
 Hsuan ,https://www.google.com/maps/contrib/117793481730737648192/reviews?hl=zh-TW,5,True,84,"Laksa麵$165
湯頭滿濃郁的，有點微辣很順口，感覺和新加坡道地的還是差了一點味道，蝦子有剝殼吃起來非常方便！有黃麵跟粗米線很有飽足感。

紅燒肉飯$150
肉滷得非常軟嫩又入味，是有一點甜的類型，會想要一口接一口的扒飯，很好吃！

炸雞＋美祿套餐$95
現炸的炸雞很多汁，熱騰騰的就是好吃！

店內座位不多，整體很喜歡！
提供現金、台灣pay付款"
 La vie est belle ,https://www.google.com/maps/contrib/102194627889162864954/reviews?hl=zh-TW,5,True,243,"位於忠孝新生站附近，店面不大，一樓座位不多，廚房在2樓，剛好可以減少一些南洋香料厚重味道沾染到衣服上的機率，雖然吃完出來以後，隱約還是可以聞到一點食物的味道。

叻沙麵的湯頭比一般在美食街吃到的濃郁，也可以吃出南洋蝦醬的香氣。第一口下去辣味比較明顯，但多吃兩口就沒那麼辣了。跟店家要了一些辣醬，連辣醬感覺都是蠻正宗的南洋風味。

朋友不敢吃辣，點的是紅燒肉，肉質是軟而不爛、而且肥的部分也不油膩，非常入味，色澤滷的也很美。炸雞酥脆、不會太鹹。

薏仁水裡的薏仁是有口感的，蠻大一杯，吃完熱熱辣辣的正餐，喝一杯薏仁水剛好消消火氣。

外場只有一個人在服務，用餐時間人較多，雖然團忙得團轉，但還是蠻有條不紊的，態度也很好。"
 Wang Jenny (王若蓁) ,https://www.google.com/maps/contrib/110879327260693972220/reviews?hl=zh-TW,5,True,72,餐點很好吃，跟我以前在新加坡吃到的南洋咖喱一摸一樣，裡面有四大塊的雞腿肉，肉質軟嫩，點餐時也很貼心的告訴客人不喜歡吃紅蘿蔔可以事先告知～朋友點了黑金滷肉飯，是帶點甜味用三層肉下去滷的，還附有很多配菜，大愛！還有點了一份炸雞，口味也是南洋風味，外皮酥脆應該還有混著蝦醬去炸的，即使不沾醬也十分夠味！美中不足是餐點等的有點久～
 Kai Li ,https://www.google.com/maps/contrib/108580632212721290306/reviews?hl=zh-TW,5,True,51,"炸雞塊超好吃！我自己覺得必點
紅燒肉飯之類的就是普通哈哈哈
我自己口味吃不習慣的感覺肉好甜"
 bellobellyfull ,https://www.google.com/maps/contrib/114041610716769488377/reviews?hl=zh-TW,4,True,220,"Laksa酸酸辣辣很不錯，蝦子殼有先撥好（細節之貼心），裡面有麵條及粉，整碗調味👍🏻
油雞飯口味比較台式，不過也不錯吃，雞油飯很香"
 albee Hsieh ,https://www.google.com/maps/contrib/107002424212750992149/reviews?hl=zh-TW,4,False,13,"▪️Laksa湯頭口味不錯但麵稍稍沒有入味
不過兩者搭配一起吃表現很不錯
▪️紅燒肉我覺得好鹹（個人口味）
▪️特別要說炸雞好吃，酥脆且有湯汁👍🏻

在忠孝新生這區來說
價格跟好吃程度值得推薦唷"
