user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 張耿嘉 ,https://www.google.com/maps/contrib/110147273566898072713/reviews?hl=zh-TW,4,True,316,"1、位在杭州南路上，附近有德忞、老張和黃牛肉等幾間牛肉麵店，每間都各有特色，而這間大塊的價位在這幾間落在中間值，店內只賣牛肉相關品項（以前曾經有賣酸辣麵不錯吃但後來就沒了），位置不算太多，店員記性很好，服務也很殷勤會積極引導客人入座。
2、吃的部分，最推薦牛胸口過橋麵（$220），胸口肉是額外用一個小碟裝，淋上微微酸甜類似和風醬汁的醬，而肉的口感層次豐富，有嚼勁但又不會太韌咬不動，再搭配上一些白醋，酸甜滋味不論冬天或夏天吃都很不賴👍
3、這間的湯味道偏重但不死鹹，麵是寬麵會灑上一些蒜苗，口感不錯。如果麵和湯不夠都還可以再續，店內也有提供免費的酸菜和辣椒油可以加。"
 ELLE W ,https://www.google.com/maps/contrib/114060051641503278015/reviews?hl=zh-TW,3,True,387,第一次來嘗試，湯頭很清爽不濃厚，味道偏淡，清燉牛肉麵的肉是薄片，紅燒的是肉塊，覺得紅燒比較好吃，吃得出來這個麵條是店家自製的手工麵條，雖然是寬麵但口感偏軟，可以加湯加麵，但吃完後整體覺得普通，加上店內有個奇怪的味道有點小扣分。
 林茶米 ,https://www.google.com/maps/contrib/104177962841355745165/reviews?hl=zh-TW,5,True,50,"大塊紅燒牛肉麵！
台北市裡的這間牛肉麵是平均分數裡我最推的牛肉麵！
他有著不規則口感的手工刀切麵，麵體香又容易巴著湯頭，
蒜苗加上牛大骨湯搭配牛紅油的紅燒湯頭,與一般紅燒豆瓣湯頭不一樣.
牛肉有著不是人人都能駕馭的特殊黃牛香氣.
今天還另外點了好吃的稀少部位，胸口肉！
PS:加湯加麵不用錢
IG：dvdlin"
 阿樂 ,https://www.google.com/maps/contrib/116558122096997787741/reviews?hl=zh-TW,5,True,16,"清燉牛雜麵$160
可以無限續麵，無限加湯，湯頭也可以換口味(清燉/紅燒)
牛腸輕輕咀嚼，感受在舌根瞬時乍放，融化為一攤甜美柔潤的滋味
牛肚滑下喉管，體會淺嚐即化的口感，如同致命吸引一般，令人一碗接一碗
我兩種湯頭都嘗試，個人比較喜歡清燉，但有一個關鍵缺點，湯頭都是味素，喝完口很渴"
 歐陽文若 ,https://www.google.com/maps/contrib/102981717776996552944/reviews?hl=zh-TW,5,True,219,超愛紅燒牛肉乾拌麵！它的紅燒湯底不像一般醬油豆瓣醬，有股特殊香味，辣度對我這種不吃辣的人來說也差不多剛好，店內用可免費續麵續湯，絕對不會讓你餓到！
 林老虎 ,https://www.google.com/maps/contrib/107360922681200086158/reviews?hl=zh-TW,3,True,62,店內空間很小，翻桌率很高，外場只有兩個人滿桌時會忙不過來，但是服務態度確實很好。紅燒牛肉麵的湯頭搭配蒜苗微辣又帶著鮮甜，麵條不是一般的陽春麵，而是用寬面很有嚼勁，比較可惜的是牛肉的部分普普通通，口感咬起來有點柴，湯和麵條吃完都可以免費再續，榨菜不會太鹹意外的好吃，下次會想要再來嘗試榨菜牛肉絲麵
 劉得元 ,https://www.google.com/maps/contrib/110819700179276854805/reviews?hl=zh-TW,5,True,183,"會再回訪的店
清燉清香、紅燒不油膩
特別的是麵條非常之Q軟
炸醬麵也令人感到喜悅且不膩口

老闆很關心客人有沒有吃飽
很棒"
 羅家鳳 ,https://www.google.com/maps/contrib/109973326292084179084/reviews?hl=zh-TW,4,True,54,紅燒牛肉麵，湯不過鹹好喝順口，加的是蒜苗很加分，肉軟嫩但又有口感，麵體稍微爛了一點，麵吃不夠還可以加麵，一份或半份都可，整體是好吃的，點的小菜豆干小魚也好吃
 杜怡慧 ,https://www.google.com/maps/contrib/112803957893283034477/reviews?hl=zh-TW,4,True,55,"走錯店卻發現好滋味
免費加湯加麵

紅燒牛筋細粉
牛筋可以要求軟一點好吃😋
湯頭有比較淡
如果再重口味一點會更好吃😜

三寶(牛肉.牛筋.牛雜)麵
牛肉軟嫩
牛雜也很好咬

酸菜酸不鹹好吃👍"
 陳庭禾 ,https://www.google.com/maps/contrib/106916869996527942698/reviews?hl=zh-TW,1,True,44,"店裡非常臭，應該是牛肉的騷味，因為牛肉麵也有同樣的味道。牛肉切很薄，很像滷味的嘴邊肉，口感很差。麵稍嫌軟爛，清燉湯頭就是牛味跟鹽味，非常普通，且一樣有騷味。
雖然可以免費加麵加湯但不會想多待在店裡一秒鐘，不會再回訪。評價不應該這麼高。"
 Binns Chen ,https://www.google.com/maps/contrib/115605419284375447800/reviews?hl=zh-TW,4,True,670,清燉牛肉麵140。湯頭清淡而鮮美，有牛油味，搭配青蒜，口味和劉山東類似而更香一些。麵條是稍薄的家常切麵，可以吸附湯汁。牛肉是煮熟切片的本土牛肉。看新聞，這家是延平南路清真牛肉麵二代開的，忽然青出於藍。美中不足是空間內有明顯的臭味，比較像豆豉混合牛的味道。
 Roger H. ,https://www.google.com/maps/contrib/113492126401872480319/reviews?hl=zh-TW,5,True,699,"牛肉麵有紅燒、清燉和限量的過橋牛肉麵。

我這次吃了紅燒半筋半肉牛肉麵，湯頭不會很厚重，算是蠻爽口的，只帶一點點微微的辣度。

牛肉像店名一樣大大的一塊，牛肉燉的軟嫩不用咬幾下就化開了、牛筋則是燉的軟爛很好吃不會難以咀嚼。

麵條是比較稍微粗一點的扁平麵，可以煮得比較軟一點，沒什麼Q勁，有點可惜。

在大塊牛肉麵只要每個人都點一碗麵，就可以免費加湯加麵，所以可以吃得挺飽。而且加湯的時候阿姨還回夾一點蒜苗給你，增加湯頭的香氣。

餐廳整體環境就是一家有乾淨溫馨的小店，服務的阿姨雖然嗓門比較大但其實蠻親切的。

對了，大塊有空碗、清口、正常三種調味方式，由不鹹到稍鹹，這可是老顧客才知道的專有名詞，下次去可以來試試看清口的湯頭。

值得回訪的一家好吃牛肉麵店。"
 C C ,https://www.google.com/maps/contrib/105209145196832374949/reviews?hl=zh-TW,1,True,293,"請先在門口確認是否可以接受餐廳的味道
真的是臭到想要奪門而出"
 L C L ,https://www.google.com/maps/contrib/110250088685861471964/reviews?hl=zh-TW,1,False,5,我只能說店裡跟麵的味道！真的非常另我們感到詫異😵‍💫完全不能接受的腥酸味，這種牛騷味跟牛的鮮味是完全兩碼事🙄還沒脫口罩就能聞到…以為只是環境，沒想到麵也是，最後只吃了一小口麵跟一小口湯就吃不下去了，建議大家先進店裏聞味道是否能接受！看評價相當不準。
 Kent Ma ,https://www.google.com/maps/contrib/117670113311169207526/reviews?hl=zh-TW,5,True,"1,762",這邊的牛胸肉過橋麵真的很棒，再切一兩盤牛筋牛雜牛肚，真的非常好吃。牛肉乾拌麵還會附一個紅燒或是清燉的湯，也很不錯。
 蘇小妹 ,https://www.google.com/maps/contrib/105957254810935499157/reviews?hl=zh-TW,5,False,30,口味很棒，小菜好吃，加麵加湯不加價，加惠了許多附近的窮學生；店裡的大姐總是貼心的記得客人的需求，不加蒜或是常點的麵點，從不出錯，像回家吃麵ㄧ樣，很溫暖。
 shawn cheng ,https://www.google.com/maps/contrib/116227863779902657670/reviews?hl=zh-TW,4,True,145,"三寶牛肉麵，紅燒湯頭濃郁中帶點清爽感，
肉入口極化，筋軟嫩中帶有嚼勁，牛肚比較一般也不錯吃，麵條
體我個人比較喜歡硬一點的，他的偏弱不過也有嚼勁"
 Frances Yang ,https://www.google.com/maps/contrib/103924235748422639713/reviews?hl=zh-TW,5,True,289,價格很親民紅燒很好吃！
 大同工業設計實務班 ,https://www.google.com/maps/contrib/100071711303380085131/reviews?hl=zh-TW,2,True,30,疫情之後漲價，沒關係，這個我能諒解；但是連榨菜被拿完了都不補，這個就真的讓我火大，以後應該會少去了
