user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 謝明晃 ,https://www.google.com/maps/contrib/101492633787718492687/reviews?hl=zh-TW,5,True,584,"🐾🇹🇼
202208
小籠包1籠5個45元
高麗菜水煎包15元
韭菜水煎包15元
🐾🇹🇼"
 Gary Chen ,https://www.google.com/maps/contrib/114618888651112860292/reviews?hl=zh-TW,1,True,172,這個小籠包真的蠻敷衍的，不論是內餡或麵皮，根本是冷凍食品的等級，也完全不想拍照記錄….吃了一口失望透頂，浪費我晚餐的熱量….
 Ivy Ko ,https://www.google.com/maps/contrib/106617810446955967370/reviews?hl=zh-TW,2,False,1,水煎包裡有陶瓷碎片，還好牙齒沒裂，也還好這顆不是小朋友吃到
 PL Wang (Iris) ,https://www.google.com/maps/contrib/116391549737341141350/reviews?hl=zh-TW,3,True,71,"皮很厚...尤其是小籠包正上方的皮簡直厚到有點硬，肉餡很少，令人失望...
看評價似乎水煎包比較好吃，下次再試試看吧Orz"
 張小熊 ,https://www.google.com/maps/contrib/113023879368738326581/reviews?hl=zh-TW,1,False,27,"水煎包裡面有硬物不知道是什麼😱
蘿蔔湯裡面沒有蘿蔔都是油豆腐"
 Philip Y. ,https://www.google.com/maps/contrib/112550682830141921586/reviews?hl=zh-TW,4,True,69,這高麗菜水煎包的包法與其他家的不同，像似個「荷包蓋子」很可愛。皮的厚度剛好而一致。內餡不鹹，帶濕潤。口味比一般水煎包來得好喔😀現在一顆雖然漲到14元，但是品質穩定，很是願意做固定客。推薦喔😀
 樂樂 ,https://www.google.com/maps/contrib/115095802881063332197/reviews?hl=zh-TW,3,True,199,"小籠包讓我嚇到！我以為我點的是包子⋯皮很厚，肉有點少，雖然肉味道不錯，小籠包一籠是5顆。
酸辣湯料很實在！超多料！很好喝"
 A. T. ,https://www.google.com/maps/contrib/107943704455824890342/reviews?hl=zh-TW,5,False,40,酸辣湯超好喝，會為了買它專程跑一趟
 Jarod Chen ,https://www.google.com/maps/contrib/105470044866760544533/reviews?hl=zh-TW,4,True,203,"韭菜水煎包13元
約110g

韭菜冬粉料給的很足
有點偏油
味道尚可不輸連鎖店
很便宜還有套餐搭配蘿蔔湯可選擇"
 Andy Hung ,https://www.google.com/maps/contrib/107455892342674746517/reviews?hl=zh-TW,2,True,"1,856","◎日期：2017-12
◎餐點：韭菜水煎包、高麗菜水煎包
◎餐點-高麗菜包：高麗菜為切細的高麗菜、有碎肉、些許薑、稍油。
◎餐點-韭菜包：韭菜嫩、有小蝦米、碎蛋、冬粉，不錯。"
 Tsai Yi ,https://www.google.com/maps/contrib/108440173843401428614/reviews?hl=zh-TW,4,True,387,高麗菜水煎包不錯吃！蝦米的香氣十足，高麗菜、薑末、絞肉味香甜，一顆13元。
 Lulu Chen ,https://www.google.com/maps/contrib/106539269008555657050/reviews?hl=zh-TW,3,True,263,小籠包皮還不錯。內餡一般。路過可買不用特地
