user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 YI-LE LIU ,https://www.google.com/maps/contrib/107358994427855314181/reviews?hl=zh-TW,5,True,313,"有舒服的綠茵門面，看出去就是公園，悠閒舒服！尤其是坐在窗邊真的很愜意♥️♥️♥️店裡低消一杯飲品或一個套餐，真的很佛心☺️
今天吃了元氣早午餐系列！真的很適合游泳運動完來吃！💪🏻💪🏻💪🏻醬料最特別的是有紫蘇梅醬可以選擇！還有手作三明治🥪竟然有鮮蝦口味🦐那必須來嚐看看😋
點了一杯單品手沖-最喜歡的衣索比亞古吉日曬，果然味道不錯！圓潤飽滿、尾韻酸中帶甜！最特別的是這個！酪梨布丁🥑🍮是用現打果汁呈現，酪梨搭配義美布丁，喜歡這裡悠閒舒服的下午時光！"
 Nicole Lai ,https://www.google.com/maps/contrib/102384322192336547584/reviews?hl=zh-TW,4,True,977,"空間寬敞明亮
早午餐時間人少非常舒服
今天點了雞肉湯品套餐加可頌
可頌鬆鬆的口感很好
雞肉湯裡有雞肉塊
飽足感很夠
網友照片很完整可以參考
補上咖啡及早午餐menu
今天喝蘇門答臘雖然說中淺烘培但是只有尾韻帶微酸
覺得厲害
地下室空間很特別
還有天井透日光
覺得很棒"
 羅婉瑜 ,https://www.google.com/maps/contrib/113044005127687255549/reviews?hl=zh-TW,4,False,12,"牛肉湯：不難吃

貝果：使用多種雜糧製成的，營養健康，可惜烤得太過了，乾到有點難下嚥

抹茶拿鐵：味道很濃郁，但個人不是很喜歡

環境清幽，平日白天客人少"
 Odell Chiang ,https://www.google.com/maps/contrib/109735664819185202100/reviews?hl=zh-TW,5,False,14,"私藏的秘密基地。
隱藏在民宅一樓處，空間十分寬敞明亮。咖啡與餐點雖然中規中矩，但在台北市要找到這樣看書、休息發呆的地方且不限時是相當不容易。5顆星給採光與舒適的座位，店員也不太會理你，根本是冷漠害羞人最愛的ㄧ大優點。:)"
 Jimmy Chu (Jimmy) ,https://www.google.com/maps/contrib/101499716468210660692/reviews?hl=zh-TW,5,True,79,內用位置多且非常寬敞舒適，咖啡甜點也都美味
 陳多多 ,https://www.google.com/maps/contrib/108859072371915760173/reviews?hl=zh-TW,2,True,149,店員服務值得五顆星，但咖啡很不好喝，好像7-11的拿鐵真的驚呆我了，還比7-11貴了三倍，大概是那附近沒什麼競爭吧。
 Peggy Wang ,https://www.google.com/maps/contrib/116090855347838992007/reviews?hl=zh-TW,4,True,52,"今日消費點了
元氣早午餐（雞肉）＋茉莉綠茶，共270元
餐點價格非常佛，因為是滿滿的一大盤含麵包（可選種類可頌或吐司等）、兩種水果、優格、雞肉丁＋沙拉。
幾乎九成的原型食物，非常健康，每一種食物份量也很足。
用餐區與廁所雖不算非常美麗裝潢或豪華感，但也屬乾淨。
無論一個人用餐，或幾個好友聚會都非常適合的環境。
但今日運氣不好，遇到幾個沒有公德心的女顧客，無視店內其他人的權益聊天喧嘩大笑，無論店員或顧客受不了上前勸阻都沒用，不知道與店內裝潢有無關係，只要有人聊天很大聲，整個店內就吵雜到不行，可惜了。"
 dong liang lai ,https://www.google.com/maps/contrib/116263230060460696548/reviews?hl=zh-TW,5,True,410,"城市寧靜咖啡店,咖啡好喝,環境舒適。"
 Mikala K ,https://www.google.com/maps/contrib/115490018095069715066/reviews?hl=zh-TW,3,True,"1,763",店內空間很寬敞舒適，cappuccino奶味較重，外帶咖啡有優惠。
 Tien ,https://www.google.com/maps/contrib/104926517545416544816/reviews?hl=zh-TW,4,True,151,"空間大
低消一人一飲品或餐點"
 ʀᴜɴɴiɴɢ éмɪʟʏ ,https://www.google.com/maps/contrib/114444968519223161425/reviews?hl=zh-TW,5,True,681,"一個座落在住宅區隱蜜的咖啡廳..
光看外觀不覺得會是間咖啡店
很舒服的環境..雖然很多人來工作或看書
店內如前面所說是有點可惜
比較缺乏特色應該是指桌椅的部份
但這的蛋糕和貝果,很難得不踩雷的好好吃~
店員也服務態度很好，也有下午茶的小小優惠
加上手沖不錯喝，算是一種午后的小確幸..
會再回訪的好店💜"
 Jeany Tsai ,https://www.google.com/maps/contrib/108033090192328710034/reviews?hl=zh-TW,5,True,87,坐起來很安靜舒服的一家店。在冷冬喝這一碗番茄牛肉湯，暖暖的一下子就喝完了，因為帶點微辣，所以直到喝完都不會覺得膩口。可頌有加熱過，吃起來是鬆軟的口感，若是喜歡酥脆口感的人，可能會覺得有點不慣。
 Vivian Lung ,https://www.google.com/maps/contrib/102829511742415146655/reviews?hl=zh-TW,4,True,207,幽靜巷弄內的舒適咖啡店，空間明亮寬敞但美中不足的是只供應2種簡餐，鹹派類食物
 Arisa Liao ,https://www.google.com/maps/contrib/105196567899593456265/reviews?hl=zh-TW,5,True,66,空間寬敞舒適，座位還有沙發區，很適合朋友聚會的咖啡廳，有許多沙拉、鹹派、貝果和甜點可以選擇，咖啡、花茶及啤酒都很棒！非常推薦的一家舒適咖啡廳！
 Ruby ,https://www.google.com/maps/contrib/115426850407929146429/reviews?hl=zh-TW,3,True,149,沒有明顯招牌，不特別注意的話會以為是公寓的大廳。不限時有wifi。飲料選項不多，餐點是輕食鹹派等等。
 Albert ,https://www.google.com/maps/contrib/101753004943346493208/reviews?hl=zh-TW,4,True,67,"飲料茶味咖啡味不足
肉桂味明顯，喜好看人
可頌香但不夠酥且帶點油味
蕃茄牛肉湯番茄夠酸微微胡椒辛辣感還不錯
可惜牛肉難嚼
雞肉湯很像雞蓉粥，會有種底下有飯嗎的錯覺
喜好看人

氣氛好環境舒適
是一間環境大於食物的店家"
 金田兄 ,https://www.google.com/maps/contrib/117860937017347121544/reviews?hl=zh-TW,5,True,787,環境寬敞溫和，裝修乾淨俐落，好聊天！咖啡不錯！
 Lo Stark ,https://www.google.com/maps/contrib/109111470536401779369/reviews?hl=zh-TW,4,True,193,空間大，很有個人空間，還有絕美的落地窗。不會太吵，適合帶著筆電來享受一個完美的個人閒暇午後。音樂播著90年代或以前的美式風格歌曲，非常舒適。👍🏻
 I-Han Chen ,https://www.google.com/maps/contrib/110050832229270266101/reviews?hl=zh-TW,5,True,30,非常安靜、空間寬敞的咖啡廳。餐點好吃，咖啡也好喝。適合一個人安靜做事或少數朋友聚會。
 吃貨營養師高敏敏 ,https://www.google.com/maps/contrib/108640429452671916259/reviews?hl=zh-TW,5,True,682,B1演講展示空間大！講座活動都非常方便！
 CHENG-HUI CHENG ,https://www.google.com/maps/contrib/102002304221140883054/reviews?hl=zh-TW,4,True,38,貝果好吃，如果能再更酥一點就更好了；芝麻生乳酪偏酸，口感比較像是慕斯的綿密感（而非吉利丁的Q彈感），非常扎實美味。環境寬敞明亮，人多時也不會太吵雜，致命的缺點是網路會斷斷續續，看影片的我只能用自己的手機連網路，很可惜
 鄭啟佑 ,https://www.google.com/maps/contrib/113026905926671595865/reviews?hl=zh-TW,5,True,42,"隱身小巷民宅大樓的簡約咖啡廳，不留神就很容易錯過，沒有華麗的裝潢，反而給人低調清新的閑適感。店內多側都有大型落地窗，細雨中望向窗外植栽造景，頗有詩意。

店內座位間的間隔寬敞，不會受到隔壁客人的影響，能夠專心做自己的事。搭配咖啡與書不自覺就渡過一個週末午後。"
 Penny Chen ,https://www.google.com/maps/contrib/103389372844767646342/reviews?hl=zh-TW,5,True,294,沒有服務費，空間也蠻舒適的。有一些鹹點可以吃，點的是蕃茄牛肉湯配可頌+咖啡250元
 小天使 ,https://www.google.com/maps/contrib/102395756844462676976/reviews?hl=zh-TW,4,True,214,"有一個大青石為石敢當的大器門面~

3面採光的用餐環境~立馬擴胸好心情

素食者也有水果優格沙拉~"
