user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Jeffrey Kao ,https://www.google.com/maps/contrib/109904520325441754420/reviews?hl=zh-TW,4,True,642,"透過知名團購意外發現這家評價不錯且位在東區的義大利麵分店。有先買了幾張團購折價卷，於禮拜天的中午大約將近11:30跟家人一同去內用。店裡頗大有兩間店面的空間約可同時容納30~40人吧，裡面已經坐半滿了。大約12:30就要在外面後位了所以生意真的不賴。

菜單簡潔易懂不過很可惜當天有食材如鮮蚵缺貨還沒到無法點。另外加麵服務是不需要額外收費的且沒有服務費真的在東區這樣是非常難得可貴的。份量來說加大的算還可以一般都可以吃飽不過如果是比較會吃的可能還是要多點個湯或是甜點。湯的部分是可以不過個人覺得CP值偏低因為份量偏少。甜點因為不愛所以沒有嘗試無法評價。

自助式的飲料有氣泡水跟一些氣泡飲料跟果汁，氣泡水的開關很難控制稍微開一點就會水暴衝出來往身上噴所以要小心，餐具紙巾也都是自助很方便。

整體感覺物超所值（如有用團購折扣卷），難怪客朋滿座尤其是用餐時間還必須外面後位等待。最後特別要誇服務的年輕小妹妹，沒有注意到她的名牌，不過服務非常好跟有禮！雖然有點生澀不過真的連我這個曾經做過餐飲對服務比較挑剔的小奧客都滿意且印象深刻！"
 Kevin Chiang ,https://www.google.com/maps/contrib/110110997043852434654/reviews?hl=zh-TW,5,True,116,"這家店在熱鬧的巷弄裡，店面設計以木質地磚白色牆面廚房牆面保留水泥原始牆，餐桌木質桌面搭配黑色金屬管坐椅亦同，進出廚房有扇木質拉門，整體感覺明亮乾淨，店內滿坐可容納60位客人，平均個人消費約在200-300間算是低消費的店。
點餐自己勾選寫上餐號為(品項）及英文代碼（5種做法），可選加辣或加麵，湯品及甜點另跟服務人員口訴點選，我點了鮮蝦干貝紅醬意大利加玉米濃湯，只要點餐飲料就無限供應。
點餐後上菜速度很快約10分鐘，玉米濃湯口感很好濃度也恰到好處，鮮蝦干貝義大利麵，麵Q醬汁濃郁可口，唯一缺點鮮蝦有點煮過頭了一些，服務人員很客氣服務態度很好，性價比高的一家餐廳，整體而言我給4.8顆星，這樣的價格及餐點品質值會常常光顧的。"
 郭寶妮（Bonnie KUO） ,https://www.google.com/maps/contrib/118370467313697417241/reviews?hl=zh-TW,5,True,84,"「平價美味的高CP值義大利麵，
青醬蛤蜊口味最推推！」

價格非常平價，外送價格平均200以內，可以客製加麵或筆管麵，共有紅醬、青醬、白醬及咖哩將可以選，用料大方外，醬汁也不錯，最驚豔是溫度控管很好，即使外送收到吃麵還會被燙到，推薦給喜歡吃很燙的人。

點過兩次餐點，以下為口味介紹：

青醬鮮味蛤蜊條麵（換筆尖麵）
蛤蜊新鮮且量多，食材與青醬味道融合且香料層次豐富，與麵條很搭很好吃！目前最喜歡口味！

海鮮濃湯
屬於清爽型濃湯，已外送價格60元而言，用料很實在外，調味清爽很耐喝

紅醬醃燻鮭魚
真材實料的紅醬，可以品嚐到切碎番茄，原剛開始品嚐覺得醬料偏甜，將鮭魚與醬汁扮開後，帶點煙燻鹹味很好吃！"
 Jason Wu ,https://www.google.com/maps/contrib/105475846313273990112/reviews?hl=zh-TW,5,True,270,"台北東區-不萊梅BREMEN忠孝店

意外發現一家感覺起來不屬於東區的店家，平價義大利麵店，各式義式的麵、燉飯、焗烤，甚至是蛋包飯都有，點菜單也很便利，先選擇主要的口味，再選擇是麵或飯，然後麵條種類以及是否要辣要加麵等等，另外還有酥皮濃湯以及兩種湯麵可以選擇唷。

路口處腹地滿大的，採用大片落地窗，不會讓人感覺店家狹小，店內裝潢明亮、寬敞，用餐起來非常的舒適，其中，最出乎意料的竟然是飲料還可以喝到飽，我們點了肉醬麵、海鮮麵、酥皮玉米湯、酥皮海鮮湯，總共花費450元，這在東區是一個人的消費欸，是不是很誇張？

先說說湯品，兩者湯長的有點像，就是差別在海味和配料的部分，它的特最讓人喜歡的地方是它不會像一般牛排店煮的那麼勾芡，喝起來很舒服，也很好喝，麵條煮的恰到好處，再與醬料拌炒結合起來，非常好吃，肉醬麵屬於比較濕一點的，青醬海鮮也給很多海鮮唷，是一家很優質的店家👍

#台北市#台北東區#東區#216巷#忠孝東路#義大利麵#義式料理#東區美食#聚餐#不萊梅#BREMEN"
 Vanessa Kao ,https://www.google.com/maps/contrib/105292088337858195977/reviews?hl=zh-TW,4,True,262,"台北東區-不萊梅BREMEN忠孝店

製作完客人訂製給新生寶寶客製禮物的「出生體重熊」，意外發現一家感覺起來不屬於東區的店家，平價義大利麵店，各式義式的麵、燉飯、焗做完客人訂製的烤，甚至是蛋包飯都有，點菜單也很便利，先選擇主要的口味，再選擇是麵或飯，然後麵條種類以及是否要辣要加麵等等，另外還有酥皮濃湯以及兩種湯麵可以選擇唷。

路口處腹地滿大的，採用大片落地窗，不會讓人感覺店家狹小，店內裝潢明亮、寬敞，用餐起來非常的舒適，其中，最出乎意料的竟然是飲料還可以喝到飽，我們點了肉醬麵、海鮮麵、酥皮玉米湯、酥皮海鮮湯，總共花費450元，這在東區是一個人的消費欸，是不是很誇張？

先說說湯品，兩者湯長的有點像，就是差別在海味和配料的部分，它的特最讓人喜歡的地方是它不會像一般牛排店煮的那麼勾芡，喝起來很舒服，也很好喝，麵條煮的恰到好處，再與醬料拌炒結合起來，非常好吃，肉醬麵屬於比較濕一點的，青醬海鮮也給很多海鮮唷，是一家很優質的店家👍

#同畫世界體重熊#新生兒禮物#謝親恩禮物"
 Yun Ding ,https://www.google.com/maps/contrib/106909419181302741029/reviews?hl=zh-TW,5,True,514,"2022年08月14日星期日
Ubereat第一次訂購
【煙燻鮭魚義大利麵】＄190元
＜青醬＞
有備註醬汁多一點，
真的有多很多，
吃的非常開心，
鮭魚是很熟的那種，
還不錯，
麵條是軟的，
餵女兒吃剛剛好。

【玉米濃湯】＄40元
蠻好喝的耶～
對我來說口味很剛好。"
 蔡俊發 ,https://www.google.com/maps/contrib/109600477630029839613/reviews?hl=zh-TW,5,True,99,"這間CP值超級高👍而且超級好吃😍😋😊在gomaji上找到的在上面購買餐券更便宜

這間有11種餐點（不含湯品湯麵）每項餐點有5種主食可選（義大利麵、焗考麵、燴飯、焗飯、蛋包飯）、5種醬可選（青醬紅醬肉醬白醬咖哩醬）且麵類2種可選（條麵和斜管麵）
很可以用排列組合的方式去吃🤔😂😂🤙🤙🤙👍

很適合學生去吃菜單上主餐每項不超過200
偶點的是青醬總會海鮮條麵加點海鮮酥皮濃湯"
 HT Yang ,https://www.google.com/maps/contrib/110905426243341609941/reviews?hl=zh-TW,5,True,203,空間明亮寬敞舒適，服務優良，一入座即給予置物籃，並時時注意顧客需求。焗烤義大利麵好吃，麵條熟度很剛好，青醬味道也不錯。巴斯克蛋糕稍甜但乳酪味濃郁。
 Tai Yi Tseng ,https://www.google.com/maps/contrib/105956266971015196088/reviews?hl=zh-TW,5,True,342,"曾經造訪過兩次士林店
這次依然使用GOMAJI餐卷來到忠孝店～
雖然整體漲價十元但使用餐卷消費還是非常划算
✨焗烤奶油海鮮直麵+麵🍝
首次挑戰不萊梅的白醬之前都吃青醬、紅醬
覺得白醬中規中矩奶味沒有到很重但是焗烤🧀️給的非常大方🤩起司🧀️厚厚一層愛吃焗烤的一定要試試看👍海鮮的料有蛤蜊蝦子魚肉花枝還有兩朵花椰菜🥦料蠻豐富的～

✨焗烤奶油燻鮭魚直麵+麵🍝
這道是男友點的因為也是點焗烤🧀️所以鮭魚包覆在裡面就不像直接點🍝那麼生但是美味程度不減煙燻味令人垂涎欲滴🤤

總結言是夠麻吉我們的首選愛店❤️每次想不到要買什麼就會選擇購買Bremen🍝決不出錯～
相較於士林店我們一致認同更喜歡忠孝店的環境氛圍開在東區中午也有不少上班族來光臨非常羨慕他們上班期間也能吃到那麼治癒人心的美食😋😋😋大推✨"
 BigShiun Lee ,https://www.google.com/maps/contrib/100796149605031705569/reviews?hl=zh-TW,4,True,488,算是類似廉航的義大利麵店，想吃什麼就點，不會強迫被消費套餐，麵都可以加麵，份量算蠻足的，味道也很不錯，巴斯克蛋糕很好吃，青醬微辣也很讚，還有喝到飽的飲料機，給推。
