user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 伍玖玖 ,https://www.google.com/maps/contrib/104628999236830952049/reviews?hl=zh-TW,3,True,458,"美式餐廳-門口有花園的感覺，也有一些座位，店內裝潢還算有質感，靠牆的沙發座位不夠深會一直滑。入座後桌上會提供檸檬水跟餐具，檸檬水的檸檬味不夠，桌子空間偏小，與隔桌距離算近，需收服務費。加入Ocard會員可以領取66元折價卷。

牛排店應該要很好吃的牛排不好吃❌，牛肉有咬不爛的筋，服務生會上前來詢問用餐是否滿應，當下就直接提出問題，服務生就把整盤收走，重新給二塊新的牛肉，但重新上的還是一樣有咬不爛的筋❌，接著就不會再來關心了，但來收餐時還是有提出來，但服務生也無能為力，只說會再反應。

舒肥炭烤紅酒醬汁厚切牛排(8oz)490元➡️牛肉有硬筋咬不爛，牛肉缺少香甜味❌，反而配菜比較出色。炭烤鳳梨👍還蠻特別的清爽解膩，炭烤蔬菜串👍還蠻多樣口感配牛肉還不錯。

史坦利豪華海陸拼盤550➡️裡面有魷魚、香酥蘑菇5顆、辣雞翅6支、白蝦5支，搭配三種醬料，但其實直接吃味道就夠了，醬料有點多餘。

魷魚腳沒有切開❌，就一大串下去炸，食用上也很不方便，還沒附刀子，只能用牛排刀切開。

蘑菇超級大顆👍，非常驚人，第一次吃到這麼大顆多汁的炸蘑菇。

辣雞翅味道有點迷漾，肉不會炸的過老，醬汁很多但味道不夠出色。

蝦肉Q彈，但沒蝦子味。

西洋芹很脆👍，搭配沾醬好吃。

糥米椒很大一顆，吃起來有青椒的味道。

套餐加190有濃湯、飲料、甜點，濃湯中規中矩，飲料是美式賣場也有賣的TREETOP蘋果汁。

熔岩巧克力蛋糕佐香草冰淇淋，熔岩巧克力有烤過會流出巧克力醬👍，不會過甜很好吃，但是香草冰淇淋味道詭異，沒有香草味也沒有甜味❌。

附加一提，因為牛肉筋很多卡牙縫的意外有可能會發生，建議要自備牙線。"
 康詠棋 ,https://www.google.com/maps/contrib/112720169941730849125/reviews?hl=zh-TW,4,True,28,"檸檬紅茶有澀味
可能是檸檬片泡太久？

舒肥牛排很嫩熟度五分不見血很剛好
烤半雞真的超級好吃！連雞胸都很嫩
甜甜嫩嫩的外皮又酥真的超級推薦！

炸蘑菇出乎意料的好吃
外皮酥脆裡面非常juicy

配餐的話推薦薯條～
地瓜薯條又甜又酥感覺薯條也很讚
奶油玉米冷掉的話油膩感會比較重要趕快吃完
薯泥跟蒜球覺得一般般
加價的烤大蝦覺得普通

甜點必須點熔岩巧克力蛋糕🥰
外酥內流心又不會太甜
搭配甜度不高的冰淇淋
還有旁邊的鹹餅乾屑屑
真的是無敵👍👍👍

當日壽星有刮刮卡
可以抽餐點又抽到甜點🤤

可以用這麼平價的價錢
吃到這麼好吃的食物真的是要無限回訪
用餐時間限90分鐘聚餐時間可能不太夠

——————————————
食物方面非常願意給五顆星
但當天主餐吃到一半就突然送上甜點
連詢問都沒有就突然端上又是冰淇淋
只好先把甜點吃完才繼續吃主餐
然後全部食物冷到不行讓人非常錯愕
後來觀察到其他桌都有先問是否可以上甜點
用餐時間也還沒到有種不被尊重的感覺⋯
當日壽星本來吃到美食的開心感都被毀了🥲
只好扣一顆星"
 Shan ,https://www.google.com/maps/contrib/117494407194454739729/reviews?hl=zh-TW,4,True,208,"看更詳細介紹&更多美食➡ⓘⓖ:𝑠ℎ𝑎𝑛𝑛33_𝑓𝑜𝑜𝑑𝑖𝑒

🌻炭烤頂級美國去骨牛小排7oz
點7分熟，肉質軟嫩好吃，跟招牌雪花牛排相比比較喜歡牛小排，薯條也炸的剛剛好，外酥內濕潤，是我愛的完美薯條🤣

🌻舒肥炭烤雪花牛排8oz+炭烤龍蝦（半隻)
點5分熟，但牛排吃起來有點硬跟難咬，不推雪花牛，焗烤龍蝦還可以，配菜選的地瓜薯條跟馬鈴薯條一樣好吃！

🌻肉桂蘋果派佐香草冰淇淋
今天最喜歡的一道！！！
外面酥皮包覆著蘋果跟醬，吃下去帶著淡淡的肉桂香，剛出爐熱熱的配上隔壁的香草冰淇淋，冰火相融，吃完幸福一整天，大推必吃😏

🌻熔岩巧克力蛋糕佐香草冰淇淋
今日優秀第二名！
外皮像是酥脆的布朗尼，切開來還會冒煙，流出濃濃的巧克力醬，又漂亮又好吃

---------------🅢🅒🅞🅡🅔-----------------

環境🌕🌕🌕🌕🌘
食物🌕🌕🌕🌕🌑
CP值🌕🌕🌕🌕🌘
服務🌕🌕🌕🌕🌗店員態度友善👍
再訪🌕🌕🌕🌕🌘

-----------------🅘🅝🅕🅞-----------------
支付方式💰
現金/信用卡/applepay/samsungpay（10%服務費）"
 傑米歐 ,https://www.google.com/maps/contrib/118037580713900486433/reviews?hl=zh-TW,4,True,329,"餐點好吃！牛小排五分熟軟嫩口感配上玫瑰鹽剛剛好😋不過份量稍嫌不足（$790）
酥炸中卷實在是很好吃！麵衣酥脆不會過厚，吃的出中卷的鮮甜🦑😍
鮮蝦凱薩沙拉🥗超大一份裡頭有6隻去殼烤白蝦！🦐肉質扎實鮮美、蘿美葉🥬小番茄、麵包丁也都很新鮮！凱薩醬鹹度濃度也恰到好處不會膩口，整體很搭很清爽🤩
上述三種是最為滿意的料理！推推😋
豬肋排、炸起司蝦球、套餐玉米濃湯、甜點布朗尼就比較不合個人胃口，故不多做評論。
服務生態度不錯！不過假日客滿時人手稍嫌不足，動作較慢。
價格在台北市來說算是比較平易近人的～"
 Blue Bleu ,https://www.google.com/maps/contrib/115865154103632954686/reviews?hl=zh-TW,4,True,99,"總結：
整體來說還不錯，
帶點網美感的裝潢，
不算太貴的排餐，
約會不會大破財的地方😂

主餐：
牛排還不錯，
口感軟嫩，但是味道不算驚豔。

海驢魚的皮很香脆。

豬腳很煙燻…

配菜：（每個主餐可8選2）
炭烤鳳梨🍍很棒，
玉米很香但沒有太甜，
地瓜薯條很涮嘴，
薯泥也不錯。

套餐內容：
濃湯🍲沒有很熱…
飲料就是…飲料
蘋果派個人覺得太甜😅

前菜：
單點的炸蝦球,嗯….吃起來不燙口，沒有現炸那種好吃的感覺

入會禮酥炸蘑菇，很燙口很好吃。

以上"
 Audrey FU ,https://www.google.com/maps/contrib/118393879689858579799/reviews?hl=zh-TW,5,True,263,"第一次來這家餐廳用餐，氣氛感覺很不錯，看到菜單上的價格也不會被嚇到，點了一份雪花牛，任選兩樣配菜，這點實在很貼心，我選碳烤鳳梨是一大片很豪邁，牛排很厚實，只是五分熟沒封主血水是美中不足，其他一切都不錯。
若能將用餐時間1.5hr加長至少2小時用餐會更好！"
 Phebee Kao ,https://www.google.com/maps/contrib/101180472973605512822/reviews?hl=zh-TW,3,False,12,"3顆星獻給好吃的餐點，和努力挽救客人心情的主管，不然當天服務品質1顆星真的都不會給。

生日當天被門口男服務生的對應方式，與催趕用餐的上菜節奏，毀了整個用餐的好心情。食物好吃且高cp真的沒話說，但希望餐廳能在要求高換桌率的狀況下，稍微抓一點緩衝時間與桌數，並再更重視一點眼前正在用餐的客人，畢竟這樣高品質的環境與餐點，應該不是想做速食快餐類的生意。
（遑論眼前還有好幾桌空桌，就一直想請用餐不到60分鐘的客人吃完甜點離場）"
 張恩庭 ,https://www.google.com/maps/contrib/114248753932120810574/reviews?hl=zh-TW,5,False,20,"這是我第二次來訪☺️
這次點的是：
舒肥炭烤雪花牛7分（喜歡瘦一點的可以推推）&美國去骨牛小排7分還有主廚濃湯（喜歡肥嫩的可以推推）
上次來是朋友推薦說很好吃就一起來用餐。服務人員的態度真的很好，因為剛好今天想幫朋友慶生，準備了蛋糕，服務人員也是立馬幫我冰起來，跟我說到時再知會他一聲即可。還很用心的用盤子幫我們把蛋糕端過來，最後再幫我們把剩下的蛋糕打包回去。
這整個過程的服務是非常滿意跟享受的！！！謝謝你們今天的服務，真的很滿意，希望下次的生日趕快來，就可以再來用餐😍"
 penny Lai ,https://www.google.com/maps/contrib/105656491392944750481/reviews?hl=zh-TW,3,True,248,"祝我生日快樂🎂
.
.
🥩去骨牛小排$7905分熟
🥩16oz舒肥雪花牛$830
.
🌟配菜8擇2
.
➕夏季雙人套餐$669
內含湯.沙拉.鮮蝦起司球/炸蘑菇2擇1.飲料
————————————————
整體環境舒適
但雙人座位區有點離太近
.
上菜速度快
配菜是冷的
牛肉很嫩
少許1.2塊帶筋咬不爛
烤鳳梨很有趣
表面溫溫裡面冷冷
但很甜也解膩
.
優惠套餐沙拉頗單調
只有蘿蔓➕少許番茄.麵包丁.黑橄欖.培根碎
蝦子不推
我的剝完肉都碎了
還有很重的泥腸味
另一份比較正常
.
飲料飲料甜橙葡萄柚氣泡飲推推
口味很清爽
.
後續
買單時小姐詢問口味
反應蝦子部份
小姐說下次可以早點反應
可以做更換什麼的
(所以這樣反應還不夠早？）
最後折扣蝦子的部份
.
不予置評
但牛肉是好吃的
(順帶附上蝦子剝殼照）
.
.
.
IGfollow:spenny0905
."
 nini c ,https://www.google.com/maps/contrib/100768998270996355040/reviews?hl=zh-TW,4,True,140,疫情以來已經這麼久了，終於買到他們的午間餐盒。店員都非常親切有禮，包裝也非常完整周到。如果是點菜單餐點外帶，他們會用鋁箔材質的保溫餐盒，推推他們細心包裝，餐點也好吃、服務親切💛
