user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Yuting wong ,https://www.google.com/maps/contrib/105846202996122700367/reviews?hl=zh-TW,3,True,180,"擔仔麵不錯吃，但是溫溫的，不夠熱燙。
古早味豬油拌飯、滷嫩豆腐好吃。
手工芋丸滿大顆，內餡很細很甜，外面炸衣非常酥，但是炸得很黑、油味很重吃起來很膩。

-
外觀打造成有點檔次的餐廳，但內裝已經老舊有點蕭條。
菜單豐富，但菜單本上劃掉不再供應的菜感覺比有供應的菜多，不如重新印刷一本😂

-
洗手間入口的門會自動回彈，開關不是很便利。"
 Pin-Chieh Chen ,https://www.google.com/maps/contrib/113435034297528577492/reviews?hl=zh-TW,4,True,345,"口味普通～
但仔麵偏清淡🥚青菜裡面有很多菜蟲🐛
服務還不錯啦～假日晚上不用排隊。"
 CHIAO YUN TENG ,https://www.google.com/maps/contrib/104018604873023221207/reviews?hl=zh-TW,1,False,4,"從平台上點的外送當下馬上打給店家告知詢問廚師是否有戴帽子？擔心廚師繼續掉毛髮給客人吃（尤其現在疫情嚴峻下…）
得到反應是態度很差廚師有戴帽子叫我去平台上反應…..
連個抱歉不好意思都沒有….😀😀😀"
 Cloudy Tsai ,https://www.google.com/maps/contrib/114922128843087206428/reviews?hl=zh-TW,4,True,192,隱藏在東區巷弄的度小月，疫情期間沒了觀光客的加持，慘澹經營，下午2-5時是休息時間，要來品嚐的人別白跑一趟！
 wan foo Ma ,https://www.google.com/maps/contrib/104605243752867899388/reviews?hl=zh-TW,2,False,41,以往去度小月都覺得蠻好吃，只是貴了點。今天吃了外送餐盒，配菜普通也不差，但主菜古早燒肉令人難以接受。如果說是滷失敗的排骨還比較像。
 이하나 ,https://www.google.com/maps/contrib/117564419292930136018/reviews?hl=zh-TW,5,True,139,"第一次吃擔仔麵⋯其實就是肉燥麵😂
湯是蝦子熬煮的～
豆腐很好吃！"
 tony wang ,https://www.google.com/maps/contrib/102346995366384545553/reviews?hl=zh-TW,2,True,119,除了失望還是失望，完全走味的餐點，已是快炒店的品質和服務，對的起這塊招牌嗎？(一個生氣的臺南子弟)(照片中擔仔湯米粉已吃完了)
 tingting su ,https://www.google.com/maps/contrib/106592678540785105858/reviews?hl=zh-TW,4,True,413,雞腿排還不錯豐富的配菜菜量和飯真的不少湯可自選飯有2種椒鹽雞腿肉丁味道是不錯可惜炸得有點硬
 Cody Liu ,https://www.google.com/maps/contrib/107182020686443538634/reviews?hl=zh-TW,4,True,196,口味偏重，不過還是蠻好吃的，推擔仔麵
 Yonton Kormar ,https://www.google.com/maps/contrib/105193479750909864973/reviews?hl=zh-TW,5,False,901,"東西好吃，但是除了三杯豬腳真的太硬，其它都不錯！
外送便當🍱，非常好吃！
炒鱔魚也不輸台南本地。"
 Laurence Chiang ,https://www.google.com/maps/contrib/113557326943311295594/reviews?hl=zh-TW,5,True,182,很台南的味道，整體來說不錯
 Ema Fu ,https://www.google.com/maps/contrib/110353588630183333567/reviews?hl=zh-TW,1,False,1,現在的度小月劣化太大了。肉燥味道也不對了。以前還在永康街開分店時，小菜品質口味都不錯，衛生也很注意，現在分店越來越多卻連麵條都不好，根本不是度小月了。
