user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Carrie Tsai ,https://www.google.com/maps/contrib/109757677121009257455/reviews?hl=zh-TW,5,True,118,"都要吃完了才想到要拍照😂
這裡是很有道地日本燒肉店風味，店裡小小的不走奢華路線。給你好的品質不過多餘複雜的擺盤和調味。只是煙霧瀰漫吃完一身濃濃燒烤😌但無所謂"
 Chihying Huang ,https://www.google.com/maps/contrib/108844452958567402409/reviews?hl=zh-TW,5,True,63,"在東區竟然可以有Cp值這麼高的燒肉店寶藏店家呀
-
🥩上等橫隔膜280$
🥩上等牛舌280$
🥩極上牛五花480$
🥩上等牛五花360$
他們家的牛肉都很鮮甜香嫩醃過的味道剛剛好讚的

🍳海鮮拼盤680$
包含生干貝花枝柳葉魚大草蝦
然後不得不說每一道都有到經驗的程度(´･Д･)」好意外調味都適中食材也夠新鮮份量誠意也有到
🍳櫛瓜120$
真的是我吃過最好吃的櫛瓜沒再誇張看似平淡的調味卻回味無窮（就是吃完過三天後還是會想念的味道）我可以為了它再訪好多次
🍳辣蒟蒻80$
也不錯有點像是比較甜的魔芋爽

🍺白桃烏龍80$
🍺冷泡烏龍茶60$
今天不喝酒喝茶
-
唯一缺點可能就是他的抽風效果整家店偏小所以抽油煙不夠強的話店裡有點小煙霧瀰漫可惜可惜"
 Abbey0729 ,https://www.google.com/maps/contrib/100189572580588015857/reviews?hl=zh-TW,5,False,7,"厚切牛舌必點，還有上等牛五花都好好吃
店面小小的很溫馨
就算一個人來也不會尷尬
每次吃個兩盤肉就飽到不行
附贈免費雞湯讚讚讚
重要的是
服務超好，店員很細心親切
餐後還有小點心"
 柯汝慧 ,https://www.google.com/maps/contrib/105420011104969362271/reviews?hl=zh-TW,5,False,4,肉新鮮好吃，適二、三個人去吃，很多有日式氖氣，沾醬調味佳，最後老闆會送小點心收胃
 曇花 ,https://www.google.com/maps/contrib/103521312443690792778/reviews?hl=zh-TW,3,True,79,"好吃歸好吃，但是價格非常貴，3人8道菜，只有3份是牛肉，其他不是蔬菜就是泡菜跟雞肉，竟然要3千6。
這種價格還沒有桌邊服務，而且價格也不透明，秤重的肉品不會跟你說價格，結帳時才知道是天價😒，這真的很糟糕！同樣品質跟價格，老實說有更好的選擇。"
 唐國修 ,https://www.google.com/maps/contrib/107229313837825667197/reviews?hl=zh-TW,5,True,31,哈哈～防疫正時走、躲在家裡烤一波是必須的！今天的端午套餐就麻煩昇師傅了🙇‍♂️嚴選品質～每道食材經獨特醃製、加上精緻擺盤～餐具未齊旁邊屁孩就不斷躁動～一切就緒之後開烤啦！用料新鮮真的沒話說、各式骨輪、雞翅都是心頭好！尤其是秒熟牛五花直接蓋上9號仔～隨著牛油滲進扒了一口我只能說爽爆🤤🤤🤤其實還沒開烤前一度擔心沒有炭火會不會走味～看來是多慮了！昇燒肉職人魂完全體現、專門從日本購置了家庭用烤爐可供租借（這次幸運趕上首波體驗營）在家開烤就是怕油煙～日本燒肉由來已久～烤爐是家家必備單品！兵家必爭之地中的品質無庸置疑、不知道是什麼特別設計、油煙跟以往的烤盤相比下幾乎是沒什麼油煙～而且居然能跟店裡炭火直烤八分像！以後昇師傅那訂不到位置也沒關係了😁不說了～下一波開催！！！！
 Terry X ,https://www.google.com/maps/contrib/103314097470902419242/reviews?hl=zh-TW,3,True,593,好吃又不貴，約會相聚的好地方！值得推薦！
 Charlotte Chen ,https://www.google.com/maps/contrib/102555412332799901311/reviews?hl=zh-TW,5,True,25,ㄧ訪驚豔的東區燒肉，店內坪數雖然不大，但是很適合朋友聚會小酌。
 Roy Wang ,https://www.google.com/maps/contrib/115821839970722887064/reviews?hl=zh-TW,3,True,353,"裝潢日式、服務親切，中間會一直換網，以及有免費熱雞湯搭配蔥，食材有點退步
，本次點了厚牛舌、上選牛五花、內臟拼盤、橫膈膜、肋眼牛排，牛排很失望，希望店家能維持水準，加油～"
 Anna Kan ,https://www.google.com/maps/contrib/100115705575037140372/reviews?hl=zh-TW,5,True,72,"東區巷弄五星日式燒肉🔥
老實說一開始它不是今天要吃燒肉的首選，誤打誤撞看到了4.9顆星🌟的評價，心裡滿是疑問🤔️很好奇決定來試看看。
1.外觀：外觀以日式風格為主，木製拉門加上藍色布簾，一進來座位二十個左右、很有身在日本的感覺👍
2.菜單：以扇子的形式呈現頗具特色，一邊是肉類品項、一邊是酒類和非酒精飲料。
（1）牛肉：
牛五花—油花分佈均勻、入口驚艷👍真的是不輸和牛
另外推薦牛橫隔膜、牛舌
（2）豬肉：
松阪豬、豬梅花
（3）醬料：
洋蔥蘿蔔泥黑胡椒醬—搭配牛豬等肉口感很好、單獨搭配飯也很好吃
雞湯—可加入蔥花、免費續湯
沾醬—醬油、味噌、蒜泥、七味粉
3.服務：老闆和服務生態度親切，時常關心食材是否要添加或加點，並頻繁更換烤網。

➡️整體來說，肉質很厲害，以單點的價位來說cp值👍👍，大概抓一個人1500左右。驚艷的小店～～推薦大家來"
 Gea-Suan Lin ,https://www.google.com/maps/contrib/117036045945380334646/reviews?hl=zh-TW,5,True,128,"(2021/01/06)網路上翻到後跟朋友一起去吃，肉的部份只點牛肉(不是日本和牛)，品質相當好，不過大多都是先用醬醃過(我個人偏好鹽烤)。

另外現場只收現金，記得先去提個錢再來吃。"
 Clare Deng ,https://www.google.com/maps/contrib/107274472256326069562/reviews?hl=zh-TW,5,True,65,"這裡讓我吃到好似回到日本居酒屋的感受～
肉質油花分佈都是品質穩定，已經吃了好多次也介紹很多朋友來吃～成為大家心中的口袋名單❤️馬鈴薯燉肉非常入味，花枝也非常鮮美，限量的牛舌我不想說好吃，因為怕以後吃不到😆"
 MAGZ LAI ,https://www.google.com/maps/contrib/107269630215819208316/reviews?hl=zh-TW,5,True,138,肉質香甜多汁，每道菜都令人驚艷無比
 nicol bao ,https://www.google.com/maps/contrib/103033570847986696733/reviews?hl=zh-TW,5,True,135,"肉非常好吃😋
想吃好品質的燒肉真的很推薦來這邊
一分錢一分貨
不會貴的誇張

服務態度也是無敵好
（但是不要因為好評而預設心理，覺得店家好意就是應該）
店面小座位不多
建議事先訂位
老闆跟店員都和善
有任何問題他們都很願意解答

會再訪的好店
👍"
 Yi-Hsin Chen ,https://www.google.com/maps/contrib/106725649266278523792/reviews?hl=zh-TW,5,True,48,"經過店外頭，聞到像是之前在日本街道的燒烤香，也因為這個香味而臨時進去用餐！
一入店有壺燙口美味的雞湯，搭配新鮮的蔥，真的非常完美！
松阪豚級花枝是我這次最喜歡的餐點，到現在還忘不了花枝的新鮮Q彈～
會給五顆星除了以上感想之外，最重要的事，烤爐一上，老闆默默走過來幫我們把旁邊冷靜出風再調大一點，非常貼心～"
 william kao ,https://www.google.com/maps/contrib/107175714403921427925/reviews?hl=zh-TW,5,True,"1,056","好吃的日式燒肉，店家會詳細介紹每一種肉品來供客人選擇，上等牛五花好好吃喔！
青椒和玉米筍也大推，海鮮也是不錯的選擇
配一杯爽口的生啤，太棒了！"
