user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 JOE LEE ,https://www.google.com/maps/contrib/117623476449503728011/reviews?hl=zh-TW,4,True,169,"麵食和炒菜都不錯的店家，家人都喜歡麵食，因此點的菜少，麵點多。一行六人點了，清炒莧菜，清炒筍絲，沙鍋酸白菜，涼拌檸檬牛，四季豆軟絲，點了多項麵食類，

喜歡：蔥油餅，韭菜盒子（超推），鍋貼，牛肉卷餅，豬肉雞汁蒸餃
一般：紅豆鍋餅，可惜太甜了一點，餡餅，寧式湯包（過於油膩）
插曲：朋友之前吃過酸菜白肉鍋好吃，點了酸菜白肉鍋，上菜時上有許多蚵仔，詢問店家，如果是只要酸菜白肉，要講沙鍋酸白菜，因我們一行人有人不吃蚵仔，因此請店家改成只有白肉酸白菜，店家沒有不悅的表現，還是端回去換給我們。服務態度很好"
 蔡弘儀 ,https://www.google.com/maps/contrib/107315788700133010329/reviews?hl=zh-TW,3,True,308,"麻油川七
川七好嫩😋😋😋
麻辣牛肚還不賴
牛肉捲餅超好吃👍👍👍👍👍
餅類都很不賴
湯包ok
花素蒸餃皮太厚
無錫排骨超柴
鳳梨蝦球粉太厚
應該是蝦太小
所以吃不出蝦味只吃到厚粉🤣🤣🤣
鹽焗雞普普
看Google評價來的
真的有點小失望"
 Yeh Tiffany ,https://www.google.com/maps/contrib/103014748999524550881/reviews?hl=zh-TW,5,False,12,"這次三人點了：
酸菜白肉鍋、牛肉捲餅、豆乾炒牛肉、拌白菜心、蔥油餅，都非常好吃，大推！"
 fang liao ,https://www.google.com/maps/contrib/109665345183545700398/reviews?hl=zh-TW,4,False,576,酸菜白肉火鍋湯底自然酸味，加上鋪滿料理湯頭鮮甜，四季軟絲炸的洽到軟嫩，鹽焗雞肉質味道都不錯，整體都還不錯，生意很好，用餐建議先訂位。
 陳建良 ,https://www.google.com/maps/contrib/114354069657299136899/reviews?hl=zh-TW,5,True,487,住在附近的飯店，偶遇到這家餐廳，進來嘗試一下，好驚奇，非常好吃，我們點了一份韭菜盒子，一份有二個，份量相當大，餅皮像是乾烙的，非常好吃，一個牛腩湯，湯頭相當濃郁順口，是使用當歸，枸杞，很搭，還點了一份牛肉蒸餃，有8個，湯汁飽滿，吃到時候湯汁還流出來，哈哈哈，這家收藏在地圖上，以後還要再來嘗試其他菜色，對了，重點是不貴哦，服務也好
 Simo Lin ,https://www.google.com/maps/contrib/100827370282204968592/reviews?hl=zh-TW,3,True,231,餐點選擇多樣，不僅酸菜白肉鍋有名，連小炒都做的地道美味，重點價格也親民，每次都能飽餐一大頓!!
 李大仁 ,https://www.google.com/maps/contrib/113334297475522637015/reviews?hl=zh-TW,2,True,554,蔥油餅很不OK蔥太少餅太油好像不是現做的蒸餃蒸餃皮軟爛有些已經破掉師傅穿的服裝不太乾淨很油膩
 lien Nancy ,https://www.google.com/maps/contrib/112305134248488690430/reviews?hl=zh-TW,5,True,231,"店裡乾淨服務親切，生意好要先訂位
酸菜白肉鍋不會太不酸有鮮蚵，蝦，鴨血，丸子，豬肉等，湯頭很鮮非常適合寒流來時來一碗熱呼呼的湯。
同行朋友都在減肥原本只叫小鍋，最後忍不住又加料太好吃了。

麻婆豆腐很驚艷，很香會麻又不會太辣
第一次來用餐非常滿意，會想再回訪試試其他菜色"
 Joe Kan ,https://www.google.com/maps/contrib/111099601760293380710/reviews?hl=zh-TW,5,True,100,環境明亮，桌位寬敞，讓人感覺很舒服！蔥油餅很到味！酸菜白肉鍋料豐味美，還不停可加湯，最後吃不完的就打包外帶！
 董先生 ,https://www.google.com/maps/contrib/113375169309743100528/reviews?hl=zh-TW,4,True,83,"以前常和岳母家人聚餐,多年來菜色都維持在水準上。後來岳母仙逝後就沒去吃了。這次難得老婆親戚請客,想說可重溫品嚐好吃的菜了。整個除了蔥油餅太過粗糙又硬又沒口感,(換師傅了嗎？)其它菜色都維持一貫的水準。店家周圍的環境不好停車不適合開車來。"
