user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Sophia Lin ,https://www.google.com/maps/contrib/116084609992313803154/reviews?hl=zh-TW,5,True,76,"隱身小巷中的一家漂亮小店，裝潢很有懷舊風格，家庭聚餐或約會都挺適合的，不過位置不多一定要先訂位！

今天選的餐點都有在水準之上，最推的是下酒菜：明太子透抽😻
透抽新鮮軟嫩，中間包著明太子燉飯，調味很厲害！份量非常剛好，一口一個真的會停不下來～❤️下次來絕對會再點～

最後的甜點也很吸睛（忘記名字了），是一道熱巧克力蛋糕+冰淇淋+咖啡醬，在鐵盤上面加熱享用，甜度蠻剛好的！適合2人分食👍🏻

整體用餐十分滿意。唯一缺點是上菜速度非～常非常慢，我們剛好不趕時間所以就不扣分了，不過如果會介意這部分的朋友就要考慮一下囉！"
 Helen ,https://www.google.com/maps/contrib/112349267221617576972/reviews?hl=zh-TW,4,True,367,"明太子透抽裡面有飯，份量十足，口感也很好。
烤牛肉沙拉牛肉塊蠻多的也很軟嫩，配鹹蛋黃很特別但也很協調的味道。
烤雞肉串掛著吸睛，有麻油味，若不愛麻油可能要注意，看似馬鈴薯塊的其實是麵包，有點濕軟不太喜歡。
菠菜起司肉碎義大利麵口味有點普通，麵偏硬，稍微放涼會更硬。
Mojito檸檬皮的苦味蠻重的，薄荷味還好，比較偏酸。水梨汁很天然真的鮮榨的感覺。

兩個女生下酒菜*2，沙拉*1，義大利麵*1，調酒和果汁各一，吃的很飽，總價$2222。

店內蠻有氣氛也不會過於昏暗或吵雜，適合聚會。假日晚餐有一人$700低消且限時2小時。

注意店門口要走進巷子內才會看到（感覺像在26巷開後門）"
 Hao-Ting Chen (陳耗子) ,https://www.google.com/maps/contrib/108651659426471718042/reviews?hl=zh-TW,5,True,70,"氣氛很好的餐廳，很適合約會聚餐
食物都是認真的好吃，不是那種以酒為主但食物很敷衍的餐廳，上菜順序也有在注意先上口味淡的
明太子透抽應該不用特別說吧，真的是必點，點下去就對了
烤牛肉沙拉搭配鹹蛋黃歐買尬也太好吃，鹹蛋黃絕對是神來一筆
橙汁羊排的肉是有燉過的口感，不會太硬或太乾，搭配酸甜醬汁👍🏼👍🏼👍🏼
西班牙海鮮燉飯是粒粒分明的口感，濕潤但不黏膩的燉飯非常清爽

以上四道加兩杯houseredwine加服務費總共是NT$2266"
 NOODLE SYU ,https://www.google.com/maps/contrib/114915306394255501346/reviews?hl=zh-TW,4,True,283,"晚上低消一人700還要一成服務費大概就是770左右，如果以餐酒館來說不算低價。
點的是白酒蛤蠣義大利麵，不難吃就是普普，份量以男生來說不多。
沒有套餐都是單點，點了飲品美式，不算大杯。
朋友點燉飯，我沒吃就不講評了。
甜甜圈聽說是熱門甜點，現做真的要等一下，草莓醬跟可可醬，沾著吃是蠻好吃的，熱熱的吃不錯👍🏻不像一般甜甜圈一圈這樣，就是一球一球的。
後來又點了一杯飲料來補低消⋯就是沒那麼好喝但又只能一直點的感覺😒
薯條點了兩次，薯條是真的不錯吃的。
店員服務還蠻有耐心的。"
 Jani ,https://www.google.com/maps/contrib/116927117260596484253/reviews?hl=zh-TW,5,True,33,"地點跟google地圖上面標記的地點有點差距第一次來的人可能會需要稍微繞一下
平日想吃一定要提前預約
不然很容易沒位置
已經二訪這間店每一道餐點還是都讓人很驚艷調酒也都非常好喝
那天是平日用餐低消是一人八百
透抽跟豬肉串是必點
-
好吃程度🌕🌕🌕🌕🌖
服務態度🌕🌕🌕🌕🌗
環境衛生🌕🌕🌕🌕🌖
再訪意願🌕🌕🌕🌕🌖"
 Arthur Hsu ,https://www.google.com/maps/contrib/111530193713759359315/reviews?hl=zh-TW,5,True,246,休假中午來試試商業午餐，餐廳離信義商圈很近，但隔了一條基隆路，在另一次的老住宅區，店內感受的到營造出的老酒館氣氛，平日生意也很好，一點去還是很多人。商業午餐部分選擇了烤餅跟海膽義大利麵，份量都很充足口味也好吃，商業午餐付的湯搭配麵包很開胃，除此之外還有一小份的考薯條配湯也很適合。以商業午餐來說cp真的很高，下次還想來嘗試其他菜色跟排餐搭酒！
 黃大方 ,https://www.google.com/maps/contrib/112665568732752075287/reviews?hl=zh-TW,4,True,584,晚上一個人低消700元，3個女生簡單達標🤣，環境有中西合併的感覺時空會生錯亂，先說只有明太子花枝跟烤肉串有值得回味，其他的西班牙海鮮燉飯普通、天使麻油炸雞肉太乾調味太鹹，2杯調酒酒味很淡，葡萄汁就是葡萄汁，總結，不會再來了～
 Jane Chu ,https://www.google.com/maps/contrib/114582579183350101687/reviews?hl=zh-TW,4,True,69,推薦菠菜起司肉碎義大利麵，雖然很可惜沒點到他們的招牌明太子透抽（遲到後朋友先點了炸透抽），透抽本體口感跟味道被炸外皮給覆蓋住了很可惜，還是推薦大家點明太子透抽！也很推薦他們的housewine紅酒，相當順口，店裡的氣氛也很適合聊天
 Chun Li (Lili) ,https://www.google.com/maps/contrib/110565360810462307345/reviews?hl=zh-TW,4,True,137,"餐點口味普通，所以後續沒特別拍照紀錄。
點了兩個pizza（鮭魚跟義大利香腸口味，鮭魚不是煙熏的，可能我自己腦補，有點可惜；義大利香腸吃起來也不像真的salami😹小失望），算今天餐點裡面覺得比較好吃的，可能因為有cheese加上脆脆的餅皮就很棒🤣
前菜的水果優格沙拉，很像在家裡會自己做的那種，不過有藍莓跟草莓有加分。
松露薯條好吃，想像中的味道就是那樣。（不是啦薯條不可能難吃的吧🤣）
三杯淡菜普通，比較希望像是比利時那種白酒煮出來的。
烤肉串還ok，點雞肉的，搭配烤麵包、烤番茄跟烤大蔥。
明太子透抽普通。
啤酒蒸蛤蜊份量少（13顆），口味普通（去烤肉會自己做那種味道）
番茄肉桂海鮮義大利麵朋友不吃肉桂所以沒加，口味還不錯，蝦兩隻、一些透抽跟蛤蜊。
西班牙海鮮燉飯的部分則是跟一般外面的燉飯非常不同，不道地也不算好吃，就普通的口味，沒什麼海鮮的鮮味…
店內氛圍倒是還ok，對食物不太要求，但又想找地方聊天聚餐還是可來的那種～"
 Yun-Hsuan ,https://www.google.com/maps/contrib/108717031606162629934/reviews?hl=zh-TW,4,True,242,位置在Google導航的背面靠近停車場處，平日商業午餐時段低消350元，商業午餐套餐有一份主餐（我選橙醬鴨肉義大利麵），濃湯跟沙拉擇一，蛤蜊濃湯蠻好喝的，不會到非常濃稠的湯，有洋蔥丁跟蛤蜊，搭配麵包一起吃，另外有附上炸魷魚。主餐義大利麵硬度蠻剛好的不會太硬但又有保持嚼勁，搭配帶點甜味的橙醬蠻驚豔的，不過鴨肉有點乾硬小可惜。飲料的部分我點栗子風味拿鐵，有點偏甜。因為很早就去吃午餐了，商業午餐還有再打8折，整體非常划算，餐廳的氣氛也很好，我也很喜歡吧台可以看到廚師料理的樣子，有機會會想要晚上過去喝點小酒。
