user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 CHIEH ,https://www.google.com/maps/contrib/117921553164041292917/reviews?hl=zh-TW,5,True,708,"從門口開始就好喜歡這間店
空間寬敞，食物超好吃，店員親切，一直不停來加水，又不會趕人走

歐姆蛋明太子麵260
蛋好嫩，每一口麵都巴住滿滿的明太子
奶香味好重，麵條細，但個人覺得量比較吃不飽，一定要再加點一些小食

超推松露薯條180
重點是松露醬（香濃奶味），普通的薯條沾上去整個升天！好吃到吃飽又點了第二份

青醬野菇雞腿排燉飯280
等特別久但是很值得！燉飯跟青醬融為一體，還有奶香味一起，好久沒吃到這麼好吃的青醬，燉飯有一點點點米心留下，但是我可以接受的軟度（我討厭硬飯）雞腿也超級大一塊，很棒！

辣味提魚鮮蝦麵260
蝦子都幫你剝好會不會太貼心！微辣跟魚的海味真的很耐吃，其他奶油類的比較會膩口，這個我下次想點！

北海道奶油焦糖布丁120
好濃郁的奶味，焦糖後勁有點略苦，但焦糖跟奶布丁搭一起真的可以自己吃完一份

廁所非常乾淨，洗手乳很香
開水免費一直加
在信義區這家店真的是cp值超高
可以linepay"
 郭寶妮（Bonnie KUO） ,https://www.google.com/maps/contrib/118370467313697417241/reviews?hl=zh-TW,5,True,84,"「即使外送也能品嚐到完美口感，
調味層次豐富的美味療癒義大利麵！

外送餐點：HANNA溫泉蛋肉醬麵+烤時蔬

收到外送時包裝完整，餐點視覺吸睛且香氣十足，尤其麵條口感恰到好處，整體調味清爽且夠味，由於很喜歡，至少叫過三次。

溫泉蛋肉醬麵
番茄肉醬搭配起司濃郁好吃，戳破溫泉蛋後與蛋汁混合又是另一種風味，有多種吃法非常滿足！

烤時蔬
蔬菜口感清脆，用香料、胡椒、鹽巴與橄欖油調味，香氣十足，吃起來夠味又清爽！

吻仔魚秋葵麵
屬於清炒類口味，非常健康的選擇，吻仔魚讓視覺澎湃，秋葵讓口感滑順且清爽好吃！"
 Cheng Yi Wu ,https://www.google.com/maps/contrib/113130379618305893983/reviews?hl=zh-TW,4,True,65,"此次消費點了
蒜炒蛤蜊及明太子奶油義大利麵
單點了炸牡蠣

口味調味個人覺得剛好
蛤蜊飽滿雖然不到大顆但也很新鮮
明太子奶油不過鹹順口
份量也是剛剛好的飽
炸牡蠣熟度剛好也沒腥味

此次消費唯一的缺點是店門口沒有關閉
附近的菸味有點飄入造成體驗不良"
 Griffin ,https://www.google.com/maps/contrib/111705085399331922820/reviews?hl=zh-TW,5,True,171,"先說結論，在這個地段無可挑剔的pasta，東西好吃價格實惠，除pasta好吃外炸物更酥脆多汁，超值的店！

Pasta的用料很實惠，不只麵連明太子都很大坨，海鮮的部分也很新鮮。炸物的皮個人非常喜歡，裡面鮮嫩多汁，炸雞雞翅和牡蠣都是如此。氣泡飲的部分不是隨便調的，濃厚自家釀的梅子醬配上沛綠雅的氣泡水，勝過氣泡機打的。辣醬是老闆在國外吃到特地選用的，香能提味又不會很辣，值得試試。甜點的部分起司濃郁可口不膩，會找機會回訪試試不同品項。

CP值:★★★★☆
美味:★★★★☆
環境:★★★★
服務:★★★★☆
等候:★★★★"
 yo inn ,https://www.google.com/maps/contrib/116168407353523133358/reviews?hl=zh-TW,5,True,69,"自製檸檬紅茶很特別，怕酸可以等冰塊融化再品嚐。
前菜松露薯條不管是薯條還是松露醬都很厲害
單吃或是沾醬吃都很美味。
和風炸雞鮮美多汁，搭配的沾醬微酸，蠻解膩的。炸雞拿去沾松露醬也是一絕。
烤時蔬也是厲害，每個都很多汁，也吃的出蔬菜本身的風味，會想一口接一口。
套餐pass。
主食都很ok，平價份量也多。
最後的甜點不在菜單上，外型嬌媚，內裡絲滑濃順，一口咬下滿嘴乳香。大家吃到最後不妨可以點一份幸福，結束完美的一餐。
而且服務人員態度都超棒，老闆娘超級溫柔的！！！小缺點是容易被其他桌的聲音影響，可能有回音的問題。"
 Ann Hygge ,https://www.google.com/maps/contrib/111802391245365597854/reviews?hl=zh-TW,5,True,57,"路過發現的店中午也客滿
氣氛超好服務人員也很讚
今天帶蛋糕來四個人用餐
點了
明太子花枝
本來沒有很愛明太子結果這個很剛好

松露野菇麵
濃！不膩！讚

HANNA肉醬
溫泉蛋超讚肉醬很多肉很有誠意重點超好吃

辣奶油鮮蝦
吃起來比看起來有味道五倍很濃的香味

每一個都
超！好！吃！
麵體很有勁不會爛很喜歡

還有
松露薯條
蒜味鮮蝦野菇

真的都好好好好好好吃"
 リュウ— ,https://www.google.com/maps/contrib/103921814051831041378/reviews?hl=zh-TW,5,True,48,"這間真的非常優質！！
某天很想吃日式義大利麵的時候挖到的寶藏店😝
裝潢一級棒，很有品味，還沒有服務費！
一進去就有一種心情很好的感覺🌸
這次是第二訪了哦～
オススメのメニュー🉐️
辣奶油鮮蝦義大利麵⭐️⭐️⭐️⭐️⭐️（激推）🔥蝦子好新鮮，微辣的奶油幫助解膩和增添層次感，有夠好吃，一定要試試
花枝明太子義大利麵⭐️⭐️⭐️⭐️
是朋友點的，明太子很香，花枝也很新鮮很Q
歐姆蛋明太子義大利麵⭐️⭐️⭐️
口味偏膩沒有很愛，但周圍的海苔絲和麵拌在一起很搭💫
巴斯克乳酪蛋糕⭐️⭐️⭐️⭐️⭐️必點！表面微焦很香🧡口感綿密不膩口

總結：這是一間我會想一直回訪的店，不僅用餐氛圍好、環境良好、餐點品質優、用料實在、價位也很ok。（平日點主餐有附贈紅茶）
但義大利麵的口味還是要依照自己喜好挑選哦～
（還有不太推薦加套餐）"
 Yenyenjayjay ,https://www.google.com/maps/contrib/106338674930471151301/reviews?hl=zh-TW,5,True,119,"CP值高高的餐廳👏
店員的服務態度也超棒的
第一次看到蛋包義大利麵
半熟滑蛋和明太子義大利麵意外好搭
溫泉蛋松露燉飯也好香
濃濃松露味
還有三四種菇類
吃得出來是非常新鮮很香的菇菇們😋
因為是慶生點了一個巴斯克
店員還給了一個蠟燭好可愛
巴斯克蛋糕很濃郁
搭配上面的奶油好讚讚
在這個區域這個價位真的很推
是會再度二訪的讚店"
 Ali Hsieh ,https://www.google.com/maps/contrib/118137750394607751411/reviews?hl=zh-TW,5,False,10,意外發現的優質義大利麵餐廳。餐點上菜速度快，份量都滿充實的以信義區周邊這價位來說。烤時蔬種類多樣比想像中好吃～義大利麵體本身很夠味，不會太硬或是太濕。店門口的裝潢非常お洒落。想找間氣氛不錯跟餐點美味的店不妨可以參考
 Mountain Woo ,https://www.google.com/maps/contrib/103691689029042579663/reviews?hl=zh-TW,5,False,3,"N訪Hanna💖💖💖
太喜歡啦～～現炸薯條真的太好吃
燉飯與義大利麵每口都吃得到料
食材也很新鮮～花枝鮮美彈牙
加上辣醬口味又更豐富！

甜點巴斯克乳酪蛋糕與布丁真的好好吃
配上奶油真的恰如其分的美味

從鹹食到甜點
從環境到服務態度
真的一百分！！！
（好喜歡Hanna的花）"
