user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Jessica Hsu ,https://www.google.com/maps/contrib/102188197443117918250/reviews?hl=zh-TW,3,True,28,非常驚訝！在捷運站旁的麥當勞，不能使用悠遊卡！也不能使用ApplePay！還好可以LinePay跟台灣Pay。沒有電子發票！
 kai Kai ,https://www.google.com/maps/contrib/114265937256776555889/reviews?hl=zh-TW,3,True,405,位於信義誠品地下二樓，方向往市府轉運站連通道的路邊。人潮眾多，感覺員工真的很忙，紙本發票。至少餐點沒有延誤。
 王Fox ,https://www.google.com/maps/contrib/112095225878735285287/reviews?hl=zh-TW,1,False,7,"外帶雞腿組合餐給成一隻雞腿一個雞胸
接著吃薯條時越吃越小條是最後的殘渣嗎？
吃到整個不爽快是沒付錢給您嗎?
出錢買了一份受氣餐！"
 Michael Hsu ,https://www.google.com/maps/contrib/117476910116621875193/reviews?hl=zh-TW,4,True,129,"最近的M~大薯條！
我們有「甜心卡」

午餐後的點心時刻....
小小慰勞自己
大大的滿足呀！

還+可樂！"
 賴小小 ,https://www.google.com/maps/contrib/101474362577351751014/reviews?hl=zh-TW,3,True,86,"心心念念的麥當勞早餐⋯
點餐、拿餐的時候都問我要不要糖醋醬
我也都說要⋯
結果我的糖醋醬勒🥲🥲🥲"
 芊惠 ,https://www.google.com/maps/contrib/116992832114572106990/reviews?hl=zh-TW,2,False,11,點餐有確認要附糖醋醬，外帶回家才發現沒給，身為醬控覺得傷心
 edith ying ,https://www.google.com/maps/contrib/110210288301788381694/reviews?hl=zh-TW,1,True,209,焦到要致癌了，肉片上也是焦痕，品管非常有問題
 jk jung ,https://www.google.com/maps/contrib/112879900740473888696/reviews?hl=zh-TW,1,False,2,10/1118點多消費，你們的任務分配很有問題，櫃檯結帳的竟然裝玉米濃湯就花了十分鐘，幾十個客人排隊等你裝完結帳，然而後面其他沒事做的員工在閒晃，變通能力是0嗎
 陳妍安 ,https://www.google.com/maps/contrib/103159113208534701852/reviews?hl=zh-TW,5,True,39,每次吃麥當勞的麥香魚，醬點double，超過癮的
 chieh ,https://www.google.com/maps/contrib/106356095303894777403/reviews?hl=zh-TW,1,False,7,來這裡花錢排隊受氣！排隊很久還被女櫃台員問有排隊嗎？？不然呢？妳當我站在旁邊的塑膠嗎？！只有個像幹部的男生走過來關心我點餐了嗎？這顆星是給他的！點餐櫃台的部份只有男生服務比較ok
