user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Sara Lin ,https://www.google.com/maps/contrib/116949446592535300017/reviews?hl=zh-TW,2,True,195,"平日午餐消費每人費用9百出頭
六人套餐+打拋豬單點半價

一開始的小插曲是坐到搖晃無比的桌面，反應後餐廳有快速幫我們換個座位，也好險有換，餐廳用的餐盤跟容器都非常實在跟厚重⋯加上桌面偏小，出菜速度很快必須一直移動盤子，若是原本的桌面⋯不敢想像

大部分菜色好吃：金錢蝦餅、松阪豬、檸檬魚、綠咖哩雞、甜點的芒果冰。都很不錯。

泰式打拋豬是用比較有口感的肉塊，不是肉末，咖哩牛肉偏甜、其他菜色則一般口味。

冬蔭功海鮮湯不知為何是淺色的，服務人員解釋半天我其實沒聽懂，大概是說泰國冬蔭功有兩種之類的，口味是個人喜好，我不懂不予評論。
重點是湯裡面的海鮮不新鮮！！！魚塊裹粉炸過但肉質已鬆散、蝦肉粉粉乾乾的、最可怕是花枝已經有腥臭味⋯
服務人員解釋海鮮都是當天新鮮冷凍進貨⋯這句話不知道哪裡怪怪的⋯
建議客人反應不新鮮的食物可以先回收也自己嘗試看看，如果確定不新鮮就應該不計費用！我吃到嘴裡已經覺得臭又吐出來的海鮮，不論您怎麼解釋，我實在已經不敢吃了！"
 KK ,https://www.google.com/maps/contrib/115366030490792049634/reviews?hl=zh-TW,5,True,83,"和朋友一起來用餐，期待已久（過去泰式都吃瓦城多）以下來分享一下用餐體驗。

我們一共五人，點了五人套餐，不過後來發現太多，其實四人套餐就很夠，份量比我們想像多蠻多的。（人均大約$950左右）

-酸辣海鮮沙拉，海鮮給的很大方也新鮮，加上酸辣調味，非常開胃。
-金錢蝦餅作為熱門餐點當之無愧，酥脆，口感和一般泰式也有做出不同（厚度嚼勁都比較有滿足感）。
-打拋豬，很下飯，但不會太油膩。
-綠咖哩，口感很特別，裡面雞肉很多，且雞肉蠻嫩、不柴。
-蝦醬空心菜&高麗菜，新鮮蔬菜炒蝦醬，每一口都很清脆，可以吃到道地的泰味
-團團圓圓，鹹甜鹹甜的口感，稍微偏甜一點，冬天很適合來一碗～

其實整體來說，覺得很泰式，不過也像其他網友所說，稍微沒有特色一點（亮點或創意料理），感覺就是品牌化後中規中矩的表現；消費金額相對我和友人去吃瓦城相較低一些，所以Nara的CP值個人會覺得比較高。服務生們偏冷一點，不過加水頻率很高，不用特別請他們都會自動過來，這點很加分～

比較納悶的是訂位系統，當天看只有19:45，不過到現場時看到蠻多空桌，不曉得為什麼19:30沒辦法訂，覺得如果可以的話，這部份也可以同步確認一下。

會想再回訪，嘗試更多不同菜色，也希望能有一些特別的新火花～"
 歪嘴雞Nash ,https://www.google.com/maps/contrib/107209468542940786122/reviews?hl=zh-TW,4,True,149,"近日天氣炎熱，台北一度出現了38、39度的高溫，炎炎夏日，特別適合吃以香料著稱的泰國料理，泰菜的層次豐富，能舒緩天氣炎熱帶來的食慾不振，所以，今天前來造訪這家放在口袋名單很久的「NARAThaiCuisine」。

因為歪嘴雞很愛吃泰國菜，所以瓦城、非常泰、頌丹樂、饗泰多、晶湯匙都是我經常去的餐廳，很開心台灣多了這家米其林推薦的泰國餐廳，不過，米其林指南近年來在亞洲水土不服，導致米其林推薦餐廳不是""很難吃到，就是很難吃""。

或許，我們常因為餐廳摘星，對它就抱著很高的期待，所謂""過高的期待，是毀掉一切關係的開始。""建議大家造訪米其林推薦餐廳時，不要因為這些商業名稱受影響，畢竟人們過著越是糟糕的日子，越會希望用美食來替自己打打氣，美食是真的能療癒人心的。

優點
1.地點交通便利，用餐完逛街方便。
2.24小時訂位系統，避免現場撲空。
3.NARATop12餐點好吃，建議從裡面挑選。

缺點
1.統一時代店裝潢簡樸，跟曼谷店有落差。
2.缺少王牌菜色，菜色間評價落差有點大。
3.沒有冰水跟常溫水選擇，飲料價格高昂。

是優點也是缺點
1.口味偏泰不台，泰國料理的還原度高。
2.開放式格局，桌子不大，環境不算安靜。(設有包廂座位，需提前預訂。)"
 duwinnie ,https://www.google.com/maps/contrib/116767852241981796058/reviews?hl=zh-TW,2,True,73,"服務：2.5顆星（滿分5顆星）
美味度：2.5顆星（個人主觀見解）
整體感受：2顆星

個人覺得店員有點冷淡，帶位後直接離開，也沒有幫我們加水，桌上也沒有水瓶，菜單也沒有介紹！
（重點是那時候一眼望去，客人很少😅）
只能我們一直揮手🙋🏻‍♀️說要加水說要點餐
可是有收服務費😅

上菜數度很慢
通常是吃吃完一道菜，才有下一道的上來，然後菜還偏溫（除了金錢蝦餅跟空心菜外），自己是覺得不太滿意
（我們一共三個人…）

餐點算是好吃，但我對整體的用餐經驗給很差的評價"
 趙經軒 ,https://www.google.com/maps/contrib/114245402879044136205/reviews?hl=zh-TW,5,True,29,"🔸餐點
辣炒四季豆，豆子很甜、也有脆感。配上辣醬很好吃，是最喜歡的一道。檸檬魚上方原有香菜裝飾，醬汁有打香菜進去，不過對我不敢吃香菜的人而言還可以接受。月亮蝦餅也有一定的厚度。

🔸甜點
泰奶仙草莎莎原本以為會很甜，但實際不會！個人頗愛

整體評分：4.2⭐️

🔹平常飲食習慣💁🏻‍♂️
糖：無糖
口味：清淡
辣：小辣"
 Dragon Red ,https://www.google.com/maps/contrib/100514071278724015758/reviews?hl=zh-TW,5,True,193,"平日中午無訂位五位約13:00左右到，等候約十分鐘即可入座。

因同事身體不適所以都點不辣或儘量不辣。

綠咖喱雞肉超下飯，這道無法「不辣」，咖哩內蔬菜竟然是絲瓜跟茄子，超級特別。

蝦醬空心菜有入味，但相較其他菜色並不突出。

白飯一個人40，有點貴，但煮的軟硬適中很香也很Q。

月亮蝦餅⋯就是月亮蝦餅😂

松阪豬真的很嫩，旁邊的青木瓜絲不會太酸也不會太辣，又有入味，很好吃😋

今天最驚艷的是柚子炸魚（菜名忘了😂），炸得超酥脆，麵衣不會太厚，魚皮很香酥，不油，裏面的魚肉超嫩，重點是調味真的超、好、吃！上面是一塊一塊的葡萄柚果肉！酸甜開胃去油膩～個人覺得這道必點！"
 Anny T. ,https://www.google.com/maps/contrib/101562617520543392612/reviews?hl=zh-TW,4,True,304,"1.地點很方便，沒試過來嚐鮮，因為是米其林推薦餐廳
2.口味跟瓦城比較起來都算是好吃的泰式料理
3.點了3人套餐+金錢蝦餅，3人費用2千9百多，個人覺得價格偏高
4.有一道咖喱燉雞肉的料理，印度咖喱味很重，這一道菜沒有很喜歡，跟我記憶裡的泰式有椰奶的很不一樣"
 ya Rafa ,https://www.google.com/maps/contrib/109675489025493678497/reviews?hl=zh-TW,4,True,300,"有訂位結果帶位的服務生說位子上的客人還沒走，已經提醒，所以在外面多等了十幾分鐘後發現裡面蠻多空位的，一開始以為是要梅花座的關係可能需要隔桌，結果也不是，甚至其他桌也沒有很快入席，有點奇妙。
不過用餐期間服務生巡得很勤，服務態度也很好給推~

至於餐點部分覺得較為普通，椰絲柚香檸檬魚可能只是噱頭，椰絲沒有什麼特別風味，跟葡萄柚也不是很搭…不過炸的魚肉是還不錯。
黃咖哩雞肉就不是很推，雞肉有點過爛，馬鈴薯還算鬆軟但不太入味。
金錢蝦餅大推，裡面可以吃到蝦肉顆粒感，炸的也恰到好處，四顆星的部分給他了！
八寶冰的椰子冰淇淋很好吃~加上各種配料很好玩，不過嚐鮮一次也就夠了。
整體價格偏高，服務很好，除了帶位的部分待加強，是還不錯的店，菜的口味就較普通，沒想像中好吃。
泰式奶茶倒是蠻好喝的！加入會員有免費贈送椰子水，見仁見智，我們兩個人是都不喜歡那個椰子水..，不過消費可累積點數下次造訪可以送菜這點倒是也很不錯！"
 Li-Ying Lin ,https://www.google.com/maps/contrib/102307442542109917802/reviews?hl=zh-TW,3,True,287,菜色大都是辣的，價位中高。黃咖哩軟殼蟹的醬汁很下飯，可是螃蟹炸的很油膩，吃在嘴裡覺得吃了滿口油。什錦海鮮的蝦很乾柴，要將蝦料理到這麼硬也真是不容易！以前覺得這間菜不錯，這次來覺得沒以前好吃了。
 Cammy Chang ,https://www.google.com/maps/contrib/112214590999216227587/reviews?hl=zh-TW,5,True,71,"第一次吃這間泰式料理
加入會員可立即兌換椰子水一杯
好喝！非常解渴

整體來說覺得口味
比一般平價的泰式好吃欸

✅金錢蝦餅/6個370元
口感厚實蝦飽滿
不會有很多炸粉的感覺
一人兩個已經是極限

✅羅勒辣椒炒牛肉320元
也是很下飯
牛肉的量也給的很大器

✅打拋豬295元
味道也是讚讚
配飯的好搭檔

✅泰北香米飯40/人
算人頭價
可無限量提供
米飯真的很香很Q
配上泰式料理絕配
可以吃上好幾碗

兩個人好難點餐
每分餐點其實量都蠻多的
兩個人還無法完食
只好打包回家
隔天熱一熱還是很好吃😋"
 Hsieh Kurin ,https://www.google.com/maps/contrib/113800839201989220414/reviews?hl=zh-TW,4,True,410,"※地點與交通：捷運市政府站附近，統一時代百貨七樓內。出站走路加電梯，共約10分鐘可達。(4顆星)

※店鋪外觀：典雅，內部安靜，用餐氣氛不錯。(4顆星)

※招牌餐點：各式泰國料理系列。(4顆星)

※服務態度：極佳，店員迅速有禮貌，勤加水，收盤子也很迅速俐落。(5顆星)

※菜色：豐富多選擇，單點為主，也有雙人或是多人套餐set。餐點和飲料選擇多(4顆星)。本次點餐：泰式河粉，為細河粉，拌炒肉末、蝦醬、魚露，和豆芽，拌上顆粒花生粉和辣椒粉顆粒，口味在水準之上，內含的蝦肉新鮮，非冷凍蝦或是泡過鹼的脆蝦仁。辣炒空心菜，空心菜脆口不過熟，調味得宜，好吃。蝦醬炸雞，炸雞肉塊外皮是蝦醬，味道蠻特別，可惜外皮酥脆味道夠，而肉本身的味道顯得較平淡（搶味）。

※平均價位：一成服務費，單點價格，餐點皆百元元以上(4顆星)

※口感：選擇多樣，泰式河粉好吃，辣炒空心菜微辣爽口，別有風味。(4顆星）

※味道：泰式風味，選擇多，還不錯(4顆星)

綜合來說，泰式口味，調味味道足，覺得算是道地。服務態度佳，說明仔細。還不錯。"
 戴維森 ,https://www.google.com/maps/contrib/113440958748400977280/reviews?hl=zh-TW,3,True,112,"點了五人套餐，打拋豬味道很普遍肉末又很乾硬，最好吃的是柚子魚。兩道蔬菜都很正常沒太驚艷。涼拌海鮮超辣但不錯吃。羅勒炒牛肉很普通。金錢蝦餅好吃外脆內軟。

整體來說不算難吃，但價錢偏高，下次應該不會再來了。"
 scott ,https://www.google.com/maps/contrib/100736900306985307697/reviews?hl=zh-TW,5,True,208,"地點滿方便的，感謝店員讓我們提早入座
角落沙發位超舒適，沒有因為在角落而被忽略
個人覺得口味比瓦城重，雙人套餐另外加點椒麻辣雞翅和冬蔭功湯，不知打拋豬是否因為減辣的緣故吃起來沒什麼味道，稍嫌可惜

椒麻辣雞翅真的好辣！非常辣！加了糖還是好辣，鼻塞都通了還一直流鼻水

從帶位到結帳完覺得一切都很棒，服務人員素質很好👍"
 張翊純 ,https://www.google.com/maps/contrib/106125768454149994960/reviews?hl=zh-TW,4,True,100,"2022.7.30泰式料理晚餐初訪
米其林推薦餐廳
金錢蝦餅，蝦料滿滿必點
綠咖喱，辣辣下飯
炒軟殼蟹，第一次吃，喜歡
烤松阪豬，配菜青木瓜絲
摩摩喳喳冰，飯碗大小，椰奶風味清涼！
圓圓滿滿湯圓（熱）,意外有包餡的小湯圓，好吃！
泰式啤酒$120
服務費10%
泰國香米飯每人頭$40，吃到飽，飯煮的很剛好，菜都好吃，很殺飯，我們續了4鍋飯。
加會員送椰子水，好喝！

服務員服務好,主動倒水，介紹餐點，可用餐大概2小時。外面排隊人超多，幸好有訂位早點來！
值得推薦下次聚餐再來試試其他菜色！"
 sundae ,https://www.google.com/maps/contrib/114624784377259984228/reviews?hl=zh-TW,2,True,500,"點了八道菜口味都算滿意
但最不能忍受的的是該店的泰國米飯
口感超級差吃過多間知名泰國料理餐廳
沒吃過這麼難吃的飯
又硬又乾完全沒香氣有的還糊成一團
完全被這種低等級的米壞了用餐心情
這種收費水準用好ㄧ點的米吧
不然只會流失客人"
 黎志強 ,https://www.google.com/maps/contrib/108278836279199460485/reviews?hl=zh-TW,4,True,548,"精緻的泰國料理餐廳，位在統一時代百貨的七樓。用餐環境精緻舒適，餐盤碟子碗的顏色是優雅的紫！
不知是否在口味上有因地制宜，為臺灣的朋友改過了口味，沒有傳統泰式料理的那般酸辣夠勁兒！難免有些小小遺憾！
服務人員的服務態度親切，可惜專業不足，可能是訓練系統的不夠完善吧！
整體用餐經驗舒適，可惜沒有一定再來的感動！"
 ABIGAËLLE CHEN ,https://www.google.com/maps/contrib/103823020193756001273/reviews?hl=zh-TW,5,True,334,推薦綠咖哩，夠辣夠好吃，非常下飯！！！服務人員態度很棒👍🏻金錢蝦餅也很讚，厚實且每口都有蝦肉～甜點略顯普通，第一次來吃，覺得很不錯👌🏼
 Wei-hsiang Kuo ,https://www.google.com/maps/contrib/111323389498272407682/reviews?hl=zh-TW,3,True,74,"KOL：IG:weihsiangkuo

今天來到Nara在泰國的非常有名的泰式料理！
位於阪急百貨7樓，餐廳環境非常的好、乾淨、舒服。

這次點

金錢蝦餅、海鮮沙拉、松阪豬、蝦醬空心菜、什錦蔬菜。加點東陰功湯、打拋豬。

我個人非常喜歡蝦餅、空心菜份量也滿夠味、松阪豬旁邊的沙拉也很喜歡，有在泰國的感覺。

但是打拋豬讓你一秒100英尺將肉在台灣，非常不推薦，小7的打拋豬便當都比較好吃（個人覺得）

整體菜色、環境、食物還是非常的不錯！但是經典打拋豬這樣真的有點不太滿意。"
