user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Often ,https://www.google.com/maps/contrib/114925020971860659272/reviews?hl=zh-TW,4,True,695,"用外帶看還以為是咖啡，結果是用咖啡杯裝的好吃吉拿棒🥖

✅吉那麻吉：就是把吉那棒成4小塊塞到紙杯內🥛，有分成肉桂與堅果口味，這次吃的是肉桂口味，吉拿棒外面裹著許多糖粉+酥彈的餅皮，餅皮內裝滿又彈又Q的肉桂條，個人覺得搭配起來非常合適，即便冷掉了還是一樣好吃👍但美中不足的是，因為沒有相關餐具，所以會直接接觸到物品，導致使用起來手會因為沾滿糖粉而心情有點阿雜🥲

要說跟電影院那種吉拿棒的差異在哪?
個人覺得在於這家的肉桂香氣聞起來不會那麼重。電影院的裡面也沒有肉桂芝心，就是單純的餅皮，電影院的吃起來比較單調😕

若是只是想路過嚐嚐味道，兩個人可以其實就點一份吉那麻吉來試試口感，因為切成4塊，可以跟朋友一起分食👨‍🦱👩但若是一個人吃可以點吉拿棒就好，避免手沾到糖粉"
 佘珊珊 ,https://www.google.com/maps/contrib/102197581127975932465/reviews?hl=zh-TW,5,True,112,"剛開幕時因為太多人排隊
就此放棄沒有前往
無意間和朋友約在這碰面
點了肉桂吉拿和薯條
非常非常非常的好吃
相當驚豔
沒有粉感內層Q軟適中
介於麵包和麻糬的中間
薯條非常酥脆
即便冷掉也超級好吃
下次要再來試試其他產品和口味
超級喜歡❤️"
 Joanna Yu ,https://www.google.com/maps/contrib/100598193114935692513/reviews?hl=zh-TW,1,False,10,"今天吃真的很失望
上禮拜來吃跟這次的口感完全不一樣！超生氣（但生性害羞不敢直接去反應…）
1.黑糖麻吉肉桂，吃起來像在吃一般麵包塊，裹一層薄薄的糖，超難吃，還有一點冷掉（上次吃每一口都是滿滿的肉桂，超好吃，而且是熱的，麻吉也很Q）
2.炸年糕，大概有3-4塊是硬的沒炸熟！，醬一樣給的很少很少超傻眼（上次吃是滿滿的蜂蜜醬和黃豆粉，每個都很軟很好吃）
3.唯一好吃的大概就是熱狗了…

希望店家可以教育訓練10/818:10左右值班的店員，這次吃真的傻眼難吃…."
 Fay Tsai ,https://www.google.com/maps/contrib/118282672700555645487/reviews?hl=zh-TW,5,True,9,"覺得肉桂口味的吉拿圈最好吃！熱熱吃外酥內軟很美味！後來有嘗試過巧克力沾醬但覺得有點多餘，但沾醬本身也是好吃的。飲料點西柚冰美式，表現中規中矩。

店內環境還算舒適，內用需自助取餐及回收餐盤。但是因為吉拿圈非常容易掉屑而店員無法一直清掃，如果很在意環境清潔的可能要考量這點。"
 wei an Chen ,https://www.google.com/maps/contrib/114761032159108216799/reviews?hl=zh-TW,4,True,81,"店內是自己找位子，自己去櫃臺點餐，自己取餐跟回收。
熱熱的肉桂口味吉拿圈真好吃～
甜點外酥內軟果然美味，剛好吃到珍珠奶茶風味冰淇淋也蠻配的。
鹹點吉拿棒熱狗很好吃，跟一般麵包鬆軟口感不同，多了酥酥的口感很特別，不知道其他款如何，但起司口味給的醬超多XDDDD
飲料是韓柚茶跟拿鐵，不錯喝中規中矩，不用怕雷。"
 米 ,https://www.google.com/maps/contrib/103556359521167270601/reviews?hl=zh-TW,4,True,"1,503","先找座位再點餐，外面點餐，採取自助式，價格有一點貴。
店內空氣不夠涼，座位不太舒適是缺點
冰美式90冰塊有點多但是味道還可以，
吉那圈80肉桂口味非常好吃，肉桂味道不會很重，熱熱吃外酥內嫩，建議要趁熱吃，放涼吃味道也很好
下次想吃雞拿薯條酸奶、阿啾
價格⭐⭐⭐⭐
餐點⭐⭐⭐⭐
裝潢⭐⭐⭐⭐
餐具⭐⭐⭐⭐
服務⭐⭐⭐⭐
=================
⭐⭐⭐⭐⭐很棒
⭐⭐⭐⭐不錯
⭐⭐⭐還可以/一般般
⭐⭐有改善空間
⭐糟糕"
 跳跳虎 ,https://www.google.com/maps/contrib/109369876171860318440/reviews?hl=zh-TW,5,True,153,"/
20221111（五）
點了牛奶阿啾-堅果（120）
吉拿棒酥酥的很好吃！！冰淇淋也很讚～
朋朋點的薯條（80）更脆，也不錯吃～
不過我個人還是喜歡吃甜甜的吉拿棒哈哈"
 蘇楨楨 ,https://www.google.com/maps/contrib/114529205686443256670/reviews?hl=zh-TW,1,False,15,"來過三次後，吉拿棒給五顆星

今天點了蜂蜜黃豆口味的炸年糕，吃起來就是很甜的年糕，沒有黃豆香跟蜂蜜味，問店員可不可以加點肉桂粉，她跟我說不可以，覺得不開心
所以一顆星是給店員的"
 Anny Chang ,https://www.google.com/maps/contrib/105209823883559840868/reviews?hl=zh-TW,5,True,56,"這裡的吉那圈真的超級好吃！！外酥內軟~
只是當天下雨，內用的客人也是要在戶外撐傘點餐，是有點不方便
------------
20220910二訪
我太急著要吃了，導致拍照根本對焦錯誤也沒發現，只想快點吃
這次的麵糰感覺做得比較成功，比上次吃還好吃~
酥酥的外皮上面灑了滿滿的肉桂糖粒，咬一口喀呲，裡面暖呼呼軟軟的口感立刻來跟你的牙齒打招呼，讓人忍不住一口接一口。
朋友點了巧克力口味，外層也是可以選擇肉桂或堅果，然後會附上一小盒巧克力醬沾著吃，巧克力的味道很豐富，都想問到底是哪一牌的巧克力這麼好吃的那種香，無論是單吃吉那圈還是沾醬，都很好吃！"
 賀志軒 ,https://www.google.com/maps/contrib/115849312682152590792/reviews?hl=zh-TW,4,True,172,平日早上9點就有賣吉那圈，想吃的話非常方便，也不需排隊等待。使用的炸油非常乾淨清澈。
