user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Wei ,https://www.google.com/maps/contrib/115065426829540276322/reviews?hl=zh-TW,4,True,828,"生日優惠最後一天來到#品田牧場品嚐豬排
由於我是大阪燒和章魚燒控
所以主餐選了#炸魷魚豬排燒
另外單點了#串炸鮮貝和#章魚燒豚肉丸
#炸魷魚豬排燒（388元，8分）
魷魚其實感覺比較像烤的，豬排雖然很酥，但吃不到裡面豬排的紮實感，柴魚和山葵美乃滋加了一點分
附餐的牛蒡絲好吃，茶碗蒸依然保持水準，味噌湯也不錯喝，高麗菜絲有和風和胡麻醬，讚
#串炸鮮貝（60元，7.5分）
就是便當店那種冷凍的干貝酥，不過搭配番茄醬和山葵美乃滋還不錯吃。
#章魚燒豚肉丸（60元，8.5分）
跟我的主餐中間一模一樣😂😂😂😂😂，等於花60元主餐份量直接快加倍（不算魷魚的話，食量大的話鼓勵加點），豬排上還有加小魷魚，滿加分的
#季節奶酪
黑糖口味不錯吃
政揚很帥，服務很好。"
 陳君育 ,https://www.google.com/maps/contrib/110175169960494399989/reviews?hl=zh-TW,4,False,443,"🟪服務人員介紹詳細，也很留意客人動態，可無縫接軌續飯讓飯桶很滿足。
🟪湯料看似多，味道卻很單調，除了鹹沒有可取悅味蕾之處，味噌湯應該多些醇厚。
🟪烏龍麵湯也是鹹而無深度，就只是有味道的湯，加點顯得不值，而且會想喝水沖淡。
🟪豬排厚度有咬肉爽感；雞肉嫩像有按摩過，麵衣稍稍不夠爽脆帶點粉。
🟪飲料選擇不只一種，芒果飲喝得到微微果粒，濃度也夠，意外好喝順口。
🟪炸豆腐使用雞蛋豆腐，佐料與醬汁搭配清爽又有平衡感，但份量少CP值低。
🟪茶碗蒸有「來一客」泡麵的鮮蝦魚板味，不知是否為擷取自日本節目的靈感？曾有節目介紹要製作速成又好吃的茶碗蒸可使用泡麵調味包。
🟪與以前相比新增「歡樂吧」（冷/熱飲、高麗菜絲自助取用），但感覺以前CP值較高（菜色較多），依稀記得湯匙小菜、炸湯圓紅豆湯都沒了。"
 Yi-Ching Pan ,https://www.google.com/maps/contrib/104219502349648609224/reviews?hl=zh-TW,5,True,117,"厚切腰內豬排5🌟
厚實的豬排配上豬排醬及小菜，會讓人一口接著一口白飯🥺

重量級部隊豬排鍋5🌟
吃韓式部隊鍋就是要配上韓國的麵條及年糕！豬排上面的起司非常的恰到好處～
但可惜小菜不是配韓國的泡菜

套餐甜點奶酪5🌟
算是很好吃的奶酪，草莓醬酸酸甜甜的

章魚豚肉丸3🌟
很像章魚燒的調味，只是章魚味不太明顯，可能都被豚肉蓋過去了～

自助吧的飲料
醋飲3🌟
醋的味道不明顯，其實不太像醋飲了

服務真的很不錯
缺點是很多客人在自助吧取用時都沒帶手套
（甚至有人沒戴口罩）
雖然現在疫情比較趨緩了，不過破口常常就是在這種小地方出現的。"
 Willie Lorenzo ,https://www.google.com/maps/contrib/118218199199153958897/reviews?hl=zh-TW,5,True,61,"超級好吃我心中第一名日式豬排店！整個套餐有湯甜點飯肉小菜茶碗蒸等等生菜飲料自取無限肉質真香又脆又嫩甜點奶酪超濃建議點雙拼肉比較多肉醬加芝麻超棒的啦生菜加特調胡麻醬真好吃飯沒有了可以跟店員加服務很好店員momo態度很好還有打卡送雪霜冰淇淋整個超讚大年初一吃第一餐整個心情真好

記得要先網路定位尖峰時刻會一直客滿哦

ThebestJapanesefriedPorkinTaipei!CanreserveplaceonlineFirst!Fullcoursemealwithcawanmushi,MisoSoup,sidedishesandrice.Vegetable,DrinksandriceisUnlimited!Meatisfragrantandtender,cawanmushiissogoodandthedesserttoo.GreatServicehereaswell.Musttry!"
 Alan Cai ,https://www.google.com/maps/contrib/111459231475947455163/reviews?hl=zh-TW,4,True,196,"之前都是吃南京店，已經有兩年沒吃品田牧場了來吃吃光復店。

不一樣的是有自助霸還有飲料、高麗菜絲無限追加蠻棒的。

但我覺得服務人員不夠圓滑，我說我有乳糖不耐症無法吃奶酪或是霜淇淋，能否換別的配菜給我，例如味噌湯或是黑豆、茶碗蒸都好但還是堅決無法兌換。

之前吃王品旗下的西提就可以換配餐，這點真的是稍微可惜。

然而用餐時間為90分鐘，我們18:53分入座點完餐可能也才19:00，我朋友吃比較快剛吃完餐點約19:30分馬上就被問幫您整理桌面，我正在吃的高麗菜絲也差點被一併收走…

這感受稍微不好了一些，覺得好像很急著要讓我們走。

但餐點部分真的都在水準之上，腰內炸完切完每一塊都含有肉汁炸的恰到好處，真的是很棒的豬排店。"
 duwinnie ,https://www.google.com/maps/contrib/116767852241981796058/reviews?hl=zh-TW,4,True,73,"美味度：3顆星（滿分5分）
Cp值：3顆星
服務：4顆星
環境：4.5顆星
這家有歡樂吧（飲料.高麗菜絲無限享用
從以前品田剛開始時就一直是常客
那時候很好吃，餐點跟cp值都很高
沒想到重新開後
第一次去回味
個人和家人覺得很失望
粉裹的很厚，不管是豬排還是炸蝦
味道不如以往了😭
而且炸蝦的頭，個人覺得有點危險
前面尖尖的地方沒剪掉或處理好
我們在吃的時候很容易被刺到
像我家人就被刺到了
我自己在吃的時候也覺得很可怕
以上純屬個人用餐感想"
 June Chang ,https://www.google.com/maps/contrib/118040135161562637711/reviews?hl=zh-TW,4,True,161,"味噌湯、小菜、白飯可無限續，迷你buffet區有冷熱飲跟高麗菜絲可自取，套餐還有茶碗蒸跟甜點，整體CP值高。

但是，豬排好像是用組合肉?口感就是不對味....."
 雷蕾 ,https://www.google.com/maps/contrib/108688393681427506845/reviews?hl=zh-TW,4,True,103,王品集團的連鎖餐廳就會有一定的品質和標準讓人覺得蠻安心。整體來說CP值高，服務上也從來不用擔心會遇到臭臉的服務員，食物不錯，但是小可惜的是米飯有比較乾硬少了Q度，套餐附的奶酪相當好吃（不會是因為附餐就隨便應付），然後這家光復南路的牧場裡面的環境很乾淨舒服，會願意再回訪喔。
 Mei Chen ,https://www.google.com/maps/contrib/100375503759633780645/reviews?hl=zh-TW,5,True,418,"好吃😋推一個
服務人員非常熱忱推一個👍
momo謝謝你的服務哦～

豬排不乾柴～
炸蝦也很好吃～
牡蠣🦪也是棒棒噠～

吼甲^^"
 賴雪芬 ,https://www.google.com/maps/contrib/106244173163858274486/reviews?hl=zh-TW,5,True,184,"距離上次吃品田超過3年以上了,菜單調整了不少,用ipad自行點餐,高麗菜、白飯、味增湯、飲料吃到飽,加點明太子魷魚味道很不錯,整體用餐還算滿意."
