user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Julie Liu ,https://www.google.com/maps/contrib/103757206406358424165/reviews?hl=zh-TW,5,True,118,"鹽麴松阪豬很美味，普遍推鹽麴系列～
若炸腰內肉排的麵衣在少點會加分、高麗菜絲切工的細緻，入口口感佳，服務皆親切有禮。"
 Rachel Shen ,https://www.google.com/maps/contrib/101117369478688018809/reviews?hl=zh-TW,2,True,27,東西其實蠻好吃的，但是原本告知的15分鐘取餐延長了一倍，整整等了三十分鐘才拿到餐點，也導致後續行程錯亂，不會再點外帶了。
 miku protozoa (米沽) ,https://www.google.com/maps/contrib/103154139614086702342/reviews?hl=zh-TW,4,True,"1,033",小菜、白飯和湯都可以續是優點，主餐還不錯吃，超推白米飯，大戶屋的白飯真的好好吃。干貝蒸蛋的勾芡有點多餘，鮮干貝大顆有甜，單配蒸蛋就很好啦！勾芡沒有加分。
 陳一得 ,https://www.google.com/maps/contrib/108802718071572541235/reviews?hl=zh-TW,5,True,820,"健康好吃白飯第一名！

高麗菜絲續加的份量只有一口，一直加點有些不好意思，可以有個大份量選項嗎？謝謝唷。"
 秦于捷 ,https://www.google.com/maps/contrib/105227101495109913113/reviews?hl=zh-TW,5,True,186,輸入資料候位很方便，速度也很快，入座後提供茶，平板點餐很清晰，餐點很快就上齊，份量蠻多的，高麗菜絲和白飯可續加，服務也不錯，茶碗蒸有含料理米酒不適合嬰兒吃，有點小可惜～
 Anna ,https://www.google.com/maps/contrib/115901457939489208583/reviews?hl=zh-TW,4,True,69,"雞肉蔬菜定食不錯，還加點了炸雞堅果沙拉，吃起來口味類似
雞排味噌烏龍麵很鹹，搭配飯吃還是鹹，不推薦⋯"
 Jason Lee ,https://www.google.com/maps/contrib/110736299483525031962/reviews?hl=zh-TW,4,True,155,疫情之下不能出國去日本玩，只好來吃吃日本料理懷念一下。大戶屋算是中規中矩的日本料理餐廳，擺設格局很像，點餐和服務生服務方式很像，餐點味道也很像，算是原汁原味的把日本那套移植到台灣了吧！這次點的套餐是里肌沙拉，份量很大很有飽足感，另外自己還自費加點一份山藥泥放在白飯上，扒飯時真的超爽的，干貝茶碗蒸也相當不錯，沾醬也美味。另外沙拉部分也相當清爽，不知道是用哪一家的豆腐，和一般市面上吃到的很不一樣（是好吃的那一種），想要減肥的話點一盤沙拉來吃就對了！聽服務生說有免費加飯的服務，但因為吃太飽了所以就沒有加，但是飯後續杯一杯熱茶做ending算是滿好的結尾。
 Youan Nieh ,https://www.google.com/maps/contrib/101681963878674079519/reviews?hl=zh-TW,4,True,566,"定食：
碳烤五花雞腿雙併，碳香很香，好吃。茶碗蒸有微微魚味。

飲料：
錫蘭奶茶，夠濃，稍甜。

甜點：
抹茶冰淇淋，搭配紅豆與黃豆粉，好吃。"
 陶君妍 ,https://www.google.com/maps/contrib/111232537673394368747/reviews?hl=zh-TW,5,True,139,不是每種定食都有高麗菜絲可以一直續加，要注意。餐點多樣，味道不錯！
 CHUN MEI TSAI (jennifer) ,https://www.google.com/maps/contrib/117963943230268461519/reviews?hl=zh-TW,4,True,144,聚會的好去處，每個人ㄧ份餐點，湯和飯可續點，吃下來覺得豬排丼滿好吃
 Anna Chien ,https://www.google.com/maps/contrib/117606731677487169719/reviews?hl=zh-TW,5,True,902,"▲白飯：煮得很有水準，可續。
▲炸豬排：麵衣很脆很香，豬肉有一定厚度，還不錯。
▲滑蛋豬排：選擇半熟蛋，送來的熟度還蠻喜歡的。豬肉一樣有一定厚度。
▲雞肉沙拉：雞肉沙拉的菜滿多樣的，感覺很用心，雞肉跟蔬菜很搭。
▲炸雞：很香，覺得炸物都滿有水準的。

平板點餐，白飯、高麗菜絲、味噌湯可續，續碗也是從平板告知。有附熱茶，整體服務很不錯。

這間價位一直都有點偏高，但吃了幾間分店覺得品質同樣是一直維持得很好。

內用是現場抽號碼牌候位，過號超過3號就得重排。

支援linepay付款。"
 LinQiao Gao ,https://www.google.com/maps/contrib/102314507719281940241/reviews?hl=zh-TW,5,True,259,今年才發現原來還不錯吃，很喜歡，服務很好，點餐直接用平板點餐很方便，甜點超好吃，冰淇淋有豆香味配上紅豆撅餅好搭。
 Shago Chang ,https://www.google.com/maps/contrib/114087268438379553108/reviews?hl=zh-TW,5,True,347,"主餐好吃！份量也多！點餐跟續飯續湯等，直接平板點很方便。
服務人員有禮，內用座位還算寬敞，親子友善，適合帶小朋友（有提供兒童餐具座椅）"
 蘇撥 ,https://www.google.com/maps/contrib/100246619398422378237/reviews?hl=zh-TW,4,True,766,碳烤雞肉烏龍麵很讚，雖然有一點鹹，但烤過的雞肉很嫩，套餐整個吃很飽
 Danny Hsu ,https://www.google.com/maps/contrib/109250666753914164323/reviews?hl=zh-TW,4,True,317,點了一個猪里肌套餐和茶碗蒸，份量大味道好另外：高麗菜絲，米饭，味噌埸等4種可以免費續點，周日4點左右到人還蠻多，店員服務到位，下次再來品嚐其他口味。
 July Liu ,https://www.google.com/maps/contrib/117776272962374852528/reviews?hl=zh-TW,5,False,8,餐點一直很美味水準維持，9/25中午時段遇到一位黃姓戴黑框眼鏡的男服務員給了我們溫暖服務，用餐體驗很棒！
 Melvin H ,https://www.google.com/maps/contrib/103368570019099214289/reviews?hl=zh-TW,5,True,537,吃了很多次，都有在水準之上，價格也不算太貴
 vivian-ming chou ,https://www.google.com/maps/contrib/117926266216121382864/reviews?hl=zh-TW,5,False,6,"大戶屋的餐飲品質很平均，醬煮龍虎斑定食，肉質特別鮮甜彈牙，日式醬汁輔佐濕潤和調味不搶戲，喜歡用湯汁泡飯的我，還多添了半碗飯。
統一時代店的服務也非常好，一切接待應對都不疾不徐，讓人用餐時很放鬆。"
 Shu Yi Lee ,https://www.google.com/maps/contrib/112501184267269231037/reviews?hl=zh-TW,5,True,137,"真的很喜歡來大戶屋用餐
除了點餐不用等待服務人員外
想吃什麼都可以在菜單跟點餐面板上看的到
而且他們的餐點真的都很豐富
份量也超級足夠
如果食量不大的
真的不要點太多
這次我們用餐還發生了一個小插曲
茶水內掉了蟲進去
跟服務人員說明原因後
他們也立即幫我們做更換
更換的速度超快
完全沒有什麼等待時間"
 Joan Lin ,https://www.google.com/maps/contrib/115766555690216370679/reviews?hl=zh-TW,4,True,80,餐點都不錯吃，但唯一櫃檯人員怪怪的阿姨，買單時碎碎唸
 Eason Lin ,https://www.google.com/maps/contrib/108372967155338864518/reviews?hl=zh-TW,4,True,199,蠻好吃的，人員服務親切，感受很棒👍
 Fu Hsu ,https://www.google.com/maps/contrib/113674444764102805278/reviews?hl=zh-TW,5,True,"1,015",點了定食，因為白飯跟湯可以續，所以吃很飽，美味
 Kay Wang ,https://www.google.com/maps/contrib/116604307972687005857/reviews?hl=zh-TW,5,True,165,"餐點口味品質一致蠻好的
泡菜不好吃下次不點了"
 湯凱程 ,https://www.google.com/maps/contrib/109212238178493474691/reviews?hl=zh-TW,4,True,559,大戶屋～品質有保障的一家店，白飯蠻好吃的配上可以續加的高麗菜，是個不知道吃什麼不擔心踩雷的店
 張亦萱 ,https://www.google.com/maps/contrib/115017636652859015751/reviews?hl=zh-TW,5,True,72,"算蠻小間的大戶屋，位置感覺不多
不過服務人員很親切"
 Tsai hung-bin ,https://www.google.com/maps/contrib/104764218350883388121/reviews?hl=zh-TW,5,True,29,"雖然客滿可是上餐速度快,沒有讓人等太久"
 蔡沐函 ,https://www.google.com/maps/contrib/103059290690171916796/reviews?hl=zh-TW,5,True,40,"炭烤雞豬眼鹽趜350
炭烤鰻魚小份410
都很好吃❤️高麗菜絲湯可以一直續加

重點是服務員真的超級窩心
我偷偷帶了一個茉莉茶凍進去吃
結果他竟然默默遞給我小湯匙
太貼心了吧❤️❤️

鰻魚飯比肥前屋好吃
如果醬再多一點就更棒了❤️"
 小葵 ,https://www.google.com/maps/contrib/115351711272126374824/reviews?hl=zh-TW,5,True,623,雞肉沙拉🥗定食好吃😋下次嘗試其他餐點。
 Yawen Yu ,https://www.google.com/maps/contrib/112268879419615755327/reviews?hl=zh-TW,5,True,72,"・環境
疫情期間我被分配到的四人位附有迷你酒精噴霧，讓客人方便消毒。店員服務態度親切，耐心回答客人疑問。印象中是挺過統一阪急美食街多次櫃位調整的品牌，受歡迎程度可想而知。
・餐點
雞肉沙拉系列是我常吃的部分，無論烤或炸，肉質都相當鮮嫩有彈性，隨附的醬微酸偏鹹，建議清談飲食習慣的人加一半就好。
・$$
由於是百貨內門市，付款方式多元。信用卡/現金/電子支付皆可"
