user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 林Luke ,https://www.google.com/maps/contrib/105286800564072859046/reviews?hl=zh-TW,5,True,317,"平日中午前來訪沒預約不用排隊，服務人員量體溫消毒直接帶入座，用餐環境日式簡約風格明亮舒適，內用少但不少外帶單。附近有僑安地下停車場，藍線捷運交通方便。
第一次直接點一個小倉屋特選套餐$1050-鰻漬黃瓜、鰻骨、鰻肝燒、鰻魚鰭邊燒、白鰻、鰻魚飯、甜點，另一位點一個鰻重8切套餐升級鰻肝湯及甜點。
鰻漬黃瓜中規中矩的開胃菜，鰻骨把魚骨炸的很乾很脆帶點鹹味，份量有點太多，像雞肋食之無味，一定要加小葫蘆型罐子的山椒粉，味蕾香香舌頭麻麻。
推薦小菜-鰻肝燒，吃的到粉嫩內臟口感另外尾巴條狀特別有嚼勁，整體沒腥味帶淡淡的醬汁；鰻魚鰭邊燒就是鹽烤，雖有一點點刺但肉很嫩，單純的美味，比想像更好吃。
白鰻也是鹽烤，也是單純的美味，但因為鰭邊燒先出，水準上但相對不特別。
主食鰻魚飯，飯粒粒分明，魚外皮酥脆，淋上調味適中醬汁，有點像韓式炸雞的概念，油脂分泌很下飯，一樣要加山椒粉，增加層次及刺激口感。飯量可以選擇少\正常\多。
湯清淡可中和些油膩，最後的甜點很普通…
整體很好吃，疫情期間偽出國，下次考慮單點定食加烤物。"
 Buni Lin ,https://www.google.com/maps/contrib/115546146273616756173/reviews?hl=zh-TW,4,True,53,"•鰻重御膳(套餐ㄉ意思)
竹御膳-六切NT$880
特御膳-十切NT$1080

•鰻櫃御膳(也是套餐)
竹御膳-六切NT$930

套餐內容有什麼看下面菜單照片
-餐點需加收10%服務費-

週六晚上19:00，四位，提前兩天預約了週六晚上四人的位置，沒有遲到準時到餐廳，店員指引直接到予約席，店員態度親切有禮，上菜收盤也沒有怠慢。環境不擁擠，乾淨明亮。

本來只有各點一份鰻魚骨跟涼拌章魚，後來又都追加了哈哈哈，茶碗蒸是普通好吃程度，香滑嫩嫩的口感，鹹度適中，裡面有一塊雞肉跟香菇，上面放一塊鰻魚這樣，餓的話可點無需有高期待。

玉子燒有點過濕，是甜香的味道，中間捲著
鰻魚，沒有特別有印象的地方。

對於鰻魚飯菜鳥小白的我來說，初次來小倉屋還是點他們招牌鰻重應該不會錯（？，我點飯少，這個份量適合小鳥胃的女生，又想多試一些口味安捏，普通份量男生不要點，你真的會後悔：）套餐的配菜好吃美觀，值得一試，鰻魚甜鹹甜鹹的口味十分下飯，外酥香內軟，米是來自北海道的米，煮得很好欸！單吃一口白米飯，不濕軟黏不過硬～軟硬適中，米香迷人，鰻魚的醬汁巴著米飯整體提升另一個境界，不會因為受醬汁影響就過濕，有滿足。

同行家人點了鰻櫃，嘗試了多元的三吃法，也是有趣好吃，這款的鰻魚切塊形狀與鰻重不同，相較小且長。

整體來說是想像得到的味道，不至於驚艷，然後…菜單上已經沒有天婦羅ㄌ，同行的家人有失望哈哈哈，不吃鰻魚的友人來可以吃牛肉或是火鍋（？幫大家試試味道瞜：）

我照片是拍直的啦！！"
 Eric Wang ,https://www.google.com/maps/contrib/105226582404048460781/reviews?hl=zh-TW,5,False,72,"《孤獨的美食家王醫師--日式鰻魚料理》

連續假期的最後一天，孤獨的美食家決定去看畫展增加自己的氣質，但是在那之前還是得先填飽肚子。今天的目標是鰻魚飯，風塵僕僕前往南港展覽館站的板前屋，卻遺憾地已經客滿。

在店門口撿起了差點融化的小提琴美少女，久違的正午驕陽對她還是太刺激了點，接著和再度巧遇的巨乳眼鏡美艷人妻討論替代方案。畫展在國父紀念館站，附近是有名的美食激戰區，聽到我們興致勃勃的討論，小提琴美少女眼眶噙著淚水，委屈地說：「我還是想吃鰻魚飯嘛！」

剛好，那裡有一家頗有名氣的鰻魚料理「小倉屋」，據說是日本百年老店「田舍庵」在海外的第一家分店，就逕自前往去也。不料，服務人員一開始就問是否有預約，本來想說慘了，畢竟是假日午餐時段，該不會連續兩家都沒得吃吧？幸好經過現場協調，總算空了一桌給我們。

曾經在大阪和京都吃過鰻魚，對於關西口味並不陌生。首先上菜的是鰻骨，酥脆有如煎餅，單吃就很爽口，加上山椒粉又是另一種風情。很快地，玉子燒和烤鰻肝也跟著上桌，正猶豫要從哪道先下手，小提琴美少女點的鰻重（松）又已經呈上，飢腸轆轆的她決定先進攻正餐。鰻重的等級是以鰻魚的份量區分，松是八切，竹、梅各是六和四切，特則是十切。關西的蒲燒鰻未蒸過，口感略帶酥脆，醬汁看起來濃郁，但入口並不鹹，搭配的醬菜如紫蘇昆布、干瓢和大根也巧妙地陪襯，讓鰻魚吃再多也不膩。

孤獨的美食家和巨乳眼鏡美艷人妻都喜歡鰻魚飯三吃，所以選擇了鰻櫃定食（特）。它的鰻魚其實和鰻重是一樣的，但為了方便三吃，切得比較細。第一吃是一般的鰻魚飯，蒲燒醬汁和鰻魚融為一體，和軟糯晶亮的白飯誠然絕配。第二吃是拌入蔥花和山葵醬，先前還覺得濃厚的調味霎時清爽了不少。最後則是第二吃加上柴魚昆布高湯，泡過高湯的蒲燒鰻魚並未因此失了口感，層次更為多元，搭配鬆軟和彈性兼備，微苦卻風味令人難忘的蒲燒鰻肝，即使沒出國，對關西滋味的渴望也得到紓發。

既然提到關西，自然不能遺漏了白燒鰻，這是很多食記常常會忽略的重點。少了醬汁架構的外衣，鰻魚的真實風味赤裸裸地展現出來，品質好壞一嚐便知。外場服務人員的建議是沾山葵醬油，但我個人建議直接搭配些許山葵醬就好，毋須醬油出來搶戲。小倉屋的山葵醬雖然不是現磨，但還是有顆粒狀的口感，以及微微的甜與酸，清香不辣。如果不喜歡山葵，些許山椒粉也是好選擇。

吃到肚子已經很撐了，才想起被我們遺忘的玉子燒。以前在漫畫「將太的壽司」提到，好的玉子燒要鬆軟如蛋糕，小倉屋確實做到了。中心的蒲燒鰻固然美味，但是滿滿高湯風味的煎蛋可不能被無視，或許是用鰻魚頭尾熬出來的，即使肚子已經很撐，還是細細品味後才依依不捨地吞下。

不期而遇最美麗的一點，不是在遇，而是在不期。雖然不是原本的目標，卻有另一場美好的邂逅。如果有機會，還真希望能當面向小倉屋的主廚以及內場工作人員致謝，感謝他們所帶來美妙的味覺巡禮。

#孤獨的美食家王醫師#巨乳眼鏡美艷人妻#小提琴美少女#小倉屋鰻魚飯"
 Jas TG ,https://www.google.com/maps/contrib/113254358275626129723/reviews?hl=zh-TW,4,True,500,"在國父紀念館旁邊的巷子，位置靜謐，裡頭的人卻非常熱情
平日中午1點多用餐不需久候，不過烤雞肉串及玉子燒已售完，無法點套餐有點可惜

本次吃的是鰻櫃和鰻蒸，鰻櫃做的是鰻魚飯三吃，一吃原味，二吃鰻魚飯拌芥末及蔥花，三吃柴魚高湯泡飯，拌著芥末及蔥花的吃法很有層次，我很喜歡；鰻蒸的米飯顏色較深，從第一口到最後一口都能感受到蒸氣的熱度，感覺冬天冷呼呼的吃，更加對味。他們的鰻魚刺處理的蠻乾淨的，米飯粒粒分明，非常不錯，佐柚子明太子和旁邊附贈的漬物，更促進食慾。

鰻肝燒醬汁偏甜，上桌的熱度相對之下不高；鰻魚蒸蛋帶有薑汁，口感上還蠻溫和特殊

最後的玄餅，帶著水果的鮮豔色澤，淡淡的酒香吃起來很清爽解暑

雖然我的餐因為一些疏忽而忘單，但店家的態度真的很好，東西也很好吃，不過，建議冷氣可以再開強一點，餐點的熱度很夠，真的吃到流汗"
 Danny Chou ,https://www.google.com/maps/contrib/103162221365471601094/reviews?hl=zh-TW,4,True,109,"在肥前屋已經墮落的現在，不能說還好還有小倉屋，畢竟兩者走的路線其實不太一樣，但也算慶幸還有這個選擇。
店內裝潢偏傳統日式，但價格很明顯因為這兩年不斷上漲的物價而也有所調漲，不過鰻魚飯本來就不算便宜的料理，這麼想也就還能接受。
鰻魚烤的算不錯，應該算是比較清淡的派別，可是打開蓋子還是香氣撲鼻；米飯煮的很讚，光從等級來說分數甚至可以給的比鰻魚還高分。
服務人員態度和加水的頻率也都令人滿意，服務費物有所值。
在不能去日本的現在，這裡是想吃鰻魚飯不錯的選擇。"
 唐惠真 ,https://www.google.com/maps/contrib/116623776170134449269/reviews?hl=zh-TW,5,True,47,"小倉屋，在熱鬧的延吉街商圈，在疫情附近變得冷清許多，但現在的人群也慢慢增加不少了！！人潮有回來喔，小倉屋在巷弄裡有日式建築的特色！非常好拍照，而且別有一番風味！
平日晚餐時段人潮不多，但服務生的服務還是很好，服務生補水快速而且非常親切喔！
鰻魚飯的水準相當高！
鰻魚飯的總類也有很多種，有烤的和蒸的也有鰻櫃，鰻櫃吃法特別，因為沒有嘗試過所以點了。
鰻櫃的吃法是第一碗原味第二碗加蔥花和山葵最後把高湯加進去變成泡飯一起吃非常美味很有層次很高級
歡迎大家來嘗試看看"
 Winnie Chan ,https://www.google.com/maps/contrib/117034142262684527031/reviews?hl=zh-TW,5,True,289,"細緻的味道，久久難忘。
在附近逛逛，湊巧已經快五點，散步到店門前，幸好因為連假，所以排隊的人不多。
入門後的實名制、點餐、送餐等服務的過程都讓人很舒服，而滿心期待的“鰻櫃”，在服務人員介紹後，才知道要分三階段來享用。
第一次先挖半碗，品嚐原味，剛入口味道不重，但慢慢在口中散開的味道，讓人驚喜，加上山椒粉後，更能凸顯滋味。
第二次再挖半碗，我選擇把山葵拌入飯中，加上蔥花。拌飯時一度很嗆，但吃進口中時真是美味啊！
第三次，把所有的飯都放在碗裡，加上茶高湯，灑上剩餘的蔥花，配著小菜慢慢吃。茶高湯將鰻魚的滋味再提升了一層，再加點山椒粉，好吃！
加點了黑糖蕨餅當成收尾，甜甜的，也讓整個胃做了滿足的結尾。
很滿足的體驗，下次再訪！"
 CJ Wu ,https://www.google.com/maps/contrib/103122102606397925997/reviews?hl=zh-TW,5,True,537,"小倉屋店內氛圍裝潢走日式風格，木質風情的店面寬敞清新，座位多且寬暢，用餐環境還算寧靜舒適。
菜單主要分為有各種鰻魚定食套餐的選擇，不論是酥脆內軟的鰻重、鰻蒸或白燒鰻都能一網打盡純正鰻魚鮮味，除了基本的鰻魚定食套餐，也推出多樣以「鰻魚」食材料理，鰻魚玉子燒、鰻魚茶碗蒸…等。四種定食/御膳：鰻重、鰻蒸、鰻櫃、白燒鰻，每一種又根據鰻魚分量分成：(10切)、(8切)、(6切)、(4切)，飯量可以選擇：少、正常、多。升級套餐加價，可以有鰻肝湯和甜點。
總體來說，鰻魚料理那深厚的醬香光澤引人食慾，口感外酥內軟，魚肉是鬆軟的不油膩！吃不到刺，也沒有土味！配料有蔥花與山葵，旁邊還有醃漬的蘿蔔解膩。建議男生飯量可以加多。"
 Ruby Chen ,https://www.google.com/maps/contrib/111299735760035142103/reviews?hl=zh-TW,5,True,274,鰻魚飯非常好吃，標準飯量女生剛好，男生可能不夠。疫情期間現場內用客不多，但外帶配合的不少，等待上餐時間稍長。服務普通，環境舒適寬敞。
 Mika Yu ,https://www.google.com/maps/contrib/117649991274755202764/reviews?hl=zh-TW,4,True,355,"小倉屋，在昔日熱鬧的延吉街商圈，因為疫情附近變得冷清許多，小倉屋在巷弄裡保有日式建築的特色特別搶眼。平日晚餐時段人潮不多，但服務生的服務還是很好，鰻魚飯的水準依舊，味道很好，飯也很好吃，餐前先來的鰻魚肝覺得口感很特別，沒有魚腥味，有一點像蝸牛🐌但沒有那麼Q彈，覺得很特別所以點了。餐後的隱藏版點心，一個70元，還滿不錯的，價格就有點小貴。
今天的用餐人潮，讓我不禁擔心這麼有歷史的店家會不會走入歷史，希望大家都可以多多捧場，讓這麼用心的鰻魚飯永續經營。"
