user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 K JASON ,https://www.google.com/maps/contrib/100880335519776754575/reviews?hl=zh-TW,5,True,94,香菇雞肉湯麵清香淡雅，湯頭不錯，是常選擇的品項。離捷運站近附近又有許多可逛之處，加分不少，是喜歡輕食、或與朋友聊天時可選擇的店家。
 蕭莎拉 ,https://www.google.com/maps/contrib/102733828407645115371/reviews?hl=zh-TW,5,True,19,"之前來吃過一般餐點，都很不錯，經由朋友推薦有開始賣早餐，第一次來吃（11：00前），光看到豐富的菜單就吸引了我，每樣都好想吃

可惜今天只有跟無戰力的兒子來吃，不能點太多，下次一定要帶老公來

今天點了花醬豬排，秒殺
起司薯餅吐司，外層煎了一層焦香的蛋，兒子愛吃的起司蛋餅，也說表皮脆脆的好吃

下次一定要再來品嚐其他的餐點"
 BoA ABo ,https://www.google.com/maps/contrib/103993771287730811423/reviews?hl=zh-TW,4,True,169,"飯類份量算偏少
小菜種類蠻多的
個人最喜歡的是湯類，有時候會有菜單上沒有的那種，總體來說還算不錯囉"
 Ya Li Huang ,https://www.google.com/maps/contrib/105510819093649153216/reviews?hl=zh-TW,4,True,411,這間店都是一些小吃，點了紅油炒手和豬耳朵、燙青菜，餛飩吃起來很剛好，小菜方面也很夠味，價格也合理，環境乾淨整齊。
 M. ,https://www.google.com/maps/contrib/111135384667550351125/reviews?hl=zh-TW,4,True,92,這次點的是控肉飯😂皮很Q，嚼起來特別帶勁，不過還是不太敢吃肥油的部分😁整體吃起來肉比較鹹一點。旁邊的配菜特別好吃，非常喜歡一！
 Joy Chan ,https://www.google.com/maps/contrib/107590100670616815116/reviews?hl=zh-TW,3,True,15,爌肉軟硬適中，第一次吃完飯想衝出去喝500CC的水，配菜較硬不適合牙口不佳者。
 Yiting Yu ,https://www.google.com/maps/contrib/117868657095447094728/reviews?hl=zh-TW,3,True,27,"今日餐點：紅油抄手麵（正常辣度）+伯爵奶茶
價格：$100+$30
總結：無亮點，不會特定前來

優：送餐速度很快，麵體Q彈有嚼勁
缺：
1.麵體不易吸附醬料，導致吃起來味道非常淡
2.紅油抄手皮偏厚，有部分沒有煮透，嚐起來有粉味
3.伯爵奶茶=早餐店大冰奶，味道非常淡且水，剛入口幾乎沒味道，只有尾韻出現一點茶味
4.桌面無紙巾，需至醬料區自取；店內不提供免費茶水，僅可購買飲料，稍嫌不便"
 Kelsey Yang ,https://www.google.com/maps/contrib/112935971643848928886/reviews?hl=zh-TW,5,True,254,麵條軟硬適中，魚香哨子麵的香味都有出來。
 YU-XUAN ZHENG ,https://www.google.com/maps/contrib/116036346685488123256/reviews?hl=zh-TW,1,False,18,"點了紅油抄手乾麵，但麵跟抄手完全沒有味道，只有微微的辣，一點鹹味都沒有

-更新
整桌好幾個人，不管有加麵還是沒加麵都說沒有味道，根本就不是加麵不加麵的問題"
 李黎恩 이리은 ,https://www.google.com/maps/contrib/118039969668478454559/reviews?hl=zh-TW,2,False,27,"怪味雞卷5片每片厚薄度約0.5cmNT$130
香菇雞湯的香菇體感只有1/2朵剁碎，雞肉口感偏柴
抄手8顆$100
整體而言CP值太低，口味普通
除非是附近沒有食物可以吃，不然不會二訪～"
 Liou Joanne ,https://www.google.com/maps/contrib/105953515473816375340/reviews?hl=zh-TW,1,False,10,11點左右去點了早餐吃，吃完開始辦公，中午12點一到，立刻被店員提醒現在是午餐時間，早餐時間已結束，要趕我走耶！！還說老闆規定午餐時間沒點餐就不能繼續坐，重點是現場還很多座位！！請問我離開了你的新客人就會進來嗎？超級不會做生意，以後不去了
