user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Wanyi ,https://www.google.com/maps/contrib/118171174122964976664/reviews?hl=zh-TW,4,True,19,"🍶#蔓越莓醋
酸酸甜甜有助開胃，很好喝（免費可續加）

🥢#花椒炸蛋$240
我心中的第一名🥇著實優秀！蔥、酸、辣椒鋪在炸蛋上，帶有淡淡的花椒味，那可真是太香啦！特別特別的下飯，絕了！給手🫶🏻

🥢#老火鍋水煮牛$480
這兒使用的牛肉是塊狀的，但完全不老！厲害的是他的湯汁！絕對可以嗑掉兩碗飯😋

🥢#流口水雞$360
這道口水雞上撒著花生粉，麻醬配上花椒和辣油挺特別的口味，但我個人不愛麻醬所以這道我就ㄉㄟㄉㄟ❌

🥢#乾煸四季豆$240
有別於一般四季豆的調味，第一口很是驚艷，但肉末太多了，吃到後面有點鹹。

🥢#季節時蔬$200
空心菜兒！整桌唯一清流，不辣、清爽、很好吃。

🍚#白飯$35（依人數可續加飯）
🍮#銀絲捲
🥤#烏梅湯
🥤#冬瓜露
以上三樣是當月壽星送銀絲捲/飲料，咱家都是巨蟹小朋友🦀
筷柱是小辣椒超Q～碗筷也都有熊貓🐼
我們四個人這樣吃下來超飽，一人500元有找哦～
然後店家超貼心問蛋糕要不要裝盤子！
推一波！

📍所在：台北市忠孝東路五段8號7F
☎️電聯：（02）2758-5358
🕒時間：週日-週四11:30-21:30 週五-週六11:00-22:00 下午茶營業時間： 週一-週五14:30-17:30 週末、例假日15:30-17:00 營業時間前半小時為最後點餐時間
⏳限時：90分鐘
🤏🏻額外：酌收10%服務費"
 TTL ,https://www.google.com/maps/contrib/102872116700853323766/reviews?hl=zh-TW,4,True,33,"平日下午時段前往用餐，現場等候無訂位。

在櫃外翻閱菜單一段時間，服務人員並無向前介紹及關心，現場服務人員不多，也可能沒留意到有客人在門口。

入座時有告知菜單可掃描QRCODE，但並未針對用餐人數推薦點餐方式及介紹該店招牌餐點。
點餐人員是新進員工，資深人員在旁協助指導該注意及告知客人事項，確保新進同仁有照點餐SOP流程走（像是詢問飲食禁忌、辣度、這道菜裡面包含的內容物…等）這點個人認為還不錯，雖然點餐到一半可能會中間穿插幾句補充，但也代表該公司有落實教育訓練。

點餐完再次核對明細後立即送上醋飲，醋飲酸甜適中也解膩，上菜速度迅速，移動菜盤調整位置前也會先告知在移動，每道菜皆有提供公筷，相當貼心。

小菜：
1.黃瓜愛裝蒜-還不錯，脆口入味蠻清爽的口感。
2.甜在心芋頭-個人覺得不夠綿密，有點小失望。

菜單上的推薦料理：
1.梅汁二弄雞-雞肉軟嫩，微微酸的口感很喜歡，梅子單吃也好吃，蠻推薦這道菜。
2.夫妻肺片-內容有牛肚、牛腱、牛筋，小辣的調味剛剛好，椒麻香氣濃郁，但肉的部分超級薄，差點找不到牛筋😂
3.鐵漢柔情-有點類似老皮嫩肉，但外皮口感又更嫩一些，搭配一旁的醬料超好吃。

蔬菜：
上湯娃娃菜-喜歡湯汁的濃郁口感，娃娃菜軟嫩入味，放涼一點吃依然好吃。

小小建議是可以針對特色餐點簡單介紹，餐點上齊可告知客人，用餐過程中也可以關心一下口味是否合適。

假日用餐務必先訂位，會再訪。"
 張智驊 ,https://www.google.com/maps/contrib/108828633488122361325/reviews?hl=zh-TW,3,True,17,"這次選擇二人套餐+單點
整體菜色都屬於重口味偏椒麻辣的口感。
這次品嚐分享的菜色
👉夫妻肺片我個人覺得椒麻的味道蓋過所有食材原本的美味，我沒有很喜歡。
👉回鍋肉口味適中，很好吃。
👉催淚蛋糯米椒炒炸蛋很特別，我覺得好吃。
👉翻滾吧肥腸滿滿的辣椒炒肥腸跟杏鮑菇，口感不錯。
👉咕溜溜仙草奶凍朋友覺得太甜，只吃一口便沒吃

當月壽星還有招待飲品或甜點喔！

喜歡吃辣的朋友可以來試試，服務及環境都還不錯。"
 林昱婷 ,https://www.google.com/maps/contrib/101857432561345264300/reviews?hl=zh-TW,3,True,338,"整體來講辣度可以再強一點、主要都是偏鹹但卻沒有辣香，有點可惜

-麻婆豆腐：唯一幾道麻味很夠的調味，非常下飯
-肥腸：偏鹹，肥腸很有嚼勁到咬不太斷😅
-夫妻肺片：辣味剛好，整體調味在水準內
-口水雞：不夠辣，肉質軟，吃起來沒有像大家說的那麼驚艷耶
-梅乾扣肉：梅乾味道很淡，扣肉有點煮太爛

好像吃一次就可以，不會特別想回購除非有朋友聚餐"
 Kenneth Wang ,https://www.google.com/maps/contrib/114559812717907633742/reviews?hl=zh-TW,5,True,428,"到統一百貨逛逛,也近飯點,有些時間未嘗川味,看到開飯也蠻洽時宜的,進入餐廳的接待服務人員很是熟練和熱情,坐桌空間開放舒適,點的幾項家常菜是中規中矩,客服也按要求少油辣,餐間頻頻問候,加水並無限量供應冰鎮好喝的蔓越莓汁,很是滿意."
 鴿子柴 ,https://www.google.com/maps/contrib/110808386997790566405/reviews?hl=zh-TW,5,True,164,"這次點的餐點非常下飯，開飯其實是開胃，點的是兩人套餐，白飯可以續而且還有附果醋可以喝(也可以續)，最後真的是硬吃才吃得完，這些份量對兩人來說非常足夠

催淚蛋，蛋的顆數給的不手軟，配上綠色椒類與辣的調味，就是名副其實的白飯殺手

回鍋肉，豬肉片與豆腐還有青椒的料理，醬汁結合後，也是很不錯的味覺饗宴

流口水雞，冰雞肉配上花生粉的味道很清爽
仙草奶凍，有薄荷葉的仙草甜點

仙草奶凍生乳捲，生乳捲裏頭有仙草，吃起來算不錯

高麗菜，可以配合客人需求做不辣，而且炒的也很好吃

仙渣烏梅湯，洋甘菊金萱，其實附上的果醋非常好喝，到最後都是一直續杯果醋

銀絲卷（生日禮），附上很多煉乳可以配"
 WB ,https://www.google.com/maps/contrib/117000283526907802555/reviews?hl=zh-TW,5,True,230,"喜歡川味的朋友，喜歡一點辣辣地，麻麻的，
推薦開飯

梅乾扣肉不錯，很下飯
椒麻烘蛋一定要點
最厲害的會跳舞的肥腸
他不是一點點肥腸，
他是很多很香，吃完了，撥一撥又還有很多
很厲害

小黃瓜，普通
連鍋湯，是裡頭清淡的一道菜
但覺得麻味可以再重一些

他的白飯品質非常的高
喜歡吃白飯的朋友，一定要點滿滿的一鍋"
 小彭 ,https://www.google.com/maps/contrib/106972613530405806019/reviews?hl=zh-TW,3,True,260,"1.星期六，沒約好位置，等了兩小時，SOP真的有改進的空間，不過累累服務還算有禮貌。
2.我點肥腸，來了一個三鮮。
3.我們一致認為，那個花椒半生熟蛋，好吃。其他就自己去試試看。"
 Shirly Li ,https://www.google.com/maps/contrib/106543747816865173497/reviews?hl=zh-TW,5,True,114,五月初到訪，服務親切、餐點好吃，份量十足，推薦多人聚餐可以享用到比較多不同的美食～菜單是掃碼用手機看，點餐再詢問服務人員。我們是點兩人套餐+單點大腸那道（最後一張照片）
 Yi-Ting Lai ,https://www.google.com/maps/contrib/104275643077860386429/reviews?hl=zh-TW,3,True,940,"優：菜色雖多，但菜單好懂

缺：跟其他開飯比起來，裝潢微簡陋；靠外側桌位，跟外面顧客距離太近

不推：豆酥圓鱈(豆酥酥脆，但調味重鹹，第二口就受不了；鱈魚刺多，無法專心品嘗)；孜然銷魂排(肉質偏硬，調味重鹹，點了會剩很多)

Ok：流口水雞(味道口感極具層次，可惜麻醬比例太高，容易膩)；鍋巴蝦仁滋滋響(匯聚各種口感的食材，我喜歡，調味是茄汁，可惜醬汁味道稍嫌單調)；松阪豬攀水蓮(正常發揮，可安心點)；蔥爆牛肉(調味甜了一點，青蔥比例太高，不像熱炒店耐吃)"
