user_name,user_profile_url,rating,local_guide,comment_num,comment_text
" Hi,ななみ ",https://www.google.com/maps/contrib/112578972829283372473/reviews?hl=zh-TW,3,True,88,"宮保雞丁便當90元，
便當顏色豐富、看起來美味，
配菜口味尚可、四樣配菜，
主菜宮保雞丁顏色偏淡且味道不像，
有一半白米飯和一半紫米飯，
整體經濟實惠。"
 金陵 ,https://www.google.com/maps/contrib/108753069107740255918/reviews?hl=zh-TW,5,False,6,"菜色選擇不多
口味清淡不油膩
價格又很實惠
唯一一個可以忽略的小小缺點是店家可能為了菜色賣像好看比較喜歡勾欠
但是ok啦
而且還有黑米飯可以選擇

店內裝修比較老舊但是維持的很乾淨"
 黃樹城 ,https://www.google.com/maps/contrib/114969313177918731564/reviews?hl=zh-TW,4,False,40,當地自助餐廳老店，餐食味美視覺佳，不像他店整盤菜餚都堆滿深盤，看起來就沒有很好吃的感覺，價位也算便宜，建議改善的地方是取湯處的地面需要整修一下。
 高方淇 ,https://www.google.com/maps/contrib/113895517932225170219/reviews?hl=zh-TW,5,True,48,大推糖醋肉和鳳梨蝦球，蝦子是真的白蝦去殼不是外面常見脆脆小小的蝦仁，糖醋肉口味非常好吃，其他菜色也不錯!飯可加錢升級養生紫米飯!
 진성우 ,https://www.google.com/maps/contrib/115786817873780263595/reviews?hl=zh-TW,5,True,14,已經持續光顧至少五年以上的店，青菜種類多，肉類料理方式較少炸物，整體菜色都蠻健康的，不會過於油膩，有湯可以外帶內用喝，白飯軟硬適中，適合外食族吃健康的地方，也可以自帶餐盒去盛裝👍
 Joden Hsu ,https://www.google.com/maps/contrib/101604533028319009001/reviews?hl=zh-TW,5,True,185,信義區巷弄隱藏美食版高CP值每天都要排隊
 enjoy519 ,https://www.google.com/maps/contrib/112421055217130354222/reviews?hl=zh-TW,4,True,"1,043",菜色很不錯量多菜飯70元
 國考小87 ,https://www.google.com/maps/contrib/115559929975211775408/reviews?hl=zh-TW,4,True,171,"不油的自助餐

只可惜菜色非常單調，重複率非常高，每天菜色8成以上重複

相較之下對面的掌廚，菜色豐富度就高許多，可惜有點太油"
 Jessica Wang ,https://www.google.com/maps/contrib/100946398024476532775/reviews?hl=zh-TW,4,True,73,90元中餐便當，菜色豐富，但青菜比肉新鮮好吃
 愛玩的人 ,https://www.google.com/maps/contrib/114479784895421820668/reviews?hl=zh-TW,4,True,30,還不錯，因為有健康取向的黑米飯可以選擇(整個永春只有這家啊…)但是有些菜有偏油，而且菜色都很固定，所以有時候我也會到對面的掌廚換換口味😂
 張悅華 ,https://www.google.com/maps/contrib/102852021706381972560/reviews?hl=zh-TW,3,True,199,"常常上新菜，每天吃都不會膩，價錢常常因擺放方式發生不同價位，需注意，不然滿不錯
9/2更新
最近常有三杯雞味道很下飯，但這種小雞腿一支20老闆娘說外面都賣25，但價錢不是重點，重點是裡面竟然還是紅的，店家有說這個樣子沒熟，但店家說外面肉有蹦開所以是熟的，拿這個畫面現場吃完反應也只能獲得這種結果，算了，不會自己做飯又不想吃太貴就只能接受這種結果吧？"
 羅文成 ,https://www.google.com/maps/contrib/107563561711856490075/reviews?hl=zh-TW,5,True,24,"黑米飯棒！
蔬菜清洗很乾淨！青菜料理清淡！
態度親切，服務良好！"
