user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 T L ,https://www.google.com/maps/contrib/104937960943293322422/reviews?hl=zh-TW,2,True,739,"很差非，感覺想創新的二代店，唯一優點是門面乾淨，
燒臘肉品，，實際上普普通通。
便當價格較貴，肉量也沒有比較多，配菜也很少，，，
高麗菜發黑了，，還下去煮，完全沒有品管，
也不重視品質。

先前就知道評價，根本不想買。
今天是同事團購訂餐，
看到便當，真的是令人遺憾。"
 Cherry Su ,https://www.google.com/maps/contrib/104105884264894085992/reviews?hl=zh-TW,4,True,588,"評論區一片慘烈！
配菜的份量的確有些少，且高麗菜梗偏硬
但主餐的部分個人覺得還不難吃啊～
可能是已改進？"
 林翰 ,https://www.google.com/maps/contrib/101245697132038571778/reviews?hl=zh-TW,4,False,7,"雖然菜種類較少
但是油雞腿超好吃呀！
外面油亮，肉多汁不乾
味道殘留在嘴巴裡齒頰留香
感覺是很費工的一道主菜"
 劉小菁 ,https://www.google.com/maps/contrib/108169592358768340280/reviews?hl=zh-TW,4,True,301,"少了油蔥真的很可惜～
如果餐盒換成另一種有間隔的會更好一些
菜的湯汁才不會把飯泡的爛爛的，口味中等
比較偏台式燒臘便當口味"
 Eason ,https://www.google.com/maps/contrib/100562100117729886485/reviews?hl=zh-TW,1,True,207,"7/31/22燒肉叉燒飯$130
便當一打開高麗菜玉米粒
即使好吃也是廉價沒技術的配菜
好歹也加顆有技術的魯蛋或荷包蛋啊
燒肉及叉燒普通沒有驚艷感
“附近有很多更好的選擇”
便當紙盒邊有點利
嘴巴靠著吃有很利的不舒服感"
 曹語宸 ,https://www.google.com/maps/contrib/101773699165927402668/reviews?hl=zh-TW,4,False,1,"今天聽朋友介紹，第一次去買多樣式的便當，
服務人員很親切，主菜還不錯不會過於死鹹～"
 claudia _ ,https://www.google.com/maps/contrib/102476952192468227481/reviews?hl=zh-TW,1,True,23,"買之前應該先看評價的
想說連鎖的應該品質不會太差
台幣110差不多是這樣的份量
薄薄的菜下面平鋪飯
想要辣椒跟油蔥要另外買喔！"
 Shingling ,https://www.google.com/maps/contrib/104472143504463452735/reviews?hl=zh-TW,1,False,7,"外送點三寶飯$150元，只有兩樣配菜，而且菜量不多薄薄一層好看而已，底下是滿滿的白飯。
主餐的三寶肉吃起來非常普通，不曉得UBEREATS的評分為何可以如此高！？
150元外送運費另計，這個價格，吃到這樣的餐點覺得非常不值得。"
 金亮亮部落客吃喝玩樂趣。 ,https://www.google.com/maps/contrib/107053184989849757437/reviews?hl=zh-TW,4,True,582,招牌飯肉類表現還不錯，配菜略為單調！*歡迎追蹤訂閱YouTube金亮亮部落客
 官崇安 ,https://www.google.com/maps/contrib/114185490282005896971/reviews?hl=zh-TW,5,True,24,"東門鴨莊是東門市場的燒臘便當老店

酥脆的表皮,吃起來肥而不膩

肥瘦交織的豐富口感,讓我很驚豔

值得推薦~2022/5/24"
 謝美秀 ,https://www.google.com/maps/contrib/114204424525798240962/reviews?hl=zh-TW,5,False,1,"肉質多汁又嫩
只要有回台北一定都會來東門買
值得推薦的好味道"
 洪喬妹 ,https://www.google.com/maps/contrib/110457620360566677226/reviews?hl=zh-TW,5,False,2,"叉燒燒鴨必點，叉燒燒鴨很好吃👍
食材新鮮，主菜入味，配菜可口
值得再訪"
 沈珮璇 ,https://www.google.com/maps/contrib/112141615128850019323/reviews?hl=zh-TW,3,False,9,"點了叉燒油雞，配菜下面其實還有一層飯，所以實際配菜量不高
這個份量130，有其他更好的燒臘店選擇
但不懂為什麼店內的菜單會跟實際賣價不同？(菜單標120而已)"
