user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 喜曦（Sissi） ,https://www.google.com/maps/contrib/107758937305940945724/reviews?hl=zh-TW,3,True,30,"第二次來消費，第一次覺得很好吃（自己單點）
第二次直接買套餐，感覺跟第一次差好多！
烏龍麵沒怎麼煮熟，然後都不Q彈，不是好吃的那種烏龍麵。
下次我要吃應該還是直接用單點的。

但是半價加購的熊貓豆腐還不錯。"
 KWEN KWEN ,https://www.google.com/maps/contrib/112848879157238222888/reviews?hl=zh-TW,4,True,"1,024",這次點了韓式套餐，手刀麵彈牙好吃，年糕也不錯，店內有三種辣椒可以加，座位舒適。但沒有用餐時間限制要等一陣子。
 黃毓庭 ,https://www.google.com/maps/contrib/105086428931009014978/reviews?hl=zh-TW,1,False,7,手忙腳亂之下把我的整碗掉進麻辣鴨血的盆子裡，沒重煮一個個夾出來就算了，打開發現套餐加五塊的冬粉撈不到四根？
 林郁庭 ,https://www.google.com/maps/contrib/114802266470142114669/reviews?hl=zh-TW,2,False,5,每次都是現場點，看到推出線上點餐就來試試，結果非常失望，去店裡時讓我再等一下，結果做好了廚房也沒有喊號碼，直接擺在那裡，只有內用會喊號碼，回到公司打開發現點的內容有少，明明有點娃娃菜，也付錢了，整碗吃完卻完全沒看到，根本沒放…拜託不要用線上點餐真的超爛的
 張意昌 ,https://www.google.com/maps/contrib/116965884392451382395/reviews?hl=zh-TW,3,True,47,"中午用餐時間人很多
烹煮及食材處理很差
高麗菜沒撥好
王子麵還有點不熟

辣度很夠"
 Wan-Jin Luo ,https://www.google.com/maps/contrib/108882402182956519692/reviews?hl=zh-TW,5,True,124,豚骨湯頭很棒，豐盛而且食材新鮮，套餐不喝飲料可以換麻辣豆腐~
 周怜吟 ,https://www.google.com/maps/contrib/104742759150589639056/reviews?hl=zh-TW,5,True,93,店面空間舒適，套餐選擇多樣，茶好喝，湯頭喝起來不會太重鹹很剛好（2021.10.17）
 林渤浚 ,https://www.google.com/maps/contrib/100960889271134971084/reviews?hl=zh-TW,1,True,110,不懂為什麼找了30分鐘都沒單點菜單，結果只能到現場點浪費等待時間。我以只好到現場拍照菜單給室友選⋯
 Leo Fu ,https://www.google.com/maps/contrib/101012020090473332517/reviews?hl=zh-TW,1,False,2,"用ubereat外送，點了麻辣（湯）備註要加辣椒卻沒給，整個餐一點辣都沒有，下午四點會忙到備註都看不了？再來，額外點的麻辣鴨血給我放在另一碗豚骨湯口味裡面，好好的麻辣鴨血變有夠難吃，搞不懂店員在想啥，想隨便做餐點的店員可以滾嗎
直接送這個隨便的店員一星好評"
 Hunga ,https://www.google.com/maps/contrib/108860123112727932405/reviews?hl=zh-TW,4,True,149,跟其它分店不一樣的地方是內用居然是用紙碗、竹筷，以這麼知名的品牌來說，算是稍稍扣分了，但東西還是好吃啦
 Charles Yu ,https://www.google.com/maps/contrib/102548240400481774446/reviews?hl=zh-TW,3,True,397,"裝潢可愛漂亮，點餐的方式也蠻特別的，是取用自己想要的食材牌子，不會食材夾來夾去比較衛生。
湯頭算是比較不鹹的那種，可以喝。但也因此沒有感覺到入味，尤其滷蛋就只有上色而已。食材吃起來沒有什麼特別之處，也沒有像是一般滷味那種鍵子肉或是雞翅那些，價位卻不便宜。
在內用餐的餐具也都是用拋棄式的，也沒有行動支付，以這麼新潮設計的店家來說有點可惜。"
 怡珍歐（小噗） ,https://www.google.com/maps/contrib/114642717961738581675/reviews?hl=zh-TW,5,False,1,第二次來消費等的比較久，櫃檯的男店員好心送我一個小菜！跟我說抱歉久等了，走的時候還跟我鞠躬，去過其他間分店還沒人跟我鞠躬過，就衝著點會再去消費的。
