user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Hank Yang ,https://www.google.com/maps/contrib/103282229184418722076/reviews?hl=zh-TW,5,True,70,"泰泰我還要，想要到不能停
不喜歡酒感太重的，就來試試看吧！
隱身信義區巷弄內
喜歡燈光優美，氣氛佳之外
對於味道敏感的我，內部香氛氛圍很舒服
值得來放鬆🥰"
 吳俊億 ,https://www.google.com/maps/contrib/117915493965524389179/reviews?hl=zh-TW,5,False,15,"整體的氛圍很舒服，餐點也都很好吃，很喜歡松露野菇雞肉燉飯。
尤其要特別稱讚服務員Lily
服務超級好又熱心還非常有趣，推薦的酒水也超棒的，推薦的「氣死男友的超帥閨蜜」「蘇梅王朝」真的很厲害，我要給一萬個讚👍👍👏"
 Tsai ,https://www.google.com/maps/contrib/110477459928765507362/reviews?hl=zh-TW,5,True,142,"最後找店續攤才發現有這麼棒的店
酒超級好喝（跟某間酒吧酒單有點像，原來都有請過同一個調酒師）
但這間店氣氛更佳，老闆們也超親切，酒的量也比較多👍
希望下次能再一起去聚序"
 維銘李 ,https://www.google.com/maps/contrib/118222431349216678106/reviews?hl=zh-TW,2,True,52,"如果店家有用餐時間限制麻煩請店員在點餐時跟我們通知
我們一直在等餐也想離開但是餐點就是沒上就被告知時間差不多了

有個短髮的女服務生收水杯撞到我灑滿地嘖了一聲就跑非常不能理解
酒喝到一半就被收掉也沒問我想說算了還被撇一眼
可以說是酒滿分服務零分的一家店
另外一位叫lily的女生漂亮又服務很好👍👍👍

認真建議加強員工訓練
理解餐飲業辛苦但是感覺非常差
偶爾下班聚續感覺反而更疲勞了"
 YI ZHEN YE ,https://www.google.com/maps/contrib/113062209714566593538/reviews?hl=zh-TW,5,True,67,女服務生很熱情介紹酒單～調酒也都很特別有不同的類型可以選擇，上餐前服務生還送了一杯shot🥴😍除了有一杯酒有點太甜之外其他都很棒
 Lily Shi ,https://www.google.com/maps/contrib/108965761712100287073/reviews?hl=zh-TW,5,False,7,"超棒的啊！！
店員親切好聊天
酒也好喝層次感豐富
我當天點了四杯調酒都沒有雷
還招待了Shot
跟朋友來喝的很開心大家都很喜歡
一定會再度光臨的！！！"
 Peggy Lin ,https://www.google.com/maps/contrib/111327720683409364144/reviews?hl=zh-TW,4,True,29,餐點炸物都好吃，可惜品項偏少可以選擇的種類不多，調酒以茶作基底，每一杯都有特殊風味
 陳建志 Mike ,https://www.google.com/maps/contrib/102647144397060332224/reviews?hl=zh-TW,5,False,11,"餐點好吃，酒水也挺好
服務很優質。
喜歡輕鬆安靜的你，可以納入口袋名單"
 Lilian Jheng ,https://www.google.com/maps/contrib/103956972080397502279/reviews?hl=zh-TW,5,True,57,"燈光美音樂棒
裡面有走進來不會有酒吧的可怕味道，服務棒👍"
 郭慧恩Pearl KUO ,https://www.google.com/maps/contrib/112331773764184163395/reviews?hl=zh-TW,5,False,3,燈光美氣氛佳、很放鬆的的地方。音樂好聽、很適合跟三五好友聚會的地方
