user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Jennifer Chou ,https://www.google.com/maps/contrib/101674989955729743398/reviews?hl=zh-TW,4,True,111,菜色口味不錯，但份量略少。點青蒜螺肉魷魚湯內的肉塊有點不新鮮，口感是冷凍過的肉。但一份要價九佰多元的湯，有點失望。維持台菜特色，但食材新鮮度有點落差。三杯中卷及蔭鼓蚵仔好吃。
 Eddie ,https://www.google.com/maps/contrib/110443540588031056266/reviews?hl=zh-TW,1,True,24,"除夕安排在這裡，為了怕踩雷還提前幾個月來這裡外帶了菜色回家試吃，覺得不錯才放心下訂，結果除夕當天的菜根本跟當天的菜色不是一回事。

一桌24076，過年期間你要賣得貴，料又給的差就算了，我覺得服務人員辛苦這價格調整我都能接受。

重點是難吃。料理方式好幾道都是羹類的搞法，你廚房當天沒廚師都是冷凍加熱是不是？還給我上炸蝦排，不過那道是整個晚上最好吃的東西

飲料喝到飽你五星級飯店沒有現打果汁給我美粒果我認了，想要熱茶跟我說今天沒有茶，只有熱開水要不要？請問茶包都要省你們老闆是有事嗎？這什麼激怒客人的方式？

我完全不要求也不期待你過年漲一倍的價格要提升多好的服務品質或菜色，但你好歹要有平常的水準吧，大過年的你給的東西還不如熱炒餐廳，我就問一個人要價2400你覺得消費者期待是什麼？就你昨天給的這水準？

在此奉勸各位年夜菜打算來這裡用餐的客人盡早換餐廳，不要花錢還被人家笑是盤子，吃個年夜菜連拍照都覺得羞愧拍不下去，照片只有第一道菜龍蝦沙拉，龍蝦在哪裡慢慢找，拍完覺得實在太北爛了後面就不拍了"
 Shih Wen Feng ,https://www.google.com/maps/contrib/102160914779019197387/reviews?hl=zh-TW,4,True,264,"很容易被略過的優質台菜餐廳，座落在福華大飯店地下室一樓，花雕雞鍋是整晚的亮點，丁香魚炒的恰如其分，炒豬肝很嫩，菜圃蛋非常實在，烏魚子很濃郁....,可惜的是冷菜就較普普，結論是下次想吃台菜，我會再來"
 藥師寺若雪 ,https://www.google.com/maps/contrib/102875477911670096360/reviews?hl=zh-TW,3,True,739,"以台菜來說挺好的，台菜以外也有一些其他菜系的餐點
場地滿大，感覺服務生有點少且很忙碌，會有找不到人的情況

◆炒海瓜子
這道很有味道好吃
◆澎湖絲瓜
調味淡淡有點勾芡，吃的是絲瓜本身的味道
◆紅燒豬腳
口味偏甜，豬腳燉得滿透的；加點了麵線可惜不太入味口味淡了些
◆菠蘿蝦球
後來加點沒看菜單，和服務生說要點鳳梨蝦球(炸的那種)，以為只是名字不同結果上來了糖醋蝦球XD
◆三杯土雞
也是偏甜，醬汁適合配飯
◆金錢蝦餅
調味很台，像是便當裡會出現的菜色
◆煎菜脯蛋
除了菜脯外蔥也滿多的，比較喜歡蛋多一點的"
 張藤 ,https://www.google.com/maps/contrib/103099188522541498910/reviews?hl=zh-TW,1,False,18,"想說住宿吃個秋蟹季想說最少會有個螃蟹
1.法吐包海苔雞胸跟小黃瓜（很少吃到冷菜還這麼油）
2.夫榮蒸蛋配一個金吉夾個蟹絲（酸味完全蓋過蟹味）
3.紅燒鱸魚配紫米（鱸魚煎得很不錯，但紫米真的有點多餘完全沒味道，唯一功能增加飽足感）
4.炒菜配蟹絲+一個炸蟹腳（嗯…不予置評）
5.木耳蓮子湯+地瓜泥起司（中規中矩，跟外面的味道一樣）

加服務費兩個人2500，服務人員一問三不知、服務完全沒有熱度，還把水打倒一樣就是幾句對不起，結帳也沒有詢問是否燙傷，也沒有一句用餐還滿意嗎？笑容也沒有，真的花錢來受罪。
完全不推薦，而且見蟹絲不見蟹身

食物⚡️
服務🙈"
 Simon Huang ,https://www.google.com/maps/contrib/112998864704248786917/reviews?hl=zh-TW,2,False,16,"初四去吃飯，一開始等菜很久後來一窩峰狂上
上菜掌握不是太佳，最後買單時金錢蝦餅我們點八個竟然要價2400，還好後來有去問才說算錯是兩組一組300八個600，原本算八組才變2400還好有仔細看帳單不然白被坑了1800，給兩分是內場服務人員很辛苦"
 Szu 45李思慧 ,https://www.google.com/maps/contrib/112592088655024528789/reviews?hl=zh-TW,5,True,48,台菜好吃又道地，每道菜皆超乎水準，令人回味無窮，適合家庭聚餐齊聚一堂，服務生姿儀親切服務態度佳，讚💯💯
 LIN BOB ,https://www.google.com/maps/contrib/116792046871291046682/reviews?hl=zh-TW,5,True,"1,196",點超多菜吃的超飽，每樣都好吃，脆皮雞、魷魚螺肉蒜、都好吃😋
 解妮瑾 ,https://www.google.com/maps/contrib/104999915584707768369/reviews?hl=zh-TW,3,True,380,團體聚餐用單點方式還不錯，可以吃到很多樣菜色，手工麻糬好吃，菜色都很下飯，地瓜粥口味也不錯，脆皮雞、三杯中卷推薦。
 VICTORLINN MPH ,https://www.google.com/maps/contrib/115692276552812435462/reviews?hl=zh-TW,1,True,59,"點的幾道主廚名菜都是太鹹、太油、太膩，醬料都是一樣的鹹醬油膏加熱口味！
連台式豬肝都可以料理到這麼老、乾、硬...
害我在外籍客戶面前都丟光了面子！還要在歪果人面前裝作是很好吃的傳統風味、去吃光...
這個5星級大飯店直營古董級餐廳的豬肝，比不上附近仁愛醫院後面巷子的陳家豬肝湯，更比不上寧夏路夜市口的冠軍🏆豬肝湯！
唯一的一顆星是給服務人員的！在這樣等級的餐廳服務、被抱怨，實在辛苦！"
 杯卡 ,https://www.google.com/maps/contrib/101711063892620023288/reviews?hl=zh-TW,5,True,47,台菜廳餐點美味~豬肝很嫩，遇到服務生（李姿儀）態度親切，認真介紹菜色，給她大大的讚👍👍👍蝦餅好吃♥️♥️♥️
 Benji Chang ,https://www.google.com/maps/contrib/111009916582350332695/reviews?hl=zh-TW,5,True,15,"使用2021旅展餐券4人組合餐
份量豐富當中包含數樣熱門菜

服務非常專業親切香兒非常貼心服務"
 王彥文 ,https://www.google.com/maps/contrib/117174678568046686264/reviews?hl=zh-TW,4,True,88,中規中矩的一間台菜，沒有誇張的裝潢，但用餐環境挺舒服的
 Hung Amy ,https://www.google.com/maps/contrib/102247364829825374216/reviews?hl=zh-TW,4,True,182,場地舒適，上菜很快。喜歡今天吃的軟煎溜肉／蒜香排骨／酸菜豬腸／芋頭餅。
 Lynn S ,https://www.google.com/maps/contrib/103193536983257533418/reviews?hl=zh-TW,3,True,316,"空間算舒適口味不錯
但太高價CP值不高😮‍💨"
 莎莎 ,https://www.google.com/maps/contrib/102186303566168531611/reviews?hl=zh-TW,4,True,779,"2021.06
因為疫情來支持一下餐廳外帶，1760有八菜跟四大碗飯。(線上預訂與自取)
✔️份量蠻足夠的，一家5口吃得飽飽。
✔️醉雞跟絲瓜很好吃。
✖️蒜味排骨的調味把肉味完全蓋過去之外，過重的蒜味呈現偏苦的感覺，我很喜歡吃大蒜但是這個吃不下去。"
 Hsiao-Chien Huang ,https://www.google.com/maps/contrib/113286382487751662953/reviews?hl=zh-TW,5,True,250,"初三家庭聚餐，上餐速度快，服務也很周到。
點的菜都蠻好吃的，有紅燒豬腳、蒜香排骨、麻乳滷肉、鹹酥鮮蝦、紅燒豆腐、紅燒烏參、蔥爆牛肉、滑蛋蝦仁、干貝絲瓜、薑絲魚片、肉絲炒麵...個人最喜歡豬腳跟鹹酥排骨，個人覺得薑絲魚片味道有點淡。唯一失敗的點餐是砂鍋豆腐，這道菜很好吃，但是菜色跟點的菜色太重複，應該點雞湯的。
贈送的甜湯很好喝！
福華的掛畫有廖修平的真跡，喜愛版畫的人可以留意"
 Nathan Hsing-Jung Lai ,https://www.google.com/maps/contrib/118385295492472295999/reviews?hl=zh-TW,5,False,10,上週買外帶回家跟家人吃，覺得還不錯，每一道菜都很有水準，外帶盒子非常精緻。小缺點是我因為是較早訂餐，可能店員聽錯了日期，所以提早一週做好了菜，剛好那週末我不在台北，所以也沒辦法去取餐，隔週他們就有提前一天電話再確認了，我想他們的訂餐網站如果可以做得更方便一點就不會有這樣的問題了，畢竟以福華這麼大的集團，應該要有能力做好這樣的事情，其他的飯店餐飲集團像是晶華、寒舍、欣葉，訂餐網站都是做得非常好。加油
 Grace Chen ,https://www.google.com/maps/contrib/106530348337740904120/reviews?hl=zh-TW,5,False,10,台北數一數二的正宗台菜館，每一樣菜都令人回味無窮，廚師功底深厚。蔭鼓排骨、醬爆雞絲、芙蓉豆腐每次去必點。服務員吳金英女士態度親切細心，使得用餐體驗更佳美好。極度推薦大家去嘗嘗看好吃的台菜
 Ru-Fi Chang ,https://www.google.com/maps/contrib/100490815479661566025/reviews?hl=zh-TW,5,True,587,"1090813及1024，2次造訪位於台北福華大飯店地下一樓蓬萊邨餐廳，體驗一下道地台菜，雖然價格比一般台菜餐廳要貴(星級飯店)，但是享用道地美味的台菜，還是值得。
餐廳座位寬敞、用餐環境典雅舒適、服務品質佳。
招牌菜色有菜脯蛋、芹菜臭豆腐、脆皮雞、紅燒豬腳、魷魚螺肉蒜鍋、佛跳牆等餐點，價位大約都在200至580之間，大菜才會有比較高的價位(魷魚螺肉蒜鍋900、佛跳牆2800等)，主食地瓜稀飯或白飯可選擇(每人50元吃到飽)，
餐後會依人數送上花生麻糬當作甜點，熱熱的麻糬包裹細小顆粒的花生粉，吃起來不甜不黏牙，並搭配茶具送上一壺茶，配著熱茶喝更是美味。（當然如果要加點甜點的話，也有龜苓膏、杏仁豆腐可選擇。）"
 陳柏勳 ,https://www.google.com/maps/contrib/108985703555736613301/reviews?hl=zh-TW,5,True,153,"之前去福華用餐跟住宿的印象都很好，疫情期間便決定外帶看看之前沒吃過的蓬萊邨台菜餐廳。圖中四道菜分別為紅燜素菇、麻乳滷肉、滑蛋蝦仁跟紅露醉雞，再加上兩盒的紫米飯（圖中只拍一盒），本來怕不夠四個人吃家裡還炒了一盤菜，沒想到份量十足啊～

紅燜素菇比起一般的炸菇類來得軟而甜，剛好可以轉換一下其他菜色的口味。麻乳滷肉非常入味，而且油脂的部分有滷到入口即化。滑蛋蝦仁的蝦仁非常大隻，肉質也相當紮實。醉雞則在味道十足外，肉量也不可小覷😂

能用一道NTD.220的價格外帶真的非常划算，在這期間一定要盡量多試幾種菜色。福華，我們一定要在疫情後再聚！（超懷念台北福華的Buffet，還有台中福華的住宿啦😂）

－－－

第二次點的軟嫩溜肉和金沙（鹹蛋黃）豆腐也非常好吃！"
 黃俊仁 ,https://www.google.com/maps/contrib/110171501981035996356/reviews?hl=zh-TW,5,True,129,"品嚐台灣在地美食首選
每一道菜都有它獨特風格跟味道
有一些菜色還是隱藏版的美食
謝謝朋友分享這老味道"
 Chloe Tsai ,https://www.google.com/maps/contrib/102568173182235761215/reviews?hl=zh-TW,5,True,60,"CP值高，兩人用餐，四道菜人均$600，使用信用卡優惠九折，麻糬跟茶是招待的。
推薦：軟煎熘肉、金錢蝦球（圖三）。
推薦的兩道菜是本人覺得外面比較吃不到的味道，熘肉鹹甜鹹甜，豬的小里肌肉非常軟嫩。蝦球吃了一口被驚艷到趕快補拍照，餡料十分飽滿，蝦量沒有含糊，餅皮酥脆又不厚重油膩
很適合帶長輩來用餐的臺菜館，每人50元地瓜粥吃到飽，餐點皆適合下飯，本次用餐因為沒有太餓就沒點粥，後來想想加點配菜整體可以更好。"
 劉隆翔 ,https://www.google.com/maps/contrib/113403792483816473149/reviews?hl=zh-TW,5,True,87,東西好吃，服務人員貼心、客氣
 Andy Lau ,https://www.google.com/maps/contrib/116569199057612456461/reviews?hl=zh-TW,1,False,1,用餐時發現有茶水費的額外開銷，喝茶一人索取70元，而白開水竟也要50！用完餐有送每人一個湯圓大小的小麻糬，我們一行人用餐茶水費就收了近500元，屬實是讓消費者感到格外不適…
 萬池 ,https://www.google.com/maps/contrib/100649122511887916994/reviews?hl=zh-TW,5,True,327,美味，每一樣菜都吃得出來真功夫，價格很合理、停車也方便，非常推薦到這裡用餐。
 Cacey L ,https://www.google.com/maps/contrib/100562505039596057146/reviews?hl=zh-TW,5,True,589,"超級好吃的台菜，沒有一道雷，價位平實，聚餐首選。平日晚餐時段只有三成滿，蠻可惜的，希望可以有更多人來吃～餐后還有免費甜點麻糬，茶味道很好沒有隨便拿爛茶葉來泡

推薦菜：隱藏版脆皮雞、地瓜稀飯、菜圃蛋、臭豆腐"
 Fishmonger Kuo ,https://www.google.com/maps/contrib/107996561785472619918/reviews?hl=zh-TW,5,True,531,沒吃到招牌菜脯蛋，不過充滿鑊氣的清炒苦瓜美味的令人印象深刻，蔭鼓蚵搭配清爽的地瓜粥也是絕配，滑蛋蝦仁的蝦仁大隻的令人開心，其他菜色也都有相當水準，甜點的麻糬很好的結尾了這頓舒服的一餐～推薦～
 Athena ,https://www.google.com/maps/contrib/115064245650166590883/reviews?hl=zh-TW,5,True,161,"台北很好吃的台菜，服務態度一流，超級親切完全是五星水準。平日晚上去用餐，七點左右只坐了四五桌，因為整體價格偏高所以生意真的滿清淡的。但菜還是不失水準，特別喜歡他們家的丁香花生，酥脆爽口，麻油腰花也是必點，切仔麵跟擔仔米粉也都很好吃，除了比較貴以外真的沒什麼缺點。特別愛他們家飯後招待的茶跟麻吉，超好吃！

個人是喜歡這家多於兄弟飯店的台菜，跟欣葉台菜也不相上下，推！"
 chin-yun Ho ,https://www.google.com/maps/contrib/110857324736452217285/reviews?hl=zh-TW,3,True,343,"地瓜稀飯確實好吃
也許越簡單平凡的味道越能引起共鳴

每一道菜份量不多
如果喜歡嘗試菜色的人可以多點幾道

不過口味上有點偏甜
喜歡比較辛辣重口味的人
可能會覺得普通"
