user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Jump Tigger ,https://www.google.com/maps/contrib/109848820343882999016/reviews?hl=zh-TW,4,True,228,關於嗨糖，其實是老同事推薦的，老實說，我個人是比較偏愛口感偏脆的可麗餅，當一拿到送來的可麗餅時，我承認，瞬間有隻烏鴉從我眼前飛過，心中的吶喊就是：怎麼會是像千層蛋糕一樣是軟皮的？不過貼心的店家，為了怕可麗餅因為運送過程發生差池，每一個可麗餅都用塑膠杯給裝得好好的，既美觀又衛生！不過就是有點小，感覺上只能細細品嚐，沒辦法豪邁吃餅就是了！餅皮不因為是軟的，而讓人有粉粉的口感，每一口都還是像吃了Q10般地有彈性，卡士達醬綿滑香濃不膩口，與餅皮內鬆軟的蛋糕塊聯央出擊，讓我這個只會對脆皮可麗餅才感興趣的漢子，也不得不立馬折腰而屈服了！嗨糖的menu也做得挺別緻的，一拿在手上，瞬間少女心大噴發，可愛的不得了！但真的是有點給它小，而且這樣的價位，算是有點不太親民，腦中的分數一直在3顆星跟4顆星之間游移，但最後因為服務人員從接電話時的有耐心，到送餐時維持一樣的服務溫度之後，我還是給嗨糖4顆星的推薦，提供給大家做參考嘍☺️
 IG:neru.foodie丸の良食 吃喝玩樂 ,https://www.google.com/maps/contrib/111517126141392240922/reviews?hl=zh-TW,4,True,221,"💰焦糖布丁日式可麗餅$95
🔺在中山一帶逛街逛累了來一隻可麗餅剛剛好～放上一顆小布丁好療癒！整體吃起來中規中矩✨也可以客製化自己喜歡的配料唷👍"
 August Weng ,https://www.google.com/maps/contrib/112559680353442708791/reviews?hl=zh-TW,3,True,486,"我是軟式可麗餅愛好者，看到外送有這家很高興立刻點了，外送的包裝很不錯，送來時挺完整的，但感覺尺寸有點小….我點野莓布丁$125/生巧克力+巧克力醬$110，餅皮跟布丁不錯，但覺得野莓蠻少的（感覺只有3-4顆藍莓，其他是醬），鮮奶油跟蛋糕則是很普通，雖然加蛋糕的巧思還不錯，但這蛋糕….

巧克力是友人點的，這一向不是我愛的口味，吃起來也是沒記憶點，巧克力共三塊，沒有那種評論說的一直吃到巧克力的感覺，中間還一度覺得…就這樣？！

整體來說就是普通，有點失望，浪費了餅皮的感覺。

若是喜歡鮮奶油與軟式可麗餅的人，推薦士林的luvincrepe！在我心中Luvincrepe若是4.3星，這家只有2.5，但外送包裝不錯加到三星。"
 環 ,https://www.google.com/maps/contrib/106663149517016831073/reviews?hl=zh-TW,5,True,22,"喜歡我的評論可以追蹤IG:@foodie_huan
🍓草莓卡士達+布丁
日式可麗餅就是有著軟軟的餅皮
裡面的餡料也是沒在馬虎的(๑ت๑)♡︎
有卡士達、鮮奶油、草莓片、草莓醬、煉乳
微酸的草莓可以中和奶油的甜
最特別的是裡面有蜂蜜蛋糕
可以吃到蜂蜜的淡淡香氣🍯
焦糖布丁的奶香超級濃郁～
上面的裝飾是食用花可以吃喔
有點澀澀的吃到最後居然有花香🤣
平常不嗜甜可能會覺得鮮奶油小膩喔
-
🍑水蜜桃+蜜蘋果
有人跟我一樣是罐頭水蜜桃控嗎
堅持水蜜桃就是要脆脆的紮實口感•̑‧̮•̑
配上用糖醃漬過的蜜蘋果✨
有水蜜桃跟蘋果清香的雙重享受
內餡同樣也有卡士達、鮮奶油、蜂蜜蛋糕"
 盧宥仁 ,https://www.google.com/maps/contrib/113292116361073587687/reviews?hl=zh-TW,5,True,69,"店前粉紅機器趣味點餐
來捲繽紛水果日式可麗餅
記得再，添一顆布丁。

窗邊吧台靠坐
欣賞內場兩位美女忙碌
不刻，窗開迎來花彩一束。

香蕉片切高聳，草莓、水蜜桃與布丁各成山頭。白色鮮奶油角落鋪敞，藍莓果醬上頭流淌。湯匙輕盈嚐先，口咬舌舔飽嘴。層次豐滿滋味，軟郁頃時香消玉殞齒間。

這會兒，誰管嗑得滿嘴花不優雅，末了再一口擦便行。重點是吃得開心。"
 方苡僮 ,https://www.google.com/maps/contrib/116314995299410732724/reviews?hl=zh-TW,5,True,15,"之前去的，記得是在巷子裡面，找了蠻久。
店裡小小的一間，裝潢的追星風格很濃，餐點也好看，很適合拍照打卡😽
餐點本身是軟軟的可麗餅，口味只有甜的，雖然也不錯吃，但我本身比較喜歡鹹口，期待會有新的口味推出👍🏻"
 Helen Liang ,https://www.google.com/maps/contrib/111531917357618027639/reviews?hl=zh-TW,5,False,7,"非常好吃😋我點的是香蕉生巧克力口味，奶油甜而不膩，巧克力甜度也剛好，而且是真的可以吃到一整顆巧克力的那種！
不得不說店員服務很好，剛拿到可麗餅的時候，不小心手滑，有顆巧克力掉到桌上，店員立即幫我重換一顆不說，還幫我將被破壞掉的奶油造型，一同補好給我，讓我還是有美美的可麗餅可拍！讚👍🏿下次有再去中山，一定會回訪！"
 美食天使Angel ,https://www.google.com/maps/contrib/108993260589970312234/reviews?hl=zh-TW,5,True,205,"Instagram🔍：@foodie_angel_eating(美食天使Ängel☆花蓮美食/台北美食/宅配美食)
FB粉絲專頁🔍：美食天使Ängel
痞客邦🔍：美食天使Ängel

位在中山站附近的巷弄內，店門口有個美美的拍照打卡牆💐點餐要用點餐機點唷😉
店內還有販售很多偶像的應援小物，天使可能老了沒認識幾個🤣
有別以往的可麗餅，他們家是屬於軟式的餅皮，整個就是很下午茶蛋糕的感覺💕
整體風格真的會讓人少女心大噴發的那種😍

✅厚韻抹茶$110
抹茶的軟餅皮超級香的🍵
帶有苦韻的抹茶粉、抹茶餅加上自製鮮奶油，完全不甜膩，還有加上蛋糕丁增加口感😋

✅草莓卡士達$135
餅皮是奶香原味的，吃起來也是很香甜🥛
酸酸甜甜的切片草莓，搭配滑順的卡士達醬，還有新鮮奶油就是很幸福的❤️
上面搭配裝飾鮮花💐超美的啦😍忍不住按了好幾下快門📷"
 三米五斗腰 ,https://www.google.com/maps/contrib/107275243794103183697/reviews?hl=zh-TW,3,True,86,"這家店和一些粉絲應援合作提供更多平台分享！
我很喜歡這家店的布丁蠻嫩的，吃得出是純手工製作👌🏻
生巧克力必點，感覺搭配什麼口味都很讚！
如果來中山區想吃個小甜點有新選擇唷～不妨走到巷弄中吃個可麗餅～
現點現做，還可以看到店員製作過程，可以放心‼️"
 young claire ,https://www.google.com/maps/contrib/104968552210433346780/reviews?hl=zh-TW,5,False,24,透過店家的外送平台點的，送過來的時候還很漂亮！會議結束後直接吃掉～同事們很喜歡💕
