user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Ball Chen (吃喝玩樂一顆球) ,https://www.google.com/maps/contrib/104319548786899903503/reviews?hl=zh-TW,5,True,103,"從新竹北上
本打算在台北逛逛街、吃吃喝喝
玩一會再回家
但下雨直接打亂計畫…

在北車下車後直接先搜附近的美食
男友給了兩個選項-拉麵、牛排
我選拉麵，但時間卡在一點多
很多店家都兩點休息
最後直接改吃披薩，選了小紐約🍕

沒有預約一開始有小擔心會沒位置
好險，我們到的時候非熱門的用餐時段（大概兩點左右）
服務人員幫我們安排在吧檯，後來調整到平面四人座位區
好險有調整…不然依我們點的份量
吧檯桌真的放不下😂😂😂

內心想說要點一個披薩+義大利麵/燉飯
直接被披薩控男友否決
說要兩個披薩，再加點了大蒜麵包、炸花枝
我真的先謝謝…感覺餓很久☺️

🍞大蒜節麵包$80
摁！不是外面那種大蒜麵包濃濃的蒜香奶油味
推測是白麵包扭結後拿去炸，所以外表看起來有點油
旁邊有輔以蒜片還是蒜酥（不確定是誰）
再沾上莎莎醬後才較有味道，並兼具解膩效果
沒有難吃也不是絕頂好吃，但是沒吃過的感覺～可以嚐鮮

/

🦑黃金炸花枝（小）$220
男友是拿著圖片詢問服務人員
到底是小份還是大份的🤣
後來聽到小份的份量滿滿
畢竟份量給的不算少～很值得加點下啊
比起大蒜節麵包我更喜歡炸花枝
口感更酥脆，卡滋卡滋的
熱騰騰的入口或沾上新鮮的莎莎醬
會讓人一口接一口停不下

/

披薩有12吋、20吋可選
不同尺寸可雙拼到四拼
披薩餅皮介於中間
前段有料的部分覺得偏薄…
容易撐不住滿滿的餡料
最後尾端的凸起處偏厚…
不小心烤焦就會很難咬😹

🍕12吋辣太后聯名款-水牛城披薩$528
男友選的口味，想被辣一下！（其實我內心也默默先選這個～多有默契？）
本人超愛subway的水牛城辣雞捲餅
可惜現在沒有捲餅一直有點遺憾
剛好看到有水牛城辣雞的部分
當然必須嚐嚐😋
起司放的超級多，拉起來會牽絲的那種👏
但辣醬有點淋太多，讓餅皮變很濕…
導致比薩很不好拿會軟掉🙃
餡料跟起司一樣，給的很滿很多！不手軟～
雞肉口感也很紮實，不乾柴
整體而言還蠻喜歡，只是辣醬部分，可以再稍稍減量，會更好一點

🍕12吋華爾街$350
本來是跟另個素食口味在抉擇
考量水牛城辣雞口味比較厚重
想說點個素的清淡搭配一下
交給男友兩個選項-哈林、華爾街，最後選了華爾街～
怎麼說呢！食材都很新鮮
也吃得到食材的原味，像是羅勒、番茄、羊奶起司～都吃得到！
但跟水牛城一樣，都有醬汁太多的問題～橄欖油醋的部分，吃到後來有點覺得太油
如果下次有機會再訪，這個口味會斟酌🙂

/

最後說一下
店內氣氛很讚！很有美式氛圍
很適合在裡面包場開趴聚餐
或是看足球各種需要氣氛熱絡的派對活動
特別適合三五好友聚會
來這裡講話大聲也沒人管
然後蠻多都是閨蜜辣妹同行～
欣賞養眼的美麗風景，心情會好一整天🥳🥳

2022.10.30"
 HY L ,https://www.google.com/maps/contrib/115066739922168479899/reviews?hl=zh-TW,4,True,163,"環境偏擁擠、吵雜，適合快餐不適合久坐交談。
披薩可以雙拼，以價高者計價，口味真的偏美式～
雞翅普通，可以不用點⋯"
 Chiao Tseng ,https://www.google.com/maps/contrib/100756495161000293809/reviews?hl=zh-TW,5,True,67,"🍕紐約復古氛圍十足的披薩店

---(((閒話家常)))---

那天朋友一個想吃披薩的想法，讓我們出沒中山站，雖然沒有去過紐約，但整體的氛圍營造，能很明顯讓人彷彿踏進另個生活圈；另外有選擇障礙的我，跟超會點菜單的朋友出門就是幸福！

---(((回到食物)))---

☺︎#紐約客#地獄廚房雙拼披薩$420
脆脆的薄片就是好吃，不會被過多的澱粉搶走配料之風采，放上莫札瑞拉起司、臘腸片和番茄醬，單純簡單卻經典；而地獄廚房則是再加上煙燻培根和切達起司，根本是起司控的愛，雖然料和皮不小心會分開，但再放回去就好🤣

☺︎#BBQ雞翅$240
有點像是韓國炸雞，裡面有3支雞翅+3支棒棒腿，肉質蠻嫩的，單吃味道就很足，鹹甜酸層層出現，而配上旁邊的優格醬(忘記詢問?)，一開始有點衝擊，但吃了幾口後覺得蠻有特色的；另外還有芹菜，非常能解膩，但就只有我喜歡就是了。

☺︎#炸魚薯條$320
朋友曾去澳洲旅行，他說這個炸魚和醬就是澳洲的味道！沒去過澳洲的我，好像是第一次吃到這麼大塊的炸魚，搭配附贈的醬，整體很像麥當勞的鱈魚堡(?)，脆脆的外表下有超柔軟的肉；薯條沾肉醬當然就是穩穩地好吃！

☺︎#可樂$80，可以續杯唷！

.

Chiao's旅食記
IG🔎chiaoxeat"
 Barbara Chang ,https://www.google.com/maps/contrib/113863113723437733321/reviews?hl=zh-TW,4,True,254,"【LittleNewYorkPizzeriaZhongshan小紐約中山】非常需要朋友一起分享的披薩

✨20""FourSeasonPizza20吋四拼披薩:披薩口味非常多，讓人有點選擇障礙。朋友夠多的話，就放心地點下20吋吧!大家還可以選擇自己喜歡的口味，完全不用客套。但朋友不多的話，請盡量不要挑戰人體極限。口味上來說我覺得是好吃的，只是不是那種你會站起來slowclap的驚艷程度。

✨GarlicKnots大蒜結:其實就是簡單的披薩麵包結，上面裹滿大蒜白醬。雖然簡單，但我挺喜歡的!(但我也很喜歡吃白饅頭，所以我的喜好完全無法參考)這道菜除了飽足感十足外，蒜味持久度也沒在跟你開玩笑，我整個下午嘴巴都蒜到不行。(真的是還好有口罩)

✨BuffaloHotWings水牛城辣雞翅:好吃給過!我發現水牛城辣雞翅其實是非常容易搞砸的一道餐點，不是過甜就是過於無味。小紐約除了調味我很喜歡外，雞肉也是很多汁不柴。可以!

✨義大利麵系列:基本上無雷，而且意外的很不錯。我後來吃義大利麵多於披薩本人。
﻿
整體來說是好吃的，服務也很不錯。"
 Ivy ,https://www.google.com/maps/contrib/102941246433471590850/reviews?hl=zh-TW,5,True,49,"今日16:30三人用餐
①雙拼披薩：第五大道和百老匯$450
第五大道就是純起司口味安全牌～百老匯味道比較重友人很喜歡，🍕很好吃推推🙌🏻
②培根蛋黃奶油義大利麵$260
普通的義大利麵但是寬扁麵的麵體很Q我很喜歡～蘆筍培根🥓胡椒給的蠻多的，奶油味較重後面可能會有點膩
③酥脆薯條大份$200
剛上桌熱熱的吃很好吃！上面應該是有撒羅勒葉？為了湊低消點打份，份量很多～有點像ikea的薯條但比較沒那麼鹹

每人低消$280，限時90分鐘，店內窄小，桌子也很小，強烈建議不要坐在一進門的位子‼️每次一開門就會有熱氣跑進來😅，菜單老舊，店員一直幫忙加水，剛開始有主動給置物籃放東西，但最後一直急於收盤子，沒有事先問過讓人感受沒有很好，不大熱情，可以多加改進～"
 Sandra Tsai ,https://www.google.com/maps/contrib/103106384454611083509/reviews?hl=zh-TW,4,True,48,薄皮比薩口味好吃！喜歡吃這種薄脆料多的比薩，加上店內裝潢感覺很美式！上菜速度快，店員反應快速。雖然價格稍高，但兩個人點一份義大利麵、一份12吋比薩加兩杯飲料，就能吃的很飽！個人覺得葷的口味比素的好吃，下次想試試滿是起司的第五大道、肉庫區跟沁涼的啤酒🍺
 Yingerh Chang ,https://www.google.com/maps/contrib/102390893665531492007/reviews?hl=zh-TW,4,True,16,"高朋滿座，是中山站有名的pizza店
我個人比較喜歡脆脆的薄餅
這裡的偏厚一點，但也挺好吃的
義大利麵醬汁和麵有融合，用料也很實在
唯店內座位比較小和鄰座及走道的人比較近
防疫期間要多注意"
 Eunice Lu ,https://www.google.com/maps/contrib/118164783392619838132/reviews?hl=zh-TW,4,True,170,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤ
台北｜中山｜LittleNewYorkPizzeria小紐約

📣美式復古工業風的披薩店🍕餐低消$280，限時90分鐘，上菜速度蠻快的！平日去吃都客滿，建議大家可以事先訂位。報到時店員親切，主動拿置物籃過來給我們放東西，且也會主動詢問是否需要介紹，蠻熱情的ヾ(*´∀ˋ*)ﾉ

🔹12寸(紐約客+小義大利)$400
披薩可以點雙拼，以價高口味計費，對於喜歡什麼都想點的人很友善(*´∀`)~♥起士及料都給的蠻剛好，餅皮烤的非常酥脆，仔細攪可以吃到麵粉到香氣

🔹大蒜節麵包$80
大蒜醬配上帕瑪森起士，味道非常濃郁，沾上清爽的莎莎醬，吃起來很有口感且不容易嚼膩

🔹水牛城雞翅$240
比先前吃過其他家的都還酸的，吃了會嘴軟，個人覺得SOSO(´･_･`)

🔹汽水暢飲$80/人

#taipeifoodie#taipeipizza
#台北餐廳#台北美食#台北美式#台北景點
#小紐約#中山站美食
#mamake0309_food"
 何小萌 ,https://www.google.com/maps/contrib/104824854335338238315/reviews?hl=zh-TW,1,True,119,餐點價格跟份量跟好吃度是相符的，很適合朋友們下班一起聚餐，比較可惜的是只開到九點，紐奧良炸雞很好吃，披薩口味也很多餐單也很詳細，第五大道的起司給口味非常好吃，肉庫區肉很多，但有點小膩，蘇活菠菜多，中規中矩，中央車站有點鹹但夠辣，好吃。沙拉份量多，很清爽。
 Charlie ,https://www.google.com/maps/contrib/113436581062983337914/reviews?hl=zh-TW,1,True,50,"約晚上7：30進店
安排坐在廚房側邊的吧台
環境算乾淨，但用餐空間真的狹小
可以說是貼著隔壁已用餐到一半的客人了
但本來店就不大，沒什麼好在意的

本店的價位算中高
12吋20種初頭的披薩
價位落在280~650不等...
但畢竟中山商圈店租不低還能接受

本來想第一次來，點便宜先吃吃看
但想吃葷的
就點了一個12吋小義大利400塊
約莫等了接近10分鐘
從菜單看上是有肉丸
但上菜看似乎是切碎灑在上面
整體份量還可以但也就5分飽
至於味道麻...就中規中矩
能接受外面賣頂多250+服務頂多300

賣400真的有貴到

上完披薩後給了帳單
我看第一眼還以為我看錯，再仔細看
喔~~沒看錯，服務費40塊共440元

各位~~~我不是付不起服務費
要當奧客什麼鬼的

但完全看不出來有被服務到什麼欸🙃

來細數一下店員有做過什麼~~

1：進店裡，男店員指坐吧台那
我自己走過去有5位右2位已坐其他客人
不知道要坐哪個位子，就隨便做了個

2：女店員上鐵盤、水2張、紙巾、
菜單、一支叉子

3：要點餐沒人來
只好自己走去櫃檯點

4：女店員上披薩，雖然披薩有切
但不明顯，一定得有刀子或圓切刀
不然根本沒法輕易斷開拿起來一片片
結果也是一樣吧台沒人鳥
還是我自己走去轉角看到餐具
拿一支刀子回來

5：我看有互動時就只有請我換座位到中間那位讓左2有空位給其他客人坐

但有個點挺好笑的

後面連2組新來的2人都坐沒10分鐘
就被安排到獨立2人桌位

我是不知道他們有沒有主動提說
獨立桌有空位可以移到那去
可以不坐吧台之類的話
但我早進來一段時間也沒被安排到
獨立桌，只能擠在吧台狹小空間
貼著右邊女客人，好似一個人不是客人
隨便怎樣都無所謂不在乎呵呵.....

6：女店員來吧台倒水只有倒左邊
兩位女客，她就要走了
還要我主動給它才一臉無奈幫我倒
好像我欠她的😐

男店員有比較好啦，在我最後要走前
去廁所，有幫我倒一次
但我本來喝完前一杯沒有要再喝了
廁所出來發現有再倒
我還是把它喝完不浪費

7：披薩吃完在等廁所時
女店員來收了鐵盤、垃圾、披薩盤

服務大概是這樣

看各位是否認同這樣的服務收服務費吧.....

對了，還有阿~
看男店員內外場都顧
感覺是主管，也確實比較勤勞禮貌

至於女店員，說真的我看妳
心情不是很好，也沒什麼熱誠
看起來真的不太想上班

但我不會說那種
“不爽不要做”之類的腦殘話

但我會希望妳再有天真的心情不好
或是身體不舒服就請假一天吧
我相信老闆能體諒的

吧台在廚房側邊
抬頭能直接看透廚房
我有次抬頭碰巧看到妳在裡面
還要抽空脫下口罩，趕緊吃幾口晚餐
說真的我能體會服務員的心情
我也有做過
除了要有服務、微笑，還要表達或接收
各種情緒的狀況，真的不容易

但不能因自己有什麼原因
已經來上班了
結果給客人的感覺是：

我懶的服務你、隨便好不好、
沒心情跟你講話的樣子

這樣子上班真的有比較好嗎？
重點還收了服務費
沒收也就算了

不是說付不起40元或要賓至如歸

只不過就是個感覺問題
有沒有互相、尊重的問題

以上是對此店的反饋🙂

PS：店內其他客人聊天真的有夠吵雜
店內有放音樂都有辦法被蓋過去
可見有多吵😑店員明顯沒在管理

唉.....

希望貴店及女店員能嘗試改善看看

但我看了以前店家回覆其他負評的言詞

我看很難啦😅你們自己去看就知道了

就這樣吧=="
