user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 旻旻 ,https://www.google.com/maps/contrib/116026712268135914710/reviews?hl=zh-TW,5,True,103,"一進來就有好多種茶給我們聞香挑選
Top1紅茶真的好香好好喝
(選擇障礙表示好困難)
最後決定點維多利亞女王下午茶組
好拍又好吃🥰不過兩個女生其實最後吃不完
第一層是鹹食三明治
第二層有蛋糕跟優格
最底下層就是最期待的司康
我個人蠻喜歡表皮帶點酥脆然後麵包體濕潤的口感,而且最後吃不完外帶回家也好吃"
 Sandy Chiang ,https://www.google.com/maps/contrib/109359499802957002521/reviews?hl=zh-TW,5,True,28,"舒服的環境
配上真的好好吃的司康&自聞自選風味茶飲
想順帶一提是….
唯一有點可惜的是
室內空調的環境下
美味的司康外層就流失了水分
稍有硬化的口感～如果，如果這個部分可以找到合適的方法改善，那就是完美了

還有還有
店內的服務人員都很親切有禮貌唷⋯⋯"
 許小鈴 ,https://www.google.com/maps/contrib/111365923340988754432/reviews?hl=zh-TW,5,True,9,"太棒了這間！
在這忙碌的台北市，看著路人快速的來來去去，這間就像個悠閒緩和的舒適空間
和外面形成對比
對外的和式小包廂感座位
柔和的光線+外面透進來的光
店內微弱舒服的交談聲，喝點茶聊聊天好確幸阿🥳
我喝的103好好喝，太喜歡了
沙拉以價位來說量有點少
三明治爆推蝦子那個，必吃！！❤️
燻鮭三明治普普
蛋糕好像點重乳酪那個普普"
 HSIN YI LUO ,https://www.google.com/maps/contrib/106185150867494572646/reviews?hl=zh-TW,5,False,39,路過看到先被裝潢吸引就進來了，可以選擇喜歡的茶香做沖泡熱飲，甜點其實不錯吃，但是我前面早午餐吃太飽了，就沒把重乳酪蛋糕吃完，花果茶很好喝，很喜歡的香氣和口感。值得再來。
 Ya Li Huang ,https://www.google.com/maps/contrib/105510819093649153216/reviews?hl=zh-TW,4,True,406,餐廳很漂亮，茶也很多選擇，冷氣有點冷，點了司康和一壺熱茶。司康有附送兩個果醬，還不錯吃。😊
 chia lien hung ,https://www.google.com/maps/contrib/118193377649375704417/reviews?hl=zh-TW,4,True,246,"又來到我最愛的scone店了，好吃的clottedcream就可以狠甩公館跟永康兩家司康名店了。
晚上八點左右造訪，店內除了我們只有另一桌，氣氛靜謐，燈飾跟擺設很像裝置藝術，因為冷氣而微微擺動，舒適可後躺的沙發座位，營造出chillax的風格。
點好兩份scone跟一壺花果茶，烤好的scone插著英國小國旗，香味已經竄進鼻尖，細細品味吃得出麵粉的香氣，正統的抹上clottedcream跟果醬，一起入口，幸福感滿滿。
餐點很好，氣氛很好，但服務人員態度有待加強。"
 曾國賓 ,https://www.google.com/maps/contrib/107708304322505362668/reviews?hl=zh-TW,5,True,125,"是一家非常放鬆的茶館
在南京東路上繁華的中山區
茶品選擇很多茶的品質也非常優異
選了一個餐點是蘋果牛肉麵包滿優的質感
值得下午來坐坐的店也適合三五好友聚會
非常適合的一個空間與餐點"
 Erica Gu ,https://www.google.com/maps/contrib/114145660756486370218/reviews?hl=zh-TW,4,True,237,"環境🌟🌟🌟🌟🌟
食物🌟🌟🌟🌟
服務🌟🌟🌟🌟🌟
價位🌟🌟🌟

價格偏高，餐點一份400上下

特色應該就是茶與司康。
可惜就是下午茶的擺設很廉價，很像大創買的塑膠盤。"
 Selin ,https://www.google.com/maps/contrib/114127465992635291658/reviews?hl=zh-TW,5,True,102,花茶種類多，好聞也好喝，提拉米蘇真的好吃，司康抹果醬也很好吃，環境舒適，以為人會很多，但可能是連假的關係，人沒有很多，用餐環境變得很舒服
 企鵝太太 ,https://www.google.com/maps/contrib/109305922821494938750/reviews?hl=zh-TW,3,False,61,"外帶或外送的話不建議點夾餡的司康

茶蠻好喝的但是司康讓我失望
偏乾偏硬完全沒有外酥內軟的口感
由於已經夾好了餡料也不方便再度加熱"
