user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Zu0An IG:zu0an ,https://www.google.com/maps/contrib/104645394164366684331/reviews?hl=zh-TW,5,True,52,"中山區很多美食然而當天卻選擇到伊府軒他們家吃鍋燒麵主要在於他們有很多類型鍋燒組合。我自己就點了他們家的麻辣意麵鍋燒，其實我真的不常吃到意麵所以還是特別期待口感的部分

我真的對這份鍋燒麵蠻滿意的，份量大的鍋燒麵，裏面卻有很多食材，海鮮類的組合都算不吝嗇的。

另外也點了一份番茄泡飯！番茄口味的鍋燒泡飯屬實少見，番茄湯頭非常濃郁，佐料種類包含新鮮的蝦類，清爽的蔬菜，足顯誠意十足，食後也相當有飽足感，適合要快速飽足一餐的人

至於小吃的部分我點了他們家蠻熱門的炸甜不辣和炸雞塊。很喜歡炸甜不辣的感覺，有別於大眾的大塊甜不辣，這家炸甜不辣並不油膩。而炸雞塊算無骨的，吃下去多咬幾口，我個人是可以把軟骨給吃下去哈哈哈哈，是真的蠻好粗的。

對於需要配料的朋友們，可以自由選擇他們的配料哦，有泡菜和其他小配料，當開胃菜也是很讚"
 Mandy Liao ,https://www.google.com/maps/contrib/105480013940351340852/reviews?hl=zh-TW,5,False,2,"#伊府軒位於中山商圈新光三越附近一級戰區，想吃個百元美食，看過來！整間店很可愛有很多貓咪圖案裝飾，給人一種很家庭式的溫馨感覺👍
🔺#沙茶鍋燒意麵$100
用料超級豐富，豬肉片/蝦子一隻/貢丸/鑫鑫腸/高麗菜/小白菜/青江菜/一個蛋/木耳🥹
唯一美中不足就是鹹度有點不夠，如果再鹹一點，真的堪稱好吃又配料豐富的"
 陳慕紅 ,https://www.google.com/maps/contrib/101074854248426662717/reviews?hl=zh-TW,5,True,120,"經由朋友推薦前來朝聖！
無論是價位還是食材的選用都非常佛心！
這次點麻辣鍋燒意麵跟奶香鍋燒烏龍麵
麻辣是帶有點微辣的口感，有著豆瓣醬融合花椒香氣
奶香喝起來是清甜順口、不膩
主食選擇豐富，還有飲料、湯品和小菜
炸物系列有炸蝦以及炸板豆腐可以選擇
以銅板價就能吃到飽的高CP值！
非常推薦！"
 李梅莓 ,https://www.google.com/maps/contrib/107323759868740306344/reviews?hl=zh-TW,5,True,38,"Ig🔍mmei0106
今天來中山站2號出口出來與朋友走走逛逛，正是午餐時間
，我們走到第一條巷子右轉後，在可不可紅茶左轉，就會
看到一家以貓咪🐱裝潢作為主題的伊府軒鍋燒麵咖哩飯美
食館🥰

進來就會看到一片美美的花牆，好適合拍網美照跟美食照
哦😍～搭配白色系牆面和貓咪造型的各式裝修點綴🪩會讓
人有一種被可愛貓咪圍繞的幸福感🤤

親切的闆娘親手做的美食一道道上來，一整天的疲勞感瞬
間解放，喜歡鍋燒麵跟咖哩飯的寶貝們一定要來這間隱藏
在中山區新光三越旁小巷的「伊府軒鍋燒麵」美食館來品
嚐一下唷，CP值超高，好吃又划算。(*•̀ᴗ•́*)و̑̑

✧味增鍋燒烏龍麵
用料實在，湯頭清甜爽口
口味沒這麼重鹹的朋友推薦點這道😉

✧咖喱唐揚雞塊飯
雞塊不是一般的麥克雞塊而是唐揚雞塊
濃郁咖哩醬伴隨著咔嚓咔嚓的咀嚼聲和嫩嫩的爆著汁水的
口感，幸福感會爆棚😍
口水都要瘋狂分泌一波了哈哈哈😆

✧裙帶絲
夏天天氣炎熱涼菜必不可少😝好吃又下飯

✧薑絲蛤蜊湯
蛤蜊吐沙處理的很好耶，而且是大蛤蠣，鮮甜可口✨

✧炸蝦🍤
外酥內嫩香脆口感，一口下去～滿足！🥰

✧薯條🍟
香脆可口吃起來像地瓜片的味道🤤

✧檸檬紅茶、經典奶茶"
 Chen Joanne ,https://www.google.com/maps/contrib/114290967308483450068/reviews?hl=zh-TW,5,True,41,"以價格來說真的CP值很高，用料實在、湯頭也很優秀
簡單介紹配料：小魚板／天婦羅／蛋包／青菜
簡單樸實、溫暖實在，沒有華麗裝潢，只有家的人情味~

炸甜不辣必點!必吃~

吃起來口感很特別而且新鮮（大推薦）
炸起來麵粉包覆的均勻，好用心💕💕"
 黃廉 ,https://www.google.com/maps/contrib/106223423429314487433/reviews?hl=zh-TW,4,True,92,"總體評價會給3.5顆星
不過送餐速度很快補滿四顆

整體來說吃得很飽(有加麵20元)
湯頭還可以順口
蛋料跟肉似乎有點少(跟小火鍋相比的話)
下次很餓時會再回訪"
 simon chung ,https://www.google.com/maps/contrib/101579707046061330449/reviews?hl=zh-TW,5,True,376,"位於新光三越南西店後方巷弄。
豬肉鍋燒意麵100元，加麵20元，單點炸排骨50元。
以這個地點來說，價錢不算貴，店面坪數不大，佈置溫馨雅緻。
鍋燒麵的份量不多，單點炸排骨的盤子底部都是油，餐點並不理想。
因為是循著抖音賀駕ㄟ便當來的，評價5星。"
 Yuni ,https://www.google.com/maps/contrib/108960225801616530325/reviews?hl=zh-TW,5,True,40,"推！cp值超高
一碗不到100$，料多實在
加購了鯛魚片整個飽到很滿足👏🏾

炸甜不辣好吃、小菜也很優秀🌟

這次吃麻辣口味的烏龍麵有被驚艷到
下次想再去嘗試咖喱風味～～～🌟"
 美妞企鵝妹 ,https://www.google.com/maps/contrib/107651092886777407714/reviews?hl=zh-TW,4,True,34,隱藏在中山區的美食，銅板價美食！奶香烏龍麵夠奶味夠濃，麻辣鍋燒意麵又麻又辣，後勁強，店裡擺設溫馨，充滿貓的圖案，和美麗的花牆！唯獨服務人員態度稍加改進會更好！
 Goya Wang ,https://www.google.com/maps/contrib/114095126050504241233/reviews?hl=zh-TW,5,True,65,小巧的店，但感覺得到店家的佈置的用心，鍋燒意麵食材很紮實，滿滿青菜有肉有蛋有蝦，讓人覺得吃完這一碗今天的健康食物都補齊了，口味很適合大眾接受，小孩也很喜歡
