user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 周仕弘 ,https://www.google.com/maps/contrib/107003180290980540521/reviews?hl=zh-TW,4,True,184,"餐廳不大，裝潢古典；餐點品質不錯，目前疫情關係還有八折，大概人均1,000就能吃得很開心。其實有供應港點，但網路上似乎查不到菜單，有些讓人困惑

烤鴨二吃
雖然是半隻鴨，但狀態仍然不錯，連皮帶肉片下後由服務人員幫忙包好上桌，半隻鴨總共有12份，另外還有一隻鴨腿
片鴨卷的餅皮口感Q彈，鴨皮很脆口，油脂不算很豐腴，但和甜麵醬搭配適中；不過小黃瓜味道有些太搶，可以告知服務人員不加
鴨鬆分成6份，份量都不少，但調味上較無可喜之處

炒蘿蔔糕
這道做得極好，蘿蔔糕軟而不散，鑊氣和蛋香十足，豆芽菜也乾爽脆甜，可以想像炒米粉大概也很好吃

鮮蝦腸粉
油條輕薄酥脆不刺口，蝦仁鮮甜，調味輕盈

蝦仁燒賣
豬肉餡口感不錯，蝦仁亦飽滿

鎮江溫沙骨
排骨燒得極軟嫩，油脂豐富，但鎮江醋的風味略淡，也可以更酸一些

焦糖叉燒
焦糖調味適中不會過甜，但叉燒用松阪肉顯得太硬又缺少油脂

蒜香茄皇焗帶子
干貝甜度不錯，墊底的茄子鬆軟，但整體也就是在吃干貝和紫蘇，有些吃不懂這些堆砌的目的

寧波花雕雞球
名為雞球，但其實是雞腿肉塊，形式上有點與預期不符；雞肉本身的花雕酒香氣足，但以煲菜而言，其他配菜如花椰菜和洋蔥就顯得沒有融入

金銀蛋莧菜
金銀蛋是舖在莧菜上，雖然相應的讓湯汁味道乾淨，但沒有充分帶出鹹蛋香氣，略為可惜

燕窩蛋塔
塔皮層層細緻酥薄，餡料蛋香濃郁，但上層冰涼的燕窩似有些不必要"
 Ann C. ,https://www.google.com/maps/contrib/117713700984502982545/reviews?hl=zh-TW,5,True,10,"好吃美味，內部空間舒適寬敞，價格划算且與美味成正比，期待下次再訪享用不同的佳餚。

當天四人用餐，點了兩隻龍蝦搭配伊麵（圖中為服務員幫忙分好的一人份）份量足夠剛好。其他菜色也都相當美味，燕窩焗蛋塔不會膩口且絲滑又香酥，燕窩也達到很好的解膩效果。總而言之是愉快的用餐體驗，如果服務生可以在更細心會更完美～"
 Chiu-Chieh Hsiao ,https://www.google.com/maps/contrib/102760888340351238133/reviews?hl=zh-TW,5,True,110,"*目的：家族慶生聚餐，為了享用「片皮鴨」再次去大倉久和的3樓桃花林用餐。
*餐點：片皮鴨可半隻或一隻，都是二吃，除了片皮，我們選了鴨鬆，都很好吃！烤乳豬可選一隻/半隻或一例（盤），為了希望能吃到其他餐點，我們只點一例，因此覺得桃花林有這樣的選項非常好，可讓客人不花費太高而能享用到多道特色餐點。另點寧波花雕雞球，有飽足感、花雕酒的香氣煨出雞腿肉的嫩彈口感；星洲炒米粉、咖哩辣，會吃辣的人很適合！甜點則選了「紫薯流沙球」真的超級讚👍紫薯不甜膩，流沙細綿融入口中，全家都很愛！餐點價格雖不便宜，但符合高級飯店的水準，也能吃飽，具CP值。帶給人不知虛此行的水準。
*服務：桃花林餐廳畢竟是在大飯店裡，服務水準高，親切周到又有人情味，當天我們和另一桌客人都自備蛋糕，服務人員還貼心幫我們冰起來，飯後慶生時，還特別幫我們盛在大盤子上，插好蠟燭幫忙點火和拍照！真的非常貼心、設想周到👍
*心得：是一處會想再度光臨的餐廳！（因在大飯店裡，餐廳內的裝潢古色古香且明亮舒適，很推！）"
 張祐寧 ,https://www.google.com/maps/contrib/104058350961313039652/reviews?hl=zh-TW,4,True,44,"平日晚上的商務會議，讓我不僅知識獲得提升，味蕾也提升一個檔次！
開胃先以三合一的食材呈現，烤鴨的醬汁完全的鎖在鴨肉裡面，乳豬肉的肉質不會過油也非常滑順。
曼波魚翅湯覺得湯頭有點偏鹹，焗烤大龍蝦上面的焗烤多到顯得過於侷促；蠔汁海參就顯得清爽許多，不像如菜單名字呈現的重口味。
石鍋骰子牛，刻意在剛上菜時品嚐一塊，等到石鍋悶燒了牛肉三分鐘之後再吃，雖然因為熟度有別，嚼勁也有所不同，但不變的是肉質的美味及多汁。
進入後半段的龍虎班，也是個人覺得為本餐最驚艷的地方，龍虎班的鮮甜隱約其中，搭配醬汁恰到好處，佐上一個蘆筍，不僅點綴，也很清爽。"
 Yu Hsuan Sun ,https://www.google.com/maps/contrib/117177579912387200463/reviews?hl=zh-TW,5,True,85,春節期間只有松套餐，份量適中，烤鴨想內餡適宜，炸蝦搭配芒果醬料很解膩，龍蝦濃湯泡飯的飯口感像鍋巴，脆脆的很不錯，甜點的楊枝甘露份量較少。
 PINGHAN TSAI ,https://www.google.com/maps/contrib/105637531808141086553/reviews?hl=zh-TW,5,True,74,吃了好幾次桃花林，水準穩定服務好。喜歡港點記得中午來吃才有，烤鴨皮酥肉肥，二吃這次做鴨鬆，中規中矩會覺得還是煮粥比較好。港點特別推薦蘿蔔酥餅，鬆化的酥皮配上吸滿高湯醬汁的內餡，近期印象比較深刻大概就是吉品的了。另外一個是現點需要等40分的蛋撻（想吃記得一開始點餐就要點不然有得等），層層分明的酥皮配上濃而不膩的內餡，劃下完美句點。
 Cake Dan ,https://www.google.com/maps/contrib/112924788326734710992/reviews?hl=zh-TW,5,True,644,"“焦糖叉燒”必點！有特色，好吃！一定要和檸檬一起吃喔！
烤鴨好吃！湯ok、蒜炒蘆筍天使級好吃、建議砂鍋花雕雞剛出爐別馬上吃要把底下醬汁多次撈出來淋，一直淋就對了才會好吃！
跟上個月吃的萬麗軒比起來，這間比較好吃，萬麗超雷。
還要再來吃❤️😘"
 Jo C. H. Chen ,https://www.google.com/maps/contrib/109002348381264210960/reviews?hl=zh-TW,5,True,36,"美侖美奐的桃花林～

來自朋友讚許而前來一訪，是間美侖美奐的米其林餐盤推薦餐廳。一進門，手機相機就無法離手！溫暖的色調與暈光，半透明的空間隔板所營造的穿透效果，兼具隱密與多元的層次，讓人體驗到每個角落都充滿美感。

至於餐點，前菜的豆干塊，炸後醬糖煎煮入味，頗為獨特；入口即化的梅干蕃茄，晶瑩柔軟；脆皮烤雞（可點半隻）、油條腸粉、炸蝦卷、蘿蔔糕等都極為味美；「鯊魚骨雲吞燉全雞」更是一絕，必須事先預訂（約1380元左右）。除網上可查閱到的菜單外，中午另提供港式茶點。

整體而言，這兒的餐點值得品嚐，用餐的環境更是優質，很難不再來～"
 Elina Hsu ,https://www.google.com/maps/contrib/116449334147092973418/reviews?hl=zh-TW,4,True,9,"優點：餐點美味、用餐環境佳、上菜速度快（有點過快，一口氣可以直接上四道！）
缺點：第一個缺點見仁見智，個人喜歡明亮的用餐環境，桃花林的燈光偏暗。
慶生只有招待壽星本人一顆壽桃，而且壽桃的size真的很小。這點真心認為身為五星飯店的餐廳應該改進。要嘛就每位客人招待一顆小壽桃，不然最起碼壽星的壽桃也大顆一點。招待這麼小小一顆讓客人覺得很摳門。"
 烤玉米 ,https://www.google.com/maps/contrib/116723454729987922903/reviews?hl=zh-TW,4,True,357,"環境很好大倉久和飯店3樓，服務人員服務態度也很好，我點的是套餐裡面最便宜的那一套，含服務費大概可能也要2500。
菜色的表現都有一定的水準之上，色香味俱全，但對於食量大的人可能會吃不飽，很適合商務的餐廳。
停車位與B3-B6F"
 Yu Lee ,https://www.google.com/maps/contrib/116050496529804286232/reviews?hl=zh-TW,5,True,228,"1.先給五顆星
2.蘿蔔酥餅外酥內軟，裡面的粉絲介於融與不融之間，而且非常入味，咀嚼過後芝麻香充斥口腔，絕對是必點的一道菜
3.化皮雞第一口還算驚艷，但是吃多了，其實就還是雞肉，但也算是摸到烤雞頂點了吧
4.鎮江排骨也是必點，酸甜加上醬香，口感軟嫩不韌口，所有調味融合的恰到好處，複雜卻平衡的滋味值得一嚐
5.炒蘿蔔糕也是出乎意料的好吃，口味不會太過清淡，稍微炸過的蘿蔔糕吸飽醬汁，讓每一口都是一次味覺衝擊，絕對是此生吃過最好吃的蘿蔔糕
6.干貝柱炒飯就是香氣濃郁，普通美味
7.甜點的楊枝甘露又是一道驚艷之作，煮濃的果汁喝起來醇厚，但是酸甜味又像是輕盈的飲品，反差卻又平衡，大推大推
8.芋頭西米露還好
9.海鮮煲忘記說到了，這道我認為也是必點之一，每樣海鮮都十分入味，沒有一樣過分搶戲，加上最下面的豆腐，完美的我的味蕾"
 Ma Wilson ,https://www.google.com/maps/contrib/102657628558102273750/reviews?hl=zh-TW,5,False,31,不愧是米其林的餐點，讓人吃得非常愉悦，今晚的點了2個套餐(2200元/3500元)，每道菜的醬汁我都令我心動，半個手掌大的排翅真夠誠意。唯甜點太甜了，不符合現代人的味蕾。如果有特別的節日要慶祝來這裡虜獲人心吧。
 Liu Nina ,https://www.google.com/maps/contrib/106323004799231504681/reviews?hl=zh-TW,4,True,145,"環境高大上
餐點非常美味
特別是黑松露烤鴨
肉質多汁且香氣十足
份量非常非常大
建議多人聚餐👍

服務頗一般
有很大改進的空間
不斷有失禮的發言
甚至有種被嗆的感覺

套餐2萬元套餐
10個人吃絕對綽綽有餘
份量滿足夠的
但收價不凡建議公司聚餐再來😂"
 Hong Chung ,https://www.google.com/maps/contrib/108914802057660090896/reviews?hl=zh-TW,3,True,47,"除夕來聚餐吃年夜飯。
一瓶水要300元，濕紙巾從頭用到尾髒了也不會換，桌上連一張衛生紙都沒有的餐廳。
東西口味偏重鹹。"
 Yuting wong ,https://www.google.com/maps/contrib/105846202996122700367/reviews?hl=zh-TW,3,True,181,"明爐烤鴨豉油皇炒麵主廚精選餐盒$400，以及同事吃的炆火無骨牛小排，主菜跟配菜的肉類料理都很嫩好吃，烤鴨油多肉嫩，可惜鴨皮軟掉。

醬汁鳳尾蝦入口咀嚼蝦腸泥味道一直跑出來。
豉油皇炒麵個人覺得不ok，又乾又鹹又油，幾乎沒吃。
餐盒整體全都重油、重鹹、重口味，連高麗菜也是，每口跟盒底都是油滋滋。

附一碗主廚例湯，今天應該是牛蒡雞湯吧，湯好喝，但雞肉非常柴。

-
吃完餐盒會想再訪餐廳內用試試招牌好菜，但不會想回購餐盒。"
 Amy Su ,https://www.google.com/maps/contrib/117565990287367616263/reviews?hl=zh-TW,5,True,"1,003","這次是在包廂內用餐，第一次看到一桌可以坐超過20人的大桌，且包廂內還有獨立的廁所很方便
服務很好，倒水倒酒很勤
餐點不錯，都在水準之上，但沒有到驚豔"
 J me ,https://www.google.com/maps/contrib/104251081237334031483/reviews?hl=zh-TW,5,True,336,"米其林餐盤推薦🍑Tonkalin大倉久和大飯店桃花林中華料理

意猶未盡的美味，米其林餐盤推薦餐廳🍴Tonkalin大倉久和大飯店桃花林中華料理，好友相約住房+吃美食，🍑桃花林的中式料理，真的很好吃，我們點了一些餐點，份量真的很多，😋可以吃的非常的飽，而且每一道菜真的都是色香味俱全又美味，真的會推薦朋友們來嚐一嚐💯"
 Foxcy Chen ,https://www.google.com/maps/contrib/110766501205982120470/reviews?hl=zh-TW,5,True,973,米其林餐廳果然很有水準，很多間私人包廂會配專門的服務生，氛圍很安靜，食物每道菜都很不錯處理的很有水準
 仕偉王 ,https://www.google.com/maps/contrib/101918349740093988791/reviews?hl=zh-TW,4,False,15,"繼上次享用過山里後，這次來桃花林品嚐，這次點的是桃套餐
因為還在二級防疫狀態，一進到桃花林，就能看到餐廳在桌上都設有隔板，桌距也都有在1.5公尺的標準以上（因為挪桌子也挺麻煩的，中間都會空上一桌不安排客人），一就坐，服務人員立即送上目錄，並詢問是否要沖泡茶，因為是吃晚餐的時段，怕喝茶影響晚上睡眠，所以直接要了一杯溫開水。

第一道菜是廣東片皮鴨，有兩捲，不曉得是不是因為套餐的關係，這片皮鴨吃起來的溫度其實不高，不過裡面該有的基本配料一樣不缺，外層的荷葉餅口感也還可以。

第二道是砂鍋金瓜海鮮魚翅，說實話這道菜我真的好喜歡，湯裡面一片厚厚的魚翅，還有干貝以及蝦子，湯喝起來海鮮味道非常濃郁，喝不到金瓜的味道，魚翅那麼厚的一片，吃起來口感也非常好。

第三道是千縷富貴大明蝦，蝦頭裡面有滿滿的卵，而且蝦子非常新鮮，蝦身外層包裹的東西口感非常酥，但蝦身吃進嘴裡的時候，整體都是溫溫的，所有感覺到有點油膩，上方還準備了芒果沙拉醬汁可以沾，但沾了醬之後，個人覺得可以不用沾醬吃原味的比較好。

第四道是蠔皇北菇燴原隻鮑，鮑魚原本就沒什麼味道，要將醬汁的味道煮進去也是得費不少功夫及時間，但是這次的鮑魚吃起來，口感非常的彈牙，而且味道也都充滿整個鮑魚，北菇的口感也很厚實，不過比較可惜的是，這道菜稍微鹹了點，也許是為了將醬汁的味道煮進鮑魚裡面，調味上就比較重了些。

第五道是松茸龍膽海衣賞，芥蘭菜的口感不老還算嫩，龍膽石斑的厚度以及新鮮度也都很好，但是底下的豆腐就真的完全沒有味道，需要配著湯汁一起享用才可以。

第六道是龍蝦濃湯泡飯，龍蝦湯送上桌時，服務員會在旁詢問要多少飯，他們會協助添加，我要了一勺半的量，為了讓米飯能夠充分吸收湯汁的味道，我攪拌了好一陣子，攪拌時也能看到湯裡面有不少配料，有絲瓜、香菇、發泡的干貝絲以及蝦肉（蝦肉都切成小塊狀，不過以吃起來的口感，是龍蝦無虞），湯喝起來蝦的味道非常濃郁，能感受到這是用了不少蝦（不知道是一般的蝦頭還是龍蝦頭）熬煮出來的，至於米飯呢，攪拌了那麼久，還是有些都沒有完全吸附湯汁，有些米飯吃起來中心都太硬了，不知道是不是炸太久還是冰凍過頭。

第七道是楊枝甘露併季節鮮果盤，很明顯這也是最後一道了，水果有香瓜、西瓜、鳳梨以及一顆葡萄😂😂，這鳳梨吃起來略酸，楊枝甘露說實話一口就沒了🤣🤣。

這次桃花林的桃套餐，整體吃起來都還算滿意的，但也許是套餐的關係，有兩道餐點吃起來的溫度並不是很理想，口味上因人而異。
不過上次吃了山里和這次的桃花林，感覺大倉久和在套餐最後的甜點以及水果並不是強項。"
 christin wang ,https://www.google.com/maps/contrib/108488938709283696461/reviews?hl=zh-TW,5,False,92,跨年住大倉久和，直接訂桃花林，原本只是因爲方便，但沒想到服務好，套餐的菜也相當好吃，除了魚翅羹的味道因爲帶酸吃不習慣外，每道菜都令人驚艷，吃飽有吃巧，完全完勝山里日式料理的套餐
 Gaspar Xie ,https://www.google.com/maps/contrib/105964758109967216631/reviews?hl=zh-TW,5,True,945,空間安靜舒服，烤鴨可以半份食用，皮焦脆甜麵醬好吃，會貼心包好片鴨和麵皮，但建議可以先問客人是否需要自行DIY
 陳多多 ,https://www.google.com/maps/contrib/108859072371915760173/reviews?hl=zh-TW,4,True,149,雖然我照片拍得不是挺好，但蠻好吃的！尤其是三拼，醃蘿蔔也好吃喔！
 Terry Huang ,https://www.google.com/maps/contrib/107029582298576189948/reviews?hl=zh-TW,4,True,126,"烤鴨片皮好吃，餅皮口感較重溫度較低。
鎮江醋排骨，排骨軟嫩多汁，鹹甜夠味，盤飾沾醬有不同趣味。
海鮮豆腐煲，有加九層塔。
鴨鬆，鴨肉丁夠小不柴焦香味足，鴨香菇嫩筍脆，再搭生菜如絲蝦餅，口感平衡。"
 王俊霖 ,https://www.google.com/maps/contrib/102071982417291320472/reviews?hl=zh-TW,5,True,731,"價格：買餐券吃兩千的套餐
優點：東方美泡得不錯桂花紅豆糕很不錯
排翅很大方給每道菜醬汁都算不錯
服務積極
缺點：
支付：
廁所：網路：
二訪：可
雜語：以中菜來說算很不錯還有很多菜色沒吃到"
 Audrey ,https://www.google.com/maps/contrib/104498769337763275105/reviews?hl=zh-TW,5,True,161,"從訂餐現做，到進門時的服務親切、
熱心專業，
餐點非常好吃，價格中上以上，
但非常值得推薦。
壽司，鴨肉炒麵，三寶便當。
還會贈送下次滿額可使用的抵用券。"
