user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Timmy Hsueh ,https://www.google.com/maps/contrib/111667372808076248773/reviews?hl=zh-TW,5,True,319,"■人均消費：$1500~3000/人
■付款方式：信用卡（美運OK）、現金
■停車：台北大倉久和大飯店附屬停車場

山里日本料理有分四個用餐區，分別為「天婦羅區」、「壽司吧」、「鐵板燒區」、「和食區」，這次來享用的是和食料理的「花會席」套餐，一切都很讚很棒，值得推薦！

花套餐共有八道菜，每一道都很好吃以外，也都很美麗，滿足了味蕾及視覺的享受。

最令人有印象的是「旬味海鮮真丈吸物」，湯頭雖然看似清澈，但第一口就能感受到濃厚的海鮮味、最後又回甘的清爽湯頭！
蒸物的「白身魚信州蕎麥麵」也很令人印象深刻，白身魚以天婦羅的方式呈現，碗底有著濃厚魚味的蕎麥麵湯，兩者搭配一起吃很棒～

最後的食事「當季時鮮御飯」有一些灑在白飯上的玉子燒粉，另以鮭魚卵作點綴，而味噌湯是比較罕見的紅味噌，因此湯頭的豆味很濃郁，對於喜歡味噌的我來說，相當喜歡！

雖然和食套餐較貴，但這次是用旅展購買的票券來享用，因此我覺得性價比還蠻高的，有機會還會想再來享用一次美好的日本料理。"
 jeff WU ,https://www.google.com/maps/contrib/114808248750849324140/reviews?hl=zh-TW,5,True,68,"今天吃鐵板燒
就服務而言整體不錯
價位中高大概3千左右（含加點）
午間套餐，
—
餐券的疑問能獲得解答，
對於前菜到主菜之間
菜色與味道是ok的
簡單的調味佐出適合的味道
但..青菜鹹很多..，
湯品的溫度很不錯，
加點的牡蠣肥美，調理方式喜歡
新鮮度可，
魚料理是我喜歡的類型
龍蝦拼盤與熟度很不錯，
有彈性，入口很舒爽，

截至主餐菲力牛排，
色香味算是俱有，
鐵板燒的藝術
在廚師與顧客間的默契之間產生

只是，我總覺得少了點什麼..？

給予89分評價
但主觀少1分
綜合88
值得試試看
少分的原因不知..

可能是..我還餓吧（笑）"
 Elise ,https://www.google.com/maps/contrib/103909263102541669935/reviews?hl=zh-TW,2,True,206,"精緻但價格和食材選用有點不相符，擺盤漂亮、口味普通；這次在包廂用餐，詢問服務人員後得知有部分沒有菜單的鐵板料理可以單點，點了牛舌，份量跟價格都很尊貴；單點杯裝酒的話，單杯只有60ml,這樣的量卻提供了比較大的杯子，又在客人面前像憑感覺的樣子倒酒，這樣的方式確實很特別，但不會想再經歷😅
服務生都會穿著浴衣，整體服務是好的，浴衣好像不便於服務生活動，上菜收盤等等都有點卡卡；用餐空間是包廂，但是沒有隔音可言
整餐兩小時吃下來，印象最深的是用粽葉包著的鮭魚壽司，米飯都沾染上葉子的香氣，滿口芬芳
中間上了一個‘便當’造型很像裝先人的容器，這點印象非常非常深刻"
 Lin Dana ,https://www.google.com/maps/contrib/104570237398065611175/reviews?hl=zh-TW,2,True,32,本日吃了2200的天婦羅套餐。食物還行，但隔壁的明明和我點同個價位，卻被upgrade前菜（我是豆皮+燻鮭魚，他們是干貝+魚），結帳時好奇問了前菜是如何分配的，服務生最開始說隔壁吃的價位不同，我糾正了之後她改成說前菜是依套餐價位而安排，隔壁有加點單點所以有被升級前菜，我繼續問（明明沒看到他們加點）最後她說是加點天丼的飯量…….反正整件事很明顯是餐廳在favor熟客，我覺得這也沒關係，但整個過程他們對我的解釋讓我覺得越聽越不舒服。回家後當日下午日本師傅有打電話來，告訴我其實我今天看到的前菜價位都一樣，只是會隨機分配，哇噻這又是一個新的說法😨然後告訴我下次如果有來用餐，會出來和我打招呼，我說謝謝就掛電話了。以後應該不會再來光顧。
 Yang Alice ,https://www.google.com/maps/contrib/112932548383337387003/reviews?hl=zh-TW,1,True,71,"日料生魚片吃起來不是很新鮮，整本菜單選擇非常少，一開始連生魚片的菜單都沒給，原因：吧台人多需要等一小時以上（結果等不到半小時就都上了，而且不好吃）
鰻魚飯刺非常多，每口都有刺（很多很硬的刺吞了很不舒服）味道也很焦，鰻魚本身也十分韌性⋯整體就是十分難以入口，附的漬物（小黃瓜蘿蔔）吃起來像在冰箱冷藏很久
附湯也不知道是什麼，喝起來酸酸的
餐廳兒童椅都不太適合幼幼寶
總結：失望，之前的印象太好，現在跌入谷底，不會再去了，跟朋友的聚餐基本也毀了。"
 JoBoBo Tsai 喬波波 ,https://www.google.com/maps/contrib/108079073199264462109/reviews?hl=zh-TW,2,True,44,"來用方桌區的套餐晚餐。四個人都選3000元的套餐。整體吃下來的感想是普通又不值3000的價值。份量很小我覺得這個不是問題，問題是出在每道菜的表現都沒有令人驚艷。全部都表現的很普通。不太OK的是牛肉和最後的碳水化合物。牛肉雖然沒有全熟但卻很柴、很乾。食事（碳水）的飯配玉米拌紫蘇⋯⋯我付了3000吃玉米配飯⋯⋯真的有點無法接受，沒有用心料理很敷衍的感覺。

唯一能讚許的只有裝潢還有整體氣氛，下次不會再回訪，同個價位去別的日本料理餐廳可能還吃得到幾片A5，或是干貝之類的。不推薦！"
 Vivian Chiu ,https://www.google.com/maps/contrib/114826495408675776063/reviews?hl=zh-TW,3,True,193,"與家人享用2000元/人+10%的午餐花會席料理，吃過不少會席料理，這裏的會席料理表現非常普通，整體吃下來只能稱的上是日式家庭料理，實在跟會席料理有一段差距，食材ok，但會席料理該表達的擺盤意象與食材的關聯沒有呈現。
用餐環境不錯，服務人員身穿和服，舉止優雅，服務不錯，若對食物不是太嚴格，此餐廳很適合帶長輩或客戶來用餐。"
 Dona Su ,https://www.google.com/maps/contrib/111354084162925478969/reviews?hl=zh-TW,5,True,14,"入住大倉久和飯店按電梯看到的
抱著試一試的心情來體驗看看

一開始的點餐就非常親切
要入座的洗石字長廊，拍照超美，
大家有時間可去那拍照

整套食物吃下來其實很飽，原本以為只會有七分飽，令人印象最深刻的是天婦羅
從前在日本料理店看到炸蝦都是立馬夾
給同行者，那油膩膩跟一堆粉膩口的感覺很可怕

但山里的天婦羅不會，一端上桌就有特殊的油香味撲鼻而來，麵衣薄又不膩口，還酥脆，是我吃過最好吃的天婦羅👍👍"
 Shihfan ho ,https://www.google.com/maps/contrib/113404147453131973836/reviews?hl=zh-TW,2,True,61,此趟是訂山里鐵板燒晚餐，前菜還行、湯品及松露醬麵包是此次餐點評價最好的，從湯品以後的料理……真的很不ok…，鐵板燒最平價的料理價位已經比外頭其他餐廳略高，但一個最基本2500元的晚餐卻完全吃不出它的價值，真的是很不值得，這星是給服務人員及還行的餐點，其他不予置評了！
 Noly Chou ,https://www.google.com/maps/contrib/107338633935677656536/reviews?hl=zh-TW,4,True,175,"幫朋友慶生選了山里，整體來說，環境乾淨明亮，服務好，食材新鮮。

點了握壽司套餐1680元，外加一成服務費，對男士來說少了點，可能吃不飽，CP值不算高。

贈送的小小蛋糕，擺盤漂亮，甜品好吃，餐點都屬於精緻小巧，食量大的朋友請三思🤣🤣"
 李冠玲 ,https://www.google.com/maps/contrib/114181855285442557838/reviews?hl=zh-TW,4,True,305,日本料理很好吃，其中小鍋料理就稍嫌普通：白菜淋上蛋汁烹煮；最後的食事上了兩種主食(御飯.蕎麥麵)，擇一主食加上兩種或三種醬菜應該會更好。
 Huang Sean ,https://www.google.com/maps/contrib/106598564729576349267/reviews?hl=zh-TW,5,False,21,"晚餐吃鐵板燒，整體份量相當剛好，食材非常新鮮，調味與食材非常搭配。
價格雖然2000-3000，但服務物超所值，推薦大家親自來品嚐。"
 黃冠宇（AKEN） ,https://www.google.com/maps/contrib/104764410356274880644/reviews?hl=zh-TW,5,True,60,進口太白油，薄麵糊衣，把食材鮮甜包覆，淡淡香氣，整套吃下來都不覺得油膩感，每一口都有獨特味道，海鮮打搭抹茶鹽，蔬菜搭特調醬油，完美搭配
 Grace Tsai ,https://www.google.com/maps/contrib/102194552276402040597/reviews?hl=zh-TW,5,True,84,今年的生日就在大倉久和山里日本料理慶生，一樣選擇包廂用餐，我們大多選了「花會席」，食材新鮮，每一道都令人驚艷，慶生還贈送一個可愛的盤飾蛋糕。結帳時使用美國運通卡享還能優惠！
 hung wen ,https://www.google.com/maps/contrib/112590230207788257648/reviews?hl=zh-TW,2,True,294,2200元的花會席，口味實在不怎樣。生魚片不像現切的，完全不像日系五星級飯店會做的會席料理！
 ERIC 6 ,https://www.google.com/maps/contrib/108042868585486572947/reviews?hl=zh-TW,4,True,378,"在台北少見的清淨之處。
一個晚上鐵板燒只有我們一組客人。
和牛非常好吃，外表酥脆，內嫩肉香。師傅把多餘油脂去除，爽口不油膩。
整套餐點享用下，大約2.5個小時，只是一套餐點NTD5,500左右，可以替代的finedining太多，也許是人少的原因。"
 KWEN KWEN ,https://www.google.com/maps/contrib/112848879157238222888/reviews?hl=zh-TW,4,True,"1,018",今天用的是2000元的花會席，屬於一道一道的和食料理，主要品嘗食物的原味與鮮度。上菜前會給一張料理順序卡（但覺得可以再設計的美一點）套餐內包含前菜、生魚片、鍋物、烤物、炸物、主食以及甜點的布丁和水果。套餐的食材非常新鮮，料理的香氣十足，健康又好吃。酒類的選擇也非常多種，惠比壽的生啤非常新鮮好喝。店內的環境也非常舒適附有禪意，有分為壽司吧檯區和包箱座位區，包箱座位區的設計非常舒適且美，很適合需要談事情用餐的客人。
 cheng James ,https://www.google.com/maps/contrib/112553128020647893626/reviews?hl=zh-TW,5,True,15,"午餐鐵板燒，套餐一人$2,200
服務很到位，廚師也很親切，重點是出來的料理很好吃
蘑菇湯很好喝，味道濃郁，喝起來很回味
羊排很嫩，沒有腥味，好吃
美中不足的是份量不大，算是吃巧不吃飽"
 熊 Theo ,https://www.google.com/maps/contrib/108128312922012685362/reviews?hl=zh-TW,5,True,33,跟阿嬤來吃，我吃價位1000多左右的鰻魚散壽司套餐，阿嬤吃生魚片套餐。Cp值相當高，身為一位愛運動的青年也是蠻有飽足感的，阿嬤一開始還嫌生魚片套餐每幾片魚，最後都吃不完留給我吃。生魚片套餐的魚相當新鮮，也不會像外面其他餐廳拿鮭魚來濫竽充數，但比較奇怪的是前菜與其中一道套餐副菜重複，但是還是瑕不掩瑜，所以下次會嘗試和食與吧檯區。特別的是用餐時身邊都是日本人，會有一種偽出國的感覺，或許是因為這樣讓食物吃起來別有一番風味！
 ianchen1987 ,https://www.google.com/maps/contrib/115925767684383855955/reviews?hl=zh-TW,1,False,12,Cp值不高，上菜速度超慢，給的原因是今天客數太滿，八道菜沒有特別出色的餐點，日式料理吃成法式料理的時間，整整兩個半小時
