user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 John Dodo ,https://www.google.com/maps/contrib/103259032230274484240/reviews?hl=zh-TW,4,True,189,來這間小巷裡的越式小館吃過好幾次，菜單的品項很多，生牛肉河粉和米線，湯頭清甜，生牛肉片很新鮮，高湯燙一下就熟了，鮮嫩可口，河粉和米線口感一般。越式牛楠麵包和越式咖哩麵包，就是一條法式麵包（法棍）搭配一碗咖哩濃湯，前者湯裡有牛楠，後者是雞腿，咖哩是南洋風味，加入椰奶熬煮而成，味道不辣、很溫和。法式麵包三明治則是切開法國麵包夾豬肉片和生菜，也很好吃。咖哩豬肉燴飯就是把前面說的咖哩濃湯再加入白飯，搭配一些青江菜，也很好吃。不得不推的是炸春捲，內餡是芋頭絲加豬絞肉，再油炸過，芋頭黏稠口感加上新鮮豬肉，沾上酸甜醬汁，非常好吃。整體來說，餐點味道都不錯，鄰近林森北路、南京東路精華區，所以CP值還ok，是吃東南亞風味的好選擇。
 范曉嘉 ,https://www.google.com/maps/contrib/110644344936565271619/reviews?hl=zh-TW,4,True,255,"五條通這
店內前面還有賣海鮮米粉湯台灣傳統小吃之類，但老闆娘們都很親切幫忙招呼。
豬肉河粉湯頭口味重但很好喝
炒粿條也不錯吃
蝦餅表現就普通"
 林傑 ,https://www.google.com/maps/contrib/112542420916955540119/reviews?hl=zh-TW,4,True,910,"口味甚好，份量中多，價格中高。

米線滑溜，湯頭油甜不膩口，配料新鮮，
生菜春捲九層塔香尤其濃郁，十分推薦。

在地用餐推薦。"
 炅訄 ,https://www.google.com/maps/contrib/112970024693597966274/reviews?hl=zh-TW,3,True,887,泰式酸辣豬肉河粉還可以，滿酸的很夠味，豬肉雖然柴了點但有五六塊，不過裡頭只有豬肉跟河粉滿單調的
 WANCHUN LO ,https://www.google.com/maps/contrib/101726230539277910679/reviews?hl=zh-TW,4,True,54,臨時突然選的店家，生牛肉河粉意外的料多湯鮮，炸春捲現吃也很不錯
 Charleen Lin ,https://www.google.com/maps/contrib/112768859384363439784/reviews?hl=zh-TW,3,True,56,"之前去了幾次覺得很喜歡,疫情後再去吃點了涼拌排骨河粉,覺得口味偏甜,少了清爽感."
 SeaWeed Lee ,https://www.google.com/maps/contrib/117886515350957139914/reviews?hl=zh-TW,4,True,480,"口味：9.5/10(我點酸辣海鮮麵和粉)
環境：7/10(老舊一點，但是算寬敞)
價位：7.5/10(以台灣各地的河粉比較，算中上價位，但分量夠)
交通：6.5/10(搭公車比較快)
服務：8/10(很親切)
回頭率：90%
總評：8.5/10
說明：當你很想吃越南菜，這邊你可以來試試看，環境有點老舊，不好停車算是缺點，不過味道不會讓你失望，天氣熱也可以考慮涼拌米線。"
 ki li ,https://www.google.com/maps/contrib/102305225072923419827/reviews?hl=zh-TW,2,True,298,衛生堪憂的一間店，太多小果蠅在室內飛來飛去打擾用餐，而且很熱，廁所也很可怕，醬汁是偏甜的，生春捲的皮比較厚一點，涼拌米線吃完沒有覺得清爽，而是覺得太甜很渴。多的一顆星是給價格，因為量多便宜。
 Dennis Lee ,https://www.google.com/maps/contrib/114195421813824590788/reviews?hl=zh-TW,5,True,290,"在台北罕能以這個價位品嚐到如此用心的越南料理，炸春捲內芋頭餡香而順口，沒有乾掉的跡象，整體沒有油耗味。

咖哩麵包的咖哩本身濃郁而帶有香氣，麵包雖然不是傳統棍子，但烤過後才端上桌，依然做到外酥內嫩。

河粉忘了拍，口感相當有嚼勁，月亮蝦餅沒有油膩感，雖然口感一般，但這道菜本來就不是越南料理，作為增加點菜豐富度的選擇，依然不過不失。"
 Lina ,https://www.google.com/maps/contrib/100764372263340902333/reviews?hl=zh-TW,5,True,89,越南料理真的不錯，酸甜料理真的很開胃，進店家左側邊都是賣越南相關產品，有泡麵、調味醬料等商品，我點生牛肉+牛肉丸米麺好吃，生牛肉很後攪拌還是很嫩好入口，丸子味道也重！當天餐廳還有提供飲料跟湯無限供應都好喝。
 Hugh Chen ,https://www.google.com/maps/contrib/115548245674044368358/reviews?hl=zh-TW,5,True,41,"價格超級佛心，味道不錯有合格，老闆娘跟他丈夫吧，都是越南人又很親切，重點是環境還挺乾淨的，通常在外面的餐廳很多時候還要拿衛生紙把筷子跟湯匙再重新擦一遍，但是我來超過20次了，他們的桌子筷子湯匙都很乾淨，我想這應該不是偶然，感覺老闆娘有用心經營跟維持。

雞肉河粉90元
蒜香牛肉130元"
 Peter Pan ,https://www.google.com/maps/contrib/106935973628855337870/reviews?hl=zh-TW,3,True,220,"第一次來點了豬肉炒河粉，還不錯但「太油了」，跟老闆娘抱怨一下後下次點餐可以再跟她告知，值得二訪～

雞肉乾拌河粉$80：
蠻道地的越南河粉，口味非常棒！"
 Chih Chang ,https://www.google.com/maps/contrib/101780723583289281682/reviews?hl=zh-TW,5,True,124,"炸春捲真的好好吃！環境乾淨，服務態度很好！
涼拌河粉的口味偏甜，個人喜歡再酸一點，調味料區有檸檬可以自己加。
唯獨炸物容易炸到過焦，需多注意。"
 張小美 ,https://www.google.com/maps/contrib/104249023941995867378/reviews?hl=zh-TW,5,True,13,越南+泰式的麵點，河粉、米線、生春捲、炒青菜……。好吃，不貴，適合與朋友或同事下班後小聚。
 Nina ,https://www.google.com/maps/contrib/115236351514057298731/reviews?hl=zh-TW,5,True,348,"好吃，大碗，價格實在

門口太暗讓人疑惑有沒有開"
 Alfred Huang ,https://www.google.com/maps/contrib/117053565680902686527/reviews?hl=zh-TW,3,True,126,應該後來有換過老闆經驗，坦白說味道真的跟以前不同，比較懷念之前是越南人經營的口味，現在雖然新出了鐵板燒，但味道一般而且太鹹了，河粉的湯頭也不如以往....
