user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Ning Lee ,https://www.google.com/maps/contrib/104230939669575438194/reviews?hl=zh-TW,3,True,45,第一次朋友帶我來，整體裝潢舒適，覺得烤雞腿藜麥飯蠻好吃的，平常吃的比較清淡健康的人會喜歡。後來充滿期待帶著其他朋友再回訪，但友人點的味噌豬實在太硬了，完全咬不動那種，只好放著不吃了，有點失望，畢竟帶著朋友來聚餐很開心的，當下有反應給店員，但回應有點平淡，希望在服務的部分可以加強，肉類的挑選再注意會更好。
 蘇恩然 ,https://www.google.com/maps/contrib/106453557731011147059/reviews?hl=zh-TW,5,True,105,又有一家超美的寵物友善咖啡廳啦！位在國父紀念館附近的Flow&RowCafé，有著舒適寬敞的空間、純白韓系裝潢，每一個角落都超好拍！重點是餐點非常好吃啊！超推嫩烤牛排，牛排香嫩軟Q，調味簡單卻口口入味，還有可愛的寵物餐，我家挑食不愛吃飼料的貴賓狗比比也喜歡，一下就吃光光~
 Hey Wayne ,https://www.google.com/maps/contrib/117100653892317044990/reviews?hl=zh-TW,3,True,62,"佈置裝潢很美是一個賣點
但個人覺得餐點普普通通
點了鮮奶茶.焦糖咖啡.提拉米蘇
提拉米蘇有個奇怪的味道（個人不會形容
焦糖咖啡跟鮮奶茶一般般
那時候剛好是聖誕節前夕.店內有放置一棵聖誕樹
整體氣氛非常好.廁所在地下室
地下室也別有一番風味）但那時候好像沒開放（？
室內空間偏溫馨，但位置有限
建議要來的可以先打電話預約
室外也有兩桌可以做，當天還好不冷不熱
所以我們選擇坐外面
可以看看在外面透透氣，也方便拍照啦🤣🤣🤣
姐妹喝茶聊天這邊也是個不錯的選擇～"
 Erica Tu ,https://www.google.com/maps/contrib/105208564300027232294/reviews?hl=zh-TW,4,True,25,"🔸Flow&RowCafe🔸
📍台北忠孝敦化捷運站

➡️黑莓乳酪&舒肥雞胸$360
Blackberry&Chickenbreast
➡️香蒜乳酪&嫩烤牛排$400
Garliccreamcheese&Beef

熱愛網美早午餐咖啡廳的一定會愛這家店，裝潢明亮乾淨又舒適，真的很適合拍照！
同行友人一起點了不同口味的Opensandwich，在麵包上塗抹不同口味的creamcheese，試了兩款覺得蒜味的比較好吃😋
沙拉有附上幾片好吃的櫛瓜，加分！

#flowrowcafe#東區咖啡廳#台北咖啡廳#東區早午餐#台北早午餐#taipeicoffeeshop#taipeifood#taipeibrunch#網美咖啡廳#台北網美餐廳#朋友聚餐#上班族週五美食探險"
 Wen Chen Lee ,https://www.google.com/maps/contrib/117298573970592826471/reviews?hl=zh-TW,5,True,31,"非常寵物友善的咖啡廳
裡面也有寵物鮮食可以點
完全不怕寵物看著你吃壓力很大"
 Welson S. ,https://www.google.com/maps/contrib/100553961792692055431/reviews?hl=zh-TW,5,True,182,"感謝提供狗聚地點，餐點方面都很不錯。
不過出餐的速度也許需再加強一些，不過可能是因為一次得現做大量，雖然餐點清單都是有提早提供給店家，但還是有難免讓人久等的情況，這是唯一美中不足的地方。"
 Coco F ,https://www.google.com/maps/contrib/101134535686453414299/reviews?hl=zh-TW,3,True,40,"網美餐廳，餐點口味一般，咖啡還ok
松露薯條非常不合口味，上面擠的美乃滋完全沒有松露味，又很乾的讓很愛吃薯條的我難得吃幾口就放棄了"
 Jamie Chang ,https://www.google.com/maps/contrib/101858824798014757998/reviews?hl=zh-TW,5,False,1,環境很美，餐點健康又美味，重點是整間店都很好拍，已經回訪好幾次了，大愛❤️
 Jian ting Wu ,https://www.google.com/maps/contrib/116374510607170892245/reviews?hl=zh-TW,3,True,69,"餐點內容：
拿鐵咖啡$150
拿鐵的味道平淡咖啡香氣沒特別突出
若奶泡的部分有做拉花視覺效果會更好
是一杯中規中矩的咖啡
點風味拿鐵味道定位可能會比較明顯。

BRUNCH-香烤雞腿排$360
內容物有五穀飯、半熟蛋、玉米筍、綠花椰、櫛瓜、腰果（若對堅果過敏可先跟店員反應）
餐點是走清爽健康路線,有點像是雞腿排丼飯不過沒有其他調味醬吃起來相當健康無負擔
剛上桌炭烤香氣有出來聞起來挺美味的雞腿肉質新鮮不柴是好吃的腿肉
不過若是重口味的朋友比較不建議點這道

Open sandwiche黑莓乳酪＆舒肥雞胸$360
內容物包含：生菜、酸種麵包、腰果、綠花椰、櫛瓜、番茄、太陽蛋搭配油醋醬
對於舒肥雞胸愛不釋手的我來說這間舒肥雞胸肉做的很美味
雞胸肉特調醬汁個人覺得和雞胸很搭
新鮮生菜搭配油醋醬是一個開胃的搭配旁邊的櫛瓜及綠花椰沒做重口調味吃起來很清爽
酸種麵包搭配黑莓乳酪的果醬微甜而不膩口是好吃的果醬麵包！
這道菜蠻推薦的不過份量稍微偏少

提拉米蘇$150
以東區咖啡廳的甜點來說150元算cp值很高
口感綿密咀嚼過程萊姆酒香氣有帶出來
會提升提拉米蘇的層次,甜度不會過甜是值得一試的提拉米蘇！

整體用餐下來
Flow&RowCafé是一間午後時段想愜意地喝杯下午茶的好去處
環境整潔唯一小可惜的是座位區離門口的窗戶因是做半簍空設計
隔壁店家若有抽煙味道會飄進來會稍微影響感受
簡餐和甜點的部分味道還ok
值得一提的是這間咖啡廳是寵物友善店家
有養寵物的朋友們也歡迎帶寵物上門。"
 Kehrou Chang ,https://www.google.com/maps/contrib/115778301105664854150/reviews?hl=zh-TW,4,True,336,"餐點環境服務都很棒
很可惜中午吃酪梨野菇但當天沒有酪梨接在我之後連續遇到三、四個客人也是想吃酪梨野菇的
蔬食餐點選擇多一點或備料更齊全就完美了
當天有小baby客人看得出來店家是親子有善的餐廳"
