user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Aini ,https://www.google.com/maps/contrib/111391102198823730558/reviews?hl=zh-TW,5,False,3,"終於找到深夜還開著的咖啡廳了💕
非常適合聚會的場所
也很適合讀書，每個座位都有插座可以充電
一、二樓裝潢設計很用心
每位員工的態度都親切熱情
且餐點都很好吃！
義大利麵很有自己獨特的味道
麵體煮的Q彈，收汁後湯汁都吸附在麵條上，每一口都很美味👏🏻
咖啡凍也是外面吃不到的，必點推薦！
而且店家很歡迎寵物！（需要繫繩喔

以後會常常光顧，祝店家生意興隆😍"
 Judy Chang ,https://www.google.com/maps/contrib/112704359850312323998/reviews?hl=zh-TW,5,True,214,"位子不多建議要提前預約
可以用funnow有小折扣

🔅炸雞
一定要點！！和朋友吃到整個大開胃，嫩又多汁又燙口👍太好吃啦～

🔅墨魚麵
味道很足夠，麵體很入味不會過爛，可以吃微辣的人不要錯過。食材烹調的時間都剛剛好，最怕海鮮煮到老掉～

🔅晚香玉蜂蜜奶油冷翠、蘋果咖啡
都是很順口的咖啡，個人是把他當飲料在喝🤣咖啡有滿多特別風味可以選，下次會想要在試別款

🔅咖啡凍
沒特別驚艷，但漂漂亮亮📷

▫️店員都很像朋友相處，同為年輕人沒有壓力，就有些人喜歡，有些人不喜歡"
 NOODLE SYU ,https://www.google.com/maps/contrib/114915306394255501346/reviews?hl=zh-TW,4,True,283,"意外來到這家咖啡廳☕️開超晚的欸～覺得不錯👍🏻坐下來會給你一張邀請卡唷！🥳
特別的咖啡，點了黑糖蘋果咖啡，味道很特別😂喝個幾口就適應了⋯
朋友點西西里，映像中西西里應該是有氣的吧⋯⋯但他氣好不強喔⋯然後覺得有點酸，不知道是不是選了淺培的關係？但應該不是⋯總之沒氣泡真的很難喝=_=
還點了葡萄烏龍蛋糕，整體來說茶味是有，不過僅限於單吃海綿蛋糕跟奶油的部分，因為葡萄實在太甜太好吃了😂味道整個蓋過蛋糕的主體，不是說這蛋糕不好吃，是指葡萄太搶眼了啦～😆😆
還有巧克力鐵觀音蛋糕，這個就比較均衡一點，也是不會很甜的那種，很不錯👍🏻
蛋糕其實有點小塊，看起來是用六寸去切割的😩
然後坐到一半感覺很熱，空調不強⋯外面吸煙區雖然有關門，但還是會聞到煙味⋯感覺有點難改善。😂
總之還有其他特別的咖啡會想喝喝看，但又怕踩雷🥲"
 Hannah H ,https://www.google.com/maps/contrib/117985369549492570385/reviews?hl=zh-TW,5,False,9,"真的是誤打誤撞來到一間我以為進入了kingsman的制服店の咖啡廳？
很不要臉的從中午12點坐到晚上17點😂
好險店家沒趕人哈哈哈
*但是客滿每桌限時3小時喔*
店內很酷每張桌上都附有一張邀請卡
裡面的QRcode可以掃出菜單及一些店內規矩和想跟客人說的話～不能當奧客要好好看完欸！
朋友點的義大利麵香到迅速光盤
哈密瓜蛋糕也是100分
為了聊天一人點兩杯飲料必須的吧
主食到甜點再到飲料真的沒有一處可以挑剔
打這麼多還不趕快來光顧🤭🤭🤭"
 body Outta ,https://www.google.com/maps/contrib/117842249075798662274/reviews?hl=zh-TW,5,False,2,不給五顆星說不過去！一定要給好給滿！偶然發現的新店面，太喜歡了！！！從裝潢到氛圍到飲食的體驗都非常好！餐點非常優秀，擺盤能感覺到細緻的美感，麵食味道濃郁不膩口。雞翅調味超級好吃！真的超級好吃！淡淡的清香（檸檬嗎）。雞塊多汁不油膩，噢那個醬料也很絕，拜託要嘗試！感謝無酒不歡，推薦的都好喝，就是舒服啦！戚風蛋糕茶味濃厚，蛋糕體綿密不膩，咖啡凍請翻店面介紹，就知道製作有夠用心，也有夠好吃。最後就是要讚賞接待的夥伴（還是主理人？）謝謝你們的熱情款待，用餐很愉快，非常非常棒的體驗，期待下次見！一定再訪！讚爆！讚爆！（這間店要多有心！什麼都好，當然要五顆星！）
 Vito Huang ,https://www.google.com/maps/contrib/105241296866496901472/reviews?hl=zh-TW,5,True,169,"原本以為是網美咖啡廳，殊不知是個有賣好喝咖啡的厲害餐廳！
裝潢很美不用說，餐點每一道都非常用心好吃，真的是有嚇到！點的手沖咖啡也是好喝到不行～
店員妹妹非常親切熱情，也很有禮貌，真的是一間值得再訪的店！推推啦～"
 林椲彤 ,https://www.google.com/maps/contrib/102189482920313414358/reviews?hl=zh-TW,5,False,3,場地美、氣氛佳，食材新鮮且用心，甜點很好吃～特別推咖啡凍👍🏻老闆人很nice!服務人員親切！！是個適合聚會用餐的好地方～
 呂秋秋 ,https://www.google.com/maps/contrib/111327177918752627507/reviews?hl=zh-TW,5,False,5,"很用心的一家店
食材份量都讓人滿足的一餐
老闆的特調咖啡系列
還有咖啡凍一定要試試看❤️"
 Brian ,https://www.google.com/maps/contrib/102247954204427766227/reviews?hl=zh-TW,5,True,508,"很用心的一間咖啡廳值得再訪❤️❤️

目前在試營運期間
菜單品項會再做調整
聽店家說可能是隔一季或數月也會調整一次

造訪日期：2022/07/08
熱卡布NT150
熱拿鐵NT160

義式咖啡有兩種焙度可選
淺烘跟中深烘

淺烘培的熱卡布帶微酸有茶感與花香
中深烘的熱拿鐵甜味明顯

店家也有說牛奶的溫度有調低一些，讓甜味更明顯❤️❤️

兩種義式的咖啡口感都很滑順奶泡打的細緻

店內一共有兩個樓層
未來二樓一部分會開放為表演空間
晚上會搭配像音樂酒吧類型的型態經營"
 SURU SURU ,https://www.google.com/maps/contrib/116220712968147285581/reviews?hl=zh-TW,5,True,80,"無意間發現的複合式咖啡廳+餐酒館
店內最吸引人的就是深夜咖啡廳
不論是要來工作還是要來開會都超級適合
當天點了墨魚麵及少女心麵
覺得墨魚麵表現中間
但少女心很特別有來的人可以點點看
環境舒適服務生活潑可愛
因為是晚上去所以點了氣泡飲跟啤酒
下次想來試試蛋糕跟咖啡
總之這間推推！"
 YiHsin Shih ,https://www.google.com/maps/contrib/118293490701330182967/reviews?hl=zh-TW,4,True,57,"喜歡店內的氛圍是家高質感的店
蜂蜜奶油冷萃跟炸雞大推！

義大利麵的口味很有特色
點了兩種更喜歡剝皮辣椒雞
搭配鴨胸味道很和諧

每樣東西擺盤都超美！
餐點也都好吃感受到店家的用心
營業到深夜很適合久坐跟聚會🫶🏻"
 Tau Chang ,https://www.google.com/maps/contrib/115709459061836190885/reviews?hl=zh-TW,5,False,16,"跟朋友來，這是二訪。一訪是試營運需要訂位的時候，人很多。
反倒二訪幾乎沒什麼人，坐在二樓挺舒服的！朋友也說很棒，結果原來當初她來過這個地方（那時候還是間酒吧！）
蛋糕讚！炸雞讚！手上那杯咖啡也很讚！
我喜歡看起來像藝術品的食物❤️"
 Karen Wang ,https://www.google.com/maps/contrib/115739117577881756791/reviews?hl=zh-TW,3,True,229,"點了杯晚香玉蜂蜜奶油冷萃，靠近嘴邊時，可以聞到淡淡茶香，入口後帶有些微蜂蜜香，口感偏酸，也偏淡，可以更好。

朋友點的火烤椰子咖啡，透光的漸層，看起來很美，味道上朋友表示還可以，沒有太驚艷。

適合和朋友喝著咖啡，聊天的場所，餓了還有義大利麵可以點，或許有機會再來嚐嚐看他的麵吧。"
 May Ho ,https://www.google.com/maps/contrib/105028729756358924332/reviews?hl=zh-TW,5,True,223,"店內環境、桌距都讓人覺得舒適，有一、二樓，但是這次沒有機會去到二樓。
服務人員很親切，不管是上餐點或是整理餐桌都很快速。
甜點及手沖咖啡都有一定的水準，下次有機會想嘗試特調及其他餐點。"
 dknyobey ,https://www.google.com/maps/contrib/106580950605749599286/reviews?hl=zh-TW,5,False,7,義大利麵口味特別又好吃，甜點咖啡凍也是令人驚艷，可惜今天騎車不能喝酒，下次一定要體驗現場演唱和清涼啤酒！！
 李佳蓉 ,https://www.google.com/maps/contrib/118007021229806206804/reviews?hl=zh-TW,5,False,8,"今天點了火烤椰子咖啡和咖啡凍，都有讓人驚艷的好吃
屬於深夜咖啡廳，但中午就營業了，二樓有一面玻璃牆，採光好，又有插座，很適合白天帶筆電來工作
餐點義大利麵也有水準
適合吃飯聚餐、工作的地方

今日來來訪時，還有別的客人帶狗來，是個寵物友善店"
 悠寶 ,https://www.google.com/maps/contrib/104529697923417154591/reviews?hl=zh-TW,4,True,840,"共1、2樓裝潢風格跟某兩間酒吧有一點點像
座位看起來是很素C啦~
只是有點桌子太矮?!椅子太高?的感覺
對高個子比較不友善😆

▫️奶茶×超美！無糖的
▫️杏桃水蜜桃氣泡×淡淡的蜜桃味甜度不高
▫️蘋果荔枝氣泡×荔枝味很重甜度較高我比較愛❤
▪️雞翅×每一塊都超大
▪️中卷佐香料塔塔醬×非常可惜皮衣是軟的💔
▪️葡萄烏龍戚風×吃起來怎麼像抹茶😢
戚風體是濕潤的口感不賴

🔅未來會有駐唱~晚上會做BAR
相信晚上的氛圍也很美🧡

⭐悠悠飲食參考：
甜：手搖飲半糖>偶爾3分糖
鹹：蠻重鹹的
辣：中辣"
 馬克醫師 ,https://www.google.com/maps/contrib/105164720037121832351/reviews?hl=zh-TW,5,True,25,"裝潢設計很用心
餐點多樣也很用心
奶茶類有點少
整體而言很棒！
希望未來可以多一點甜點和鹹食"
 Lena Chen ,https://www.google.com/maps/contrib/114285187531213841985/reviews?hl=zh-TW,5,True,28,"餐點好吃飲品好喝店員服務親切
適合與朋友輕鬆聚餐的好地方
值得再訪：）"
