user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 尼克到處吃美食 IG: nickeatfood ,https://www.google.com/maps/contrib/103527910406218407842/reviews?hl=zh-TW,5,True,179,"☕️🍟🍔🍛🍲🍳🍱🍰
#尼克到處吃美食
☛#魔藥學餐酒館PotionsMagicBar
☛高質感英倫風酒吧

位於忠孝敦化仁愛圓環旁。走進店內，彷彿來到了哈利波特的魔幻世界，不管是裝潢、擺飾、連菜單的設計都很有哈利波特的感覺，超用心。店內風格是英倫風格，復古又特別。非常有特色的酒吧。
空間寬敞舒適，好適合三五好友ㄧ起來喝酒好好放鬆。餐點也都很好吃耶，每道都好用心💕
這裡每週三的晚上還有#塔羅牌師幫你占卜，每週五、六還有魔術師表演，記得ㄧ定要先預約喔！很開心這次能體驗到#塔羅牌占卜和帥氣老闆神奇的#魔術表演，真的是太厲害了👏有機會ㄧ定要來現場體驗看看～

☛碳烤雞頸肉/日本圓茄/蒜苗美奶滋$280
很少吃到雞頸肉，口感較有嚼勁，搭配日本圓茄也是比較少見，算是很精緻又特別的ㄧ道開胃菜。

☛金探薯$220
太喜歡這道了，鹹甜口感，麥芽糖淋在薯條上，蒜香搭配培根，酥脆口感讓人ㄧ口接著ㄧ口，ㄧ下就吃完了，非常刷嘴。

☛XO醬北海道干貝義大利麵$420
清炒口味，XO醬和蒜香的搭配十分開胃，麵條Q彈軟硬適中，干貝表面煎的微焦，每ㄧ口都滿足，擺盤也好美，很好拍照。

☛愛情靈藥$400
酒感較重，淡淡的哈蜜瓜味，很順口。

☛魔藥三聖物$420
這杯必點，也是服務生推薦的。好喝又好拍，淡淡的玫瑰香，比較偏茶風味的調酒，好喜歡💕

☛解構提拉米蘇$240
另人驚豔的甜點，外觀真的是看不出來是提拉米蘇，是分解後重構的提拉米蘇！每ㄧ口都吃的到不ㄧ樣的層次口感，我願意為了這道甜點回訪好幾次😆這個也是必點！！！"
 88.foodie ,https://www.google.com/maps/contrib/104375995091839604564/reviews?hl=zh-TW,5,True,223,"✨剝皮辣椒海鮮$320
✨黑松露牛肝箘菇板腱燉飯$420
✨ＸＯ醬北海道干貝義大利麵$420
✨解構提拉米蘇$220
✨迷惑劑調酒$360
✨阿勒比海岸$280

這間非常低調的餐酒館，忠孝敦化捷運站出站走路五分鐘就到了，對於想喝酒的人，超級方便‼️‼️👍

這間餐酒館很特別的是每週三四19:00-22:00有塔羅師專業諮詢，每週五六20:00-00:00有桌邊魔術秀，我今天很幸運的都有體驗到了，真的是一個很特別的體驗😃😃

塔羅師剛好也是心理諮詢師，真的算得好準，自己在心中很疑惑的問題也得到了解答，跟心理諮詢師聊天也很療癒❤️❤️❤️

桌邊魔術秀更是讓我感到很驚奇，超級神奇的，完全看不出破綻，不可置信的神奇，真的一定要來體驗看看‼️‼️

餐點的部分也都很喜歡，剝皮辣椒海鮮裡面有蝦子、香菇、剝皮辣椒、透抽、馬鈴薯等，超級豐盛的料，特調醬汁爆炒海鮮，醬汁滿滿巴附在海鮮上，超級香😋😋

黑松露牛肝箘菇板腱燉飯的黑松露味道非常濃郁，板腱肉很嫩，真的一下就吃光了，XO醬北海道干貝義大利麵是採用蒜炒的，吃起來非常清爽，干貝很鮮甜😍😍

甜點提拉米蘇也很特別，最底層鋪上滿滿的巧克力豆，中間是一大球提拉米蘇冰淇淋，旁邊有綿密的海綿蛋糕跟奶油，口感非常有層次‼️‼️

迷惑劑是用綠茶茶酒為基底，加上黑醋栗、百香果下去調製，喝起來很清爽，酒的味道滿濃的😋

阿勒比海岸是用百香果的水果酸度搭配香蘭葉的香氣，喝起來有微微氣泡感，這杯是以果汁為主的無酒精調飲😃真的超愛這杯，酸酸甜甜的，就是我最愛的味道❤️❤️❤️

這間餐酒館真的超特別，東西好吃，又有塔羅牌跟魔術體驗‼️超級推薦大家一定要來體驗看看😃😃😃"
 Yii ,https://www.google.com/maps/contrib/116265351550567454922/reviews?hl=zh-TW,5,True,304,"4.6⭐️跟同事選了這間餐酒館，整體來說非常棒，店面蠻大的位置也多，裝潢不錯整體偏暗，我們訂了包廂，蠻酷的可以坐11個人，店員態度很好，菜單有設計過，很多種口味的餐點，可以按照濃度選擇，飯麵主食有幾種，燉飯跟義大利麵，每一樣都點然後再加一些炸物，個人最愛的是打拋豬蛤蜊麵，每一個蛤蜊都好大好新鮮，那個湯汁很棒，搭配麵一起吃剛剛好，打拋豬味道剛剛好，香氣濃郁，吃完都想再點一盤了..

其他餐點也都有水準，另外炸松薯跟馬鈴薯片我也推，本身口感跟味道都很足夠，鹹度很棒，沒想到這家店的餐點都很用心，我們吃得很開心

酒的部分我沒喝不太清楚，但其他人說不錯，最後是魔術秀，通常只有禮拜五有，應該是這樣？近距離魔術第一次看，有點厲害，撲克牌完全看不出破綻，雖然後來被我從影片看出來了哈哈，但當下真的速度太快，整個表演非常棒，我們玩得很開心，推薦大家去試試看哦😁👍🏼"
 早安 ,https://www.google.com/maps/contrib/100918135022614518577/reviews?hl=zh-TW,3,True,649,"很新穎以哈利波特魔法魔藥為主體
的確好像也有看到店內有魔術師演出？
菜單是劫盜地圖的設計
調酒以哈利波特或是魔法的元素為主體
不過選擇沒有到太多
剩下就是經典調酒的部分
特調的部分大概也是妹酒居多
偏輕或是香味過重但價格及份量
都在合理範圍所以可以接受

另外餐點的部分火山蛋糕看起來
非常有視覺觀賞效果
但吃起來有點太甜膩
點了生牛肉也是有點不知所云
等待時間要滿久的
然後吃起來有點像肉泥口感怪怪的
配上黑色的好像是甚麼脆片
是滿有趣的但跟想像中的日式生牛肉
不太一樣
倒是裸麥麵包很推薦麵包體很有麵包香
有嚼感而且旁邊的焦糖奶油甚麼的
搭配起來很香覺得不錯

此外讓我們不太開心的是
因為桌子還沒清出所以要我們先入座包廂
到時候再協助換位子
我們朋友只是將其中一邊的簾子半拉上
（我們其實也有討論應該不可能這樣被制止吧畢竟沒有說任何禁止事項）
但在沒有任何解釋的情況下
直接來劈頭就說包廂費要一萬元喔
當下我們是也沒有反駁
只有回應說看是否能夠儘速清出位置
但說真的完全不懂是甚麼意思？
因為也不是我們主動要求
而是您們無法讓我們入座的情況下
我們才來先入座包廂的
在沒有任何事前解釋任何規則
這個界線是否有點太過模糊
可以規勸但語氣跟用詞真的可以再委婉些
這個講法好像我們要卡油
霸佔這個位置這樣
說真的讓我以及同行朋友都很不舒服
而且低消一萬真的也不是花不起
對客人這樣說真的對貴店服務方面
印象分數很差直接大扣分"
 Irene Li ,https://www.google.com/maps/contrib/111008307155883291030/reviews?hl=zh-TW,5,False,7,"今日點了：
酸辣東陰功海鮮義大利麵
蝦膏海鮮燉飯
XO醬北海道干貝義大利麵
黑松露燻鮭魚奶油燉飯
主食的表現都超乎期待
尤其是前兩道令人驚艷
蛤蜊、蝦子都很肥美
東陰功的調味很新奇
調酒命名完美迎合哈利波特粉絲
布里底安魂曲和傾心茉莉都屬於清爽型的
想要小酌又不喜歡酒味濃烈的可以考慮

最後很幸運的欣賞到Jason的魔術表演
人有趣又大方
記得要週五或週六晚上來才有機會見到他的風采"
 YR Chen ,https://www.google.com/maps/contrib/106471665523171749409/reviews?hl=zh-TW,5,True,11,"真的跟其他網友分享的一樣，餐點都很好吃！服務人員超親切貼心！
因為人數比較多，在電話訂位時已經知道可能會拆兩桌但是背靠背的沙發區，結果今天到現場發現換成可以坐在一起聊天的並排沙發～～

第一道是現流小捲，一入口就覺得非常鮮甜～～所有點的餐都很喜歡。
魔術精靈的表演非常精彩有趣！
請金髮帥哥幫我們拍照，他也好有耐心幫我們拍到好，最後因為有慶生所以準備了蛋糕和其他免洗餐具，本來想自己整理帶走，但金髮帥哥已經在收了，真的很不好意思！！
絕對會推薦朋友來～也會再來光顧的🥺🥺"
 小元 ,https://www.google.com/maps/contrib/116251181515154221066/reviews?hl=zh-TW,4,True,616,"身為哈利波特迷，一定要來這座魔藥學餐酒館!!!從外觀就有股神秘氣息，裝潢深色系調很有魔法世界風格，裡頭冷氣很冷有種地窖的感覺。

驚豔的是餐廳菜單為第二集的劫盜地圖！酒單名稱都很有梗，魔藥三聖物、冥思盆、吐真劑等，可惜騎車不便點酒。如果週五週六有訂位的話，會有沿桌魔術表演，下次二訪再來品嚐與欣賞。

啤酒杯跟餐具都很有型，有霍格華茲餐廳的氛圍，但其實並不好用，尤其湯匙真的太大了~

今天點🥘黑松露燻鮭魚奶油燉飯380元
奶油與燉飯濕潤綿稠的組合，加上鮭魚順滑的化在嘴裡；米飯的熟度剛好，咬下去無硬芯、有QQ的口感，搭配黑松露調味讓人食指大動。
🍝xo醬北海道干貝義大利麵420元
擺盤成長捲狀，干貝很新鮮，肉質肥美多汁，吸附著xo醬，不過覺得有點鹹。

飲料部分，🍺奶油啤酒280元，可以選有酒精或軟性飲料的奶蓋，喝起來有蘋果西打的味道，只是最後會剩下滿多奶油，感覺熱量upup～還是很讚，推薦!

整體用餐感受很不錯，服務也很快速，可惜餐點份量不多、且單價高加上10％服務費，這樣就快一千二💰。對於小資族來說，無法常去消費XD"
 Hsien Lin ,https://www.google.com/maps/contrib/108577618179814192115/reviews?hl=zh-TW,5,True,79,"事先已有先看過網路上的介紹與評論，感覺還不錯，趁著週末與朋友約在這裡聚聚。當天用餐有事先訂位，可以網路訂位(也有官方IG)或是直接找創辦人訂位(誤XXD)。餐廳營業時間為18：00至隔日02：30，用餐時間2.5小時，如果後面沒有訂位或候位，可以繼續待著~~
餐廳外觀蠻吸引人的，尤其是牆上的燈，很有特色，門口簡單大方，但讓人有種神祕的感覺，餐酒館整體走哈利波特風，蠻適合類似主題的聚會。
服務人員確認訂位、帶位快速，態度也親切，會隨時注意現場狀況，菜單說明也很清楚。當天分別點了經典調酒(八眼巨蛛的毒液)、無酒精(血腥糖糖)、裸麥麵包(太妃糖伯爵奶油)、金探薯、水牛城辣雞翅、黑松露牛肝菌菇板腱燉飯，全部都超級好吃，而且分量也很足夠。
我們是週六用餐，所以20：00開始有魔術表演，魔術師會視每一桌的用餐情況前來表演，所以只要在位置上等，就會等到魔術師來表演魔術，重點是創辦人自己也會下場表演，當下看完他的表演，我們真的覺得詭異到哭笑不得，也是一個不一樣的用餐體驗。
總之呢，是會讓人想再次光顧的一家餐酒館，讚讚！"
 花煙 ,https://www.google.com/maps/contrib/105564891475052970054/reviews?hl=zh-TW,4,True,233,"這一間可以點的酒只有幾個項目：奶油啤酒、妙麗的午後茶點、無夢酣睡劑、長島冰茶，其他真的不推。
不要點索命咒！
不要點索命咒！
不要點索命咒！
你以為是長島冰茶但是連長喝長島冰茶的人都有點喝不完的程度，酒類全部分層，真的索命，它家的長島冰茶真的好喝多了還不用600。
一開始看到隔壁有魔術表演還問說怎樣才能看魔術，原來是有訂位的人會得到，但是我也是早早訂了位一進場的時候卻沒有給請帖……請帖放好之後又陸續請了2～3位服務生才出現了期待已久的魔術師。
炸燉飯和金探薯及雞翅炸雞一類都還不錯吃可以點，服務方面其實蠻差的，到處都叫不太到服務員，酒保即使看到我們在叫也不會幫忙提示，總是呼喊很久才會得到關注的體驗很差，整體的環境佈置倒是不錯。

所以如果你喜歡有趣佈置、魔術、食物和魔法元素的話還是可以來，魔術師漢克的表現不錯挽回了一些分數。"
 Jenny Su ,https://www.google.com/maps/contrib/109738956660178990975/reviews?hl=zh-TW,5,True,93,"大仙超可愛❤️
每週五六有魔術表演很有趣超符合店裡的主題好好玩氣氛很好
餐點也爆炸好吃😋酒水沒有雷的還很有特色海鮮新鮮金薯薯一定要吃！燉飯的米心剛剛好很甘甜義大利麵的濃淡也不錯❤️小麥香很可以也不會太油！太好吃了希望份量可以多一點😜
但建議也一定要定位服務員收碗盤有點太勤快了用餐很常被打斷希望等桌子都很滿的時候再幫忙不然有種被趕著走的感覺
另外希望有icharge"
