user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Ann Her ,https://www.google.com/maps/contrib/116788730919616169207/reviews?hl=zh-TW,4,False,83,雖然年初價格微漲，但包子饅頭還是挺大顆。可惜的是前兩次分別在中午十二點半與下午兩點半前去購買都有缺貨，若能提供各類包子饅頭出爐時間就更好了。
 林斯 ,https://www.google.com/maps/contrib/110176615700634475203/reviews?hl=zh-TW,5,False,2,"第一次吃這家店的包子，27號買了10個高麗菜包跟各5個雪菜以及酸菜包，然後送麻婆豆乾以及起司羅勒。
麻婆豆乾好吃第一次吃到這種口味，高麗菜與起司起司羅勒份量夠味道也很好，下次還會在光臨"
 花惹手工皂坊 ,https://www.google.com/maps/contrib/106852991200332451621/reviews?hl=zh-TW,5,True,116,"包子總類多樣，老闆回覆親切，包子又超級大顆，基本上一人應該一個就快飽了
自己最推薦麻婆豆干，味道濃厚，麻辣夠勁，吃了會愛上啊
其他香菇筍包、雪菜素包、酸菜包，也都不錯，料多，皮也不算厚，值得推薦"
 舒愛心 ,https://www.google.com/maps/contrib/105850312368514910384/reviews?hl=zh-TW,5,False,1,"超級無敵好吃
最愛高麗菜、香菇
每次都會找朋友來買
一次買六個🤣🤣🤣"
 Sasa Liu ,https://www.google.com/maps/contrib/101900118019697598756/reviews?hl=zh-TW,2,True,634,"包子的優點應該只有份量很大，內餡也多，價格便宜。
包子皮是蓬鬆型，很乾無香味，不柔軟也無嚼勁，真的很不ok。
麻婆豆干特別，味道還行。
芝麻包的餡非常甜又帶有苦味，不喜歡。"
 Jessica Haung ,https://www.google.com/maps/contrib/112334945845358775876/reviews?hl=zh-TW,4,True,221,份量十足的包子，外皮不是台灣包子的甜軟，放涼後有嚼勁，內餡調味也不錯，喜歡香菇筍包！
 巫香草 ,https://www.google.com/maps/contrib/109068768090773919053/reviews?hl=zh-TW,5,True,179,香菇筍包蠻好吃的！外皮不像外面很多包子太過蓬鬆一壓就扁掉比較像早期吃得到的山東饅頭口感，內餡鹹甜剛好。
 派派 ,https://www.google.com/maps/contrib/116140495263255610108/reviews?hl=zh-TW,5,True,94,"包子是冷的，size偏大，而且內餡飽滿，調味鹹甜適中，不加熱也好吃，當然回家加熱過一定更好吃。
有經過時會隨手買一個，
吃過酸菜包、香菇筍包、雪菜包、麻婆豆干包，都各有特色，推薦給路過嘴饞的人～"
 Rika Wang ,https://www.google.com/maps/contrib/116284823739776857814/reviews?hl=zh-TW,5,False,3,非常好吃的素包，一個當早餐可以很飽，CP值高，感謝店家用心的製作！
 Becky Wang ,https://www.google.com/maps/contrib/101724342220876691883/reviews?hl=zh-TW,4,True,639,"阿姨和媽媽吃的非常高興，他們吃素，能找到賣素食的包子饅頭。他們很高興，這裡的產品讓人很滿意。
這附近停車不是很好找，這家店在東區粉圆附近而已。"
 許晴 ,https://www.google.com/maps/contrib/103958074001461438867/reviews?hl=zh-TW,4,True,39,"六津素包是我一吃就成主顧的店，因常去附近的東區快炒用餐，有時茹素的朋友也會託我代買。
素包子的麵體是用老麵自然發酵，口感比較Q彈且不易脹氣。口味比較特別的麻婆豆干包辣香夠味，是偏重口味的人會喜歡的，雪裡紅顏色保有青翠口感脆爽，不像有些店家的雪裡紅是偏黃的軟感。甜的芝麻、紅豆包，內餡濕潤香氣濃郁，而且吃起來不會甜膩。"
 OHIAMGOOD ,https://www.google.com/maps/contrib/116177456072152158890/reviews?hl=zh-TW,4,True,419,"芝麻包，外皮一般，內餡芝麻香濃，略甜。

芋頭饅頭，芋頭量很少，饅頭鬆散乾軟。"
 許淳翔 ,https://www.google.com/maps/contrib/109866139913523516158/reviews?hl=zh-TW,4,True,"1,417",麻婆口味好吃，剛好經過想吃會再考慮
 Chang Lichen ,https://www.google.com/maps/contrib/104455542332744960141/reviews?hl=zh-TW,1,True,22,"碰到一個胖胖的男生顧店,態度很不耐煩！以後看到他在,就不想買了"
 Yuki Ke ,https://www.google.com/maps/contrib/113348979766501970303/reviews?hl=zh-TW,5,True,103,"羨慕葷的包子鹹內餡的口味很多嗎？吃素的你一定要來六津素包，有相當多素食口味的包子可以吃得開心。基本盤的高麗菜包到很多人驚艷的麻婆豆乾口味，且幾乎都均一價20元。喜歡酸鹹並存的味覺享受，一定要買雪菜或酸菜口味。
來到捷運忠孝敦化站，一定要造訪的素食包子店！"
 Punder Joy ,https://www.google.com/maps/contrib/117223226991400675627/reviews?hl=zh-TW,5,True,184,"驚艷樸實的好味道
無意路過買了高麗菜和香菇筍包
完全無雷
電鍋蒸起來還是非常有彈性好吃
而且料飽滿十足
才20元佛心價
如果非必要不會再吃超商肉包了
這個素包子好啊！！！！"
 Lori L ,https://www.google.com/maps/contrib/102448836554841916831/reviews?hl=zh-TW,5,True,29,15塊錢的黑糖饅頭好大一顆，吃了有點太飽
 Tiffany Su ,https://www.google.com/maps/contrib/112552741998935336009/reviews?hl=zh-TW,5,True,143,"整體而言，以這價位、份量，在台北市算是CP值高的包子饅頭
服務態度很好，很親切的回覆問題

抹茶紅豆包
非常推，吃過甜的包子以來最不甜的，已經接近無糖的程度，包子皮抹茶味道很香，整體很耐吃

麻婆豆干包
評論一致推薦的，冬粉、豆干搭配辣醬，帶點微微的花椒香氣，辣度算是微辣的程度，整體香氣足但口味偏鹹，屬重口味

羅勒起司饅頭
起司不只有表面，裏頭也是真材實料，給的起司丁很大方，加羅勒的饅頭真的是第一次看到，但羅勒香氣偏淡，建議可以出一款單純羅勒的饅頭

十穀米饅頭
裡面穀物很多，是帶有些許顆粒感到，咀嚼到後面會有股淡雅的紫米香氣飄出，整體口感很耐吃又養生、不甜"
 Erin Chen ,https://www.google.com/maps/contrib/108764800301843454481/reviews?hl=zh-TW,5,True,281,"很喜歡吃包子饅頭
這家的芝麻包是我吃過最好吃的
其他常買的紅豆包跟辣豆干包也很好吃"
 Carrie Chen ,https://www.google.com/maps/contrib/115824735354025738384/reviews?hl=zh-TW,4,True,219,包子大顆，料又實在味美，尤其網友推薦麻婆豆干包子，微辣適合口味較重一點的人，好吃。高麗菜包，香菇竹筍包也料多味美，值得嚐嚐。
 melody melody ,https://www.google.com/maps/contrib/112597433927317899444/reviews?hl=zh-TW,4,True,823,好吃的包子店，216巷名店之一，喜歡麫食的我每次經過都好喜歡他們家變化很多的選擇！
 Julie Shen ,https://www.google.com/maps/contrib/101830849509020352198/reviews?hl=zh-TW,4,True,951,最近漲了，不過基本上包子都比別人大一點，種類也很多，買10送一，不錯吃
 I-Ping Wang ,https://www.google.com/maps/contrib/100396005694441578165/reviews?hl=zh-TW,5,True,255,服務態度好，種類多，每個包子饅頭又大又有料，買十送一，一個平均只有15-20元，還有陽明山小饅頭只有50元一包，推薦👍
 卡卡羅特 ,https://www.google.com/maps/contrib/102827024782653225938/reviews?hl=zh-TW,4,True,"1,456",好吃的包子，可惜不一定有熱的
 vivian liu ,https://www.google.com/maps/contrib/100371350916796242138/reviews?hl=zh-TW,5,False,5,"真的很好吃！包子的麵皮又Q又香
口味選擇也很多～
最喜歡高麗菜、芝麻還有酸菜！
店員人都很好👍（很注重先來後到～～）"
 陳淑卿 ,https://www.google.com/maps/contrib/114107383803081870174/reviews?hl=zh-TW,5,True,22,"推薦麻婆豆乾包，完全是不曾吃過的絕讚包子！
葷素都會愛的一家包子店，食材新鮮、用料豐富、價格佛心～還有買十送一，重點是包子真的很好吃，麻婆豆乾、高麗菜、雪菜大推薦～沒有買到香菇口味的，一定會長期回購！祝福這間好吃又實在的素包店能持續生意興隆～"
 嗨比 ,https://www.google.com/maps/contrib/116844464836713671354/reviews?hl=zh-TW,5,True,70,好吃!!!第一次買選個麻婆豆干來吃吃看驚艷~竟然有這麼好吃的素包!下次一定要再去買~真的會一試成主顧
 CHANG YU ,https://www.google.com/maps/contrib/115737815904891306793/reviews?hl=zh-TW,5,True,98,"秘密的
饅頭包子好吃
不要太多人來買
出爐時間不定"
 tzayren wang ,https://www.google.com/maps/contrib/100257927477784694504/reviews?hl=zh-TW,4,True,353,"新鮮好吃
傍晚去很有機會這個沒有那個也沒有"
 黃鴨子 ,https://www.google.com/maps/contrib/104910872008219040902/reviews?hl=zh-TW,5,False,36,"每個禮拜幾乎都會來買包子饅頭
CP值超高包子餡料滿滿饅頭也夠大顆用料很實在每種幾乎都20元還有15元的很佛心
大推"
 韓馥徽 ,https://www.google.com/maps/contrib/111662332103064198407/reviews?hl=zh-TW,3,True,366,看了評論才發現我收攤前經過買了綜合小饅頭買錯了，小饅頭裡面有各種口味但我吃來都索然無味不太愛，下次經過一定要買有內餡的包子來嚐嚐
 Louies Huang ,https://www.google.com/maps/contrib/103655678347595303749/reviews?hl=zh-TW,3,True,30,包子好吃但是買的時候看人品有個店員態度很差
 Shaina Chou ,https://www.google.com/maps/contrib/103430583264071915826/reviews?hl=zh-TW,5,True,41,我們最先是被小饅頭吸引的，孩子們超愛這家的小饅頭，去台北就會去買，大小饅頭都好吃，買回家冷凍可以當早餐，再次蒸過也完全不影響它的好吃，大推！
 Asheley Rebelde ,https://www.google.com/maps/contrib/117051612116460563499/reviews?hl=zh-TW,5,True,366,料多實在，而且價格也不貴，原本想說快打烊了隨便挑，不過買到的口味也算是蠻好吃的，下次有空或剛好在附近晃的話會再過來光顧試試其他口味✨
