user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Haruka Tseng ,https://www.google.com/maps/contrib/109227794019674833299/reviews?hl=zh-TW,5,True,46,"🌹服務親切
🌹日本人夫妻經營
🌹精緻菜餚
溫欣小店、一定需要預約。偶爾會有日本直送季節海鮮、建議開口問問哦😊"
 Cono W ,https://www.google.com/maps/contrib/117931526664664184477/reviews?hl=zh-TW,5,True,19,絕對是全台北市最日式的餐廳，客人90%都是說日文的，因為疫情不能去日本，就來風小路體驗原汁原味的日式料理，很像家庭風味的居酒屋，食物美味又道地，下班後和同事來這小酌一杯覺得很喜翻❤️
 Monly Hou ,https://www.google.com/maps/contrib/112168370585389752324/reviews?hl=zh-TW,5,False,5,點的每一項都非常好吃，尤其是每日推薦的煮魚！烤牛舌、南蠻雞、茶泡飯、辣油豆腐、麻油鹽高麗菜、柚子蘿蔔泥豬肉片、炸海苔竹輪、烤透抽、大阪串炸…不可錯過的道地日本居酒屋。老闆娘與老闆溫柔親切，不限時可以度過輕鬆愉快美味晚餐的好地方。
 Cici Rosa ,https://www.google.com/maps/contrib/116625921441451573518/reviews?hl=zh-TW,5,True,141,"很溫馨的居酒屋，喜歡！
點的食物都好吃，柚香豬肉片很療癒，海苔炸竹輪讓人想起花媽的料理，就是這麼溫馨，位子不多桌距也蠻寬，可以盡情聊天，牆壁上的時鐘是大正年代的時鐘，跟整間店氛圍很搭。
小缺點就是上菜速度有點慢、服務生只有兩位，尖峰時間會比較忙碌。
第二次來了，許願消失的肉末豆芽菜可以重回菜單🤣"
 pei wu ,https://www.google.com/maps/contrib/106387016408451953075/reviews?hl=zh-TW,1,True,46,"說真的
這裡的料理很道地的日本味之外

其他部份真的很有進步空間
1.服務人員態度極度不專業
也很不主動招呼客人
請他轉達給老板也要理不理的
2.上菜速度極慢
3.因老板完全不懂中文
所以很難理解顧客的想法"
 Yu-Hsin Tsai ,https://www.google.com/maps/contrib/117845168917565138188/reviews?hl=zh-TW,5,True,248,喜歡這邊的氛圍，餐點都很好吃，只是不小心點太多吃不完，不好意思🥲
 林麗娟 ,https://www.google.com/maps/contrib/105231361494933661900/reviews?hl=zh-TW,4,True,122,道地的日本居酒屋，食材新鮮，料理好吃，餐廳擺設加上老闆是日本人，食客也有很多日本人，在日語交談之下，讓人有身處日本的感覺。
 Dannyjo HUNG ,https://www.google.com/maps/contrib/100423307244888859512/reviews?hl=zh-TW,5,False,12,濃濃的日本味，日本客人也很多，很像在日本居酒屋吃飯，牛舌超級好吃，日本老闆也很親切熱情，很推薦的店！
 Jessica Wang ,https://www.google.com/maps/contrib/108581262223891381355/reviews?hl=zh-TW,5,True,122,"如果要假裝在日本，
這邊真的非常適合！
店內氣氛跟裝潢還有口味都很道地，
問了才發現老闆是日本人，
且許多客戶也是日本人。
家庭料理為主的居酒屋路線，讚！"
 Miranda Huang ,https://www.google.com/maps/contrib/113209555179943125160/reviews?hl=zh-TW,5,True,119,餐點好吃，酒也好喝！兩個小鳥胃女生只能點一些些，沒有雷，最驚艷的是肉豆腐裡面的牛肉，竟然吃起來有奶香味，肉味噌豆芽菜也很特別、好吃，下次會再訪。
 Claire Shen ,https://www.google.com/maps/contrib/100170271197276918547/reviews?hl=zh-TW,5,True,242,菜色跟日本極像，覺得很好吃，氣氛跟裝潢典雅。在這疫情時代可以偽出國一下非常棒，價位算中等。
 趙翊君 ,https://www.google.com/maps/contrib/110612422672619421560/reviews?hl=zh-TW,5,True,35,"老闆跟老闆年是日本人
料理非常道地
但價格比較不親民
比較適合適合上班族交際應酬
假日偶爾來還蠻不錯的"
 S C ,https://www.google.com/maps/contrib/112064665242870248487/reviews?hl=zh-TW,5,True,68,菜的份量不多，中等價位，口味很好，非常地道的日本味，簡直是來到了日本！（牛舌、蛋捲真的很好吃！）
 Teng Even ,https://www.google.com/maps/contrib/117910130010258980946/reviews?hl=zh-TW,3,True,213,"用餐環境很溫馨，但是料理項目選擇偏少!
毛豆是熱毛豆，非常好吃!
服務人員在服務上有點不到位，在詢問是否可以推薦餐點上菜方式，服務人員表示要自己看，其實可以詢問客人預算範圍，然後將店內拿手菜上桌即可!
也不會先主動提供水給客人，等酒上桌等了很久，應該可以先詢問客人是否要喝水先。
覺得是滿被動的服務，環境雖然是溫馨的，但服務沒有讓人感到日式居酒屋的熱情活力有點可惜!"
 鄭安哲 ,https://www.google.com/maps/contrib/106944721919496893029/reviews?hl=zh-TW,5,False,5,"玉子燒好吃🥳

炒麵
吃起來也不會很膩
男生一個可以一個人吃一份

肉豆腐吃起來像是壽喜燒的味道
不會太小片吃起來不會太老🥰

雞肉明太子大推如果有白飯配我可以吃2碗🧏🏻‍♂️

至於炸物個人覺得
如果吃習慣台灣炸物類
會覺得比較清談
味道是食材最原始的原味💁‍♂️"
 Li Valerie ,https://www.google.com/maps/contrib/115996563551953055109/reviews?hl=zh-TW,5,True,239,"星期二的晚上店內近乎fullhouse.
刺身很新鮮，吻仔魚Don，特製辣醬凍豆腐，特製蔥醬五花肉，有家常日本料理feel.蠻喜歡的"
 WL C ,https://www.google.com/maps/contrib/108414435379088521812/reviews?hl=zh-TW,5,True,56,"道地日本家常居酒屋🏮！
非常喜歡！食物美味、週間去很多日本人🇯🇵彷彿身在日本～
所以隔天馬上再訪～～^_^

特別推薦：
✨明太子山藥（超清爽好吃）
✨玉子燒（必點）
✨馬鈴薯沙拉（裡面有很特別的口感、聽說是雞軟骨！）
其他就是都可以試試他們每日的不同菜色～

💥不過那天點的炸蝦球反而有點可惜～

下次想再吃吃看不同的菜🌟🍶"
 Franciss ,https://www.google.com/maps/contrib/109263578431306151086/reviews?hl=zh-TW,5,True,24,"很棒的體驗，服務生服務超到位一定要五星好評。
菜單料理肉類不多，炸雞肉，雞軟骨大推，冷烏龍麵一定要試試好Q好有嚼勁。"
 Edward Chen ,https://www.google.com/maps/contrib/112046117871443935066/reviews?hl=zh-TW,5,True,699,舒適且有「日本味」的小居酒屋，食物的風味也很有日本味。必點:吻仔魚飯(加醬油)
 옥서 ,https://www.google.com/maps/contrib/114046051279597103422/reviews?hl=zh-TW,5,True,523,"晚餐時間
很多居酒屋幾乎都客滿狀態
心灰意冷之下Google到風小路
抱持著碰碰運氣的想法撥打電話

幾通電話下來終於喬到位子了
電話那一頭
感覺是不太熟中文的日本人
但是還是很親切地想辦法
找熟中文的同仁幫忙接聽電話協調座位
光是這樣親切的服務態度就值得給滿分了

餐點也相當的道地
是家常的日式料理居酒屋

相信我們很快會再來的"
 Wei-hsi Lee ,https://www.google.com/maps/contrib/105013004552632530732/reviews?hl=zh-TW,3,True,88,冷氣會直接對著靠塌塌米區的吧台座位狂吹，雖然已經請服務人員處理了依舊無濟於事，適合體質燥熱的勇者前來挑戰。食物本身是美味的，但謎之空調規劃看來短期內沒救了，入內前請自行評估今天的運氣值（？）
 高槻小智 ,https://www.google.com/maps/contrib/108649877917127562460/reviews?hl=zh-TW,5,True,"1,429",烏龍冷麵好吃，日本人開的店，氛圍與味道很日式，炸物優，食材新鮮.
