user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 tone hector ,https://www.google.com/maps/contrib/114443572853817007313/reviews?hl=zh-TW,5,True,788,"上次去過分店鴨蔥覺得很不錯，來本店試試，這邊座位較少，共14個座位，開店時間到門口已經一堆人，一樣要先在本子上寫上幾位候位等叫號。
大概等了30分才進去，不過有建築物遮蔽比鴨蔥那邊涼快些。
叫號後進去點餐機點完餐再出來等候，很快就能進去享用。
點了鴨白湯麵+叉燒+小碗叉燒飯+味增餛飩，來個跟鴨蔥比對。
麵選細麵好入口，湯口味選淡，剛吃覺得有點鹹，後來覺得剛剛好，一樣的柑橘果香，叉燒也不錯吃，不會很油膩的感覺，如果有筍乾就更好了。
小碗叉燒個人覺得鴨蔥比較好吃，差異點在於醬，鴨蔥的醬很多很香，整碗吃光光，但這邊醬一點點，肉感覺也有點偏少。
味增餛飩這邊就比較不錯，因為這的味增醬是調在底下，一定會沾到，口味很均勻，而鴨蔥的味增卻是整個藏在蔥絲下面，被擋住等到吃了一兩口才會看到。

整體這邊跟鴨蔥比，座位較少，高腳椅不能轉動，所以一定要調好角度再坐上去稍嫌不便；另外上餐手還碰到叉燒這有點不行；不過店員們都很有活力，對每個客人都不厭其煩解釋餐具、飲水、食用方式跟檸檬泡太久會苦之類的，很敬業！"
 Mark Li ,https://www.google.com/maps/contrib/106573627912222085419/reviews?hl=zh-TW,4,True,212,"每一次經過這裡都大排長龍，完全都沒有想要停下來排隊的慾望，這次看完醫生時間接近下午一點半，經過店門口，發現只有六個人在等待，終於狠下心來排隊，竟然已經很多品項都賣完了，挑選了一碗雞白湯柑橘蛤蠣拉麵，筍干，日式辣味噌餛飩。吃完之後真的令人讚嘆，雞湯跟蛤蠣可以如此搭配，濃郁香醇，感覺沒有一般雞湯的那種腥味，第一口，雞湯在口裡徐徐吞下，那股香甜，在口腔內久久不散，餘韻悠長，太美味了，面條特選硬麵，特別別Q彈爽口，豬叉燒我多點了一份，軟嫩滑順，不油膩，瘦肥相間，好看又好吃。店裡還有供應雞湯，清淡香甜，與拉麵的雞白湯相比，100%到20%，是清口腔很好的選擇，因為吃了辣味噌餛飩，口味太重，清湯的角色，在這裡就非常重要了，真的要給店家拍拍手，一般店家都是給冰水，反差反而太多，口腔容易疲乏，讚ㄛ！
唯一的缺點，是店面太小，隔板再放下去，感覺好擠，吃麵本來是享受的事，因為這樣扣分，很可惜。"
 李柏緯 ,https://www.google.com/maps/contrib/111203475018492002983/reviews?hl=zh-TW,5,True,192,"基本上第一次來點雞白湯柑橘蛤蠣就四平八穩的，湯頭沒有一般拉麵那樣濃稠油膩，多些清爽的果香，我個人不喜歡排隊，開店前到門口寫排序號碼就好了，不然隨便都要等個30、50分鐘，服務員客氣親切環境乾淨，座位不多好像只有14個

雞白湯柑橘蛤蠣拉麵讓我一口驚豔！柑橘Shinn-Soba從捷運忠孝敦化站，步行過來約10分鐘，不算是距離捷運很近，但連平日中午過來都需要小小排隊一下，可見他的超人氣。柑橘Shinn-Soba在台灣最大的拉麵社團『台灣拉麵愛好會』被票選為2019~2021的金賞，2020年選為全台十大拉麵第七名，我個人認為是絕對實至名歸，以柑橘清爽風味作為主要特色，在湯頭當中透出的宜人果香，讓我印象深刻。即便是平常不太吃拉麵的朋友，一定也很能接受柑橘Shinn-Soba的風味。

與大部分的拉麵相同，柑橘Shinn-Soba是無法訂位的只能現場排隊，門口會放置紙本的候位表，請自行去填寫，留意一下自己的名字前面的號碼，會出來叫號進去點餐。點餐完還要再出來稍微排隊，等有座位就可以再進去用餐了。

1.採現場候位，人數到齊才能入座
2.禁帶外食
3.小孩12歲以上低消為NTD$150，
4.廚房內部禁止攝影

拉麵上桌時，店家會提供一個小沙漏，提醒客人要拍照的話，需要在３分鐘沙漏時間內結束，不然麵條會失去風味，是一個貼心的小提醒，又不讓人覺得干擾強迫，是個非常可愛的作法。

柑橘Shinn–Soba還有一個令我喜歡的地方，就是店員都非常親切，畢竟有些排隊名店，店家都是相當有個性，但柑橘Shinn–Soba的所有員工都親和力十足，讓人非常喜歡。"
 Douzaioo (抖宅吃喝玩樂) ,https://www.google.com/maps/contrib/108840640289503877878/reviews?hl=zh-TW,5,False,7,"聽聞在全台各大拉麵排行名列前茅，終於來嚐鮮了，當天依然大排長龍，約排了一個半小時。

特別的是拉麵上桌時，店家會將桌上的小沙漏提醒客人拍照不要超過時間，不然拉麵會變軟，蠻有趣又貼心的作法！

雞白湯柑橘蛤蜊拉麵，第一口真的很驚艷！雞湯跟蛤蜊的的搭配真是一絕，柑橘的香氣更是加分，不過如同眾多雞湯型的拉麵，吃到最後都會有一點膩，店家也很貼心的準備清湯及檸檬水供大家解膩及調整濃淡！

這次叉燒飯賣完了，下次再來試試！拉麵可能就點淡的好了😆

服務員態度非常親切，介紹也很詳細！

有趣的是菜單上標示雷的品項，竟然早早就賣完，真的是激起我下次再訪想試試的好奇心！"
 T ,https://www.google.com/maps/contrib/118386179988680635847/reviews?hl=zh-TW,5,True,284,"餐點：柑橘蛤蜊湯頭鮮味爆表，喝起來淡淡果香跟蛤蜊的海鹹十分搭配，細麵的部分也夠硬。
雞豬叉燒均軟嫩，溏心蛋熟度掌握得宜、顏色與口感都是數一數二，配料的洋蔥與蔥也不會過嗆口而搶味，整碗麵的配搭均衡，簡直完美！

有柑橘水檸檬水能自取，喝起來清香解渴。

服務：上菜快速，店員也會簡單介紹，不會因為顧客眾多就不耐煩。

環境：空間較小、座位不多、約十四十五，假日大排長龍，等了兩個半小時才吃到麵，離捷運站有一小段路程，但散步過來還是挺方便的。

總結：目前的柑橘系顛峰之作，值得特地前來品嚐，聽過很多人推薦終於前來朝聖，只能說百聞不如一見！
湯頭味道的豐富堆疊，不放多餘不搭嘎的配料，一吃就停不下來的美味，連一滴湯都不想放過，可惜這次與叉燒飯無緣，期待下次的再訪，依舊令人感動。"
 Wei Chun Chang ,https://www.google.com/maps/contrib/104942555554312459150/reviews?hl=zh-TW,5,True,376,"雖然說五點開店就到還是排了一小時才吃到，但不得不說只要不排斥這種新穎口味的拉麵控真的會很喜歡！

超濃柑橘雞白湯如同描述所寫真的就是雞粥的感覺，但那濃郁的骨高湯搭配淡淡的柑橘味真的很棒；吃到最後還可以加自取的高湯調淡解解膩。

豬叉燒不同於一般使用豬五花綑綁醃漬的方式，應該是挑選特定部位來製作，因此有特別嫩且清新的口感。而雞叉燒也是以雞腿橫切片的形式來製作，口感也是非常的嫩。

柑橘可爾必斯不會有化學味，很好喝。迷你叉燒飯也是讓人可以用另一種方式搭配醬汁和飯來品嚐叉燒。

即使排隊會花不少時間，但店家也挺努力優化流程了。下次會再挑個不忙的日子試試別的口味。"
 西西面 ,https://www.google.com/maps/contrib/117307703565284729471/reviews?hl=zh-TW,5,True,64,"在星期二的12:30前來，等待前面客人的時間大約為1小時20分鐘。

現在店門外的表單寫上名字與人數並等待叫號，叫號後可以排隊依序進店門口使用機器點餐，收據記得交給店員～～

先點餐再依序等待座位，所以入座後只需等待五分鐘左右餐點就會送上來，店員會親切的詳細說明餐點使用以及其他注意事項。

如果為併桌的話會送上半分叉燒肉😃

太晚過去湯麵只剩柑橘鹽味&雞白湯柑橘蛤蜊，點了兩碗雞白與一碗叉燒飯、溏心蛋、柑橘可爾必思。
📛店門外公告的12歲以上的小孩才需低消已不適用，超過120cm就需要低消！📛

🍚極推叉燒飯，是以炙燒的方式製作的，配上柚子胡椒很爽口。
🍜拉麵點了硬麵非常好吃，正常口味的湯頭也很喜歡，柑橘與雞白湯並不會讓人覺得矛盾。
🥛可爾必思配上柑橘果醬真的更好喝，小朋友也很喜歡～"
 max Wang ,https://www.google.com/maps/contrib/106134628371570005161/reviews?hl=zh-TW,5,True,83,"🔥最新菜單看這裡！🔥
🔺柑橘濃厚雞白湯💰200
湯頭以“濃郁”為賣點與其說是湯頭
濃稠度更接近醬汁的程度
屬於進階等級的拉麵
不能接受過濃湯頭的不要輕易嘗試

個人覺得是吃起來爽度很高的一碗拉麵💯
極濃的醬汁完全吸附在麵條上
檸檬片在湯頭內浸泡一段時間後
也為整體口感增加了一個層次
在雞白湯的濃稠之餘也不會過於死鹹
雞叉燒的部分
肉質超級軟嫩完全不柴還帶有雞肉的甜味
是水準很高的雞叉燒！
配料附上洋蔥&青蔥完全不會有嗆辣的感覺
反而是將蔥的甜味很明顯的表現出來
完全達到解膩的功用！

如果覺得湯頭真的過濃無法接受的話
可以加入自助區免費的高湯將其沖淡～

🔺淡麗柑橘蛤蜊💰240
湯頭以鹽味為基底
加入檸檬片&柑橘片讓湯頭整體喝起來
鹹味中又略帶果香及甘甜！
是很有柑橘特色的一碗拉麵
相當推薦第一次吃柑橘的人嘗試

🔺叉燒飯💰60
叉燒肉給的很足帶有炭燒的焦味
吃起來相當過癮！
底部的白飯也都淋上醬汁
再配上大量的青蔥絲
推薦各位點上一碗～

🔺環境
店內座位數大約14個
整體採光明亮環境相當乾淨
座位區以拉麵店來說算是寬敞👍

🔺等候時間
平日晚上5.開始營業
4:50分到前面就已經有20組人登記候位了
等了大約30分鐘入坐

🔺排隊方式
客人自行到門口的候位表上寫下人數&姓名
店員會依照表上順序叫號到門口排隊入店
入店後使用點餐機點餐
並將明細交給店員即可入坐
⚠️人數到齊才能入坐請勿插隊⚠️

❗️共桌招待豬叉燒❗️
如果被安排的位子是與其他客人共桌的四人桌的話店家會免費招待豬叉燒！！！

🔺服務
店員服務態度超好！💯💯💯
會細心為客人講解拉麵的特色&食用方法
並用沙漏⏳計時
提醒客人拍照時間不要超過3分鐘
以免影響湯頭味道等等"
 Chou Alvin ,https://www.google.com/maps/contrib/109386347578051704015/reviews?hl=zh-TW,5,True,117,"2022.04.28傍晚到訪(個人給4.7顆星)
到場先在門口的候位表上登記，等候時可先參考菜單。店家會出來叫號進到店內用點餐機點餐。將點餐單交予店家後，再到外頭等待叫號入座。店外等候的人不少，我也大約在門口等了30分鐘才入座。

點餐雞白湯柑橘蛤蜊拉麵260＋溏心蛋30=290元
進店內給人感覺像是工業風設計的酒吧，客座約20席，空間稍嫌壅擠，餐具與冰水於吧檯旁供自取。

入座後發現桌上有個３分鐘黃色沙漏，經介紹後才知道店家為擔心拉麵泡在湯裡太久會過軟，湯裡放的柑橘片也會變苦，這是提醒客人在拉麵上桌３分鐘內拍完照片後開動。

點餐前著實難以想像，雞白湯在加入蛤蜊與柑橘會是什麼樣的組合，上餐的拉麵想當然先品試看看湯頭的表現。入口感受到清爽的雞白湯，帶出強烈卻不突兀的蛤蜊鮮甜尾韻，返入鼻腔的是淡淡的柑橘香，這微妙的味道，讓我到最後整碗湯都喝完。

配料蛤蠣、海苔、蔥絲與洋蔥、柑橘；加上豬叉燒、雞叉燒與溏心蛋，交迭搭配湯麵輪番在口中呈現豐富口感與味覺變化，這碗拉麵絕對給人滿滿的深刻美味記憶點。"
 Cate C ,https://www.google.com/maps/contrib/112761323312541941098/reviews?hl=zh-TW,5,True,25,"2022/3/19一訪
是流程很多，注意事項也蠻多的一家店，
全部要注意的地方都寫得很清楚。

先用在門口的登記候位表格填寫人數—>依登記號碼等候叫號入內點餐—>依登記號碼等候叫號入內用餐。

因為是週六，人很多，
大約4:45左右到店門口登記，
最後入座大約是6:15，
完全符合門口有一張店家預估你會等多久的說明表時間😅

還有客人候位的話，用餐時間就是50分鐘。

門口的登記表旁邊有一疊菜單可以一邊等的時候一邊看，
推薦的麵條硬度、口味菜單都有說明～

我們兩個人點了的都是柑橘系列拉麵：
大眾口味-雞白湯柑橘蛤蜊拉麵+溏心蛋
不怕踩雷-柑橘濃厚雞白湯拉麵
單點日式辣味增餛飩。

餐具跟內用的檸檬水、柑橘水都是自取，
醬料區有辣味增跟柚子胡椒（醬）可也自取使用。

雞白湯柑橘蛤蜊拉麵：
湯頭真的是鮮甜海味搭配果香，
口味非常融合～讓人驚艷！
可能是柑橘清爽的作用，
到最後一口湯都沒問題😋

柑橘濃厚雞白湯拉麵：
像店家從菜單到店員的提醒一樣，
湯真的像粥一樣，
非常濃稠，
有點震撼到😅
前所未有的口感，
相對的偏鹹，吃到後面自己加高湯繼續吃，
稍微稀釋之後同行友人說：更能接受了😂

麵條部分都是細麵，
確實像店家預告的，
是容易吸湯的麵，
不是Q彈那種。
每一口麵都融合了湯汁，
雞白湯這碗點餐時選擇正常硬度，
吃到後面確實有一點點麵泡很久的感覺，
本身是喜歡軟口感的人，
覺得ok，
但如果是平常會在意麵條是否維持Q彈的人，
建議點餐時可以選較硬口感，並且快速吃完😅

溏心蛋口感很滑順，
可以增加飽足感。

餛飩搭配上面調味的辣味增，
比想像中好吃很多～
也是值得一試。

用餐過程我們自己有再加店家醬料區的辣味增跟柚子胡椒（抹醬型），
自己調整一點變化，也都很對味，
兩種醬料都很香。

柑橘水在外食中確實不太會遇到，
解膩爽口的程度似乎因此略勝檸檬水一籌～

其他部分，
位置都有隔板，
在大約14席的小店內用餐增添一點安心。

店家在每個座位前擺放沙漏，
是貼心提醒上菜後3分鐘內要開始品嚐拉麵可以吃到麵最好吃的狀態，也可以作為柑橘片檸檬片要在湯裡泡多久的一個參考～

整體上是心滿意足的離開，
口味很滿意，
但是前面要等很久的部分，
讓我覺得短期間不會想再吃，
要真的很有時間等呀～"
