user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Jack Ho ,https://www.google.com/maps/contrib/100817123788442857109/reviews?hl=zh-TW,4,True,104,用餐環境舒適剛好碰上排餐有半價點了巴西電臀！非常好吃！前一天也預定了和吳寶春聯名的威靈頓牛排！同樣也是不錯！如果威靈頓牛排的油脂可以稍微選擇多一點油脂的部分，威靈頓牛排會更好吃！服務非常細心，精釀啤酒好喝，調酒也不錯！整體都非常好！唯一可能可以建議餐廳的部分應該是定位的問題，因為營業時間到23:00，22:30左右開始結帳，但是又有啤酒暢飲喝到飽的方案，實在不知道這是一家餐酒館？（但是結束時間太早）還是牛排館？還是美式餐廳？不是那麼容易介紹給朋友，餐廳的名字無論中英文也不容易記住，中英文都很繞口，可能還有一些地方可以再做調整！這樣會更好！加油！你們好棒！
 Ruby Lu ,https://www.google.com/maps/contrib/109747605560235873281/reviews?hl=zh-TW,5,True,48,"👉🏻慢烤厚切肋眼10oz，1400元
肉質多汁蠻好吃得、會幫忙切好上桌
可惜放在瓷盤上，肉的溫度偏低

👉🏻炭火玉米（原價180元）
👉🏻煙燻櫛瓜（原價180元）
(搭配炭烤紅肉，＋200元就可以吃到以上兩道直火小菜)
玉米粒會直接幫忙撥下來，帶有炭烤及美乃滋，但是cp值不高
櫛瓜口感偏濕軟，有點不推

👉🏻鹹蛋黃醬細薯160元
號稱比麥當當薯條還細的薯條
雖然也是不熱，但鹹蛋黃非常入味
口感非常好吃、ㄙㄨㄚˋ嘴
必點！

🍄🍄🍄🍄🍄🍄

餐廳設計走工業風
服務人員會幫忙介紹餐點、倒水
上菜速度算快
適合情侶、朋友聚餐的好地方
整體而言覺得還算不錯，值得大家來吃一回！

🍄🍄🍄🍄🍄🍄"
 Lizzy Chu ,https://www.google.com/maps/contrib/107038642216687256066/reviews?hl=zh-TW,5,True,248,"上網估狗威靈頓牛排才找到這間店的，但威靈頓牛排並沒有特別好吃⋯可能是威靈頓牛排本身就不是什麼好吃的食物吧！
沙拉的菜似乎不是很新鮮？不知道是不是因為加熱的緣故，有幾口吃起來好苦rrrrr
炭烤玉米很好吃，上面的調味特別棒
肋眼牛排我們兩個人點20oz的，因為現在有三劑疫苗的優惠，半價！！所以吃下來覺得價錢很可以接受～若是原價的話我覺得有點貴XD
總之還蠻好吃的，疫苗的優惠好像到六月的樣子，有機會還會想再訪～"
 penny Lai ,https://www.google.com/maps/contrib/105656491392944750481/reviews?hl=zh-TW,4,True,248,"滑滑手機發現ㄧ家還不錯的餐酒館
.
🥩巴西電臀12oz/35oz$75/oz
使用牛屁屁的上臀肉
表面帶有油脂肉質有嚼勁
烤過後外焦內嫩很不錯
吃膩一般肉質的人可以試試
另有附巴西醬
但肉上已有撒鹽
其實已經不用沾醬
.
✨建議可以原肉炭烤另附海鹽與黑胡椒粒.撒好鹽的牛肉個人覺得有點鹹.
.
🌟直火小菜
(炭烤紅白肉➕$200選2）
.
🍽炭火玉米🌽
玉米很甜淋上微辣的醬料
.
🍽直火甘藍🥬
口味比其他餐點淡
但個人覺得更可以吃出蔬菜的鮮
.
🌟直火蛋白
(炭烤紅白肉➕$250選2)
.
🍽土耳其肉串
雞肉攪成泥加香料後再塑型
附上黃椒醬
個人覺得口感粉粉的
但旁邊附上的小菜很特別
是青木瓜拌百香果加辣椒
酸酸甜甜再加點微辣❤️
.
🍽直火牛舌
個人對這道真心無感
整個口味就是超鹹
知道是在吃肉
但就是一直想喝水
肉質不差
真心希望調味方式能改善一下
.
🍽墨式香辣海鮮燉飯$360
份量不多
但口味很不錯
米飯有入味且粒粒分明
(麵飯類有附餐飲料紅酒及咖啡可選）
.
這次點了3種酒
🍹調酒passionfruitsour$200
基底是白蘭姆酒
配上百香果.蜂蜜.柳橙
剛入口是水果香
第2口才會喝到酒味
香甜的很容易讓人一杯接一杯
.
🍺戀夏365300ml$200
口感較溫和
適合女生
.
🍺棧.奧客阿伯300ml$230
剛入口有被味道衝一下
啤酒味有帶淡淡的木頭味
口感偏厚適合男生
———————————————-
整體環境舒適
服務人員親切
適合和三五好友一起
消費需另加一成服務費
三不五時會舉辦活動
有興趣可以追蹤粉絲專頁
.
.
IG:spenny0905"
 Wan-Chien Chen ,https://www.google.com/maps/contrib/101796047225760485900/reviews?hl=zh-TW,5,False,1,肋眼牛排看起來微生但熟度剛剛好，非常嫩非常好吃！可惜一上菜就被搶食，沒有拍到照😅第一次吃到哈嚕米炒飯，除了炒飯本身很優秀以外，上面的伊比利豬也很嫩～香草醬海鱸魚的醬料很特殊，可以帶出鱸魚的鮮味，另外很愛也沒拍到照的是火烤章魚佐菠菜醬，這家提供的精釀啤酒也都很讚，特別愛帶點冬瓜茶香的小滿，很有台灣的特色，每一道都可以看到店家的用心～推推！
 E特先生 MR.Eatlife ,https://www.google.com/maps/contrib/109772333848706102865/reviews?hl=zh-TW,3,True,195,"餐點服務還行
但是菜單有換網路訂位菜單有調酒
現場只有紅白酒跟精釀啤酒
只好開紅酒來喝
可惜了呢
事後發現菜單上的酒跟實際的酒好像也不同款呢🤔"
 Daniel Chen ,https://www.google.com/maps/contrib/102235615260401932647/reviews?hl=zh-TW,4,True,145,"-很有特色的一家店，但只有牛排表現不錯，外層煎至焦脆，肉質五分熟剛剛好
-其他菜色就滿看個人的口味，價錢偏高CP值不高"
 Edward Tian ,https://www.google.com/maps/contrib/107738418224351564312/reviews?hl=zh-TW,5,True,404,"別看直火料理好像沒什麼特別，其實當舒肥法引進台灣時，多數燒烤業者為求迅速熟成和風味穩定性，並有效降低人事及時間成本，早已不使用全直火方式加熱，沒想到還有店家願意堅持一步一腳印的精神，真是難能可貴。

#威靈頓#戰斧豬#巴斯克"
 Alvin ,https://www.google.com/maps/contrib/116514693172674416263/reviews?hl=zh-TW,5,True,472,"非常棒的一間餐廳，服務人員態度很好。
餐點部分味道很入味。個人喜歡烤櫛瓜，義大利麵和燉飯。
餐廳空間和氣氛都很好適合家人朋友餐敘。"
 我愛夏天 ,https://www.google.com/maps/contrib/101349978319765616833/reviews?hl=zh-TW,5,True,114,家庭聚餐，適合多人聚餐的店。店家的服務態度很好，會很有耐心的介紹。餐點的部分也都很美味，很推薦小菜的部分，但如果人多可能要點2份，不然會搶食。甜點選了提拉米蘇，帶一點酒的香氣，入口即化非常好吃。
 미나Mina ,https://www.google.com/maps/contrib/114743046940610238215/reviews?hl=zh-TW,5,True,33,"意外發現這家店
主餐點了威林頓牛排🥩（要先預約）
其他都是小點心
每個餐點都很好吃😋
尤其牛舌和烤節瓜"
 KK ,https://www.google.com/maps/contrib/112901716596190946931/reviews?hl=zh-TW,3,True,40,肋眼表現一般般，電臀油花香氣夠!直火牛舌不錯。其它小菜與小食份量都不多，燉飯口味普通，料蠻少的。吃完沒有爽感，我們一個人均消$1200，但都沒吃飽。
 Rae ,https://www.google.com/maps/contrib/108200630173482206015/reviews?hl=zh-TW,4,True,107,"嗜肉的兩人分食了20oz慢烤肋眼跟12oz巴西電臀，直接飽到天靈蓋。
兩道都蠻喜歡，不過巴西電臀搭配的青醬增加特別的風味也扮演解膩功能，兩道肉質跟熟度掌握都好，可惜少了一些梅納反應的香氣。"
 VIVIAN CHEN ,https://www.google.com/maps/contrib/102435977367147536632/reviews?hl=zh-TW,5,True,36,"棧直火廚房C-Kitchen

選用西班牙國寶Josper烤爐，搭配龍眼木煙燻，以攝氏300～400度的烈火，凸顯出肉類外層焦香帶脆又能充分鎖住飽滿肉汁

這家真的很可以🥳🥳🥳
料理有新意
價格很親民
風格很幽默

以煙燻、炭烤、原味取代過多醬汁與裝飾，雖然我本人愛浮誇擺盤，但這兒的料理不用擺盤，本身就很浮誇🤩

#小食
#直火甘藍甘藍表層有炭烤焦香，撒上蒜酥再鋪上帕馬森起司和黎麥，光看就覺得很誘人，咬下竟保有鮮甜水分，搭配肉品超適合👏🏻

#玉米與根
整根玉米先直火碳烤，待表皮呈現金黃色澤微焦香後，再將其刨下讓客人方便食用的玉米粒，拌上主廚特製醬料、灑上帕馬森起司跟蔥花，很難不好吃呀🤪

#直火蛋白
#火烤章魚彩椒醬色彩繽紛，上層是剁碎的章魚和彩椒調和的莎莎醬，底下則襯著菠菜攪打的馬鈴薯泥，嚐起來很溫和綿密，搭配章魚的Q彈和彩椒的脆甜，也是令人耳目一新的感覺✨

#燻烤牛尾
跟想像中的牛尾不一樣，乍看還以為是滷控肉，嚐起來是淡淡的鹹香，咀嚼後滿滿的膠質噴發，搭配一旁軟綿的蒜頭甚是對味，絕對是補充膠原蛋白的首選👈

#直火慢烤厚切肋眼10oz高溫碳烤將鮮美肉汁牢牢鎖在肉裡，超級嫩的這牛排，沒有多餘的綴飾，只附上鹽跟火烤蒜頭，單純享受牛排的鮮甜（瞧那外焦內粉的色澤，還有那個火烤蒜頭也是狠厲害，軟綿夠味👍）

#酒鬼提拉米蘇原本覺得小小一杯CP值有點低，但嚐了之後酒香跟綿密細緻的口感獲得肯定，這杯值得！

只要是點牛排，就可以用200元加價直火小菜兩份、250元加價直火蛋白兩份
等於450就可點四道菜，實在太超值（而且可無限次加點耶）

買單時服務人員說
因為是這週最後一組客人
所以提拉米蘇招待
兩個人吃飽飽還不到2000

太值得推了！

非常適合好友聚會喝酒的餐廳，四個人就可以試試戰斧牛排，還能點多一點菜色（好多道都想試試😋）"
 Hsieh Ines ,https://www.google.com/maps/contrib/116050687233611679244/reviews?hl=zh-TW,4,True,334,"餐點不錯這次吃牛排跟豬排肉質不錯豬排烤的脆喜歡肉的捧友推薦喔：）
醬都很特別小朋友也喜歡義大利麵蘑菇🍝"
 Chiao Wang ,https://www.google.com/maps/contrib/110674281825132553217/reviews?hl=zh-TW,5,True,174,火烤牛排很香，串燒也好吃，店員很好聊，友善，甜點稍微普通點，整體環境很舒服，很適合聚餐聊天
 史瀚陽 ,https://www.google.com/maps/contrib/118353127854017144891/reviews?hl=zh-TW,4,True,261,"開瓶只收洗杯費80
直火碳烤的牛排超好吃，外面有層薄薄的脆殼口感超讚。
牛舌也讓人驚艷，義大利麵不是我的菜！"
 Hui Ling Lee ,https://www.google.com/maps/contrib/108344133865728452235/reviews?hl=zh-TW,5,True,161,"棧直火廚房的員工服務超級親切
講解也非常有耐心仔細
肋眼牛排好吃，排餐加價的蛋白也不錯
啤酒也喜歡
聚餐的好選擇
那天一直待到晚上11點都沒趕客人
度過一個美好的聖誕夜"
 洪苡甯 ,https://www.google.com/maps/contrib/113838249048791474807/reviews?hl=zh-TW,5,False,34,"真的每樣食物都好好吃🤤
而且現在憑打滿三劑的小黃卡有優惠，超划算👍🏻
非常適合聚餐小酌，大推"
 梁玲瑋 ,https://www.google.com/maps/contrib/101928292367674537795/reviews?hl=zh-TW,5,False,16,"服務人員態度超棒，用餐愉快！
食物也都不錯，會想再去吃的店～
推薦平價威靈頓和玉米！"
