user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 ting yu liu ,https://www.google.com/maps/contrib/104817237809663842144/reviews?hl=zh-TW,3,False,9,"[7/29更新]感謝經理聯繫和協助退款，補回一顆星，再次強調，餐點好吃~~~

錯誤百出的服務-2，價格-1，剩下的2星給還算好吃的餐點。

1.入座之後店員不是走到桌邊，而是隔著矮櫃遞給我們菜單的，以這個價位的餐廳來說有點太隨性了...

2.餐點送錯，送了隔壁桌的鮭魚卷上來就開始要炙燒，還好老公馬上反應過來阻止，店員才緊急停手，送到對的桌上重新開始炙燒

3.餐點點錯，我們點餐時還問了握壽司6貫10貫的內容差異，最後點了6貫，結果居然送來生魚片，第一次反應是不是送錯店員還沒有理我們，第二次說送錯了才收走(希望這盤放了一陣子的生魚片沒有再被拿去給別桌客人)

4.呈3，最離譜的來了，點錯送錯的生魚片居然算進我們的帳單裡...但因為結帳時有請我看螢幕確認，我沒有想到會被計入，沒有仔細看直接結了帳，算是我的失誤，就當500塊買教訓，提醒自己以後要自己多確認一次餐點跟金額是否正確😭(附上一張被放了一陣子又收走，沒有吃到還被算錢的生魚片照以茲紀念😂)

以上是服務扣分的部分，餐點除了500塊的握壽司還吃得到不少筋不推之外，其餘都是好吃的，最推軟殼蟹卷"
 Timmy Hsueh ,https://www.google.com/maps/contrib/111667372808076248773/reviews?hl=zh-TW,5,True,319,"■消費價位：$700~900/人
■付款方式：信用卡、現金

這是一家融合日式及美式的創意日本料理，除了創意以外還很美味，加上有認證唎酒師駐店提供侍酒服務，真的是超棒的星期五下班後小週末，三五好友一起來享受的好餐廳！

這次我與朋友兩位共點了5道餐點，每一道都很好吃！而且份量又多，雖然每一樣看菜名感覺份量很小份，但是真的能吃得很撐！

＊輕炙海鮮串
由各式炙燒海鮮組成的串燒，鮭魚佐上微微酸酸的醬料，是很棒的開胃菜！

＊加州卷系列：炭烤起士加州捲、鮭魚火焰捲、馬德里火牛捲
來花酒藏一定要點他們的各種加州卷，每個都超棒超好吃～是好吃到驚為天人的那種！
尤其推薦馬德里火牛捲，上桌時是生牛肉，服務生會過來幫忙炙燒成半生半熟的狀態，一口咬下火牛卷，可以感受到生牛肉與牛油在口腔中混合在一起衝擊的味覺享受，接著米飯會把牛油的油膩吸收掉，轉變成超棒的口感！

＊蟹肉玉子燒
這個玉子燒真的是不得了，是我看過最棒的玉子燒！玉子燒上桌時在鐵板上滋滋作響，比臉大的玉子燒一切開，蛋液就滿溢出來，蟹肉的香味也撲鼻而來。口感也是一覺！軟嫩的玉子燒與結實的蟹肉，實在是太好吃了！"
 C Y ,https://www.google.com/maps/contrib/109465645414777143044/reviews?hl=zh-TW,5,True,106,"大約幾個月前到訪，進入店內被牆上滿滿的酒瓶吸引，覺得這裝潢好棒，很有日式餐酒的感覺，但其實他們也很多無國界料理可供選擇，每個座位區我都好喜歡，而且生意很好服務也很棒，服務生一直為我們桌邊倒水、收盤子、換盤子，真的是會想回訪的店啊！
每樣餐點都讓我好喜歡，尤其是肥美的生蠔！去那種吃吃到飽的地方都不敢吃感覺會拉肚子，這邊的很新鮮🤤牛肉跟松阪豬份量也都很足夠，擺盤我也好喜歡，還有那個酒瓶燈很有氣氛😍喜歡餐酒館的可以試試這家店，可能會一吃就愛上❤️

----------------------------

🦪廣島生蠔佐山柚子（1顆）-120元
超級好吃！好大顆好新鮮，吃完隔天肚子沒有不舒服，推推推😍

🦆炙櫻桃鴨夏威夷串（1串）-60元
口感很不錯，有點嚼勁又不會咬不爛，可以一串一串點很親民🤩

🥔山藥明太子燒-240元
吃起來脆脆的上面還有起司會牽絲～好喜歡🥺

🐟鮭魚火焰卷-320元
服務員會桌邊幫你炙燒，那個火焰超吸睛，重點是吃起來好讚🤤

🐂稻燒熟成牛小排-520元
大概6、7分熟，不知道能不能調熟度，熱熱的有種入口即化的感覺！建議不要放冷

🐖芥末松阪豬-380元
到哪邊除了牛肉都要吃松阪豬，口感就是跟一般豬肉不一樣，沾上黃芥末醬好搭🤩

🍹春之金澤-380元
內含紅心芭樂、清酒、李子酒、檸檬汁，喝起來超級順口，不會很濃的酒味，女生應該都會很喜歡

🍸金曜日之夜-350元
內含百香果、燒酒、檸檬汁、蜂蜜，我覺得酒味偏重，感覺每次點調酒都會點到不太好喝的😂
________________________________

*補充說明
1.收服務費10%
2.線上開放30天內預約訂位（用餐當日不可更改），最晚需於用餐前2小時訂位，皆不可指定座位，8人以上訂位請電洽
3.用餐限120分鐘（不太會催客人），訂位時間保留10分鐘，逾時自動取消不另行通知
4.本店瓶裝類酒酌收開瓶費500/瓶
5.加入紅利常客計畫可享更高回饋
6.不定期有推出套餐優惠"
 Kevin Yang ,https://www.google.com/maps/contrib/111194132296800591776/reviews?hl=zh-TW,4,True,716,位在捷運忠孝敦化站附近的日式混風餐酒館，主打日式為基底的創意料理；擺盤很漂亮，料理獨到卻不怪，不過必須說視覺享受的確大過味覺。用餐環境明亮舒適，步調悠閒，氣氛相當不錯。服務普通，加點等了半小時才來點，給人不太想做生意的感覺。價位跟日式居酒屋行清差不多，八人吃飽加點酒均消約1200元。整體用餐體驗佳，不過如果想找日式餐酒館，臺北有很多更好的選擇。
 Neo Kung ,https://www.google.com/maps/contrib/101038651735695220081/reviews?hl=zh-TW,5,True,953,"非常好吃！超級好吃
週六中午來吃，人不是很多
店內舒適寬敞，位子都超級舒服
而且裝潢都很高級，餐具、設備都很好

主打餐點和清酒
不過當天我們沒有喝酒，比較可惜
點了「觟魚腹石狩湯」湯頭濃郁好喝
裡面的鮭魚超級好吃！整體搭配完美
還可以一直加湯，感覺是味增湯底

「阿桹廷櫛鯧椒塩燒」魚非常軟嫩好吃
有一些刺要小心，服務員說不要淋醬
味道會太濃，我們直接吃也覺得味道很夠

「握壽司盛合」點了十個，很不錯吃
生魚片很新鮮

加水加的很勤，服務態度好！
整體用餐體驗很不錯！"
 陳萱萱 ,https://www.google.com/maps/contrib/108273185332597736979/reviews?hl=zh-TW,5,True,12,第一次去不知道如何點餐，服務生推薦報價餐，一人一千的預算餐點，每道料理實在很美味。因為是生日餐，服務員還送上兩杯荔枝酒😋btw氣氛很好
 Fish Yu ,https://www.google.com/maps/contrib/118289873373227192638/reviews?hl=zh-TW,4,True,178,雖然是偶然看到網路廣告（某明星夫婦最愛的約會餐酒館之一）而決定來嘗鮮的店家，到了現場才發現其實這間店我已經路過好幾次、而且也對門面有印象，就這麼有了實際造訪的機會了（笑）。食物主要走日式料理與清酒路線，服務很不錯，酒也挺漂亮，價格雖然偏貴，但也不是太誇張，覺得挺不賴的。
 Jean Lin ,https://www.google.com/maps/contrib/117137160895417439839/reviews?hl=zh-TW,5,True,69,"每一道味道都很棒！
尤其是入口即化的鰭邊肉握壽司真的好讚😋
加州卷也非常好吃
而且服務很棒
會時時注意我們的水是否要補
盤子有醬汁時也會主動幫忙更換新盤
真的大推👍"
 藥師寺若雪 ,https://www.google.com/maps/contrib/102875477911670096360/reviews?hl=zh-TW,3,True,739,"感覺上壽司類較優，其他算是不錯
可能酒比較出色所以評價好吧
這天似乎人手不足有點混亂

◆加州卷
中間有蟹肉，口感不錯滿清爽的
◆波士頓卷
像是鰻魚卷，主要是鰻魚和醬汁的味道

商業午餐：
◆慢燉和牛頰肉佐威爾森紅酒醬+味噌湯+冰咖啡
味噌湯簡單但是好喝的
今天感覺牛肉本身的肉味還沒被醬汁蓋掉/和醬汁融合，肉也還偏硬，不像慢燉的成果感覺可以燉更久

情人節雙人套餐：
◆輕炙海鮮串+炙燒櫻桃鴨夏威夷串+干貝佐海膽松露
還不錯，感覺新鮮的開始
◆大葉雞肉串+黑毛屯辛味串燒+芥末松阪豬
肉肉盤，松阪有吃到比較油的適合焦一點
◆什錦野菇鮮蝦蒜蓉燒
這個微辣，蒜的味道不重
◆鰭邊肉握壽司
比較特別的是上面有焦糖，和微焦的比目魚挺搭
◆鮭魚火焰卷
今天最喜歡的一道，火燒有互動感、壽司也好吃
◆真夏季黑松露寬麵
雖然的確有松露香滿好吃，但覺得有點可惜：洋蔥和彩椒的味道稍嫌搶戲、有點畫蛇添足"
 喬 ,https://www.google.com/maps/contrib/109521279025750672291/reviews?hl=zh-TW,5,True,84,走進去餐廳，看見吧檯牆面各式各樣的酒，一定要點一杯調酒來慰勞一下自己。服務人員安排沙發椅坐位，很舒服😌，美味佳餚料理一上桌，很有日式風味美食，口感層次分明，清爽不油膩。桌邊服務態度佳，雖是餐酒館，但不吵雜，用餐環境挺舒適。很合適朋友聚會場所的夜宵餐酒館。👍
