user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Yuan ,https://www.google.com/maps/contrib/107564638727421674914/reviews?hl=zh-TW,5,True,281,"來自日本的名氣拉麵，當然要來吃一下啦！
聽說真的很厲害！果然進店後的氣氛就是特別！
吃完元元給超級大滿星🌟

🍜餐點
💕天然豚骨拉麵
美味等級🌕🌕🌕🌕🌗
可選擇湯頭口味濃度、油濃度、麵的軟硬度、辣的強度，多選擇的選配，而元元選擇的是菜單上一般，辣度1/2，呈現上來超大碗，這一碗呈現出元元面前讓元元看的好喜歡，不僅擺放的漂亮，還有條理區分出來，看照片就知道元元在說些什麼了。

湯頭濃郁適中香醇，豚肉肉質多汁軟嫩，蔥花也給的非常的豐富，加點的黑木耳、半熟鹽味蛋也相當的好吃，麵的口感也非常棒！每一口都吃的津津有味呢！還有一個就是不能缺少的海苔片，一定要加唷！吃拉麵必配海苔片。

菜單上的部分也可以用餐期間加點呢！

💕燉煮叉燒肉
美味等級🌕🌕🌕🌖
燉煮的很軟嫩，每一口進入嘴裡瞬間感受到香氣濃郁呀！上方還放著海苔絲，搭配真的很棒！另外一提，還提供小盤的調味粉，吃起來有一點點微微辣，可以添加，口味大大提升呢！

—————
特色：
店家位於#松仁路
本店位於信義區，這間一蘭拉麵從日本而來，不用去日本就能享受到拉麵的好味道，附近還有一間分店，這兩間在台北可是要排的大排長龍耐心等侯才能享用的好味道，元元四點多去就看到人潮滿滿，排到元元還有將近100名才能用餐！隨著時間的等待終於到了，進到店裡就看到不一樣的氣氛不一樣的隔間房，每個隔間可容納不少的人，店裡坐滿人，外面還有人在排隊呢！首先坐下位置後，座位都有個小窗口，小窗口可以看到店員認真的準備餐點，送上元元面前還用很專業的態度，很細心的拉麵店，在座位旁邊有個加點的菜單，吃不夠還能續點呢！

店裡環境非常的整潔乾淨，雖然沒有特別的日本文化裝飾品，卻還能用另一個裝潢方式讓顧客看到日本店的原貌，洗手間外的牆面更是擺放著幾張一些日本一蘭拉麵的照片及街道，走到櫃檯還可以看到讓元元驚訝的擺設。

餐點製作用心，每一分餐點都可以看到店裡面的優質服務，不僅吃到極致的拉麵，也可以享受吃拉麵的滋味，更是可以享受這獨特的空間。

是間CP值很高的店，下次來台北，還要來吃吃喝喝，一個字”讚”
⚠️（以上皆是個人口感，隨供參考）"
 建志林 ,https://www.google.com/maps/contrib/100660709625679625890/reviews?hl=zh-TW,5,True,123,"因為日本吃的拉麵已年代久遠所以就台灣吃的經驗分享~~

有別於之前吃過的拉麵店，麵體是很細的細麵（可以自己調整軟硬），細麵可以沾上更多濃郁的湯汁，如果不習慣日本拉麵稍重的口感可能會覺得更鹹，不過它就標榜了日本純血統了，沒有心理準備千萬別來讓自己痛苦，如果是當偽出國體驗那真的超棒！

第一次吃選了口味“濃”，油濃“超濃”（第一次看過還有分油濃的）真的很濃喔！一般濃口味就比外面日式拉麵店要濃了（我女朋友都選一般，所以我有比較），油濃感覺就是煮豬大骨湯上面透的油脂跟膠原蛋白的濃郁感，如果選擇發“基本”會少了些味，反正都來了還怕肥嗎😆，另外絕對要點顆半熟蛋，不論沾著湯汁或單吃都非常棒，不只是中和鹹味更有提味的效果，相輔相成，真的很棒！叉燒也軟嫩好吃（這個在外面偶也吃的到，所以就這樣XD)

總之我蠻推薦沒吃過的人來，雖然我也覺得不便宜，但是絕對是很值得的一次體驗，我也願意有機會再訪，給五星推薦（先聲明，口味是很個人的感受，僅供參考）"
 陳肉包 ,https://www.google.com/maps/contrib/109924112853765087120/reviews?hl=zh-TW,4,True,919,其實本人不是拉麵控而且對動不動就排隊兩三小時沒有興趣，剛好今年除夕夜有空而且這天來吃不用排隊則來嘗試看看。跟日本不同應該是不用點餐機買券方式，都是用到座位寫好單字後再送出，吃飽再去出口櫃檯結帳。麵條口感跟湯頭的確十分濃郁很像日本感覺甚至偏重口味，整體來說雖然價格不便宜，加麵跟肉或者米飯話平均消費都要四百多塊，不過看在生意仍然排隊滿滿跟也有不少日本人前來用餐情況下，我想堅持日本原汁原味還是有一定市場號召力的。
 許曉芊 ,https://www.google.com/maps/contrib/116150131840552562091/reviews?hl=zh-TW,5,True,41,"終於吃到思思念念的日式拉麵，營業風格以及口味都非常的道地，完整把日本的味道帶過來了！確實非常好吃，服務態度也讓我嚇到，完完全全顧客至上，不過假日真的要等非常久，所以之前撲空過2次，而且不能訂位唷🥲。
排隊的時候，店員會先給菜單看，可依個人喜好選擇湯頭口味濃度、油濃度、麵的軟硬度、辣的多寡，多選擇的選配，完全客製化的服務。
這次來點沒有加他們的海苔片以及半熟蛋，蔥花以及豚骨的都像菜單上那樣是可以選擇的，下次認為可以試看看配上海苔片～😋
今天去的時候剛好有推出「會員突破30萬人」活動，8/7-8/11，只要有創APP都可以「免費」加半份的麵！！對於食量比較大的人差不多都可以輕鬆吃下兩份的量，是大胃王的好福音🤣
有不同的期間送的東西不一樣，而下載他們APP每次消費結帳都可以在櫃檯旁刷點數，集滿60就能免費換一份麵，以及海苔片等各種餐點～
但好像年底就會重置，所以需要把握時間～

附註：菜單上的部分也可以用餐期間加點唷！"
 Sophie Chen ,https://www.google.com/maps/contrib/114706310383447145853/reviews?hl=zh-TW,5,True,62,"耳聞許久的一蘭拉麵，當天用餐時間是平日禮拜一晚上，可能因為下雨天的關係不需要排隊直接進去用餐。

拉麵味道和記憶中的味道一樣，湯頭濃郁喝起來就是有熬很久的豚骨湯味，叉燒肉片吃起夠嫩，選的蒜泥偏少吃起來沒有什麼味道蒜味，當天因為APP會員的關係填問卷可以獲得點數，免費兌換一顆溏心蛋，真的要大力稱讚溏心蛋蛋黃頂級的8分熟度，不論是單吃蛋或是搭配拉麵，都十分適合，蛋黃流沙稠度與拉麵叉燒在口中完美混合，最後當然要看到碗底的字樣才算完美句點。

先去有吃過日本的一蘭，店內比照日本裝潢設計完整復刻於台北，熟悉的個人小隔間，讓注重用餐防疫不得佩服日本人巧思，唯一覺得可惜的是沒有門口點餐機可以直接在門口看到空位點餐後入座，在這邊的是拿著單據在位置上畫好後再交給服務人員，結帳也是吃飽後最後在門口結帳。"
 朱水 ,https://www.google.com/maps/contrib/103981250468346391961/reviews?hl=zh-TW,4,True,114,"大約九點40到，排隊只等了10-15分鐘
後續填單與日本一樣，沒有太多變化
目前一碗麵288（內兩片叉燒、湯頭濃郁、油脂正常、蒜頭一份、麵條硬、辛辣半份）
加一份套餐134（三片叉燒、一顆蛋、兩片海苔），依照你的食量做調整。
整體吃起來不會太膩，一點鹹，叉燒還好不是我喜歡的部位，蛋很完美好吃，海苔主要只是用來擺設，如果沒有很愛吃可以不用點。
至於其他甜點飲料跟加料的部分看個人。
追加的麵條一份/半份（58/48）
沒有一成服務費，座位提供小掛勾，旁邊有置物籃跟衣架
在現在疫情的狀態，只能來吃一蘭想念日本的風情了。"
 陳志堅 ,https://www.google.com/maps/contrib/102210231061930952225/reviews?hl=zh-TW,5,True,950,"厲害了
想當年一蘭來台開設第一間創始店時
只要有臉書的民眾
幾乎都會分享來朝聖的心情
一種新潮一種流行的概念
多年後他還是有著獨特的魅力
看這日系拉麵店一間間的退出市場
一蘭還是一樣屹立不搖
就知道他的厲害
完全將日本風格日系口味移植過來
怪不得我們這些對日本有著特殊情感的民眾
一定要支持到底
不過也不能太常吃
畢竟太傷荷包
如果點基本盤288
可能會有意猶未盡的感覺
真的太小碗
加個麵最少48起跳
真的是很敢賺
不過這個地點這種品質
大部分還是會買單的
看這外面排隊的人潮就知道
等待過程中還可以去對面晃晃
真的是殺時間的好方法
最後為了看碗底那好吃到
一滴都不剩的幾個字
把湯清空絕對是必需
我吃一蘭我驕傲"
 Eros Tseng ,https://www.google.com/maps/contrib/111691796593911908550/reviews?hl=zh-TW,4,True,86,"作為在台灣的知名日本拉麵品牌，雖然依每個人口味不同，一定找得出其他的美味日式拉麵，但是一蘭的這個“品牌”，給我的感覺是“穩定”，可以知道接下來品嚐的口味內容、麵體硬度...等，是符合自己期待的，不會有踩雷的不確定性，加上有其特色的座位規劃，以及較初期大排長龍進化的取號通知，蠻適合在附近逛完街後，去用餐或當作吃個點心。
少一顆星是相較於穩定，自然不太會有驚艷感，價格也就會是考量之一囉。"
 Jack Chang (Kugatsu) ,https://www.google.com/maps/contrib/111819619015915268854/reviews?hl=zh-TW,3,True,32,"非常濃郁鮮美的湯頭
辣味非常開胃
店面設計、能客製化整碗麵也很貼心
而且店面很大，可以容納60個人
找對時間去不太需要排隊
————————————————
但是價格稍貴（基本一碗$288）
而且麵量有點少
可能需要加一球麵（$58）才能吃飽
當點心或宵夜差不多
還有麵只有細麵沒有粗麵選項有點可惜
叉燒的部分（薄、無炙燒）也不如一些其他店家的叉燒（炙燒、厚切）
另外除了叉燒、辣味粉、蔥花以外基本的一碗拉麵沒有任何配料"
 歪嘴雞Nash ,https://www.google.com/maps/contrib/107209468542940786122/reviews?hl=zh-TW,5,True,149,"今天造訪的是，歪嘴雞吃一輪從日本到台灣，心中仍然擺放在第一名的「一蘭拉麵」，趁著下雨又平日的日子，帶著新同事吃一下這個，道地豬大骨熬湯製成的豚骨拉麵，每次來一蘭，都妄想能不能不用排隊，想當然爾又是超過一百號的等待，而為何一蘭拉麵來台5年，仍然每天大排長龍，一蘭拉麵到底是哪裡戳中台灣人呢?我歸納以下特點:

1.拉麵品質穩定、嚴格""15秒規則""(註1.)。
2.個人用餐空間，味集中座位(註2.)。
3.不用忍受，拉麵名店老闆古怪脾氣。
4.客製化選擇的點菜單，美味由我定義。
5.體驗一蘭拉麵，是一件儀式感十足的事情。

註1.15秒規則:每天將獨特的混合小麥粉製成不同配方的麵條，同時考慮到每天的天氣、溫度、濕度等，並進行陳釀。以美味為重的超級生麵條在湯中時刻變化。為了讓客人以最佳狀態用餐，一蘭在拉麵做好後15秒（28.8m）內徹底為顧客提供服務。我們沒有任何需要更長服務時間的座位。這就是“15秒規則”。此外，一蘭的麵條非常細膩，甩麵的動作只能嚴格限制在5下以內。如果超過這個次數，將不會提供給一蘭的客戶。

註2.味集中座位:半封閉式的座位，客人與客人之間有隔板遮擋視線，店員端出拉麵只要把座位前方捲簾略略拉起，客人在吃麵的過程中，完全不會被任何人看到臉，也不需要看到任何人的臉，包含安裝在店內的感測器和顯示器等等的機器，用以讓來店的顧客不太需要直接和店員互動，能夠安靜地吃上一碗麵，店員也不太需要隨時眼觀八方耳聽四方地去注意顧客的動向，只要在後台廚房裡觀看板上的燈號等輸出，就能夠知道顧客入店、離店、點單或者需要加麵等動向，可以迅速且順利提供服務。"
