user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Chen TungHsin ,https://www.google.com/maps/contrib/107386774890591502033/reviews?hl=zh-TW,2,True,220,"以為很好吃
結過自己點到超雷的
我同事點打拋豬味道夠
但是配菜豆芽菜跟木耳的味道超生很難入口
我自己點椒麻雞
結果沒有醬汁
（還是本來還就都沒有@@我誤會了椒麻雞）
雞也很乾
整個飯就是乾巴巴又沒味道
只有辣椒有辣
其他我給不出啥好評價
多一顆星是給打拋豬的鼓勵
但是還是要反應一下中午出菜速度之慢！"
 吳崇彥 ,https://www.google.com/maps/contrib/104133183413545692667/reviews?hl=zh-TW,2,True,495,"信義計畫區新光三越百貨A8館地下美食街重新改裝後，有一半以上的店家仍舊是老面孔，日前午餐覓食瞧見一家『咖雞窩』，看似先前未曾見過的，於是點了店家推薦的《正宗海南雞飯》來嚐鮮一下！
坦白講，這家的海南雞飯口味普通，雞腿切的薄薄碎碎的，與店家招牌上的照片差距很大，配菜與附湯也甚是普通，只能說嚐過後有些失望，吃不出「正宗」的口感！

##以上是個人的食後心得分享，實際口味因人而異，僅供參考！"
 Wei Ai ,https://www.google.com/maps/contrib/111910373996489625559/reviews?hl=zh-TW,2,True,84,"海南雞飯，極度普通！肉薄
不是很新奇的醬汁口味
有加香菜，救了點味道回來
薑黃飯無香氣
配菜清爽
湯是敗比！3/1內容物是油，無料
上層油更厚，不如不要出湯品給客人
沒這湯的話不會這樣的評價

整體是普通，沒有不好
但開在信義百貨內就是變的不行
百貨櫃姐都覺得餐點有很大的進步空間
要在A8foodcourt生存
這樣的水準！要加油了"
 米果雲 ,https://www.google.com/maps/contrib/117300216140288005915/reviews?hl=zh-TW,5,False,3,"很喜歡咖雞窩的餐點！老闆很親切！很用心的料理，讓人吃得開心😃
還有最愛❤️的紫米，物超所值！吃得超級飽！"
 purine chu ,https://www.google.com/maps/contrib/103531712230671979551/reviews?hl=zh-TW,1,False,2,"雲南椒麻雞，吃了確定是雞之外找不到可取之處。五個字對一字，給一星剛好吧？
看了以前的照片，真的懷疑是同一間店？雞肉又扁又小不說，連香菜和辣椒都要給不給。
越想越生氣，希望用餐的人可以參考“近期“照片和評論，看了才知道不是唯一一個受害者，不要再有下一個人踩到雷。"
 陳傑 ,https://www.google.com/maps/contrib/115066194049719137878/reviews?hl=zh-TW,5,False,11,今天跟女友來吃飯吃了雙拼海南雞飯跟椒麻雞飯口味不鹹不油我們都很喜歡下次還會回來用餐推薦新光三越改裝後的一家優質好點
 Wei Chen Wei ,https://www.google.com/maps/contrib/111881997031089767278/reviews?hl=zh-TW,1,True,65,"超難吃
打拋豬肉超乾像是泡麵的肉燥
飯也都黏在一起
配菜還是台式便當會有的那種豆芽菜豆干絲"
 CC Yang ,https://www.google.com/maps/contrib/118222517686656176242/reviews?hl=zh-TW,5,False,1,椒麻雞很香，飯量很足，小菜很新鮮，附湯也好喝，會想再來一碗👍
 納蘭雪 ,https://www.google.com/maps/contrib/109744058489851608122/reviews?hl=zh-TW,4,True,342,"好吃，
口味不鹹不油，
且飯量足，
店員熱情親切👍"
 林文文 ,https://www.google.com/maps/contrib/108639930216701204409/reviews?hl=zh-TW,2,False,28,"飯好雷，糊在一起，整個食慾沒了。
蘿蔔湯真的是唯一招牌。"
 王昆萁 ,https://www.google.com/maps/contrib/110231253090720748425/reviews?hl=zh-TW,1,False,4,"超級雷！晚上八點半點去吃點了最熱門的3選二，椒麻雞混打拋豬飯，炸雞皮是冷的超硬根本庫存連加熱都不願意！微波爐很便宜好嗎！打拋豬還有焦糖味風格詫異

不得不說蘿蔔湯是最正常的⋯

連把主餐加熱都懶惰的店家絕對不會再去"
 han han ,https://www.google.com/maps/contrib/111437705970892677713/reviews?hl=zh-TW,1,True,109,"海南雞飯超難吃，米粒硬，雞肉很薄很少，其他的配菜超簡陋，湯沒味道！ˋ整個海南雞飯感覺就是在常溫放很久，完全不新鮮，一點熱度也沒有，你們煮菜的人有試過嗎？我去外面隨便一間便當店都比你們好吃，難吃
雷店！肚子已經購餓點了這盤幾乎剩半碗都沒吃，花錢找罪受......."
 hsiangpi ,https://www.google.com/maps/contrib/106857724439494299169/reviews?hl=zh-TW,2,True,11,"點了海南雞$180
看照片以為很美味，但菜都是冷的，也只是簡單的黃豆芽、高麗菜、豆干，飯跟雞肉也都很普通，醬也是現成的吃不出來任何特別。cp值很低。"
 世賢 ,https://www.google.com/maps/contrib/117368844053296894246/reviews?hl=zh-TW,5,False,4,兒子最愛綠咖喱，肉量很多很好吃～a8重修裝修再來逛，發現竟然還有椒麻雞跟海南雞的雙拼！椒麻雞的香菜、辣椒配醬汁澆飯好讓人懷念～～海南雞的醬也好好吃喔🤤
 子宜黃 ,https://www.google.com/maps/contrib/111321476669369123120/reviews?hl=zh-TW,1,True,52,A8b2翻新後，來吃正宗海南雞飯，一點都不正宗，雞肉超乾，醬料用的是現成的泰式雞醬跟蒜蓉醬油糕，拌菜有一個辣涼拌豆芽菜是酸的，姜黃飯也不ok，算是中雷了!
 maii kuo ,https://www.google.com/maps/contrib/105216644253633967901/reviews?hl=zh-TW,3,True,110,"叻沙雞還算順口但搭配的小菜真的超難吃醃蘿蔔條太辣不夠酸冬粉調味又太酸辣豆芽普通但已經是最好的小菜了
今天最好吃的是附湯蘿蔔丁湯還蠻好喝的"
 Darren Lin ,https://www.google.com/maps/contrib/114732146435901290946/reviews?hl=zh-TW,3,True,90,"有點不像海南雞飯的海南雞飯
偏清淡"
 游嘉誼 ,https://www.google.com/maps/contrib/104879308040687025401/reviews?hl=zh-TW,5,False,7,東西好吃，物超所值，來信義區必來美食
 K.J. Chen ,https://www.google.com/maps/contrib/102772840005077660797/reviews?hl=zh-TW,5,True,681,電子點餐蠻方便的，咖喱可以選擇偏辣或甜，唐揚雞味道很不錯👍
 no ,https://www.google.com/maps/contrib/100973155815330500958/reviews?hl=zh-TW,1,False,4,椒麻雞沒有椒麻，就只是冷掉且很難吃的炸雞而已，出餐也很慢
 ChunPing Chiang ,https://www.google.com/maps/contrib/115049620118169185432/reviews?hl=zh-TW,3,True,654,"泡麵口感很糊,就是泡到糊掉的口感"
 李小鴨 ,https://www.google.com/maps/contrib/103142564250079707459/reviews?hl=zh-TW,5,True,42,"想吃咖哩的好地方，裝潢簡單…重點是食物好吃！！
咖哩醬濃郁，屬於重口味
(可選辣或甜，亦或辣+甜)，
唐揚雞外酥內多汁～～😁牛肉燉的軟爛，加購紅茶也僅須$10(很大杯)，飲料都沒有加冰塊，因為已～經～是～冰～的～☺
所以不用擔心喝到最後會沒有味道，甜度剛剛好！！
位子只有一樓，約28個位子，冷氣很強😁，有電視可以看~"
 hy lin ,https://www.google.com/maps/contrib/109621309353353616772/reviews?hl=zh-TW,3,True,148,"晚一點來就會客滿的店。水自取，餐點店員會幫忙送，餐具放在各桌旁如果不幸離很遠就要拜託旁邊的人幫忙拿了。
去過2次，辣味真的有辣，平常吃小辣的朋友吃不完，牛肉稍微有點硬，炸雞酥脆多汁很好吃，不過2次去吃給的炸雞量有點不一樣。咖哩醬味道有點淡，第二次去吃的時候溫溫涼涼，稍微有點扣分。"
 張琡羚 ,https://www.google.com/maps/contrib/110808095589243470118/reviews?hl=zh-TW,5,True,279,老闆有用心經營～一樓廚房味道較重！咖哩上會放上一塊當季水果，支持小農覺得很不錯
 陳凱榛 ,https://www.google.com/maps/contrib/100061359888540886854/reviews?hl=zh-TW,5,False,2,"路過新開的店來嚐鮮，沒想到令人驚豔！尤其炸雞鮮嫩多汁，外皮酥脆。
份量超多，女生要兩人吃。
如果可以單買炸雞，我會天天報到❤️
玉子燒也好吃、鹹中帶甜，超愛！
跟老闆預訂了泡菜，他們的泡菜道地阿！"
 Charlotte Chou ,https://www.google.com/maps/contrib/105261505140920527505/reviews?hl=zh-TW,5,True,156,很美味～CP值高！😋醬超多，肉也很多，米飯本身也很好吃，炸雞是專業日式炸雞的那種好吃程度！缺點可能就是太大了，少飯也吃不完⋯
 Kinhong ,https://www.google.com/maps/contrib/113225132732347364944/reviews?hl=zh-TW,5,True,396,"店員服務親切，炸雞塊蠻嫩的，算是比較不重口的咖哩飯(甜)，下次試試其他口味。
價錢尚可，鮮奶茶不錯喝。"
 Ashley Change ,https://www.google.com/maps/contrib/102231774729852177630/reviews?hl=zh-TW,4,True,299,"好吃，雞塊跟附近XXX店比有比較大塊。
最近新增了自動點餐機，快速很多。👍👍👍"
