user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Joy Chen ,https://www.google.com/maps/contrib/100225554146396684115/reviews?hl=zh-TW,3,True,736,"午餐時間過來店裡都是人，菜色很多，愛吃多少夾多少，最後是秤重買單。

各種菜色的味道都還可以，外食族可以考慮午餐加些蔬菜均衡一下。"
 舒馨僾 ,https://www.google.com/maps/contrib/113078210812002525676/reviews?hl=zh-TW,5,False,27,真的很好吃。疫情期間還能吃到明德這麼好吃的素食自助餐。很幸福。食材又清爽。種類多元、價格親民。每次都拿份量$140（含大碗胚芽飯）左右😂😂吃的超級飽的。
 玹麟（嗎啡糖） ,https://www.google.com/maps/contrib/107760098768743713085/reviews?hl=zh-TW,3,True,46,"久久想吃個菜飯才來不然有選擇真的不會買運氣好菜色常溫/熱
運氣差就是冷看評論真的都沒改善過
這幾天天氣涼涼
吃到冷飯菜感覺好難過(。•́︿•̀。)"
 Aaron Hsieh ,https://www.google.com/maps/contrib/113331262260655261395/reviews?hl=zh-TW,2,True,72,"2022年還在只收現金?是有多短視不響被資訊/金融商多收費用,又不是賣的多便宜,如果非常便宜所以降低成本只收現金我OK,但老闆有看到那精美的超長排隊人龍嗎?或是因為想說在怎麼做都一堆人所以沒差?
雖然我覺得食物不錯,但心中對這家店貪小便宜的心態,實在無法給好分數"
 HUEIJNE CHEN ,https://www.google.com/maps/contrib/115122033014019413123/reviews?hl=zh-TW,5,True,136,"除了現金交易以外什麼都好。
建議老闆可以提供電子支付，或者尖峰時間乾脆四捨五入，中午上班族用餐，可刷誠品會員及載具，但刷完電子條碼又要大家撈錢找錢，耗很多時間，只要過12點一定大排長龍。不然就尖峰時段開二櫃。"
 Gina Chang ,https://www.google.com/maps/contrib/106327563688130758557/reviews?hl=zh-TW,5,True,328,"上班族想要健康多蔬食想要減糖最喜愛的外食

多樣化菜色食材看起來很新鮮口味清淡爽口給你滿滿豐富又營養外食的午晚餐
超推薦"
 Bingo ,https://www.google.com/maps/contrib/101779261742540606589/reviews?hl=zh-TW,4,True,140,"吃菜並非素食者的專利，葷食者平常大魚大肉感覺油膩時，偶而來此享用一頓蔬菜美食，補充蔬菜的養份及膳食纖維，對腸胃也有幫助。
明德的素食多樣化至少50種，煎煮炒炸色香味俱全，絕對可以挑動你的味蕾！"
 Singer 蕭 ,https://www.google.com/maps/contrib/110384244943636548018/reviews?hl=zh-TW,3,True,852,優點是自助餐菜色豐富多樣化，選擇多。缺點是大部分都是冷的菜，熱的菜也沒有很熱。用餐時段很多上班族會來用餐，因為只收現金，不收信用卡，結帳找錢造成排隊時間較久。
 Katalina Bon凱姊相談室 ,https://www.google.com/maps/contrib/104652378723368559035/reviews?hl=zh-TW,5,True,562,環境也乾淨，菜色豐富，口味也很不錯，重點是吃多少算多少，在同樣的價格，不同於其他自助餐的是，可以吃到很多營養好吃的青菜。超棒！
 Jocelyn Yang ,https://www.google.com/maps/contrib/102724941329716203774/reviews?hl=zh-TW,1,False,4,有一次夾菜竟然從夾子桶拿到用過的夾子，發現時已經來不及，害我那一餐吃的很不安心。此外這家明德還一直堅持現金支付，其他間都可以電子支付了！現金結帳慢店員又會一直催。掃描會員跟載具還要喬一個角度才能掃，這家店該去升級一下設備
 洪臣鞍 ,https://www.google.com/maps/contrib/116980110062440619559/reviews?hl=zh-TW,5,False,11,"秤斤算錢的有點貴
不過菜色多樣且不錯吃
今天的鳳梨苦瓜湯普通太苦"
 Wilson ,https://www.google.com/maps/contrib/108350358684265824724/reviews?hl=zh-TW,5,False,10,上班族省錢又想健康的選擇～
 郭婷婷 ,https://www.google.com/maps/contrib/108273150750951570508/reviews?hl=zh-TW,5,False,352,"補充青菜的好地方
菜色多元，
12月6日近傍晚的炒絲瓜及
馬鈴薯沙拉口感味道都相當好喔！

品質都有維持住，很棒👍"
 LEON HUANG ,https://www.google.com/maps/contrib/104104037272075918101/reviews?hl=zh-TW,1,True,136,竟然只收現金？在百貨公司中還真是少見！雖然，其他也不收信用卡，但至少可以用悠遊卡。還有其他美食街的店也都不收信用卡，這是誠品的通病，真不知道是哪有問題。
 ANNIE CHEN ,https://www.google.com/maps/contrib/114028832456903044995/reviews?hl=zh-TW,4,True,111,"這樣$140。
明德就是貴😆"
 2022 id ,https://www.google.com/maps/contrib/111397906177452095540/reviews?hl=zh-TW,1,True,46,飯都沒熟，飯咬起來口感很怪應該要早點煮
 Mikala K ,https://www.google.com/maps/contrib/115490018095069715066/reviews?hl=zh-TW,4,True,"1,762",連鎖素食自助餐，想要吃青菜時的最佳選擇，只是要慎選，大多都燒得太多醬料、勾芡又偏油，但還是有很不錯的涼拌菜。
 Larry Yang ,https://www.google.com/maps/contrib/108799438620656824200/reviews?hl=zh-TW,5,True,122,美味素食自助餐！菜色比京站、A8館的分店豐富！
 hana Wong ,https://www.google.com/maps/contrib/102838115308910279068/reviews?hl=zh-TW,4,True,652,菜色豐富！中午一到就大排長龍、生意超好的，青菜味道很不錯👍炒麵好吃。
 PettC Wang ,https://www.google.com/maps/contrib/115452293724455079145/reviews?hl=zh-TW,3,True,166,比一般自助餐貴一點，秤重下來135，口味還行，用餐環境乾淨明亮
 Carina ,https://www.google.com/maps/contrib/116437885199669514190/reviews?hl=zh-TW,3,True,239,"還算好吃但有點油有點貴
湯還要加點20元不建議"
 Erin Chen ,https://www.google.com/maps/contrib/108764800301843454481/reviews?hl=zh-TW,3,True,281,"身為上班族在信義區最常光臨的餐廳，可以吃到很多種青菜。但建議收信用卡，因為結帳找錢實在排太久了，非常浪費時間。

2022更新：本來就已經很貴，今年又漲價了（100克從25元漲到28元），沒夾幾樣菜就一百多，所以現在很少去了。"
 游育豪（Scott You） ,https://www.google.com/maps/contrib/108370186099378295363/reviews?hl=zh-TW,4,True,32,"百貨裡面相對平價的素食選擇，六日附近素食很多沒開，可以考慮來這裡解決。
可惜的是此間只有現金支付，如果素食要刷卡或行動支付，建議到A11有派特跟馬來麵"
 邱琬亭 ,https://www.google.com/maps/contrib/113325842277906557268/reviews?hl=zh-TW,3,False,81,連二日於晚餐時間到訪，約1700-1900之間，菜色選項與新鮮度遠遜於三越A8明德，不建議選擇此分點。
 Nan Guo ,https://www.google.com/maps/contrib/115865791115716016245/reviews?hl=zh-TW,4,True,358,"在B2,手扶梯下右轉,明德素食有一定的水準，菜色種類多。尖鋒時間,可到店外圍找座位,"
 appleworm huang ,https://www.google.com/maps/contrib/102267837670677424561/reviews?hl=zh-TW,4,True,403,經濟實惠又美味，但是清湯20元有點可惜，建議可以不用。
 Chen Louis ,https://www.google.com/maps/contrib/110611896086661034289/reviews?hl=zh-TW,1,False,3,花椰菜吃到一半發現有菜蟲。
 Eren ,https://www.google.com/maps/contrib/113411897368956786885/reviews?hl=zh-TW,3,True,229,"素食自助餐
有點貴，味道還可以
藥膳湯40元，10元可以加湯"
 Ichien Teng ,https://www.google.com/maps/contrib/114214818439203568294/reviews?hl=zh-TW,2,True,48,本來有兩家想說這家有室內位子又離捷運近，結果後悔了！不但位子不開放要消毒，菜色少又是冰冷的！難得來一趟，印象降到谷底！
 Henry Justin ,https://www.google.com/maps/contrib/103813284067859448287/reviews?hl=zh-TW,4,True,598,平價好吃又便利的素食餐廳！
 黎雅 ,https://www.google.com/maps/contrib/106977103424787742468/reviews?hl=zh-TW,3,True,9,東西好吃是好吃，但是不能電子支付，現金結帳速度又很慢，不是說櫃檯結帳慢，是客人掏錢速度慢，為什麼不考慮開始使用電子支付？
 林葉杰 ,https://www.google.com/maps/contrib/105820600578923636584/reviews?hl=zh-TW,4,False,10,"以百貨公司的價格相當實惠了，一大盤青菜約略100上下

扣一星是因為菜的溫度不夠+有些菜太油
今天夾了茄子，結果一用筷子戳滿滿的油啊XD
然後冬天正常情況菜色都是冷的，除非遇到剛出來的"
 半斤沒八兩 ,https://www.google.com/maps/contrib/118108819467637254936/reviews?hl=zh-TW,5,False,17,人員親切、食材新鮮、種類豐富👍
 Tammy Chou ,https://www.google.com/maps/contrib/102380614851912311552/reviews?hl=zh-TW,4,True,159,"算是不錯吃的素食自助餐，菜色的選擇也多，用餐環境也不錯。
少一顆星是因為菜的溫度不太夠，夏天還好，冬天吃冷食就會讓人沒食慾了……"
 周美英 ,https://www.google.com/maps/contrib/112198263053602751233/reviews?hl=zh-TW,4,True,280,蔬食清淡味道不過重各種顏色蔬菜都能在這裡攝取到很讚！
 馨馨 ,https://www.google.com/maps/contrib/105419628610559507132/reviews?hl=zh-TW,5,True,141,素食自助餐，菜色豐富美味！
 Tommy Tsai ,https://www.google.com/maps/contrib/106721820394573928118/reviews?hl=zh-TW,5,True,47,選擇非常多，食物新鮮，調味也不錯(唯獨芥末醬不小心拿太多被嗆死XD）價格以百貨公司地下街來講也算OK了
 李佳瑜（阿優） ,https://www.google.com/maps/contrib/117925779300994586019/reviews?hl=zh-TW,1,False,5,這樣要153元，不如吃牛肉麵哈哈，根本被騙錢
